,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,6,2,11,4,10,3,0,1,2,2,0
1,17,2,9,2,11,0,1,1,2,2,1
2,4,4,15,4,12,3,0,1,3,2,0
3,6,4,8,2,3,0,1,1,2,2,0
4,8,7,11,4,13,1,1,0,2,2,0
5,8,4,9,4,4,1,1,0,2,1,0
6,6,4,15,2,8,5,1,0,2,2,0
7,11,4,1,0,8,4,1,0,2,2,0
8,8,4,15,3,1,4,1,0,2,2,0
9,8,4,11,2,12,0,1,1,2,2,0
10,4,4,9,4,1,4,0,0,1,2,0
11,7,4,1,2,10,0,0,1,2,2,0
12,9,4,9,2,12,5,1,0,2,2,1
13,4,7,12,0,10,1,1,0,2,2,0
14,5,4,15,2,11,0,0,1,2,0,0
15,10,4,11,2,12,0,1,1,2,2,1
16,5,4,11,2,14,0,1,1,2,2,0
17,6,4,2,4,1,3,1,0,2,2,0
18,12,4,11,4,3,3,0,1,2,2,0
19,8,4,15,5,12,4,0,0,2,2,0
20,16,4,11,0,6,1,1,1,4,2,0
21,7,4,15,4,7,1,1,0,2,2,0
22,8,4,11,0,1,4,1,0,1,2,0
23,8,4,11,2,3,0,0,1,2,2,1
24,5,4,9,4,12,4,1,0,3,2,0
25,5,4,11,2,3,0,1,1,2,2,0
26,7,4,3,2,5,0,1,1,2,2,0
27,3,0,11,4,0,2,0,0,0,0,0
28,5,4,15,6,12,1,1,0,1,2,0
29,4,0,11,4,0,1,1,0,2,2,0
30,13,4,9,2,7,0,1,1,2,2,1
31,6,4,11,2,1,0,0,1,2,2,1
32,8,4,9,2,6,0,1,1,1,2,1
33,8,4,11,0,4,1,1,1,2,2,0
34,4,4,11,4,7,3,0,1,2,2,0
35,6,4,11,2,3,0,1,1,2,2,1
36,6,5,11,4,12,1,1,1,1,2,0
37,3,4,11,4,1,3,0,0,1,2,0
38,4,4,0,2,10,0,1,1,2,2,0
39,4,6,11,4,3,1,1,1,2,2,0
40,4,4,15,4,5,3,1,1,2,2,0
