,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,3,5,0,4,12,3,1,1,0,2,0
1,10,2,12,2,10,0,1,1,2,2,0
2,10,4,15,0,1,1,1,0,2,2,0
3,6,4,8,4,10,1,1,1,2,2,0
4,10,4,11,6,3,4,1,1,2,2,0
5,7,4,15,2,12,0,1,1,2,2,1
6,13,4,8,2,8,0,1,1,2,2,0
7,9,6,15,2,4,0,1,1,3,2,1
8,11,4,11,2,14,2,0,1,2,0,0
9,10,4,9,0,1,4,1,0,2,2,0
10,6,4,9,4,10,1,1,1,3,2,0
11,5,2,11,2,8,0,1,1,2,2,0
12,9,7,9,2,4,0,0,1,2,0,1
13,7,6,11,2,3,0,1,1,2,2,1
14,6,5,11,4,3,3,0,1,2,2,0
15,6,4,15,4,6,1,1,1,2,2,0
16,8,4,15,2,12,0,1,1,2,2,1
17,7,4,11,2,10,0,1,1,2,2,0
18,13,4,11,6,8,2,1,0,0,4,0
19,10,4,11,2,3,0,1,1,2,2,0
20,13,6,5,2,5,0,1,1,1,2,0
21,5,4,6,2,3,0,1,1,2,2,0
22,11,2,14,2,10,0,0,1,2,0,0
23,5,4,9,4,1,3,1,1,2,1,0
24,7,6,11,0,12,4,1,0,2,2,0
25,12,5,11,3,4,1,1,0,1,2,0
26,6,6,14,4,5,3,1,1,1,2,0
27,5,2,15,0,10,1,1,0,2,2,0
28,9,4,11,2,6,0,1,1,2,2,1
29,6,4,15,5,3,4,1,1,2,2,0
30,3,4,1,4,3,3,1,1,1,2,0
31,4,4,11,4,3,1,1,1,2,2,0
32,8,5,7,2,10,0,1,1,2,2,1
33,4,4,15,4,8,3,1,0,1,2,0
34,7,4,11,4,3,3,1,1,4,2,0
35,4,4,1,4,8,3,1,1,1,2,0
36,10,4,15,2,12,0,1,1,2,2,0
37,7,7,9,4,1,3,0,0,2,0,0
38,6,4,15,0,1,1,1,1,2,2,0
39,6,6,11,2,13,5,1,0,1,2,1
40,10,4,15,0,1,4,0,0,1,2,0
