,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
9517,5,2,9,4,10,3,1,0,2,2,0
37093,14,6,8,2,5,0,1,1,2,2,0
29766,10,4,15,0,1,1,1,0,3,2,0
44290,5,4,11,0,1,2,1,0,2,2,0
7055,10,4,11,0,1,4,1,0,1,2,0
7033,12,6,15,2,12,0,0,1,3,2,1
31273,6,0,0,4,0,2,1,1,2,2,0
11651,6,4,9,4,4,1,1,0,2,2,0
40568,7,4,11,4,4,1,1,0,2,2,0
37821,12,4,0,2,3,0,1,1,2,2,0
16357,6,4,12,4,10,1,0,1,2,2,0
7377,8,4,15,0,8,1,1,0,1,2,1
40678,7,4,11,4,3,1,1,1,2,2,0
1126,7,4,11,2,14,0,1,1,2,2,1
26935,9,4,1,0,8,1,1,0,1,2,0
18998,9,1,9,4,1,1,1,1,2,2,1
27242,7,4,11,2,3,0,1,1,2,2,0
46453,10,4,11,2,6,0,1,1,2,2,1
13376,6,4,12,0,10,4,1,0,2,2,0
9446,5,4,4,4,3,2,1,1,2,2,0
2127,7,4,11,4,3,1,1,1,3,2,0
31323,4,4,9,4,4,3,1,1,2,2,0
40096,5,6,8,2,5,0,1,1,3,2,0
1113,13,4,11,2,12,5,1,0,2,2,0
26741,9,4,12,0,4,1,1,0,2,2,0
19782,8,7,15,0,1,1,0,0,1,2,0
5104,18,4,15,4,8,1,0,1,1,2,0
35509,13,4,11,6,8,1,1,0,0,2,0
34416,11,1,0,4,10,1,1,1,1,2,0
4729,13,0,15,6,0,1,1,0,1,2,0
6303,10,4,15,2,12,0,1,1,2,2,1
2142,11,2,15,6,1,4,1,0,2,2,0
42075,5,4,11,4,6,1,1,1,2,2,0
26732,10,4,15,2,3,0,1,1,2,2,0
9390,12,4,4,2,3,0,1,1,2,2,0
21088,6,4,11,4,7,3,1,1,2,2,0
27495,10,4,9,2,4,0,1,1,2,2,1
1342,9,4,15,0,1,1,1,1,2,2,0
44718,8,2,11,0,11,4,0,0,2,2,1
39444,8,4,8,2,14,0,1,1,2,2,1
35222,12,6,5,2,5,0,1,1,2,2,1
1200,9,1,11,2,1,0,0,1,4,2,1
19526,5,2,9,4,13,4,0,0,2,0,0
18416,4,4,15,4,5,3,1,1,2,2,0
18982,8,4,14,2,7,0,1,1,2,4,0
42525,7,4,12,2,10,0,1,1,1,2,1
35267,5,6,11,2,3,0,1,1,3,2,0
8173,8,4,9,4,10,1,1,0,1,2,1
9230,6,4,0,4,8,4,0,0,2,2,0
47295,8,4,9,3,12,4,0,1,2,0,0
426,7,1,12,4,10,1,1,1,2,2,0
48476,7,4,11,2,3,0,1,1,2,1,1
4530,12,2,15,0,4,1,1,0,1,2,0
43338,10,4,13,4,8,1,1,0,0,2,0
11063,4,4,15,4,5,3,1,1,1,2,0
24414,4,4,11,4,8,2,1,1,2,2,0
10102,12,0,11,2,0,0,1,1,2,2,1
32696,6,4,7,4,10,1,1,0,2,2,0
7003,6,4,15,0,7,4,1,1,2,2,0
38408,7,4,11,2,12,0,1,1,3,2,1
24986,6,4,9,4,12,1,1,0,2,2,0
11003,5,4,9,4,4,1,1,0,2,2,1
9547,5,4,7,2,13,0,1,1,2,2,1
22917,4,4,11,4,12,3,1,0,1,2,0
379,7,4,11,2,12,0,1,1,2,2,0
19193,8,2,9,2,11,5,0,0,2,2,1
11231,4,4,15,4,12,3,1,1,2,2,0
2387,7,4,9,2,5,0,1,1,2,2,0
19574,11,2,12,2,10,0,1,1,2,2,1
14169,13,2,10,0,10,1,1,0,2,2,0
13742,3,4,1,4,12,3,0,0,0,2,0
19201,10,2,15,6,1,1,1,0,1,2,0
8318,10,1,11,2,1,0,1,1,2,2,0
41206,5,7,11,2,11,0,0,1,2,2,0
26041,3,4,1,4,12,3,1,0,1,2,0
32383,5,1,9,4,10,1,1,1,2,2,0
28788,9,4,8,0,1,4,1,0,2,2,1
32201,9,0,11,2,0,5,1,0,3,2,0
5399,6,4,11,0,8,4,0,0,1,2,0
19263,11,4,9,0,10,4,0,0,2,2,0
10474,7,4,11,2,3,0,1,1,2,2,0
8611,9,4,11,2,3,0,1,1,2,2,0
29356,10,6,11,2,12,0,1,1,2,2,1
22284,10,5,10,2,10,0,1,1,3,2,1
18192,7,4,15,0,1,4,1,0,1,2,0
2755,4,4,15,4,8,3,1,0,2,2,0
29235,9,6,9,2,3,0,1,1,1,2,0
47489,8,2,8,0,10,4,1,0,2,2,0
36449,6,2,9,4,1,3,1,1,0,2,0
43974,9,5,9,2,12,0,1,1,2,2,0
25040,3,4,2,4,12,3,1,0,1,2,0
28644,4,4,9,4,8,3,1,0,1,2,0
10071,5,2,15,2,11,0,1,1,2,2,0
46629,8,4,15,2,10,0,1,1,2,2,1
19121,8,5,15,2,4,0,1,1,2,2,1
47500,7,2,12,2,10,0,1,1,2,2,0
48376,4,4,9,0,1,1,1,0,3,2,1
45706,11,4,10,4,10,1,1,1,2,2,0
28602,8,4,9,4,10,2,1,0,2,2,0
17045,12,7,15,2,14,0,1,1,2,2,0
2992,9,4,8,4,4,4,1,0,1,3,0
17684,7,4,15,0,4,1,1,1,2,2,0
24953,6,6,15,4,12,3,1,1,1,2,0
17562,9,4,9,0,10,4,1,0,2,2,0
855,6,4,11,4,14,3,1,1,2,2,0
2447,5,4,11,0,8,1,1,0,1,2,0
31773,5,4,9,2,4,5,1,0,2,2,1
26487,9,4,15,2,3,0,1,1,2,2,0
37361,6,4,11,2,1,5,1,0,2,2,0
23801,9,4,9,5,13,4,1,0,2,2,0
17806,7,2,12,4,10,1,1,0,2,2,0
10020,4,4,11,4,6,1,1,1,2,2,0
12030,9,4,15,2,6,0,1,1,2,1,1
39470,5,4,9,2,4,0,1,1,2,2,0
30620,12,4,11,6,4,4,1,1,2,2,1
17887,3,4,0,4,6,3,1,1,2,2,0
5773,10,5,15,2,3,0,1,1,2,2,0
42581,12,4,9,2,4,0,1,1,2,2,1
25895,8,4,11,2,7,0,1,1,2,2,0
21344,8,2,12,2,10,5,0,0,1,2,1
12752,8,4,11,2,3,0,1,1,2,2,0
40597,6,4,11,2,4,0,1,1,2,2,1
36103,5,4,1,5,8,4,0,0,2,2,0
14568,7,4,9,0,10,4,1,0,2,2,0
33651,12,6,15,2,12,0,1,1,3,2,1
31315,5,4,15,0,10,3,1,0,2,2,0
46888,9,4,11,0,8,1,1,0,1,2,0
36723,7,4,0,0,7,4,0,0,2,2,0
9544,9,4,15,0,3,1,1,1,2,2,0
35540,6,4,4,2,6,0,1,1,2,2,0
28532,10,4,1,2,7,0,1,1,2,2,0
2479,11,4,11,5,6,4,1,1,2,2,0
14300,11,5,9,2,3,0,1,1,3,2,0
13724,5,4,9,4,10,3,1,0,3,2,0
19784,7,4,11,0,3,1,1,1,2,4,0
46511,4,4,15,4,8,1,1,0,1,2,0
45236,4,4,15,4,12,1,1,1,2,2,0
1559,4,4,15,4,8,2,0,0,0,2,0
36568,6,4,11,4,3,3,1,1,2,2,0
1524,5,2,9,4,10,1,1,1,2,2,0
27678,10,2,15,2,4,0,1,1,2,2,1
6735,8,7,12,2,10,0,1,1,2,2,1
33211,6,4,1,2,3,0,1,1,2,2,0
36139,5,4,8,4,3,1,1,1,3,2,0
25253,7,4,15,0,12,3,1,1,3,2,0
10758,12,4,11,2,12,5,1,0,1,2,0
28186,7,6,11,2,5,0,1,1,2,2,0
37311,4,4,1,4,12,3,0,0,1,2,0
8586,4,4,15,5,3,3,1,1,2,2,0
39817,9,4,9,0,10,4,1,0,2,2,0
16562,9,4,13,2,7,5,1,0,2,2,0
30065,7,4,15,2,3,0,1,1,2,2,0
27553,6,4,15,2,12,0,1,1,2,2,1
14049,7,4,9,4,8,2,1,0,2,2,0
44372,9,2,12,0,10,4,0,0,2,2,0
4870,8,6,14,2,10,0,1,1,1,2,1
37882,7,7,12,4,1,1,1,1,2,2,0
20989,4,4,15,4,1,2,1,1,1,2,0
24163,9,4,9,4,4,1,1,1,2,2,0
43576,12,5,9,2,4,0,1,1,2,2,0
26042,8,4,14,0,4,1,1,1,2,2,0
20083,11,2,11,2,3,0,1,1,2,2,0
1440,10,5,11,2,3,0,1,1,3,2,0
3976,13,6,11,2,5,0,1,1,3,2,0
46331,4,4,11,4,3,3,1,1,2,2,0
48151,8,4,11,5,1,1,1,0,3,2,1
47530,9,4,12,2,4,0,1,1,2,2,1
35817,4,4,11,4,14,3,1,1,1,2,0
47442,8,4,1,4,8,1,0,1,2,2,0
34738,5,4,15,4,12,3,1,1,2,2,0
35576,4,4,15,4,1,1,0,0,1,2,0
42213,7,6,7,2,4,0,1,1,2,2,0
26943,7,2,12,2,10,0,1,1,2,2,1
2314,8,4,9,2,1,5,1,0,2,2,0
34467,6,6,11,4,3,1,1,1,1,2,0
11608,10,4,11,0,12,4,1,0,2,2,0
25770,6,4,8,0,12,1,1,0,2,2,1
28012,7,4,7,2,13,0,1,1,2,2,0
23039,4,4,15,4,1,3,1,0,2,2,0
13189,8,4,15,2,10,0,1,1,2,2,1
38410,6,4,0,2,3,0,1,1,2,2,0
30576,9,4,7,6,1,4,1,0,2,2,0
9799,10,4,15,2,4,0,1,1,2,4,1
26802,8,4,5,2,3,0,1,1,2,2,0
25391,6,6,12,4,10,1,1,1,2,1,0
204,7,7,11,0,1,4,1,0,1,2,0
30795,6,4,11,2,3,0,1,1,2,2,0
21439,9,1,9,3,4,1,1,0,2,2,0
41553,6,4,15,2,7,0,1,1,2,2,1
43170,9,4,11,0,6,4,0,0,2,2,0
23192,3,0,15,4,0,3,1,0,1,2,0
44991,6,4,11,4,6,3,1,1,2,2,0
38151,10,4,11,0,7,4,1,1,2,2,0
21772,7,5,15,2,4,5,1,0,2,2,0
1506,11,7,11,2,4,0,1,1,2,2,0
26113,12,5,11,2,4,0,1,1,2,2,0
33947,8,4,1,2,7,0,1,1,2,2,0
31818,5,4,14,4,10,3,0,1,2,2,0
44254,10,6,9,6,4,4,1,1,2,2,0
18351,3,4,15,4,1,1,1,1,2,2,0
16705,11,6,11,0,10,1,1,1,1,1,0
10552,4,4,9,2,10,0,1,1,2,2,0
39995,7,6,15,0,5,4,1,1,2,2,0
33974,9,7,8,2,10,0,1,1,2,2,1
11124,9,6,9,2,4,0,1,1,2,2,0
11768,7,0,11,4,0,3,1,1,2,2,0
14767,7,4,11,0,8,4,1,0,4,2,0
23672,8,4,9,2,10,0,1,1,2,2,1
39125,8,4,8,2,13,0,1,1,2,2,1
24192,6,4,11,4,1,3,1,1,2,2,0
26605,12,4,11,2,7,0,1,1,2,2,0
1918,5,2,9,4,10,3,1,1,1,2,0
7836,5,4,0,4,1,1,1,0,2,2,0
14264,9,4,6,2,7,0,1,1,2,2,0
22290,6,2,11,0,13,1,1,0,2,2,0
48664,9,4,12,2,10,0,1,1,3,2,0
19971,5,4,9,2,4,2,1,1,2,2,0
7838,5,4,7,2,12,0,1,1,2,2,0
17974,9,4,12,2,4,0,1,1,3,2,1
13506,6,4,9,0,12,1,1,1,2,2,1
3822,10,0,11,0,0,1,1,0,1,2,0
23994,8,4,0,2,7,0,0,1,2,2,1
5621,7,4,15,4,3,3,1,1,3,2,0
18023,12,2,12,2,10,0,1,1,2,2,0
29435,9,5,14,4,3,1,1,1,2,2,1
35634,4,4,15,4,1,1,1,0,2,2,0
29755,12,1,15,2,1,0,1,1,2,2,1
13761,7,4,11,4,12,1,1,0,2,2,0
8358,8,4,11,0,8,4,1,0,1,2,0
48702,11,7,0,6,8,1,1,0,1,2,0
40286,8,4,7,2,12,0,1,1,2,2,1
37395,10,4,15,2,12,0,1,1,3,2,1
5942,5,4,0,4,6,1,1,1,2,2,0
31117,6,4,11,2,7,0,1,1,2,2,0
44472,11,4,11,6,13,1,0,0,2,2,0
37106,6,4,15,2,5,0,1,1,2,2,0
22435,5,4,11,4,7,1,1,0,2,2,0
42261,9,4,15,2,12,5,1,0,2,2,1
48751,7,4,14,2,10,0,0,1,1,0,0
37473,11,2,15,0,1,1,0,1,2,2,0
45588,10,7,11,2,6,0,1,1,2,2,0
570,4,4,11,4,3,3,1,1,2,2,0
8052,11,4,5,2,14,0,1,1,2,2,0
10595,4,4,15,4,1,3,1,1,2,2,0
25530,5,5,11,2,8,0,1,1,2,2,0
29095,8,2,9,0,10,4,1,0,2,2,0
32767,9,4,5,2,3,0,0,1,2,2,0
41551,11,4,4,5,3,1,0,1,2,2,0
46816,6,4,14,2,10,0,1,1,3,2,0
10034,9,4,15,3,1,1,1,0,2,2,0
34900,6,4,8,3,3,1,1,1,2,2,0
42972,8,4,11,2,7,0,1,1,2,2,0
7401,7,5,15,2,12,5,1,0,2,2,0
21261,9,4,8,2,3,0,1,1,2,2,1
35392,5,4,12,4,10,1,1,1,2,2,0
12224,7,2,12,2,11,0,1,1,2,2,1
32376,8,4,11,0,3,1,0,0,2,0,0
27225,11,0,15,4,0,1,1,0,2,2,0
43445,3,4,11,4,12,1,1,1,2,2,0
2103,8,5,15,2,12,0,1,1,2,2,1
28486,4,4,11,2,3,0,1,1,3,2,0
18619,12,6,15,6,4,1,1,1,1,2,0
20270,4,4,15,4,6,1,1,1,2,2,0
12552,10,4,11,2,3,0,1,1,2,2,0
582,11,4,11,2,3,0,1,1,2,2,0
11493,7,4,15,2,3,0,1,1,2,2,0
20559,4,4,15,2,10,0,0,1,2,2,0
4106,8,4,9,4,12,1,1,0,2,2,0
28333,12,4,11,0,12,4,1,0,1,2,0
20876,9,4,12,2,10,0,1,1,1,2,1
38448,8,4,11,2,3,0,1,1,2,2,0
344,4,7,15,4,11,3,0,0,2,2,0
20072,13,0,11,2,0,0,1,1,0,2,1
37040,4,4,15,4,1,3,1,1,1,2,0
43505,7,4,11,2,3,5,0,0,2,0,1
14688,3,0,1,4,0,3,1,1,2,2,0
31340,4,4,15,2,12,0,1,1,2,2,0
4556,6,4,11,4,1,4,1,0,2,2,0
