,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,4,4,9,4,10,0,1,1,2,2,0
1,5,2,9,2,4,1,1,1,2,2,0
2,4,4,9,4,12,0,1,1,2,2,1
3,8,4,7,4,4,0,1,0,2,2,0
4,8,4,9,4,12,0,1,0,2,2,0
5,3,4,9,0,4,1,0,1,2,2,0
6,4,4,9,4,4,0,1,1,2,2,1
7,8,4,9,4,10,0,1,1,2,2,0
8,4,4,9,0,12,0,1,0,2,2,1
9,8,0,9,4,10,0,1,1,2,2,0
10,9,0,9,4,10,0,1,1,2,2,0
11,8,4,9,2,10,0,1,0,2,2,0
12,3,4,9,4,4,4,1,1,2,2,0
13,4,4,9,4,10,1,1,0,2,2,0
14,10,0,9,2,4,1,1,1,2,2,0
15,4,4,9,2,10,0,1,1,2,2,0
16,4,4,9,4,12,1,1,0,2,2,0
17,3,0,9,0,10,4,1,1,2,2,0
18,11,4,9,0,10,1,1,1,2,2,0
19,8,4,9,4,4,1,1,0,2,2,0
20,5,0,9,4,12,0,1,1,2,2,0
21,12,4,9,4,4,0,1,1,2,2,1
22,3,4,7,4,10,1,1,1,2,2,1
23,3,4,9,1,12,1,1,1,2,2,0
24,9,4,9,4,7,3,1,1,2,2,1
25,4,4,9,4,5,3,1,1,2,2,0
26,8,0,9,4,4,0,1,1,2,2,0
27,9,4,9,4,10,3,0,0,2,2,0
28,8,4,9,4,10,0,1,1,2,2,0
29,8,4,9,2,12,1,1,1,1,2,0
30,8,4,9,2,4,0,1,0,2,2,1
31,8,4,9,4,10,1,1,1,2,2,1
32,5,4,9,2,10,3,1,0,2,2,0
33,8,4,9,4,4,1,1,1,2,2,1
34,8,0,9,4,10,0,1,1,2,2,0
35,11,4,9,0,10,3,1,0,2,2,0
36,8,4,9,4,10,1,0,1,2,2,0
37,8,4,9,2,4,1,1,0,2,2,0
38,4,4,9,2,4,1,1,1,2,2,0
39,4,0,9,4,4,0,1,1,2,2,0
40,11,4,9,5,4,0,1,1,2,2,0
41,3,4,11,4,4,0,1,0,2,2,0
42,9,4,9,4,10,1,1,0,2,2,0
43,8,0,9,4,4,1,1,0,1,2,1
44,5,0,9,4,10,1,1,1,2,2,0
45,3,7,9,4,12,5,1,0,2,2,0
46,11,4,9,2,4,0,1,1,2,2,1
47,4,4,9,4,4,4,1,1,2,2,1
48,3,2,9,4,4,0,1,0,2,2,0
49,5,4,11,4,12,0,1,1,2,2,0
50,8,4,9,4,12,0,1,1,2,2,0
51,5,4,9,4,10,0,1,1,2,2,1
52,8,4,9,2,14,0,1,1,2,2,0
53,4,4,9,0,12,4,1,1,2,2,0
54,8,4,9,2,4,0,1,1,2,2,1
55,4,4,9,2,10,3,1,1,2,2,0
56,3,6,9,2,10,0,1,1,2,2,0
57,4,4,9,4,10,0,1,1,1,2,1
58,5,4,9,4,12,1,1,0,2,2,0
59,5,4,7,4,4,3,1,1,2,2,0
60,8,4,9,4,10,5,1,1,2,2,0
61,8,4,9,2,13,0,1,1,2,2,1
62,3,4,9,2,10,0,1,1,2,2,0
63,8,4,9,4,4,0,1,0,2,2,1
64,8,0,9,4,4,1,1,1,2,2,0
65,3,4,9,4,4,0,1,1,2,2,0
66,5,4,9,4,12,1,1,0,2,2,0
67,8,4,9,4,10,1,1,0,2,2,0
68,11,4,9,4,4,0,1,0,2,2,0
69,8,4,9,4,12,0,0,0,2,2,0
70,5,4,9,2,10,1,1,0,2,2,0
71,4,4,9,0,12,0,0,1,2,2,0
72,3,4,9,4,12,0,1,0,2,2,1
73,4,4,9,4,12,5,1,0,2,2,0
74,14,4,9,4,4,1,1,1,2,2,0
75,11,4,9,2,7,1,1,1,2,2,1
76,8,4,9,4,10,0,1,1,2,2,0
77,5,4,9,4,4,0,1,1,2,2,1
78,4,4,9,4,4,0,1,1,2,2,0
79,4,4,9,4,10,0,1,1,2,2,0
80,8,4,5,4,12,0,1,0,2,2,0
81,11,4,9,4,4,0,1,0,2,2,1
82,3,4,11,4,4,1,1,0,2,2,0
83,3,4,9,4,4,1,1,0,2,2,0
84,8,0,9,2,4,0,1,1,2,2,0
85,4,4,9,4,4,4,1,1,1,2,0
86,4,4,9,4,4,1,1,1,2,2,1
87,7,4,7,2,4,0,1,0,2,2,0
88,8,4,9,4,10,0,1,0,2,2,0
89,8,0,9,4,12,1,1,1,2,2,1
90,3,4,9,4,12,0,1,0,2,2,0
91,4,4,11,4,10,1,1,0,2,2,0
92,4,4,9,4,12,1,1,0,1,2,0
93,5,4,9,4,4,0,1,0,2,2,0
94,5,4,9,2,4,0,1,1,2,2,0
95,8,4,9,2,12,0,1,1,2,2,0
96,11,4,9,4,4,4,1,0,2,2,0
