,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,7,4,15,0,6,0,1,0,2,2,0
1,11,4,15,2,6,3,1,1,0,2,0
2,9,4,15,5,4,0,1,1,2,2,0
3,8,4,15,6,4,3,1,0,2,2,0
4,5,5,12,0,4,0,1,0,2,2,0
5,8,4,15,0,7,3,0,0,0,2,0
6,6,4,15,0,6,0,1,0,2,2,0
7,9,4,15,5,1,3,1,0,2,2,0
8,9,4,15,0,0,0,1,0,2,2,0
9,5,4,15,0,6,0,1,1,0,2,0
10,11,4,15,0,6,0,1,0,2,2,0
11,9,4,15,6,6,0,1,0,2,2,0
12,7,4,15,0,4,3,1,0,2,2,0
13,8,4,15,2,1,0,1,0,2,2,0
14,6,4,15,6,6,3,1,1,1,2,0
15,11,4,15,0,4,3,1,0,2,2,0
16,9,4,15,0,6,3,1,0,1,2,0
17,7,4,15,0,4,3,1,0,2,2,0
18,11,4,15,0,4,3,1,0,0,2,0
19,7,4,15,0,6,0,1,0,1,2,0
20,11,4,15,0,6,3,1,1,2,2,0
21,7,5,15,0,4,3,1,1,2,2,0
22,9,4,15,0,6,0,1,0,2,2,0
23,9,4,15,0,4,0,1,0,2,2,0
24,5,4,15,0,1,3,1,0,2,2,0
25,8,4,15,0,6,3,1,0,2,2,0
26,7,4,15,6,4,3,1,0,0,2,0
27,6,4,15,0,4,3,1,0,2,2,0
28,11,4,15,0,6,3,1,0,0,2,0
29,8,4,15,0,6,3,1,0,2,2,0
30,7,4,15,0,4,0,1,0,2,2,0
31,8,4,12,5,1,3,1,0,2,2,0
32,7,4,15,0,4,3,1,0,1,2,0
33,9,4,15,5,6,0,1,0,2,2,0
34,11,4,15,0,6,0,1,0,2,2,0
35,5,4,15,5,1,0,1,0,2,2,0
36,7,4,15,0,4,3,1,0,2,2,0
37,11,4,15,0,7,3,1,0,1,2,0
38,7,4,15,6,4,3,1,0,2,2,0
39,7,4,15,0,6,3,1,1,2,2,0
40,9,4,15,6,4,3,1,0,2,2,0
41,6,4,15,0,4,0,1,0,2,2,0
42,11,5,15,0,4,0,1,0,2,2,0
43,9,4,15,0,4,3,1,0,2,2,1
44,8,4,15,6,10,0,1,1,2,2,0
45,8,4,15,5,6,0,1,0,2,2,0
46,7,4,15,2,4,0,1,0,2,2,0
47,7,4,15,6,6,3,1,0,2,2,0
48,7,4,15,0,1,0,1,0,2,2,0
49,11,4,12,0,4,3,1,0,2,2,0
50,11,4,15,2,6,3,1,1,2,2,0
51,7,4,15,0,6,3,1,0,2,2,0
52,11,4,15,0,6,0,1,0,1,2,0
53,7,5,15,0,4,0,1,1,2,2,0
54,6,5,15,0,6,0,1,0,2,2,0
55,8,4,15,0,1,0,1,0,2,2,0
56,8,4,15,0,4,3,1,0,0,2,0
57,6,4,15,0,4,3,1,0,2,2,0
58,5,2,15,0,4,3,1,0,0,2,0
59,7,4,15,0,6,3,1,0,0,2,0
60,9,4,15,0,4,3,1,0,2,2,0
61,8,4,15,0,6,0,1,0,2,2,0
62,8,4,15,5,6,0,1,0,2,2,0
63,9,5,15,6,12,3,1,0,2,2,0
64,8,4,15,0,4,3,1,1,2,2,0
65,11,4,15,5,4,3,1,0,1,2,0
66,7,4,15,6,4,3,1,0,0,2,0
67,9,4,15,0,4,3,1,0,1,2,0
68,9,4,15,0,6,3,1,0,0,2,0
69,7,4,15,0,6,3,1,0,2,2,0
70,11,4,12,0,10,0,1,0,2,2,0
71,7,4,15,2,6,0,1,0,2,2,0
72,11,4,15,0,6,3,1,0,2,2,0
73,8,5,15,0,4,3,1,0,2,2,0
74,7,4,15,0,4,0,1,0,2,2,0
75,5,2,15,0,4,0,1,0,2,2,0
76,11,4,15,6,6,3,1,0,0,2,0
77,9,4,15,2,6,3,1,0,2,2,0
78,8,4,15,0,6,0,1,0,2,2,0
79,8,4,15,5,6,3,1,0,2,2,0
80,11,4,15,0,4,3,1,0,2,2,0
81,11,2,15,6,4,3,1,0,2,2,0
82,11,4,15,0,7,0,1,0,0,2,0
83,11,4,9,0,4,0,1,0,2,2,0
84,8,4,15,0,4,3,1,0,2,2,0
85,11,4,15,6,4,3,1,0,1,2,0
86,11,4,15,0,4,0,1,0,2,2,0
87,8,4,15,0,4,0,1,0,0,2,0
88,7,4,15,6,4,3,1,0,2,2,0
89,5,4,15,0,11,3,0,1,2,2,0
90,11,4,15,0,13,0,1,0,2,2,0
91,7,4,15,0,6,3,1,0,2,2,0
92,7,4,15,5,6,0,1,0,2,2,0
93,11,4,15,0,12,0,1,0,2,2,0
94,9,4,15,0,6,0,1,0,2,2,0
95,11,4,15,2,4,3,1,0,1,2,0
96,6,4,15,0,4,0,1,0,0,2,0
97,8,4,15,5,6,3,1,0,1,2,0
98,8,4,15,0,6,3,1,0,1,2,0
99,11,4,15,0,6,3,1,0,2,2,0
100,11,4,15,6,4,3,1,0,2,2,0
101,8,5,15,0,1,3,1,1,2,2,0
102,9,6,15,0,1,0,1,0,2,2,0
103,6,4,15,0,4,3,1,0,2,2,0
104,9,4,15,0,4,0,1,0,0,2,0
105,6,4,15,6,12,0,1,0,1,2,0
106,8,4,15,6,4,3,1,0,1,2,0
107,7,4,15,0,4,0,1,1,2,2,0
108,5,4,15,0,6,3,1,1,2,2,0
109,7,4,15,0,4,0,1,1,2,2,0
110,7,4,15,0,6,3,1,0,2,2,0
111,8,4,15,0,4,0,1,0,2,2,0
112,8,4,15,0,6,3,1,0,0,2,0
113,5,2,7,0,4,0,1,0,1,2,0
114,11,4,9,0,4,3,1,0,1,2,0
115,9,6,15,0,1,3,1,0,2,2,0
116,5,4,15,6,1,3,1,0,2,2,0
117,7,4,15,5,1,3,1,0,2,2,0
118,9,2,15,0,6,0,1,0,2,2,0
119,8,4,15,0,4,3,1,0,2,2,0
120,6,4,15,2,4,3,1,1,1,2,0
121,7,5,15,0,4,3,1,1,2,2,0
122,6,4,15,0,4,3,1,0,0,2,0
123,11,4,15,0,6,0,1,0,2,2,0
124,8,4,15,0,6,0,1,0,0,2,0
125,11,4,15,0,4,0,1,0,2,2,0
126,9,4,15,0,6,0,1,0,0,2,0
127,11,4,15,5,12,0,1,0,2,2,0
128,6,4,15,0,4,3,1,0,2,2,0
129,7,4,15,5,4,0,1,0,2,2,0
130,13,4,15,0,6,3,1,0,2,2,0
131,6,4,15,0,6,0,1,0,2,2,0
132,11,4,15,5,4,0,1,0,2,2,0
133,7,4,15,2,7,0,1,1,2,2,0
134,6,4,15,5,4,3,1,0,2,2,0
135,8,4,8,0,7,3,1,0,2,2,0
136,9,4,15,2,6,0,1,0,2,2,0
137,8,4,15,0,4,0,1,0,2,2,0
138,7,4,15,0,4,0,1,0,2,2,0
139,8,4,15,0,6,3,1,0,2,2,0
140,11,4,15,0,6,5,1,1,2,2,0
141,5,4,15,5,6,3,1,0,2,2,0
142,11,4,12,0,6,3,1,1,0,2,0
143,11,4,15,0,4,3,1,0,2,2,0
144,11,4,15,0,4,3,1,0,2,2,0
145,11,4,15,0,6,3,1,0,2,2,0
146,11,4,15,5,4,0,1,1,0,2,0
147,11,4,15,0,6,3,0,1,2,2,0
148,11,4,15,6,6,0,1,0,1,2,0
149,11,4,15,0,4,3,1,0,2,2,0
150,11,4,15,5,1,3,1,0,1,2,0
151,9,4,15,0,7,0,1,0,0,2,0
152,5,4,15,0,4,3,1,1,2,2,0
153,9,4,15,0,4,3,1,0,2,2,0
154,9,4,15,0,4,3,1,0,2,2,0
155,8,4,8,0,6,3,1,0,2,2,0
156,8,4,15,0,4,3,1,0,1,2,0
157,6,4,15,5,4,0,1,0,1,2,0
158,8,4,15,0,4,3,1,0,2,2,0
159,8,4,15,0,4,0,1,0,0,2,0
160,5,4,15,0,6,3,1,0,1,2,0
161,7,4,15,0,6,3,1,1,2,2,0
162,7,4,15,5,6,0,1,0,2,2,0
163,8,4,15,0,4,3,1,0,2,2,0
164,8,2,15,5,6,3,1,0,2,2,0
165,8,4,15,2,1,3,1,0,2,2,0
166,11,4,15,0,6,3,1,0,2,2,0
167,11,4,15,6,1,0,1,1,2,2,0
168,8,4,15,0,4,0,1,0,2,2,0
169,9,4,15,0,6,0,1,0,0,2,0
170,11,4,15,0,6,3,1,0,1,2,0
171,11,4,15,6,4,3,1,1,0,2,0
172,11,4,1,6,4,3,1,0,1,2,0
173,8,4,12,5,1,3,1,0,2,2,0
174,7,4,15,0,4,0,1,0,2,2,0
175,5,4,15,0,4,0,1,0,2,2,0
176,8,4,15,0,4,3,1,0,2,2,0
177,5,6,15,0,6,3,1,1,2,2,0
178,7,4,15,0,0,0,1,0,2,2,0
179,6,4,15,0,4,3,1,0,2,2,0
180,9,4,15,5,6,3,1,0,2,2,0
181,8,4,15,6,6,3,1,0,2,2,0
182,6,4,15,0,4,0,1,0,1,2,0
183,11,4,15,0,6,3,1,1,2,2,0
184,11,4,15,6,6,0,1,0,2,2,0
185,9,4,15,5,4,3,1,0,2,2,0
186,11,4,15,0,4,0,1,0,2,2,0
187,11,4,15,0,4,3,1,0,1,2,0
188,11,4,15,5,4,3,1,1,2,2,0
189,7,4,15,0,4,3,1,0,2,2,0
190,8,4,15,0,6,3,1,0,2,2,0
191,7,4,15,0,6,3,1,0,2,2,0
192,7,4,15,0,6,0,1,0,2,2,0
193,6,4,15,0,4,3,0,0,2,2,0
194,8,4,12,6,4,3,1,0,2,2,0
195,9,4,15,0,6,0,1,1,2,2,0
196,7,4,15,5,4,3,1,0,2,2,0
197,7,4,15,2,6,0,1,0,2,2,0
198,8,4,15,0,1,3,1,0,2,2,0
199,7,4,15,0,4,3,1,1,2,2,0
200,6,4,15,0,4,3,1,0,0,2,0
201,9,4,15,0,6,3,1,0,2,2,0
202,7,4,15,2,6,0,1,0,2,2,0
203,8,4,12,0,6,0,1,1,2,2,0
204,11,4,15,0,6,3,1,0,2,2,0
205,8,4,15,0,4,3,1,0,1,2,0
206,11,4,15,6,4,3,1,0,2,2,0
207,7,4,15,6,6,3,1,0,2,2,0
208,7,4,15,0,6,0,1,1,2,2,0
209,7,4,15,0,6,3,1,0,2,2,0
210,7,4,15,6,6,0,1,0,0,2,0
211,9,5,15,6,4,3,1,1,2,2,0
212,7,4,15,0,6,0,1,0,2,2,0
213,6,4,15,0,4,0,1,0,1,2,0
214,11,4,15,0,6,0,1,0,0,2,0
215,7,5,15,2,4,3,1,1,2,2,0
216,8,4,15,0,6,3,1,0,2,2,0
217,7,4,15,0,4,3,1,0,2,2,0
218,5,5,15,0,6,3,1,0,2,2,0
219,5,5,15,0,6,3,1,0,1,2,0
220,8,4,12,0,6,0,1,1,1,2,0
221,7,4,15,0,4,3,1,1,2,2,0
222,11,4,15,0,6,0,1,0,2,2,0
223,7,2,15,0,4,3,1,0,0,2,0
224,8,4,15,0,4,3,1,0,2,2,0
225,8,4,15,0,4,0,1,0,2,2,0
226,8,4,15,0,6,0,1,0,2,2,0
227,8,4,15,2,6,3,1,0,0,2,0
228,8,4,15,0,6,3,1,0,2,2,0
229,9,4,15,5,4,3,1,1,2,2,0
230,6,4,15,6,4,3,1,1,2,2,0
231,9,4,15,0,4,3,1,1,2,2,0
232,11,4,15,4,4,3,1,0,2,2,0
233,7,4,15,0,6,0,1,0,1,2,0
234,5,4,15,0,4,3,1,0,2,2,0
235,11,4,15,6,4,0,1,0,2,2,0
236,7,4,12,0,6,3,1,0,2,2,0
237,8,4,15,0,6,0,1,0,0,2,0
238,7,4,15,0,6,0,1,1,0,2,0
239,11,4,15,0,6,0,1,1,0,2,0
240,7,2,15,5,6,0,1,0,2,2,0
241,11,4,15,0,6,0,1,1,2,2,0
242,6,5,15,0,6,3,1,0,1,2,0
243,8,4,12,0,6,0,1,1,2,2,0
244,6,5,15,0,6,3,1,1,2,2,0
245,7,4,15,0,4,0,1,0,2,2,0
246,11,4,15,5,6,0,1,0,2,2,0
247,11,4,15,0,4,0,1,1,2,2,0
248,7,4,15,0,6,0,1,1,2,2,0
249,8,4,15,6,4,3,1,1,2,2,0
250,7,4,15,6,6,3,1,0,2,2,0
251,6,4,15,5,1,0,1,0,2,2,0
252,8,4,15,0,4,0,1,0,2,2,0
253,8,4,15,0,4,3,1,0,2,2,0
254,7,4,15,0,4,3,1,0,1,2,0
255,7,4,15,6,1,3,1,0,2,2,0
256,11,5,15,0,4,0,1,1,0,2,0
257,11,4,15,2,6,0,1,1,2,2,0
258,9,4,15,0,6,3,1,0,2,2,0
259,9,4,15,0,6,3,1,0,2,2,0
260,9,5,15,0,4,0,1,1,2,2,0
261,7,4,15,0,4,3,1,0,0,2,0
262,6,2,15,0,6,0,1,0,2,2,0
263,9,4,12,0,6,0,1,0,2,2,0
264,7,4,15,0,4,0,1,0,2,2,0
