,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,4,4,11,4,8,4,1,0,1,2,0
1,8,6,6,5,4,1,1,0,1,2,0
2,4,2,11,2,7,0,1,1,2,2,0
3,12,4,15,2,7,0,1,1,2,2,0
4,6,2,9,4,10,3,1,1,2,2,0
5,3,4,11,4,3,3,1,1,1,2,0
6,11,1,9,0,8,1,1,0,1,2,0
7,12,6,7,6,3,1,1,1,2,2,0
8,5,7,9,4,4,1,1,0,2,2,0
9,8,4,0,2,14,0,1,1,2,2,0
10,10,4,5,2,5,0,1,1,2,2,1
11,6,7,11,2,14,0,1,1,2,2,1
12,5,4,9,0,4,4,1,1,1,2,0
13,9,4,10,2,10,0,0,1,2,0,0
14,12,0,9,2,0,5,1,0,2,2,1
15,6,4,9,2,12,0,1,1,2,2,0
16,5,0,10,4,0,3,1,1,2,2,0
17,7,2,4,2,14,0,1,1,2,2,1
18,6,4,15,4,1,1,1,0,2,2,0
19,6,7,14,2,4,0,0,1,1,2,1
20,9,4,9,2,1,5,1,0,2,2,0
21,4,4,11,5,14,3,1,1,2,2,0
22,9,4,15,2,10,0,1,1,3,2,0
23,12,4,11,6,3,1,1,1,2,2,0
24,5,4,5,4,1,1,1,0,2,2,0
25,10,2,11,2,14,0,1,1,2,2,1
26,9,4,9,2,1,0,1,1,1,2,1
27,7,4,11,2,4,0,1,1,2,2,0
28,10,4,9,4,4,3,1,0,0,2,0
29,6,4,11,5,1,1,1,0,2,2,0
30,14,4,15,0,8,1,1,1,3,2,0
31,12,4,11,2,7,0,1,1,2,2,1
32,7,4,11,2,3,0,1,1,2,2,0
33,3,4,15,2,8,0,1,1,1,2,0
34,10,0,0,2,0,0,0,1,2,2,1
35,11,7,11,2,10,0,1,1,2,2,0
36,9,2,11,2,1,0,1,1,2,2,1
37,13,4,5,0,8,1,1,1,1,2,0
38,7,4,9,2,4,5,1,0,2,2,1
39,8,6,9,2,4,0,1,1,2,2,0
40,14,1,5,0,5,1,0,0,3,0,0
41,6,4,11,2,11,0,1,1,2,2,0
42,7,4,11,4,8,1,1,1,2,2,0
43,9,4,15,0,12,1,1,1,2,2,1
44,8,4,1,2,5,0,1,1,2,2,1
45,10,4,6,2,3,0,1,1,1,2,0
46,4,4,15,4,4,1,1,1,1,2,0
47,10,4,11,6,1,1,1,1,2,2,0
48,10,4,11,2,6,0,1,1,2,2,0
49,11,4,11,2,6,0,1,1,2,2,0
50,9,4,15,2,8,0,1,1,2,2,0
51,7,4,11,2,1,0,1,1,2,2,0
52,6,0,11,2,0,0,0,1,3,0,0
53,8,4,1,2,3,0,1,1,2,2,1
54,7,6,14,2,10,0,1,1,1,2,0
55,10,5,8,0,10,4,1,0,2,2,1
56,5,4,14,4,4,1,1,1,2,2,0
57,5,2,10,2,10,0,1,1,3,2,0
58,9,4,11,2,8,0,1,1,2,2,1
59,9,4,0,4,8,4,1,0,2,2,0
60,5,4,15,0,8,1,0,1,1,2,0
61,3,4,0,4,9,4,1,0,1,2,0
62,7,2,11,4,5,3,1,1,2,2,1
63,8,4,9,4,8,1,1,0,2,1,0
64,7,4,14,0,8,1,1,0,2,2,0
65,4,4,11,4,3,3,0,1,2,0,0
66,5,4,10,2,5,0,1,1,2,2,0
67,10,4,9,2,4,0,0,1,3,2,0
68,8,4,11,4,12,1,1,0,1,2,0
69,12,4,1,2,12,0,1,1,2,2,0
70,5,4,9,4,10,4,1,0,2,2,0
71,7,4,15,2,12,0,1,1,1,2,0
72,6,4,11,5,7,4,0,0,2,2,0
73,8,4,15,0,8,1,1,1,2,2,0
74,12,4,15,2,1,0,1,1,2,2,0
75,12,4,15,6,7,4,1,0,1,2,0
76,10,4,13,0,3,1,1,1,2,2,0
77,4,5,9,4,4,1,1,0,2,2,0
78,12,4,15,0,3,4,0,0,1,2,0
79,4,0,1,4,0,1,1,0,2,2,0
80,7,4,15,2,6,0,1,1,2,2,0
81,4,4,1,4,8,2,1,0,2,2,0
82,12,7,10,6,10,1,1,1,0,2,0
83,9,4,15,2,3,0,1,1,2,1,1
84,6,4,15,0,1,1,1,1,2,2,0
85,6,0,1,2,0,0,1,1,1,2,0
86,8,4,12,0,4,1,1,0,2,2,0
87,7,5,15,0,12,1,1,1,2,2,0
88,6,4,15,4,13,4,1,0,2,2,0
89,10,4,11,0,4,1,0,0,2,0,0
90,9,4,9,2,10,0,1,1,2,2,0
91,9,4,9,0,12,1,1,0,3,2,0
92,8,2,6,2,10,0,1,1,2,2,1
93,7,4,11,4,1,3,1,1,2,2,0
94,5,4,11,2,8,0,1,1,2,1,0
95,8,6,8,0,3,4,1,1,2,2,0
96,5,4,1,4,12,3,1,1,1,2,0
97,9,4,9,0,10,1,1,0,2,2,0
98,11,4,15,0,4,1,1,1,2,2,0
99,11,4,8,2,12,0,1,1,2,2,0
100,5,4,11,4,8,1,1,0,2,2,0
101,8,4,15,2,8,5,1,0,1,2,0
102,6,4,15,4,8,3,1,0,2,2,0
103,5,4,11,2,8,0,1,1,2,2,0
104,5,4,4,4,5,1,0,1,2,2,0
105,7,2,12,2,10,0,1,1,1,2,0
106,10,4,3,2,13,0,1,1,2,2,0
107,7,4,9,0,4,4,1,1,2,2,0
108,9,4,14,2,10,0,1,1,0,2,1
109,9,4,7,2,7,0,1,1,1,2,1
110,5,6,11,2,5,0,1,1,2,0,0
111,18,4,12,3,4,1,1,1,3,2,0
112,10,4,7,2,7,0,0,1,2,2,0
113,9,4,15,2,1,0,1,1,2,2,1
114,8,4,15,2,1,0,1,1,2,2,1
115,6,4,15,2,7,0,1,1,2,2,0
116,4,4,11,4,7,3,1,1,2,2,0
117,8,4,15,3,7,1,1,0,2,2,0
118,4,4,11,4,12,3,1,0,1,2,0
119,4,7,10,5,10,1,1,1,2,2,0
