,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,7,4,11,0,6,1,1,1,2,2,0
1,7,4,9,5,1,3,1,1,3,2,0
2,9,4,9,0,10,1,1,1,2,2,0
3,4,4,11,4,7,1,1,1,0,2,0
4,4,5,10,4,4,1,1,1,2,2,0
5,7,4,11,5,6,1,1,0,2,2,0
6,3,4,1,4,8,3,1,0,2,2,0
7,7,4,8,0,13,4,1,0,2,2,0
8,6,4,1,4,8,3,1,1,3,2,0
9,4,6,9,4,12,2,1,0,1,2,0
10,4,0,11,4,0,1,1,0,2,2,0
11,8,4,11,2,3,0,1,1,2,2,1
12,7,4,9,4,10,3,1,0,4,2,0
13,6,4,11,0,3,3,1,1,2,2,0
14,6,4,11,0,6,2,1,0,2,2,0
15,12,4,15,2,1,0,0,1,2,2,1
16,6,4,11,4,8,3,1,0,2,2,0
17,6,4,15,4,14,3,1,1,2,2,0
18,5,1,9,2,4,0,1,1,2,2,0
19,4,4,7,4,4,3,1,1,2,2,0
20,8,4,9,2,10,0,1,1,2,2,0
21,7,4,14,2,10,5,1,0,2,2,1
22,9,4,11,2,1,5,1,0,2,2,1
23,5,4,12,4,12,3,1,0,2,2,0
24,5,4,12,4,4,1,0,1,1,2,0
25,7,4,1,2,8,0,1,1,2,2,0
26,4,6,15,4,4,1,1,0,2,2,0
27,5,4,11,0,6,4,0,0,2,2,0
28,4,2,9,0,4,1,1,0,2,2,0
29,6,4,9,2,4,0,1,1,2,2,1
30,12,4,11,2,4,0,1,1,2,2,0
31,5,4,15,4,12,3,0,0,2,2,0
32,5,4,11,2,8,0,1,1,2,2,0
33,5,5,11,4,4,3,1,0,2,4,0
34,3,4,9,4,4,1,1,1,1,2,0
35,6,2,15,4,1,1,1,0,2,2,0
36,6,4,11,2,8,0,1,1,2,2,0
37,3,4,11,4,1,3,1,0,2,2,0
38,9,7,10,0,10,4,1,1,2,2,0
39,5,7,9,2,10,0,1,1,3,2,1
40,10,2,1,2,8,0,1,1,1,2,0
41,3,4,9,5,10,4,1,1,1,2,1
42,9,4,1,2,3,0,1,1,3,2,1
43,8,4,8,0,3,1,0,1,2,2,0
44,4,4,15,2,12,0,1,1,2,2,0
45,6,4,15,2,10,0,1,1,3,2,0
46,8,4,8,2,3,0,1,1,2,2,1
47,4,5,15,4,8,4,0,0,2,0,0
48,7,4,4,0,7,1,1,1,2,2,0
49,6,4,15,2,3,0,1,1,2,2,1
50,10,4,0,2,14,0,1,1,3,2,0
51,7,4,15,2,1,0,1,1,2,2,1
52,7,4,11,2,12,0,1,1,3,2,1
53,5,4,11,4,1,2,1,1,2,2,0
54,10,4,15,2,14,0,1,1,2,2,1
55,6,4,11,3,4,2,1,1,1,2,0
56,3,4,15,4,12,1,1,0,2,2,1
57,6,4,15,2,3,0,1,1,2,2,1
58,10,4,15,2,4,0,1,1,2,2,0
59,3,6,9,4,4,3,1,0,1,2,0
60,9,4,1,2,8,0,1,1,2,2,0
61,4,4,15,4,8,3,1,0,2,2,0
62,4,1,15,4,6,1,1,1,2,2,0
