,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,0,31,1,13,0,2,0
1,0,21,1,0,1,1,1
2,1,27,0,2,1,1,1
3,0,67,0,2,1,1,0
4,1,32,1,1,0,1,1
5,1,30,1,12,0,1,0
6,0,19,1,3,0,2,0
7,1,58,0,0,0,0,1
8,1,25,0,5,0,2,0
9,1,55,1,4,1,1,1
10,0,56,1,0,1,1,0
11,0,36,0,1,0,0,0
12,1,61,0,1,0,1,1
13,1,25,0,12,0,1,0
14,1,37,0,2,0,0,1
15,1,30,0,1,0,2,1
16,1,24,1,1,1,1,1
17,1,44,0,0,0,2,1
18,1,73,1,2,0,0,1
19,1,39,0,1,1,2,1
20,1,20,0,5,1,0,1
21,0,20,1,1,0,1,0
22,0,27,0,0,0,0,1
23,1,41,0,2,0,1,0
24,1,73,0,7,0,1,1
25,0,61,0,3,0,1,0
26,0,26,1,0,1,2,0
27,1,38,0,1,0,1,1
28,1,26,1,0,0,1,1
29,1,40,0,12,0,2,1
30,0,20,1,0,0,0,1
31,1,36,0,1,1,1,1
32,1,37,0,12,0,1,0
33,1,23,1,1,0,1,1
34,1,73,1,1,0,1,0
35,1,56,1,0,0,2,1
36,1,31,0,1,0,2,0
37,1,58,1,12,1,1,1
38,0,73,0,0,1,2,0
39,0,48,0,3,0,0,1
40,1,39,0,1,0,1,1
41,1,21,0,1,0,2,1
42,1,48,1,1,1,1,1
43,1,73,0,0,0,1,1
44,1,67,1,3,0,1,0
45,1,28,1,0,0,1,0
46,0,26,0,4,0,2,1
47,1,25,0,0,0,0,1
48,1,73,1,30,0,2,1
49,1,70,1,1,0,1,0
50,1,39,0,1,1,0,1
51,1,40,1,2,1,1,0
52,1,53,0,30,0,1,0
53,0,27,0,4,1,1,0
54,1,54,0,2,0,2,1
55,0,57,0,1,0,0,1
56,1,33,1,0,1,1,0
57,0,51,0,0,1,1,0
58,0,49,0,1,0,0,0
59,1,31,1,0,0,2,1
60,0,27,0,12,0,2,1
61,0,25,0,0,0,2,1
62,0,69,0,5,0,1,0
63,1,26,0,0,0,1,0
64,0,67,0,3,1,2,1
65,1,25,0,1,0,2,1
66,0,37,0,3,0,1,0
67,0,25,1,7,1,0,1
68,1,26,1,7,0,2,0
69,0,23,0,13,0,1,0
70,1,27,0,0,1,0,1
71,1,41,1,3,0,2,1
72,0,36,1,7,0,1,0
73,1,67,1,3,0,1,1
74,1,30,0,2,0,1,0
75,1,22,0,3,1,2,0
76,1,34,0,2,0,0,1
77,1,27,1,21,0,1,0
78,1,73,0,3,0,0,1
79,1,39,0,0,0,2,1
80,1,24,1,4,1,2,1
81,1,22,1,2,0,1,0
82,1,24,0,0,0,1,0
83,1,69,0,5,1,0,0
84,1,58,0,12,1,1,0
85,0,22,1,0,1,1,0
86,1,53,0,18,0,1,0
87,1,30,0,0,0,2,1
88,1,32,0,0,0,0,1
89,1,69,0,1,0,0,1
90,1,73,0,1,0,2,0
91,1,21,1,0,0,0,0
92,1,30,0,5,1,1,0
93,0,51,0,2,0,1,1
94,1,30,0,1,0,2,1
95,1,31,1,0,0,1,0
96,1,36,1,3,1,1,0
97,1,39,0,4,0,2,1
98,1,23,1,12,0,2,1
99,1,48,0,2,1,1,0
100,1,41,0,5,0,0,0
101,1,22,1,7,0,1,0
102,1,23,0,5,0,0,0
103,1,53,0,4,1,0,1
104,1,33,0,14,0,1,0
105,1,69,0,13,0,0,1
106,0,27,0,0,0,1,0
107,0,48,0,16,0,1,0
108,1,31,0,0,0,0,0
109,0,69,0,14,0,0,0
110,1,51,0,0,0,0,0
111,1,40,1,2,1,1,0
112,1,22,0,5,0,0,1
113,0,39,0,1,1,1,0
114,1,30,0,0,0,2,1
115,0,67,0,0,0,2,0
116,1,67,1,1,1,1,0
117,1,37,0,0,0,0,0
118,1,73,0,0,0,1,0
119,1,25,0,3,1,0,1
120,1,55,1,1,0,1,0
121,1,25,0,0,0,0,1
122,1,26,1,2,0,1,0
123,0,27,0,1,0,2,1
124,1,61,0,2,1,0,1
125,1,29,0,1,0,0,0
126,1,41,1,2,0,1,0
127,0,29,1,2,0,2,1
128,1,25,0,2,1,1,0
129,1,77,0,0,0,1,1
130,1,19,1,21,1,2,1
131,1,56,1,12,0,0,0
132,1,40,0,1,1,2,1
133,1,67,0,30,1,1,0
134,1,38,0,3,1,1,1
135,0,36,1,2,0,1,0
136,1,53,0,3,1,1,1
137,0,56,1,1,1,0,1
138,0,56,0,0,0,0,1
139,1,24,0,2,0,1,1
140,1,69,0,0,0,2,1
141,1,29,0,0,0,2,0
142,1,33,0,12,0,0,1
143,0,20,1,3,0,1,0
144,0,57,1,5,1,2,1
145,1,38,0,3,0,2,1
146,1,25,1,3,0,1,0
147,1,66,0,0,1,1,1
148,1,66,0,4,0,0,1
149,1,61,1,14,0,1,0
150,1,34,1,1,0,2,1
151,1,67,1,0,0,2,1
152,0,41,0,3,0,2,1
153,0,33,0,1,0,1,0
154,1,48,1,5,0,1,0
155,1,73,0,13,0,0,0
156,1,19,0,2,0,2,0
157,0,38,1,2,1,2,1
