,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,1,36,0,1,0,1,0
1,1,28,0,1,0,0,0
2,1,54,1,1,0,2,1
3,1,28,0,24,0,0,1
4,1,67,1,2,0,1,1
5,1,55,0,0,0,0,1
6,1,19,1,1,0,1,1
7,1,42,0,2,0,2,1
8,1,55,0,8,0,1,1
9,1,25,0,9,0,1,0
10,0,23,0,3,0,2,1
11,1,27,1,10,0,1,1
12,1,22,1,2,1,1,0
13,1,44,0,24,0,0,1
14,1,37,0,1,0,1,1
15,1,20,0,0,1,1,0
16,0,22,0,5,0,2,1
17,0,30,0,24,1,0,1
18,0,31,0,0,1,0,1
19,1,52,0,1,0,1,0
20,1,32,0,5,1,1,1
21,1,30,0,2,0,1,0
22,0,41,1,1,1,1,0
23,1,20,1,0,1,1,0
24,1,39,0,12,1,1,1
25,1,50,0,1,0,1,1
26,1,25,0,13,0,2,1
27,1,66,1,0,0,1,0
28,1,32,0,1,0,1,1
29,1,23,1,0,0,1,1
30,1,26,0,0,0,0,0
31,1,30,0,3,1,2,1
32,1,21,0,0,1,0,0
33,1,26,1,2,1,1,0
34,1,64,0,0,0,1,0
35,1,51,1,10,0,1,1
36,1,53,0,0,1,2,1
37,0,20,0,0,1,2,0
38,0,26,1,1,0,2,0
39,1,46,0,4,0,0,1
40,0,26,0,2,1,2,0
41,1,21,0,2,1,2,1
42,0,31,1,5,1,1,0
43,1,24,0,7,0,2,1
44,1,26,0,1,0,0,1
45,0,23,1,4,1,1,0
46,0,51,1,3,0,1,0
47,1,55,0,0,0,1,1
48,1,36,0,2,0,2,1
49,1,60,0,0,0,1,1
50,1,47,0,0,0,0,0
51,1,30,0,6,1,0,1
52,0,20,1,10,1,1,1
53,1,25,0,13,0,2,0
54,1,19,1,6,1,2,0
55,1,56,0,0,1,2,1
56,1,25,0,5,1,1,0
57,1,33,1,8,1,1,1
58,1,24,0,7,0,2,1
59,1,22,0,8,0,0,1
60,0,27,0,3,0,0,1
61,0,25,1,1,1,1,0
62,1,25,0,1,0,1,0
63,1,48,0,11,1,2,0
64,1,51,0,12,0,2,1
65,1,23,0,3,0,0,1
66,0,24,1,0,0,0,1
67,1,26,0,17,1,2,1
68,1,23,1,4,0,2,1
69,1,39,0,0,0,2,1
70,1,31,0,5,0,1,0
71,0,57,0,3,0,1,1
72,1,21,0,1,0,1,0
73,1,52,0,4,1,1,0
