,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,0,26,1,24,0,0,0
1,1,66,0,9,0,0,1
2,1,47,0,21,0,1,0
3,1,23,1,1,0,1,1
4,1,69,0,2,0,1,1
5,0,52,0,21,1,2,1
6,0,45,0,16,1,0,1
7,0,33,1,28,1,2,0
8,1,70,0,17,1,2,1
9,0,54,0,9,0,1,0
10,0,24,1,8,1,0,1
11,1,54,1,13,0,0,1
12,1,24,0,29,1,2,0
13,0,69,0,27,0,0,1
14,1,74,0,11,0,0,0
15,0,71,1,27,1,2,1
16,0,48,1,9,1,2,1
17,0,63,1,13,0,0,1
18,0,27,0,7,0,2,1
19,1,63,0,30,1,2,0
20,0,56,1,30,1,2,1
21,0,52,1,1,1,0,1
22,1,70,0,9,1,2,1
23,0,29,1,31,0,2,0
24,0,27,0,33,0,1,1
25,0,59,0,29,0,0,0
26,0,23,0,13,1,1,1
27,1,37,0,31,1,1,1
28,0,28,0,33,0,2,1
29,0,24,0,3,1,1,1
30,1,32,0,29,0,0,1
31,0,18,1,10,1,0,1
32,0,77,0,10,0,2,0
33,0,29,0,19,1,2,1
34,0,36,0,20,0,2,0
35,0,75,1,25,1,1,0
36,0,25,0,11,0,1,0
37,1,57,0,21,0,1,0
38,0,29,0,12,1,2,1
39,0,36,0,5,0,2,1
40,1,34,0,36,1,1,1
41,0,77,0,30,1,1,0
42,0,23,0,26,0,2,1
43,0,71,1,1,0,1,1
44,1,72,0,30,0,2,0
45,0,54,0,31,1,2,0
46,0,77,0,30,1,2,1
47,0,18,0,8,0,2,0
48,1,83,0,0,1,0,1
49,0,52,0,9,0,1,1
50,1,38,0,30,0,1,1
51,0,47,0,1,0,0,0
52,0,29,1,36,1,0,1
53,0,65,1,8,0,2,0
54,1,60,1,30,0,0,0
55,0,54,0,5,1,2,1
56,1,41,0,11,0,1,0
57,1,53,0,2,1,0,1
58,1,30,0,15,1,2,1
59,0,43,0,30,0,2,1
60,0,77,1,25,0,1,1
61,0,35,0,9,1,1,1
62,0,77,0,31,1,2,1
63,0,63,0,5,0,1,0
64,0,41,0,3,1,1,0
65,0,75,1,5,0,0,1
66,0,74,1,8,0,1,0
67,0,55,0,10,1,1,0
68,0,24,0,10,0,0,1
69,0,35,0,8,0,2,0
70,1,57,0,19,0,2,0
71,1,46,0,33,1,1,0
72,0,54,0,27,0,2,0
73,1,23,0,24,1,0,0
74,0,74,0,14,0,1,1
75,1,67,0,20,1,0,1
76,0,36,0,19,1,2,1
77,0,58,0,28,0,1,1
78,0,61,0,37,0,1,0
79,0,49,0,16,1,0,1
80,0,67,0,10,1,0,1
81,0,77,0,30,0,1,0
82,0,65,1,36,1,2,0
83,1,22,1,5,0,1,1
84,0,83,0,6,0,2,1
85,0,30,1,37,0,0,0
86,0,49,0,19,1,1,1
87,0,58,0,12,1,1,0
88,0,46,0,2,0,0,1
89,1,30,1,15,0,0,1
90,0,50,0,1,1,2,1
91,0,25,0,5,1,0,1
92,0,21,1,37,1,2,1
93,0,21,0,33,1,2,1
94,0,70,0,33,1,0,1
95,0,64,0,1,0,0,0
96,0,65,0,24,0,1,1
97,0,40,1,3,0,1,1
98,1,65,1,6,1,1,1
99,0,42,0,26,1,1,0
100,0,45,1,28,1,0,0
101,0,72,1,14,1,2,1
102,1,77,1,21,1,1,0
103,0,56,0,2,1,2,0
104,0,42,0,21,1,0,1
105,0,41,0,38,1,2,0
106,0,72,1,15,0,1,1
107,0,35,0,13,1,1,1
108,1,43,0,8,1,1,1
109,1,83,1,5,1,2,0
110,0,57,1,19,1,2,0
111,0,47,0,6,1,0,1
112,1,49,0,19,0,2,1
113,1,33,1,20,0,2,0
114,0,75,0,24,0,0,1
115,0,59,0,17,0,0,1
116,1,56,0,6,1,1,0
117,1,31,1,16,0,0,0
118,0,69,1,24,1,2,0
119,0,53,1,13,0,1,1
120,0,36,0,29,0,1,0
121,0,18,1,7,0,0,1
122,0,28,1,15,0,2,1
123,0,47,0,33,1,0,0
124,0,66,1,15,1,0,1
125,0,52,1,1,1,1,0
126,0,18,0,16,1,0,1
127,1,18,0,15,0,2,1
128,1,20,1,23,0,0,1
129,0,55,0,28,1,1,1
130,0,61,0,37,0,0,1
131,1,23,1,3,1,2,1
132,1,62,0,24,0,1,1
133,0,27,1,3,0,2,1
134,1,71,1,15,0,0,1
135,0,72,1,15,0,2,0
136,1,60,0,11,0,0,0
137,0,27,1,24,0,2,1
138,0,34,0,0,0,1,0
139,0,74,0,38,0,0,0
140,0,60,1,12,0,2,0
141,0,18,1,10,1,2,1
142,0,50,0,6,1,0,1
143,0,23,0,9,1,2,0
144,0,70,0,33,0,1,1
145,0,30,1,26,0,0,1
146,0,59,1,31,0,1,0
147,0,27,1,3,1,0,0
148,0,22,0,33,1,2,0
149,0,26,0,22,0,2,0
150,0,62,0,16,0,2,1
151,0,26,0,21,0,2,0
152,0,19,1,12,1,2,1
153,0,36,0,7,0,1,1
154,0,31,0,13,1,1,0
155,1,74,1,1,0,2,1
156,0,31,0,19,0,1,0
157,0,53,0,38,0,2,0
158,0,33,0,30,0,0,0
159,0,44,1,31,1,0,0
160,0,34,0,19,1,2,1
161,0,67,0,33,0,1,1
162,0,20,0,33,0,0,0
163,1,20,0,1,0,2,1
164,0,20,0,27,0,0,0
165,0,26,0,26,0,2,1
166,1,67,0,11,1,2,1
167,0,34,0,30,0,2,1
168,0,24,0,19,0,1,0
169,0,77,0,28,0,2,0
170,0,27,0,11,0,0,1
171,1,23,1,1,0,0,0
172,0,50,1,15,0,1,1
173,0,77,0,16,0,1,1
174,0,40,0,17,1,0,1
175,0,61,1,14,1,2,0
176,0,51,1,5,0,1,0
177,0,20,0,26,0,2,1
178,1,65,0,20,0,2,0
179,0,44,0,10,1,2,1
180,0,38,1,5,0,2,0
181,0,40,1,24,0,1,0
182,0,37,0,8,0,1,0
