,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,1,35,0,2,0,2,1
1,1,23,1,1,0,1,1
2,1,35,0,1,0,2,0
3,1,26,0,5,0,1,1
4,1,26,1,1,1,1,1
5,1,74,0,1,0,2,0
6,1,22,0,1,0,1,1
7,1,35,1,1,0,1,1
8,1,22,0,1,0,1,1
9,1,35,1,12,1,2,1
10,1,26,0,1,1,2,1
11,1,35,0,4,1,2,0
12,1,70,0,1,0,2,1
13,1,53,0,13,0,2,1
14,1,35,1,2,0,2,0
15,1,26,0,2,1,2,0
16,1,53,0,1,0,1,1
17,1,26,0,1,1,0,0
18,1,35,1,2,0,2,1
19,1,26,0,2,1,2,1
20,1,35,1,5,0,1,1
21,1,35,0,1,0,2,1
22,1,35,0,1,1,2,0
23,1,23,0,1,0,2,0
24,1,26,0,1,0,1,0
25,1,46,0,1,1,0,1
26,1,22,0,2,0,2,0
27,1,22,0,1,0,1,1
28,1,68,0,1,0,2,1
29,1,20,0,1,0,1,1
30,1,22,0,1,0,2,0
31,1,26,0,1,0,1,1
32,1,26,0,1,1,1,0
33,1,35,0,1,0,2,1
34,1,37,0,1,0,1,1
35,1,26,1,5,0,1,1
36,1,26,0,1,0,0,1
37,1,35,0,1,1,2,1
38,1,35,0,2,1,2,0
39,1,35,0,1,0,2,1
40,1,22,0,1,0,2,1
41,1,53,0,1,1,2,1
42,1,25,0,1,1,2,0
43,1,26,0,1,1,2,0
44,1,35,0,2,0,2,1
45,1,26,0,1,1,2,0
46,1,26,1,2,1,2,1
47,1,26,0,1,0,2,1
48,1,68,0,1,1,2,1
49,1,35,0,1,0,2,1
50,1,22,0,1,1,2,0
51,1,26,1,1,0,1,0
52,1,48,0,1,1,2,1
53,1,62,0,1,0,2,0
54,1,36,0,0,0,2,1
55,1,35,0,1,0,1,1
56,1,35,0,1,1,2,1
57,1,35,0,1,0,2,1
58,1,53,0,2,0,1,1
59,1,26,0,1,0,2,0
60,1,22,1,1,0,2,1
61,1,35,0,1,0,0,1
62,1,26,0,2,1,1,1
63,1,35,0,13,1,1,1
64,1,26,0,2,1,2,1
65,1,22,1,0,0,2,1
66,1,22,1,1,0,2,1
67,1,26,1,2,0,1,0
68,1,35,0,2,0,1,1
69,1,26,0,1,0,2,0
70,1,74,1,1,0,2,0
71,1,35,0,2,1,0,1
72,1,35,1,7,0,2,1
73,1,35,0,7,0,2,0
74,1,35,0,2,1,2,1
75,1,26,0,1,0,2,1
76,1,26,0,2,0,2,1
77,1,26,0,1,0,2,1
78,1,22,0,31,0,2,1
79,1,53,0,0,0,2,1
80,1,35,0,1,1,1,0
81,1,26,0,1,0,2,0
82,1,26,1,1,1,2,1
83,1,35,0,1,0,1,1
84,1,35,1,1,0,2,1
85,1,35,0,1,1,2,1
86,1,53,1,1,1,0,0
87,1,73,0,1,0,2,1
88,1,35,0,1,0,2,1
89,1,26,0,1,0,1,1
90,1,22,0,28,1,1,1
91,1,44,0,7,1,0,1
92,1,35,1,1,0,1,1
93,1,35,0,13,0,0,1
94,1,22,1,1,0,2,0
95,1,22,0,7,1,0,0
96,1,77,0,22,1,1,1
97,1,26,0,2,0,1,1
98,1,42,0,2,0,0,0
99,1,48,0,1,1,1,0
100,1,44,0,1,0,1,0
101,1,22,0,4,0,2,1
102,1,26,0,1,1,2,0
103,1,22,0,9,1,2,1
104,1,40,0,1,1,1,1
105,1,49,0,5,1,0,0
106,1,35,0,2,1,2,0
107,1,35,0,1,0,2,0
108,1,35,0,1,1,1,1
109,1,35,0,2,1,2,1
110,1,22,0,1,0,2,0
111,1,26,0,1,0,0,1
112,1,22,1,7,0,1,1
113,1,73,0,1,0,2,0
114,1,35,0,1,1,2,0
115,1,26,0,1,0,1,1
116,1,35,1,1,0,2,1
117,1,26,0,2,1,2,1
118,1,36,0,1,0,1,1
119,1,66,0,1,0,1,1
120,1,26,0,1,0,2,0
121,1,35,0,2,1,1,1
122,1,26,0,1,0,1,1
123,1,53,0,1,0,0,0
124,1,53,1,1,1,2,1
125,1,35,0,7,0,2,1
126,1,73,0,1,0,2,1
127,1,26,1,2,1,2,1
128,1,35,0,1,0,2,0
129,1,35,0,5,0,1,1
130,1,26,0,1,0,1,0
131,1,26,0,1,1,2,1
132,1,26,1,1,0,2,0
133,1,26,0,30,1,2,1
134,1,26,0,33,0,0,0
135,1,26,0,1,0,1,1
136,1,26,0,0,1,2,0
137,1,26,0,1,0,2,1
138,1,26,0,1,0,1,0
139,1,22,1,1,0,2,0
140,1,35,0,2,0,2,1
141,1,53,0,0,0,1,1
