,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
735,1,24,0,0,0,0,0
5630,1,52,0,2,1,1,0
7023,1,31,1,9,1,0,1
5962,1,24,0,6,0,2,1
2077,1,53,1,0,1,1,0
865,1,25,0,0,0,0,1
191,1,32,0,13,0,0,1
1027,1,28,0,3,1,1,1
2421,1,24,0,0,1,1,0
1433,1,25,0,8,0,2,1
1727,1,31,1,1,0,2,1
2574,1,52,0,7,0,2,0
27,1,27,0,8,0,1,1
2693,1,56,0,9,1,0,0
5569,1,50,0,9,0,0,0
6281,0,52,0,0,0,2,1
6232,1,43,0,2,0,1,0
6761,1,32,0,4,0,0,0
2318,1,26,1,8,0,0,1
2505,1,25,0,2,0,1,0
6621,1,20,1,0,1,1,0
1317,1,43,0,2,0,1,0
1637,1,22,0,0,0,1,0
4228,1,39,0,13,0,0,1
1965,0,25,1,0,0,1,0
1226,1,30,1,2,1,0,1
1173,1,32,0,4,0,2,1
6085,1,29,0,0,0,1,0
6713,1,36,0,0,0,1,0
6386,1,23,0,2,1,2,1
5622,0,42,1,0,1,1,0
6411,1,47,1,0,1,1,0
6827,0,61,1,15,0,2,0
1571,0,70,0,1,0,1,0
3372,0,26,0,2,0,0,0
1419,1,22,0,1,0,2,0
7111,1,56,0,31,0,2,1
6491,1,27,0,2,1,1,0
4575,1,25,0,2,1,1,1
5943,1,37,0,4,1,2,1
4648,1,27,0,15,0,0,1
2219,1,52,0,1,1,1,1
4892,1,36,0,13,0,0,1
3097,1,26,1,0,1,2,0
3760,1,31,0,9,1,2,1
2706,1,20,0,0,1,1,1
3660,1,27,0,6,0,2,1
1648,1,24,0,1,0,1,0
4840,1,37,0,3,1,2,1
5299,1,44,1,5,0,1,0
3935,1,24,1,1,0,2,0
6948,1,31,1,6,0,1,0
1998,1,25,1,4,0,1,0
6765,1,62,0,0,1,1,0
5403,1,24,0,5,0,0,1
6472,1,32,0,1,1,0,0
868,1,39,0,13,0,0,1
5567,1,34,1,15,0,2,0
3138,1,57,0,2,0,0,0
2801,1,29,0,4,1,1,0
7026,1,57,0,28,0,0,1
5760,1,41,0,7,0,0,0
3429,0,53,1,0,1,1,0
5013,1,32,0,0,0,1,0
6707,1,59,1,0,1,1,0
5794,1,50,1,1,0,1,0
2775,1,51,0,9,0,0,1
2095,1,35,0,1,0,1,1
6908,0,27,0,2,0,2,0
5316,1,27,0,4,0,0,1
5816,1,31,0,0,1,0,0
4037,1,37,1,4,1,1,0
4645,0,24,1,0,0,2,0
6049,1,35,1,3,0,1,0
292,1,21,0,0,1,0,1
6925,1,27,0,10,0,2,0
300,1,30,0,2,0,1,0
4404,0,25,0,0,1,2,0
1122,1,43,0,9,0,2,1
4639,1,22,0,1,0,1,0
1513,1,22,1,0,0,2,1
1508,1,28,0,3,0,1,0
3636,1,22,1,0,0,1,0
5846,1,27,0,0,0,1,1
6910,1,42,1,5,0,2,0
4276,1,51,1,1,0,1,1
4591,1,25,1,2,0,2,0
1836,1,44,0,19,1,0,1
1814,1,39,0,5,0,2,0
5033,1,36,1,1,1,1,0
6488,1,27,0,5,0,0,1
5981,1,35,0,13,0,0,1
2812,0,51,1,14,0,0,0
1952,1,34,1,0,0,1,0
2917,1,30,0,7,0,0,1
4441,1,22,0,1,1,2,0
2125,1,70,1,11,0,1,1
6587,1,23,1,0,0,2,1
4388,1,33,1,0,0,1,0
3058,0,27,1,0,1,1,0
2846,1,33,1,5,1,1,1
6347,1,44,0,2,1,2,0
754,1,22,0,2,0,2,1
2510,0,45,0,2,0,1,0
387,1,35,0,2,0,2,0
5378,1,47,1,2,0,1,1
3849,1,35,0,8,0,0,0
1082,1,27,0,9,0,0,1
605,1,27,1,6,0,2,1
322,1,56,1,0,1,1,0
5661,1,30,0,14,0,0,1
4293,1,52,0,0,1,1,1
691,1,33,0,3,1,1,1
2383,0,54,0,7,0,2,0
6540,0,55,1,0,0,1,0
4685,1,27,1,2,0,2,1
3407,1,24,1,8,0,0,0
4980,0,51,1,2,0,0,1
5521,1,25,0,3,0,2,1
1369,1,44,1,0,1,1,0
5959,1,22,0,1,0,0,0
4390,1,32,0,5,0,1,0
721,1,25,1,0,0,1,1
2007,1,28,0,4,0,1,0
1198,0,37,1,1,1,1,0
4215,0,29,1,1,0,2,1
1985,1,50,1,0,1,1,1
193,1,39,1,0,0,1,1
3866,1,32,1,4,0,2,0
5308,0,21,0,0,1,2,0
2270,0,25,0,1,0,1,0
3934,1,29,0,29,0,0,1
2396,1,22,0,0,1,0,0
1390,1,36,0,0,0,0,0
3126,1,61,1,0,1,1,0
5464,1,54,0,4,0,1,0
198,0,23,0,1,1,1,0
2874,1,37,0,2,0,1,1
410,0,39,1,0,1,2,0
3338,1,20,0,2,0,0,1
6824,1,43,0,2,0,2,0
3118,1,24,1,1,0,1,0
1828,1,37,1,3,1,1,0
3194,1,59,0,3,0,1,0
4858,1,29,0,6,0,2,1
5041,1,39,1,3,1,1,1
625,1,61,0,15,0,2,1
3036,1,36,0,2,0,1,1
5977,1,30,0,2,1,1,0
3739,1,52,1,2,0,0,1
2558,0,59,0,0,1,1,0
1048,0,50,1,30,1,2,1
3209,1,23,0,7,0,0,1
3984,1,41,0,3,0,2,0
4353,1,20,0,2,0,0,1
5908,1,79,1,1,1,1,0
4516,1,39,1,0,1,1,0
1826,1,67,1,2,1,1,1
7059,1,47,0,0,1,1,0
2900,1,26,1,9,1,2,1
2964,0,30,0,3,0,2,1
3630,1,31,1,4,0,0,1
4056,1,23,0,2,1,1,1
4352,1,51,0,3,0,1,0
6480,0,52,1,23,0,2,1
4560,1,25,0,5,0,2,1
595,0,24,1,0,0,2,0
7183,0,24,0,0,0,2,1
2214,1,29,0,1,1,1,1
5844,1,38,0,5,1,1,0
703,1,40,1,1,0,1,0
201,0,37,1,0,1,1,0
3204,1,31,0,16,0,0,1
886,1,51,0,3,0,1,0
1734,1,26,1,7,0,2,1
414,1,53,0,11,0,2,0
2662,1,26,1,0,0,1,0
5401,1,28,0,6,0,1,0
1488,1,32,0,2,0,1,0
6301,1,25,1,2,0,2,0
3603,1,60,0,0,0,1,0
6062,0,55,1,0,1,1,0
5187,1,20,0,5,0,0,1
6918,1,23,0,1,1,2,0
3179,0,30,0,4,0,2,0
2930,1,25,0,0,1,1,0
872,1,40,1,0,0,1,0
720,1,21,1,0,1,1,0
6381,1,30,0,3,1,2,0
5999,0,48,1,1,0,0,0
3516,1,27,0,11,0,0,0
4021,1,49,1,0,0,1,0
6839,0,33,0,6,1,1,1
6409,1,23,0,6,0,1,1
433,1,24,1,3,0,0,1
1201,0,33,0,1,0,1,0
804,1,39,0,0,0,1,0
1938,1,20,1,0,0,2,1
3111,1,30,1,4,0,1,0
4777,1,31,1,2,0,2,0
2297,0,30,0,14,0,0,1
4724,1,32,0,7,0,0,1
3628,1,45,1,3,1,1,1
4319,1,21,0,0,0,1,0
6382,1,51,0,12,0,0,1
2087,0,27,1,2,0,1,0
6847,1,47,1,2,1,1,0
1857,1,66,1,0,1,1,0
5825,1,29,0,16,0,0,1
1146,1,35,1,0,1,1,0
1250,1,57,1,0,1,1,0
1568,1,46,0,15,0,2,1
889,0,31,1,1,0,1,1
424,1,29,1,0,1,2,1
1307,1,32,0,4,1,1,1
1004,1,35,0,17,1,2,1
266,1,27,0,4,0,1,0
6106,1,56,0,22,0,0,1
2427,1,61,0,30,0,1,0
7167,1,30,1,2,1,0,0
2186,1,38,0,37,1,2,1
4606,1,22,0,0,0,2,1
4936,0,41,0,0,1,1,0
3322,0,38,1,1,1,2,1
6746,1,21,0,0,0,0,0
2332,1,20,0,1,0,2,1
6185,1,35,0,2,0,1,0
2261,1,44,1,0,0,1,1
4592,1,28,1,2,0,2,0
3221,1,37,0,14,0,0,0
567,1,27,0,5,1,1,1
2216,1,21,1,1,0,0,0
1378,1,29,0,0,1,1,0
4628,0,23,1,4,1,0,1
6598,0,43,0,6,0,2,0
5798,1,33,0,11,0,0,1
4106,1,32,0,9,1,2,1
6667,1,34,0,6,0,1,1
1257,0,32,1,0,0,1,1
4395,1,23,0,1,0,2,0
6906,0,67,1,0,1,1,0
4258,0,27,1,3,0,1,0
5520,1,25,0,7,0,2,0
6254,1,25,0,1,0,2,1
5200,1,37,1,0,0,2,0
6958,1,21,0,5,1,2,1
5254,1,29,0,6,0,2,1
436,0,24,0,3,0,0,1
128,0,25,1,2,0,1,0
1816,1,55,1,0,1,2,0
3554,0,20,0,1,0,0,1
4153,1,49,0,11,1,2,1
1728,1,37,0,8,0,1,0
5970,1,31,1,11,0,2,1
1673,1,64,0,0,0,1,0
3091,1,56,0,6,0,1,0
4901,1,23,0,2,0,2,1
4853,1,42,0,17,0,0,1
1007,1,28,0,6,0,0,1
2379,1,50,1,0,0,1,0
2405,1,26,0,1,1,2,0
4473,1,62,0,22,0,0,1
4375,1,25,1,2,1,2,1
831,1,43,0,20,0,0,0
2251,0,42,1,0,1,1,0
3839,1,29,1,0,1,1,0
902,1,33,0,0,0,1,1
1788,1,43,1,4,1,1,0
1383,1,27,1,1,1,2,1
1210,1,21,1,1,0,1,0
339,1,28,0,3,0,2,1
4786,1,26,0,9,0,0,1
5452,0,27,1,6,0,0,0
3284,0,33,0,6,1,1,1
4210,1,36,0,4,1,1,0
3523,1,37,1,7,0,0,1
5017,1,57,0,0,0,1,1
1626,1,32,0,1,0,2,1
1426,1,41,0,0,1,1,0
4065,1,20,0,2,0,0,1
206,1,27,0,0,1,1,0
5275,1,27,0,13,0,0,1
17,1,25,0,3,0,0,0
4119,1,21,0,0,0,2,0
3250,1,68,0,1,0,1,0
3784,1,26,1,1,0,1,0
6989,1,32,0,6,0,0,1
356,1,21,1,2,0,2,0
2922,0,26,0,1,0,1,0
1405,1,22,0,3,0,0,1
1355,1,43,1,4,0,2,1
1399,1,31,0,0,0,1,0
1990,1,42,0,2,0,2,0
5901,0,43,1,0,0,1,1
921,1,46,0,0,1,1,0
5338,1,56,0,1,0,1,0
2410,0,32,0,0,0,1,0
1130,1,26,1,7,1,0,1
1724,1,34,0,27,0,0,1
1167,1,28,0,9,0,0,1
5179,1,35,0,2,0,1,0
5835,1,30,0,0,0,1,0
1753,1,24,0,2,0,1,0
303,1,33,1,1,1,1,1
3049,1,34,0,5,1,2,0
3470,1,31,1,5,0,2,1
880,1,28,0,1,0,1,0
6168,1,33,0,18,0,0,1
146,1,33,0,8,1,2,1
5083,0,51,1,1,1,1,0
2676,1,27,1,1,0,1,0
5476,1,50,1,1,0,1,0
6501,1,21,0,1,0,0,1
3350,1,35,0,2,1,2,0
3463,1,25,0,1,0,1,1
5602,0,44,1,10,0,2,1
4682,1,56,1,1,1,1,0
4762,1,64,0,13,1,2,0
3800,1,24,0,8,0,0,1
1645,1,22,0,13,0,0,1
3159,1,25,1,2,0,2,0
3505,0,27,1,0,1,2,0
5287,1,51,0,15,0,0,1
1583,1,43,1,11,0,2,1
4733,1,50,1,3,0,1,0
1428,1,43,1,1,0,1,1
1026,1,24,0,1,1,2,0
1374,1,23,0,0,0,2,1
1707,1,49,0,1,0,1,0
4269,1,61,0,13,0,1,1
2598,1,28,1,1,1,1,0
3172,1,30,0,1,1,0,0
2411,1,37,0,9,0,2,1
4270,1,26,1,2,0,1,0
304,1,58,1,2,0,1,0
4386,1,25,0,7,0,0,1
4091,1,49,0,1,0,2,0
509,0,35,0,12,1,1,0
1427,1,23,1,5,1,2,1
2012,1,25,0,4,0,2,1
1689,0,28,0,2,0,2,1
8,0,39,1,0,1,1,0
2910,0,25,1,2,0,0,0
2998,1,60,0,10,0,0,0
5963,0,52,0,3,1,1,0
4718,1,30,1,3,1,1,0
61,1,27,0,15,0,0,1
6639,1,56,1,5,1,2,0
4137,1,30,0,9,0,1,1
