,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,1,27,0,0,0,1,0
1,0,65,0,3,0,1,0
2,1,23,0,2,0,2,0
3,1,66,1,1,1,1,0
4,1,42,1,4,0,1,0
5,0,24,1,0,0,1,0
6,1,26,0,3,1,0,1
7,1,22,0,8,1,1,1
8,1,37,0,4,1,0,0
9,1,22,0,0,0,2,1
10,1,29,0,6,0,2,1
11,1,26,0,7,1,2,1
12,1,45,0,0,0,1,0
13,1,28,1,2,0,2,1
14,1,75,1,4,0,1,0
15,1,22,1,0,0,1,1
16,1,48,1,3,0,0,0
17,1,57,1,15,0,0,1
18,1,30,1,0,1,0,1
19,0,30,0,0,0,1,0
20,1,77,0,3,0,0,1
21,1,46,0,0,1,2,0
22,1,72,0,0,0,1,0
23,1,46,1,6,1,1,0
24,1,41,0,8,1,1,0
25,1,31,1,4,0,1,1
26,1,68,0,1,0,1,1
27,0,47,1,4,0,2,0
28,1,32,1,1,0,1,0
29,1,58,0,1,0,1,1
30,1,60,1,26,0,0,1
31,0,24,1,33,0,0,0
32,1,28,0,10,0,2,0
33,1,19,1,15,1,0,0
34,1,29,0,6,0,1,1
35,0,34,0,5,0,1,1
36,1,38,1,3,0,2,0
37,1,23,0,20,0,0,1
38,0,44,1,1,1,2,1
39,1,25,0,1,0,2,1
40,1,26,0,3,1,0,1
41,1,22,0,4,0,0,1
42,1,64,0,0,1,1,0
43,1,54,1,27,0,2,0
44,0,56,1,8,1,1,0
45,1,51,1,1,0,1,1
46,1,59,1,1,0,2,0
47,1,26,1,17,0,0,1
48,1,36,1,9,0,0,1
49,1,27,1,8,0,2,1
50,1,31,1,0,1,1,0
51,1,51,1,4,0,2,0
52,1,24,0,0,0,1,0
53,1,31,0,0,1,2,1
54,1,28,0,2,0,1,0
55,1,21,0,1,0,1,0
56,1,64,0,3,1,2,0
57,1,27,1,0,0,1,1
58,1,18,1,2,0,2,1
59,1,29,0,6,1,2,0
60,1,22,0,5,0,0,1
61,1,23,0,0,1,1,0
62,1,35,1,4,1,1,0
63,1,28,0,1,0,1,0
64,1,29,0,2,0,2,1
65,1,28,0,2,0,1,1
66,1,45,1,2,1,0,0
67,1,73,0,7,0,0,1
68,1,35,1,2,0,2,1
69,0,42,0,1,1,1,0
70,1,31,1,24,0,2,0
71,1,50,0,0,0,1,1
72,1,69,0,2,0,2,0
73,1,48,0,1,1,1,0
74,1,24,0,0,0,1,0
75,1,34,1,1,0,1,0
76,1,35,0,0,1,1,0
77,1,74,1,5,0,2,1
78,0,67,0,0,0,2,0
79,1,26,0,7,1,0,1
80,1,24,0,3,0,1,1
81,1,26,0,7,0,0,0
82,1,21,0,0,0,1,1
83,1,41,1,3,1,0,1
84,0,33,1,0,0,1,1
85,1,78,1,1,0,1,1
86,0,67,1,3,0,2,0
87,1,45,0,1,1,2,1
88,1,63,0,31,0,0,1
89,1,74,0,4,1,2,1
90,1,24,1,2,0,0,1
91,1,69,0,0,1,1,0
92,1,28,1,2,0,2,0
93,1,78,1,1,0,1,0
94,0,28,0,6,0,2,0
95,1,26,0,19,0,0,1
96,1,50,1,3,0,1,0
97,0,36,1,2,0,1,1
98,1,61,1,3,1,2,0
99,1,22,0,0,0,1,1
100,1,24,0,2,1,1,1
101,0,28,0,31,1,0,1
102,0,36,0,2,0,2,1
103,1,30,0,0,0,1,1
104,1,26,1,1,1,1,1
105,1,25,0,2,0,2,0
106,1,27,0,1,1,1,1
107,1,60,0,1,0,1,0
108,1,27,0,1,1,1,0
109,1,75,1,4,0,2,1
110,1,22,0,0,0,1,1
111,0,32,0,5,1,0,0
112,1,22,0,8,1,1,0
113,1,44,1,3,0,1,0
114,0,33,0,5,0,1,1
115,1,25,1,8,0,1,0
116,1,56,0,3,0,2,0
117,1,29,0,6,0,1,0
118,1,26,0,6,0,2,0
119,1,28,0,2,0,1,1
120,1,41,0,5,0,1,0
121,1,31,1,6,0,2,0
122,1,58,0,4,1,2,1
123,1,29,0,6,0,1,0
124,1,27,0,0,1,2,1
125,1,20,0,5,1,0,1
126,1,59,0,22,0,2,1
127,0,40,1,31,0,2,0
128,0,59,0,3,0,1,0
129,1,22,0,4,0,2,1
130,0,36,0,2,0,2,1
131,1,24,1,2,0,1,1
132,0,37,0,1,0,1,1
133,1,34,0,23,1,2,0
134,1,23,0,1,1,1,0
135,1,22,0,1,1,1,1
136,1,42,0,26,1,0,0
137,1,20,0,4,1,1,0
138,1,26,0,3,0,2,0
139,1,50,1,17,0,2,1
140,1,57,1,0,0,2,1
141,1,46,0,1,0,1,0
142,1,58,0,8,1,1,0
143,1,32,1,0,0,1,1
144,0,57,1,24,0,2,1
145,1,38,1,4,1,2,1
146,0,34,1,5,1,0,1
147,1,62,0,0,1,0,1
148,0,29,0,6,1,2,1
149,1,26,0,3,0,2,1
150,1,56,1,14,0,2,0
151,1,23,1,0,1,1,0
152,1,39,0,2,0,1,0
153,1,58,1,29,0,0,1
154,1,23,0,1,0,1,0
155,0,60,1,6,0,2,0
156,1,51,0,1,1,0,1
157,1,22,1,8,1,1,0
158,0,74,0,14,0,2,0
159,0,42,1,1,0,0,1
160,1,25,0,1,0,2,1
161,0,30,0,0,0,2,1
162,1,22,0,1,0,2,0
163,1,36,0,2,0,2,1
164,0,30,1,0,0,1,1
165,1,52,0,0,1,1,0
166,0,44,0,2,1,1,0
167,1,26,0,3,1,2,1
168,1,21,0,0,1,1,0
169,1,23,0,2,0,1,1
170,1,67,0,29,0,2,1
171,1,19,0,21,1,2,0
172,1,21,0,1,0,1,0
173,1,56,1,2,0,1,0
174,1,60,0,3,0,2,1
175,0,36,1,18,0,2,1
176,1,19,1,1,0,1,1
177,1,21,1,0,1,1,1
178,1,28,0,26,1,0,0
179,1,24,0,5,1,2,1
180,1,21,0,0,1,1,1
181,1,19,1,4,0,2,1
182,1,64,1,1,0,1,0
183,1,63,0,0,1,0,1
184,1,24,0,2,1,2,0
185,1,70,0,6,0,1,0
186,1,26,1,15,0,1,1
187,1,70,1,1,1,0,0
188,1,59,1,31,0,2,1
189,1,51,0,2,0,1,0
190,1,26,1,0,1,1,1
191,1,69,1,26,1,2,0
192,1,32,0,0,0,1,0
193,0,34,1,5,0,2,0
194,0,36,1,22,0,1,0
195,1,22,1,4,0,2,0
196,0,78,0,0,0,2,1
197,1,21,0,4,0,1,0
198,1,27,1,38,0,1,0
199,0,60,0,1,0,1,0
200,1,25,0,0,0,0,1
201,1,29,0,6,0,2,0
202,1,23,0,0,1,1,0
203,1,47,0,3,0,1,0
204,1,46,0,1,0,1,0
205,1,42,0,1,1,1,1
206,1,29,0,8,1,1,0
207,1,22,0,8,0,0,0
208,1,46,0,1,0,1,0
209,1,27,1,26,1,0,1
210,1,29,0,8,1,2,0
211,1,59,1,4,0,1,0
212,1,60,0,0,0,1,0
213,1,48,1,0,0,0,0
214,1,26,0,0,0,0,0
215,1,25,1,2,1,1,0
216,1,75,0,3,0,2,1
217,1,25,0,8,0,1,0
218,1,77,1,1,0,0,1
219,1,23,0,1,0,2,1
220,0,48,1,1,0,1,0
221,1,25,0,7,0,2,1
222,1,59,0,0,0,1,0
223,1,66,1,31,0,0,1
224,1,31,1,0,1,1,0
225,1,46,0,5,1,2,0
226,1,25,0,26,1,0,0
227,1,46,0,1,1,1,1
228,1,26,0,3,0,2,1
229,1,27,1,8,0,0,1
230,1,22,0,6,0,2,1
231,1,68,1,0,0,2,0
232,0,54,0,4,1,0,0
233,0,30,0,21,0,2,0
234,1,25,0,1,1,1,0
235,1,51,0,0,0,1,1
236,1,39,1,28,0,2,1
237,1,24,1,5,0,2,1
238,1,24,1,0,0,1,0
239,1,19,0,28,0,2,1
240,1,65,0,5,0,1,0
241,1,69,1,0,0,1,1
242,0,25,1,2,0,1,0
243,1,24,0,0,0,1,1
244,0,44,1,1,0,1,0
245,1,45,0,21,0,0,1
246,0,40,1,0,1,2,0
247,1,72,1,3,0,2,0
248,1,34,1,27,1,2,0
249,1,23,0,2,0,1,0
250,0,57,0,4,0,1,0
251,1,29,0,2,0,1,0
252,1,33,0,0,0,1,0
253,1,28,0,31,0,1,1
254,0,23,0,1,0,2,1
255,1,41,0,3,1,2,1
256,0,36,0,2,0,1,0
257,0,34,0,5,1,2,1
258,1,27,0,2,1,2,1
259,1,77,1,1,1,1,0
260,1,25,1,2,0,1,0
261,1,40,0,8,0,1,0
262,1,48,1,5,1,2,0
263,1,41,0,28,0,0,1
264,1,27,0,1,1,1,1
265,1,41,1,1,0,1,0
266,1,43,0,5,1,1,0
267,1,22,0,0,0,1,0
268,1,32,1,5,0,1,0
269,1,29,0,2,1,1,0
270,0,24,0,5,0,2,1
271,0,30,0,22,1,1,1
272,1,35,0,3,1,2,0
273,1,22,0,1,0,1,0
274,1,24,0,0,0,1,1
275,0,44,0,1,0,0,1
