,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,1,63,0,0,0,1,0
1,1,29,0,0,0,1,0
2,1,21,0,0,0,1,1
3,1,26,0,2,1,1,0
4,1,20,1,0,0,2,1
5,1,24,0,1,0,2,1
6,1,27,0,1,1,2,1
7,0,34,0,0,0,0,1
8,1,24,1,1,0,1,0
9,1,23,0,2,0,1,0
10,1,22,0,1,0,1,0
11,1,32,0,22,0,0,1
12,1,30,0,0,1,1,0
13,1,49,1,19,1,1,0
14,1,22,0,0,0,2,1
15,0,55,0,0,1,1,0
16,1,43,1,5,1,1,1
17,1,24,1,0,0,1,0
18,1,44,0,6,0,0,1
19,1,28,1,4,1,1,0
20,1,36,1,1,0,2,1
21,0,46,1,0,0,2,1
22,1,30,0,3,0,2,0
23,0,26,1,6,0,2,0
24,1,21,0,16,1,0,1
25,1,39,1,0,0,2,1
26,1,33,0,0,0,1,1
27,1,31,1,0,1,1,1
28,1,35,1,6,0,1,1
29,0,24,0,1,0,1,1
30,1,31,0,2,0,1,0
31,1,68,0,6,0,2,1
32,1,28,1,10,1,2,0
33,1,22,1,0,1,1,1
34,1,31,0,1,0,1,0
35,1,47,1,0,1,2,0
36,1,28,0,1,1,1,1
37,1,24,1,11,0,2,0
38,1,41,0,13,1,2,1
39,0,21,0,2,0,2,0
40,1,31,1,6,1,2,0
41,1,48,1,7,0,2,1
42,1,39,0,1,0,0,1
43,1,39,0,0,0,0,1
44,1,36,0,10,0,2,1
45,0,43,1,1,1,1,0
46,1,42,0,4,1,1,0
47,0,18,1,0,1,1,1
48,1,23,0,1,0,1,0
49,1,48,0,1,0,1,0
50,1,46,0,12,0,2,1
51,1,22,0,0,0,2,0
52,1,19,0,0,1,2,1
53,0,45,0,0,0,2,1
54,1,20,0,1,0,1,0
55,1,38,1,5,0,1,0
56,1,36,1,1,1,1,1
57,1,48,1,1,0,2,0
58,1,59,1,1,0,1,0
59,1,34,1,7,1,1,0
60,1,56,1,10,0,1,1
61,1,27,0,2,0,0,1
62,0,29,0,0,0,1,1
63,0,31,1,2,1,1,0
64,0,25,0,0,1,1,0
65,1,28,1,6,0,1,1
66,1,24,0,1,0,2,0
67,1,36,1,5,0,2,1
68,1,26,0,0,0,1,0
69,1,36,1,4,0,1,1
70,1,37,0,3,0,0,1
71,1,29,0,8,0,0,1
72,0,31,1,1,1,1,1
73,1,25,0,5,0,1,0
74,0,56,1,0,0,1,0
75,1,23,1,6,0,1,0
76,1,51,0,2,0,0,1
77,1,47,0,5,0,1,0
78,1,25,1,1,0,1,0
79,1,30,0,0,0,1,1
80,0,36,1,7,0,2,1
81,1,28,0,7,0,1,0
82,1,27,0,8,0,0,0
83,1,26,1,3,0,2,1
84,0,26,1,1,1,1,0
