,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
4671,0,42,0,0,1,2,1
1097,1,50,0,7,0,1,0
5347,1,27,1,3,1,1,0
1259,1,30,1,9,1,2,1
688,1,36,0,1,1,2,0
781,1,21,1,2,0,0,1
2940,1,25,0,1,0,1,1
3600,1,72,1,7,0,1,0
3745,1,22,0,2,1,2,1
5304,0,36,0,1,1,2,0
3469,0,25,1,0,1,1,0
4426,0,19,0,0,1,1,1
6073,0,57,1,4,0,1,0
5563,0,34,1,0,1,2,1
3773,1,29,0,1,0,0,0
2194,1,36,0,0,1,1,1
1838,0,39,0,0,0,2,1
558,1,50,0,3,1,1,0
4171,1,26,0,4,0,2,1
5815,0,29,0,0,0,1,1
4741,0,53,1,0,1,1,0
4380,0,24,0,3,1,2,1
4672,1,41,1,1,0,1,0
7140,1,25,1,5,1,0,0
3002,1,36,1,0,1,2,1
5317,0,55,0,1,1,1,0
5007,1,22,1,0,0,2,1
2227,1,62,0,1,1,2,0
3804,1,42,0,10,1,2,1
6995,1,64,0,0,1,1,0
5495,1,51,0,21,0,0,1
4301,0,54,0,6,0,1,0
5344,1,30,0,1,0,0,0
280,1,35,0,2,0,0,0
3718,1,63,1,10,0,1,1
1115,1,30,0,10,0,2,0
6559,1,28,1,1,0,1,1
4270,1,26,1,2,0,1,0
6739,0,44,0,1,1,1,0
5548,1,33,1,2,0,1,1
7180,0,61,1,1,1,1,0
620,0,23,1,3,0,0,0
6942,0,29,1,3,0,1,0
3662,1,37,1,4,1,1,1
714,1,45,0,0,1,1,0
6297,1,44,1,1,1,1,1
4113,1,27,1,1,0,1,0
3968,1,23,0,1,1,2,0
4402,0,41,1,1,1,1,0
3011,1,59,0,13,0,1,1
6456,1,46,0,0,1,1,0
3203,1,24,0,9,1,0,1
1144,1,23,1,0,0,1,1
2790,1,25,1,0,1,1,0
4414,1,22,0,0,0,1,0
4644,1,25,0,11,1,0,1
6588,1,57,1,0,0,1,0
6268,1,39,0,3,1,1,0
6426,1,34,0,0,0,1,0
1055,1,57,0,19,0,2,0
1879,1,26,0,6,0,2,0
2319,1,56,1,1,1,1,0
4916,0,30,0,8,0,2,1
2439,1,53,0,4,0,2,0
3420,1,25,0,0,0,0,1
5968,1,49,0,3,0,0,1
6337,0,28,0,0,1,1,0
5508,1,27,0,7,0,0,1
7060,1,20,0,2,0,0,1
3989,1,27,0,0,0,1,0
2233,0,39,0,7,0,1,0
3969,0,23,0,0,0,1,1
2930,1,25,0,0,1,1,0
3467,1,36,0,4,0,1,0
3108,1,34,0,12,0,2,0
5452,0,27,1,6,0,0,0
6622,1,27,0,2,0,1,0
3849,1,35,0,8,0,0,0
6787,1,28,0,1,0,1,1
3251,1,24,0,1,1,1,0
6332,1,56,1,3,1,1,0
3227,1,20,0,1,0,0,1
5557,1,21,0,0,0,1,0
1235,1,60,0,12,0,1,0
7162,1,37,0,4,0,1,0
6699,0,20,1,0,0,0,1
6573,0,46,0,4,0,2,0
4149,1,25,0,0,1,1,0
1845,1,28,0,0,1,1,1
7145,1,29,1,14,0,0,1
4841,0,43,0,0,0,2,0
5481,1,29,1,9,0,0,1
2874,1,37,0,2,0,1,1
5907,1,39,0,1,0,1,0
5023,1,25,0,8,0,0,1
7167,1,30,1,2,1,0,0
736,1,29,0,0,0,1,0
5689,0,26,0,1,0,2,0
3851,1,25,0,0,0,1,0
1399,1,31,0,0,0,1,0
2340,1,27,0,8,0,2,1
1303,1,51,1,7,0,1,1
2357,1,24,1,3,1,2,1
162,1,30,0,1,0,2,0
3592,1,34,0,0,0,1,0
3249,1,32,0,10,0,2,1
1860,1,23,1,1,0,1,1
2328,1,24,0,1,0,1,1
3281,1,41,0,0,0,2,0
3252,1,32,0,1,0,1,0
6207,1,24,1,0,1,1,0
4926,0,25,0,1,0,1,0
6476,1,31,0,3,0,1,1
6892,1,31,0,15,0,2,1
1293,1,37,0,1,0,1,0
203,0,35,0,23,0,0,1
328,1,53,1,36,0,2,1
5336,1,61,1,1,0,1,1
4707,1,21,1,0,1,1,1
5081,1,30,0,3,1,1,1
6287,0,46,1,0,0,1,0
6212,0,30,0,3,0,1,0
1304,1,44,0,0,1,1,0
1282,1,30,1,0,1,1,0
3264,1,42,0,9,0,2,1
2905,0,22,1,2,1,2,0
5200,1,37,1,0,0,2,0
3935,1,24,1,1,0,2,0
95,1,39,1,2,0,1,1
4515,1,62,0,4,0,1,0
7157,1,26,1,3,1,1,1
2200,1,40,0,1,0,1,0
4147,0,26,1,2,1,2,0
6499,1,21,0,2,0,0,1
4239,1,34,0,7,0,2,1
5315,0,24,1,0,1,2,0
2068,1,42,1,0,0,1,0
3885,1,26,1,2,0,1,1
6652,1,26,0,13,1,0,0
2746,1,26,0,9,1,0,1
5148,1,51,0,4,0,1,0
4537,0,33,0,0,0,1,0
3345,1,43,0,7,0,1,0
1210,1,21,1,1,0,1,0
