,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,25.0,5.0,16.0,5.0,4,49.0,2.0,14.0,0,1,0
1,17.0,1.0,20.0,1.0,4,49.0,1.0,16.0,1,1,0
2,19.0,1.0,19.0,5.0,1,49.0,13.0,10.0,0,1,0
3,48.0,1.0,22.0,1.0,0,49.0,0.0,40.0,0,1,1
4,37.0,7.0,18.0,4.0,1,49.0,0.0,40.0,1,1,1
5,38.0,1.0,16.0,1.0,2,49.0,0.0,60.0,1,1,1
6,26.0,1.0,22.0,1.0,-1,363.0,1.0,55.0,0,1,1
7,55.0,1.0,15.0,4.0,0,207.0,0.0,45.0,0,1,1
8,32.0,3.0,21.0,5.0,3,6.0,12.0,14.0,1,0,0
9,38.0,1.0,18.0,1.0,2,49.0,1.0,32.0,0,1,0
10,62.0,8.0,19.0,3.0,0,49.0,16.0,60.0,1,1,1
11,29.0,1.0,16.0,5.0,2,137.0,13.0,40.0,0,0,0
12,34.0,1.0,15.0,1.0,4,49.0,1.0,20.0,0,1,0
13,83.0,1.0,20.0,1.0,2,363.0,0.0,30.0,1,1,0
14,25.0,1.0,19.0,1.0,0,49.0,1.0,40.0,0,1,0
15,67.0,3.0,17.0,1.0,2,6.0,1.0,5.0,0,1,1
16,55.0,2.0,21.0,1.0,0,49.0,0.0,45.0,0,1,1
17,40.0,4.0,20.0,1.0,4,49.0,0.0,40.0,1,1,1
18,27.0,2.0,19.0,1.0,0,49.0,0.0,5.0,1,1,1
19,33.0,1.0,19.0,1.0,0,49.0,0.0,50.0,1,1,1
20,38.0,2.0,23.0,3.0,0,137.0,0.0,28.0,0,1,0
21,28.0,1.0,16.0,1.0,4,162.0,1.0,40.0,1,1,1
22,38.0,1.0,21.0,1.0,-1,515.0,1.0,40.0,1,1,1
23,17.0,2.0,18.0,1.0,0,49.0,0.0,40.0,1,1,1
24,53.0,1.0,19.0,5.0,0,49.0,2.0,19.0,0,1,0
25,75.0,3.0,15.0,1.0,3,49.0,0.0,40.0,1,1,1
26,35.0,1.0,21.0,5.0,0,49.0,12.0,20.0,1,1,0
27,55.0,1.0,21.0,3.0,2,49.0,0.0,40.0,0,1,1
28,20.0,1.0,19.0,5.0,1,34.0,2.0,40.0,1,1,0
29,37.0,1.0,20.0,5.0,0,6.0,0.0,20.0,0,1,0
30,48.0,1.0,19.0,1.0,0,501.0,0.0,40.0,1,1,1
31,19.0,7.0,22.0,1.0,0,49.0,0.0,5.0,1,0,0
32,58.0,5.0,20.0,1.0,4,49.0,1.0,40.0,1,0,1
33,32.0,2.0,16.0,1.0,2,150.0,0.0,45.0,0,1,1
34,87.0,1.0,12.0,5.0,1,512.0,17.0,40.0,0,1,0
35,32.0,1.0,20.0,3.0,4,49.0,0.0,30.0,1,1,0
36,67.0,4.0,22.0,1.0,0,49.0,0.0,20.0,0,1,1
37,21.0,1.0,16.0,1.0,3,501.0,1.0,40.0,1,1,0
38,52.0,1.0,21.0,3.0,2,49.0,0.0,40.0,1,1,1
