,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,32.0,1.0,19.0,1.0,2,49.0,0.0,20.0,1,1,0
1,34.0,1.0,19.0,1.0,0,17.0,1.0,40.0,1,1,1
2,42.0,1.0,16.0,1.0,1,49.0,1.0,40.0,0,1,1
3,70.0,1.0,19.0,1.0,0,49.0,0.0,40.0,0,1,1
4,53.0,2.0,21.0,1.0,2,49.0,0.0,43.0,0,1,1
5,69.0,1.0,21.0,5.0,2,29.0,2.0,16.0,1,1,0
6,36.0,4.0,20.0,1.0,0,49.0,1.0,20.0,0,1,0
7,26.0,1.0,21.0,5.0,0,4.0,12.0,50.0,1,1,1
8,45.0,1.0,18.0,1.0,2,49.0,1.0,35.0,0,1,0
9,33.0,1.0,21.0,5.0,2,49.0,11.0,30.0,0,1,0
10,56.0,1.0,15.0,1.0,2,39.0,1.0,50.0,0,1,1
11,19.0,2.0,20.0,5.0,1,362.0,7.0,40.0,0,1,0
12,51.0,1.0,19.0,5.0,2,6.0,0.0,40.0,1,1,1
13,35.0,7.0,19.0,1.0,0,16.0,0.0,32.0,0,1,0
14,47.0,1.0,20.0,1.0,3,6.0,1.0,40.0,1,1,1
15,36.0,1.0,16.0,1.0,1,6.0,1.0,40.0,1,1,0
16,59.0,6.0,18.0,1.0,1,49.0,0.0,40.0,0,1,1
17,25.0,1.0,19.0,5.0,1,49.0,17.0,25.0,0,1,0
18,60.0,5.0,16.0,1.0,2,49.0,1.0,40.0,1,1,1
19,57.0,2.0,16.0,3.0,2,31.0,0.0,5.0,0,1,0
20,25.0,1.0,19.0,5.0,1,49.0,2.0,16.0,1,1,0
21,59.0,1.0,9.0,1.0,2,303.0,1.0,8.0,1,0,0
22,18.0,1.0,19.0,5.0,0,32.0,12.0,8.0,0,1,0
23,30.0,3.0,21.0,5.0,0,49.0,10.0,40.0,0,1,1
24,34.0,7.0,21.0,1.0,2,36.0,1.0,40.0,1,1,1
25,41.0,1.0,5.0,4.0,3,55.0,17.0,40.0,1,1,0
26,75.0,1.0,14.0,1.0,0,49.0,0.0,20.0,1,1,0
27,20.0,1.0,16.0,5.0,0,49.0,3.0,15.0,0,1,0
28,42.0,6.0,20.0,1.0,0,49.0,0.0,40.0,1,1,1
29,44.0,1.0,20.0,3.0,0,49.0,2.0,24.0,1,1,0
30,32.0,1.0,21.0,5.0,0,49.0,0.0,50.0,0,1,1
31,57.0,1.0,22.0,1.0,0,49.0,1.0,30.0,1,1,1
32,17.0,1.0,20.0,5.0,1,49.0,10.0,30.0,0,1,0
33,48.0,1.0,21.0,1.0,0,49.0,1.0,40.0,1,1,1
34,31.0,1.0,23.0,1.0,0,205.0,0.0,55.0,0,0,0
35,58.0,1.0,21.0,1.0,-1,6.0,0.0,40.0,1,1,1
36,46.0,3.0,21.0,1.0,0,49.0,1.0,50.0,0,1,1
37,55.0,4.0,20.0,1.0,0,49.0,1.0,48.0,0,1,1
38,29.0,4.0,21.0,3.0,0,49.0,5.0,30.0,1,1,1
39,42.0,3.0,22.0,1.0,0,49.0,1.0,35.0,0,1,1
40,20.0,1.0,20.0,5.0,2,6.0,2.0,40.0,0,1,0
41,20.0,6.0,18.0,5.0,1,48.0,17.0,13.0,1,1,0
42,25.0,1.0,14.0,5.0,0,55.0,2.0,10.0,0,1,0
43,17.0,1.0,16.0,5.0,1,16.0,17.0,40.0,0,1,0
44,72.0,1.0,19.0,3.0,1,49.0,13.0,10.0,1,1,0
