,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
6729,24.0,2.0,19.0,5.0,0,49.0,0.0,20.0,1,1,0
10015,57.0,2.0,20.0,3.0,0,49.0,2.0,40.0,1,1,1
8380,30.0,2.0,24.0,5.0,0,18.0,0.0,40.0,1,1,1
14968,70.0,1.0,18.0,3.0,2,6.0,0.0,40.0,0,1,1
4368,64.0,1.0,15.0,3.0,1,49.0,13.0,40.0,1,1,1
15539,70.0,2.0,24.0,1.0,0,49.0,1.0,60.0,0,1,1
16328,55.0,1.0,17.0,1.0,-1,523.0,1.0,60.0,1,0,1
14521,42.0,3.0,16.0,3.0,4,459.0,0.0,40.0,0,0,0
16164,42.0,1.0,16.0,3.0,4,49.0,0.0,30.0,1,1,0
16227,59.0,1.0,16.0,3.0,4,51.0,2.0,46.0,1,1,0
11204,29.0,2.0,21.0,5.0,0,51.0,0.0,40.0,1,1,1
9650,46.0,1.0,21.0,5.0,0,16.0,2.0,40.0,1,1,1
7771,64.0,2.0,18.0,3.0,2,49.0,0.0,28.0,0,1,0
12771,38.0,1.0,21.0,1.0,0,4.0,0.0,50.0,1,1,1
15770,42.0,1.0,21.0,1.0,0,49.0,1.0,40.0,1,1,1
6564,32.0,7.0,19.0,1.0,0,49.0,2.0,20.0,0,1,0
12732,58.0,1.0,1.0,3.0,4,105.0,0.0,40.0,1,1,1
10051,37.0,1.0,21.0,1.0,0,49.0,1.0,10.0,0,1,0
9025,64.0,3.0,20.0,1.0,2,49.0,1.0,20.0,0,1,1
4569,38.0,1.0,20.0,1.0,2,49.0,1.0,40.0,1,0,1
5256,42.0,1.0,18.0,1.0,1,49.0,2.0,36.0,0,1,1
5272,43.0,2.0,19.0,3.0,2,1.0,5.0,40.0,0,1,1
4557,41.0,1.0,16.0,1.0,4,16.0,0.0,40.0,1,1,1
12775,66.0,1.0,21.0,1.0,0,6.0,1.0,40.0,1,1,0
9257,29.0,3.0,21.0,1.0,0,49.0,1.0,40.0,0,1,1
14273,60.0,4.0,19.0,1.0,1,49.0,1.0,40.0,1,1,1
2386,17.0,1.0,18.0,5.0,2,49.0,12.0,10.0,0,1,0
13765,42.0,1.0,19.0,3.0,1,49.0,0.0,30.0,0,1,1
14940,28.0,1.0,16.0,1.0,4,49.0,1.0,40.0,0,1,0
6055,48.0,2.0,21.0,1.0,0,49.0,1.0,20.0,0,1,0
14957,57.0,1.0,21.0,1.0,2,49.0,1.0,50.0,1,1,1
6592,56.0,6.0,16.0,1.0,3,16.0,0.0,35.0,1,1,0
2324,36.0,1.0,21.0,5.0,0,49.0,0.0,45.0,0,1,1
6397,18.0,6.0,18.0,5.0,1,2.0,2.0,5.0,0,1,0
