,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,44.0,1.0,5.0,3.0,0,38.0,4.0,49.0,0,1,0
1,73.0,1.0,20.0,5.0,1,314.0,0.0,32.0,1,1,0
2,44.0,1.0,5.0,5.0,4,36.0,3.0,26.0,1,1,1
3,69.0,1.0,23.0,5.0,4,49.0,1.0,99.0,0,1,1
4,44.0,1.0,20.0,5.0,5,360.0,0.0,40.0,0,1,0
5,58.0,2.0,17.0,1.0,0,313.0,4.0,19.0,0,1,0
6,30.0,1.0,20.0,3.0,1,34.0,0.0,3.0,1,1,1
7,21.0,1.0,20.0,3.0,1,427.0,0.0,88.0,1,1,0
8,73.0,1.0,19.0,3.0,-1,314.0,11.0,13.0,0,1,0
9,65.0,1.0,20.0,5.0,4,17.0,0.0,29.0,0,1,1
10,56.0,1.0,1.0,1.0,2,314.0,7.0,35.0,0,1,1
11,44.0,1.0,20.0,2.0,2,10.0,2.0,49.0,1,1,1
12,44.0,1.0,15.0,5.0,0,314.0,0.0,68.0,1,1,0
13,30.0,6.0,20.0,5.0,0,9.0,8.0,29.0,0,1,0
14,26.0,1.0,20.0,5.0,5,49.0,0.0,40.0,0,1,1
15,87.0,1.0,20.0,5.0,5,223.0,6.0,49.0,0,1,1
16,38.0,1.0,19.0,5.0,3,210.0,0.0,49.0,0,1,1
17,44.0,1.0,20.0,3.0,0,60.0,6.0,68.0,0,1,1
18,72.0,1.0,10.0,5.0,0,368.0,3.0,49.0,0,1,0
19,86.0,1.0,20.0,1.0,-1,213.0,0.0,49.0,0,0,1
20,44.0,1.0,20.0,1.0,4,247.0,0.0,68.0,1,1,0
21,45.0,1.0,20.0,5.0,2,50.0,17.0,68.0,0,1,1
22,41.0,1.0,20.0,5.0,0,231.0,0.0,16.0,0,1,0
23,43.0,1.0,20.0,1.0,0,515.0,2.0,35.0,1,1,0
24,44.0,1.0,2.0,1.0,5,223.0,0.0,43.0,1,1,1
25,44.0,1.0,23.0,1.0,2,126.0,0.0,3.0,1,1,1
26,73.0,1.0,20.0,3.0,2,28.0,17.0,9.0,1,1,1
27,67.0,5.0,22.0,5.0,2,523.0,0.0,47.0,1,1,0
28,19.0,1.0,19.0,3.0,2,207.0,0.0,37.0,0,1,1
29,34.0,1.0,20.0,3.0,1,126.0,0.0,1.0,0,1,1
30,26.0,1.0,20.0,3.0,5,442.0,0.0,49.0,0,1,0
31,30.0,1.0,5.0,5.0,2,228.0,0.0,88.0,1,1,0
32,26.0,1.0,19.0,3.0,4,126.0,0.0,47.0,0,1,1
33,84.0,1.0,3.0,5.0,5,126.0,0.0,49.0,0,0,1
34,73.0,1.0,3.0,5.0,2,127.0,0.0,82.0,0,1,1
35,86.0,1.0,20.0,5.0,5,442.0,3.0,96.0,1,1,1
36,44.0,1.0,3.0,4.0,2,449.0,4.0,35.0,0,1,1
