,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,27.0,6.0,20.0,3.0,4,49.0,1.0,45.0,1,1,0
1,27.0,1.0,20.0,1.0,0,49.0,0.0,45.0,1,1,0
2,27.0,1.0,16.0,1.0,2,222.0,0.0,50.0,1,1,0
3,24.0,1.0,16.0,3.0,4,49.0,0.0,20.0,1,1,0
4,58.0,1.0,16.0,3.0,2,222.0,0.0,45.0,1,1,0
5,40.0,3.0,23.0,5.0,1,222.0,0.0,45.0,1,0,0
6,27.0,1.0,20.0,3.0,4,222.0,0.0,45.0,0,1,0
7,27.0,6.0,16.0,1.0,4,49.0,0.0,60.0,0,1,1
8,40.0,1.0,16.0,5.0,-1,222.0,2.0,45.0,1,1,0
9,40.0,1.0,20.0,3.0,0,49.0,0.0,45.0,1,1,0
10,27.0,1.0,20.0,3.0,1,222.0,0.0,45.0,1,1,0
11,27.0,1.0,18.0,3.0,1,49.0,0.0,5.0,0,1,0
12,27.0,1.0,20.0,5.0,4,222.0,0.0,20.0,1,1,1
13,32.0,5.0,20.0,1.0,4,222.0,0.0,45.0,1,1,0
14,24.0,1.0,20.0,5.0,4,49.0,0.0,45.0,1,1,0
15,40.0,5.0,20.0,5.0,4,49.0,0.0,60.0,1,1,0
16,40.0,1.0,20.0,5.0,4,49.0,1.0,60.0,1,1,1
17,40.0,1.0,20.0,5.0,1,222.0,0.0,45.0,0,1,0
18,27.0,1.0,18.0,1.0,4,49.0,0.0,45.0,1,1,1
19,27.0,5.0,20.0,5.0,4,18.0,0.0,45.0,1,1,0
20,58.0,1.0,23.0,3.0,4,49.0,2.0,45.0,1,1,0
21,27.0,1.0,16.0,3.0,4,49.0,0.0,60.0,1,1,1
22,25.0,1.0,20.0,3.0,0,49.0,0.0,40.0,1,1,1
23,27.0,1.0,20.0,5.0,4,49.0,1.0,45.0,1,0,0
24,27.0,1.0,16.0,3.0,4,49.0,0.0,45.0,1,0,1
25,27.0,1.0,20.0,3.0,4,49.0,0.0,45.0,1,1,0
26,27.0,1.0,20.0,3.0,4,49.0,0.0,45.0,1,1,1
27,58.0,1.0,16.0,1.0,0,49.0,0.0,60.0,1,1,0
28,27.0,1.0,16.0,5.0,2,49.0,0.0,60.0,1,1,0
29,27.0,1.0,16.0,3.0,4,222.0,0.0,20.0,1,1,1
30,27.0,1.0,20.0,3.0,4,49.0,0.0,45.0,1,1,0
31,58.0,1.0,18.0,3.0,4,18.0,0.0,45.0,1,1,1
32,27.0,5.0,16.0,5.0,4,49.0,0.0,20.0,1,1,0
33,36.0,5.0,16.0,3.0,1,49.0,0.0,45.0,1,0,0
34,40.0,2.0,20.0,3.0,4,49.0,1.0,45.0,1,1,0
35,27.0,1.0,20.0,1.0,1,49.0,0.0,60.0,0,1,1
36,58.0,1.0,20.0,3.0,4,49.0,0.0,45.0,1,1,1
37,27.0,5.0,16.0,3.0,2,222.0,1.0,60.0,1,1,0
38,40.0,1.0,16.0,1.0,4,222.0,1.0,45.0,0,1,1
39,58.0,1.0,16.0,3.0,4,49.0,0.0,45.0,0,1,1
40,40.0,1.0,16.0,3.0,1,50.0,0.0,45.0,1,1,0
41,24.0,1.0,20.0,3.0,0,222.0,0.0,45.0,1,1,1
42,27.0,1.0,16.0,3.0,4,49.0,0.0,45.0,1,1,1
43,27.0,5.0,16.0,3.0,4,49.0,0.0,45.0,1,0,1
44,27.0,1.0,20.0,1.0,4,49.0,0.0,45.0,0,1,0
45,27.0,1.0,16.0,3.0,4,222.0,0.0,60.0,1,1,0
46,27.0,1.0,18.0,1.0,2,49.0,0.0,45.0,0,1,0
47,58.0,1.0,20.0,1.0,4,222.0,0.0,45.0,1,1,0
48,27.0,1.0,20.0,5.0,4,222.0,0.0,20.0,1,1,0
49,27.0,1.0,18.0,5.0,4,49.0,0.0,30.0,1,0,0
50,58.0,1.0,16.0,5.0,4,49.0,0.0,45.0,1,1,0
51,19.0,1.0,18.0,1.0,4,222.0,0.0,20.0,1,1,0
52,40.0,1.0,16.0,3.0,4,222.0,0.0,45.0,0,1,0
53,27.0,1.0,14.0,5.0,1,222.0,4.0,45.0,0,1,0
54,27.0,1.0,16.0,5.0,4,222.0,0.0,60.0,0,0,0
55,40.0,1.0,16.0,1.0,4,222.0,0.0,45.0,1,1,0
56,27.0,1.0,20.0,5.0,4,222.0,0.0,45.0,0,1,0
57,40.0,1.0,20.0,1.0,4,222.0,0.0,45.0,1,1,0
58,40.0,1.0,16.0,4.0,4,49.0,0.0,45.0,0,1,1
59,58.0,2.0,20.0,1.0,4,222.0,0.0,45.0,1,1,0
60,27.0,1.0,21.0,5.0,4,49.0,1.0,45.0,1,0,1
61,27.0,1.0,16.0,5.0,4,222.0,0.0,45.0,1,1,1
62,27.0,1.0,14.0,3.0,2,6.0,0.0,45.0,1,1,0
63,20.0,1.0,16.0,3.0,0,49.0,0.0,45.0,1,1,1
64,27.0,5.0,18.0,3.0,4,49.0,0.0,26.0,0,0,1
65,27.0,1.0,18.0,1.0,0,49.0,2.0,45.0,0,1,0
66,27.0,1.0,20.0,3.0,4,49.0,1.0,45.0,0,1,0
67,58.0,1.0,16.0,1.0,4,49.0,0.0,20.0,1,1,0
68,27.0,1.0,16.0,3.0,4,314.0,0.0,45.0,1,0,0
69,27.0,1.0,20.0,3.0,4,49.0,0.0,60.0,1,1,0
70,40.0,1.0,16.0,5.0,4,222.0,0.0,60.0,1,1,0
71,40.0,1.0,20.0,1.0,4,49.0,0.0,45.0,1,1,0
72,27.0,1.0,20.0,3.0,4,247.0,0.0,40.0,1,0,0
73,24.0,5.0,20.0,1.0,1,49.0,0.0,20.0,1,0,0
74,27.0,1.0,20.0,1.0,4,49.0,0.0,45.0,1,1,1
75,27.0,1.0,20.0,3.0,4,50.0,0.0,45.0,1,0,0
76,27.0,1.0,19.0,5.0,1,222.0,0.0,60.0,1,1,0
77,58.0,1.0,16.0,3.0,4,49.0,0.0,29.0,1,1,0
78,24.0,1.0,16.0,3.0,4,49.0,0.0,45.0,1,1,0
79,58.0,5.0,20.0,3.0,4,222.0,0.0,62.0,1,1,1
80,27.0,1.0,20.0,5.0,2,49.0,0.0,45.0,1,1,0
81,40.0,1.0,20.0,3.0,1,49.0,0.0,40.0,1,0,0
82,40.0,1.0,20.0,3.0,1,49.0,0.0,45.0,1,0,0
83,58.0,1.0,20.0,5.0,1,222.0,0.0,45.0,1,1,0
84,27.0,5.0,16.0,5.0,4,222.0,0.0,45.0,1,1,0
85,27.0,1.0,20.0,1.0,0,222.0,1.0,60.0,1,1,0
86,58.0,1.0,20.0,5.0,0,222.0,0.0,28.0,0,0,0
87,27.0,1.0,20.0,3.0,0,49.0,0.0,45.0,1,1,0
88,27.0,1.0,16.0,5.0,4,49.0,0.0,45.0,0,1,0
89,36.0,5.0,16.0,5.0,4,222.0,0.0,45.0,1,1,0
90,24.0,1.0,16.0,3.0,1,222.0,0.0,60.0,1,1,1
91,27.0,1.0,20.0,3.0,4,49.0,2.0,45.0,0,1,0
92,27.0,1.0,20.0,5.0,1,49.0,0.0,45.0,1,1,1
93,27.0,1.0,16.0,1.0,0,158.0,0.0,45.0,1,0,0
94,27.0,1.0,16.0,5.0,0,49.0,0.0,40.0,1,1,0
95,27.0,1.0,20.0,1.0,4,49.0,0.0,45.0,1,0,0
96,24.0,1.0,20.0,1.0,4,314.0,0.0,45.0,1,0,0
97,27.0,1.0,14.0,1.0,4,222.0,0.0,45.0,1,1,0
98,40.0,1.0,16.0,3.0,4,49.0,0.0,45.0,1,1,0
99,32.0,1.0,20.0,1.0,4,49.0,0.0,45.0,1,1,0
100,27.0,1.0,20.0,3.0,4,222.0,0.0,45.0,1,1,0
101,27.0,1.0,16.0,3.0,4,49.0,0.0,45.0,1,1,0
102,58.0,1.0,20.0,5.0,4,49.0,0.0,45.0,1,1,1
103,40.0,1.0,20.0,5.0,4,49.0,2.0,30.0,1,1,1
104,27.0,1.0,20.0,1.0,4,49.0,0.0,45.0,0,1,0
105,27.0,1.0,16.0,5.0,4,49.0,0.0,45.0,1,1,0
106,27.0,1.0,18.0,1.0,1,136.0,0.0,60.0,1,0,0
107,32.0,1.0,16.0,5.0,4,49.0,1.0,45.0,1,1,0
108,24.0,1.0,16.0,1.0,4,49.0,0.0,45.0,1,1,0
109,58.0,1.0,16.0,5.0,1,222.0,0.0,40.0,1,1,0
