,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,24.0,6.0,19.0,5.0,0,49.0,17.0,40.0,0,1,0
1,21.0,2.0,19.0,5.0,4,16.0,2.0,24.0,1,1,0
2,67.0,1.0,20.0,1.0,3,49.0,0.0,40.0,1,1,1
3,31.0,4.0,23.0,1.0,4,16.0,1.0,40.0,0,1,1
4,60.0,1.0,16.0,1.0,4,16.0,0.0,10.0,0,1,0
5,37.0,1.0,16.0,1.0,3,49.0,0.0,50.0,0,1,1
6,25.0,1.0,18.0,1.0,1,515.0,0.0,85.0,1,1,1
7,33.0,1.0,21.0,3.0,0,459.0,0.0,40.0,0,1,0
8,48.0,3.0,10.0,1.0,3,49.0,0.0,40.0,1,1,1
9,86.0,1.0,19.0,1.0,1,49.0,1.0,20.0,0,1,0
10,34.0,1.0,19.0,1.0,1,49.0,0.0,40.0,1,1,1
11,22.0,1.0,16.0,5.0,2,164.0,0.0,84.0,1,1,1
12,33.0,1.0,21.0,1.0,2,66.0,0.0,15.0,0,1,1
13,54.0,1.0,16.0,3.0,4,6.0,0.0,20.0,0,1,0
14,92.0,4.0,19.0,1.0,3,49.0,1.0,50.0,1,1,1
15,25.0,1.0,14.0,5.0,4,240.0,14.0,40.0,0,1,1
16,20.0,1.0,19.0,5.0,2,49.0,0.0,1.0,1,1,0
17,34.0,1.0,19.0,1.0,0,49.0,0.0,40.0,0,1,0
18,26.0,1.0,20.0,5.0,1,6.0,17.0,40.0,0,1,0
19,39.0,5.0,18.0,1.0,3,49.0,0.0,20.0,0,1,0
20,53.0,1.0,22.0,3.0,0,49.0,0.0,50.0,1,0,1
21,18.0,1.0,16.0,5.0,2,49.0,2.0,36.0,0,1,0
22,65.0,1.0,16.0,1.0,3,49.0,1.0,60.0,0,1,1
23,27.0,1.0,16.0,1.0,3,49.0,0.0,40.0,0,1,1
24,49.0,5.0,22.0,1.0,0,49.0,0.0,40.0,1,1,1
25,20.0,1.0,18.0,5.0,2,49.0,0.0,40.0,1,1,0
26,36.0,1.0,16.0,5.0,0,50.0,2.0,60.0,1,1,1
27,61.0,3.0,19.0,3.0,3,49.0,17.0,40.0,0,1,0
28,26.0,5.0,19.0,5.0,2,49.0,2.0,75.0,0,1,0
29,20.0,1.0,19.0,5.0,0,49.0,2.0,40.0,0,1,0
30,34.0,1.0,19.0,1.0,2,49.0,1.0,25.0,0,1,0
31,22.0,1.0,17.0,1.0,3,49.0,0.0,40.0,0,1,0
32,25.0,1.0,16.0,1.0,1,103.0,0.0,50.0,1,1,1
33,20.0,1.0,19.0,5.0,2,49.0,0.0,40.0,0,1,0
34,50.0,1.0,16.0,1.0,4,49.0,1.0,40.0,1,1,1
35,54.0,1.0,16.0,1.0,1,6.0,1.0,40.0,1,1,1
36,85.0,1.0,19.0,1.0,2,49.0,1.0,40.0,1,1,1
37,60.0,1.0,19.0,1.0,2,48.0,0.0,45.0,1,1,1
38,19.0,1.0,16.0,5.0,4,49.0,17.0,40.0,1,1,1
39,60.0,3.0,19.0,1.0,0,49.0,0.0,38.0,0,1,0
40,60.0,7.0,19.0,1.0,3,24.0,12.0,40.0,1,1,1
41,60.0,7.0,16.0,1.0,2,24.0,0.0,20.0,0,1,0
42,65.0,1.0,19.0,1.0,2,49.0,0.0,40.0,0,1,0
43,24.0,1.0,21.0,5.0,0,1.0,7.0,41.0,1,1,0
44,26.0,1.0,23.0,5.0,-1,6.0,17.0,25.0,0,1,0
45,53.0,4.0,22.0,1.0,0,136.0,0.0,5.0,1,0,0
46,22.0,1.0,21.0,5.0,0,49.0,2.0,20.0,0,1,0
47,79.0,4.0,19.0,1.0,2,49.0,0.0,50.0,1,1,1
48,26.0,1.0,19.0,5.0,3,6.0,2.0,40.0,1,1,0
49,66.0,7.0,18.0,1.0,0,49.0,1.0,56.0,0,1,1
50,53.0,4.0,18.0,5.0,2,49.0,2.0,45.0,1,0,1
51,21.0,2.0,16.0,5.0,2,49.0,14.0,40.0,0,1,0
52,29.0,1.0,21.0,5.0,3,149.0,2.0,60.0,1,1,1
53,52.0,1.0,18.0,1.0,4,49.0,0.0,40.0,1,1,1
54,32.0,1.0,21.0,1.0,0,49.0,0.0,96.0,0,1,0
55,18.0,1.0,16.0,5.0,1,49.0,17.0,45.0,0,1,0
56,45.0,2.0,19.0,1.0,2,303.0,0.0,40.0,0,1,0
57,43.0,1.0,16.0,1.0,3,49.0,0.0,30.0,1,1,1
58,26.0,1.0,20.0,2.0,0,49.0,0.0,53.0,0,1,0
59,38.0,1.0,21.0,5.0,0,49.0,17.0,33.0,0,1,0
60,25.0,3.0,22.0,5.0,0,49.0,2.0,30.0,0,1,0
61,79.0,4.0,21.0,1.0,0,49.0,1.0,96.0,1,1,1
62,49.0,5.0,8.0,3.0,3,49.0,12.0,45.0,0,0,1
63,71.0,6.0,4.0,1.0,3,49.0,1.0,30.0,1,1,0
64,80.0,1.0,23.0,1.0,0,33.0,0.0,40.0,0,1,1
65,28.0,1.0,21.0,5.0,0,32.0,17.0,45.0,1,1,1
66,43.0,7.0,21.0,1.0,0,49.0,0.0,10.0,1,1,0
67,30.0,1.0,20.0,5.0,0,49.0,2.0,40.0,0,1,0
68,39.0,7.0,14.0,3.0,1,49.0,0.0,40.0,0,1,0
69,19.0,1.0,19.0,5.0,2,49.0,0.0,40.0,1,1,0
70,24.0,1.0,21.0,5.0,1,2.0,4.0,30.0,0,1,0
71,30.0,1.0,18.0,3.0,4,49.0,0.0,45.0,1,1,1
72,38.0,1.0,21.0,3.0,0,49.0,0.0,40.0,0,1,0
73,60.0,1.0,3.0,1.0,4,16.0,1.0,16.0,1,1,1
74,85.0,4.0,16.0,1.0,4,49.0,1.0,40.0,0,1,0
75,38.0,1.0,21.0,5.0,0,224.0,2.0,45.0,1,1,1
76,29.0,1.0,21.0,1.0,2,9.0,1.0,36.0,1,1,0
77,83.0,1.0,16.0,1.0,0,20.0,0.0,21.0,1,1,0
78,36.0,1.0,21.0,5.0,2,147.0,2.0,40.0,1,1,1
79,68.0,5.0,19.0,3.0,0,49.0,0.0,17.0,0,1,0
80,39.0,5.0,21.0,1.0,0,49.0,0.0,25.0,0,1,0
81,92.0,1.0,18.0,3.0,0,49.0,0.0,40.0,1,1,0
82,43.0,2.0,16.0,1.0,3,49.0,0.0,12.0,1,1,1
83,32.0,8.0,21.0,1.0,0,32.0,1.0,40.0,1,1,1
84,26.0,1.0,20.0,1.0,0,49.0,0.0,10.0,0,1,0
85,84.0,7.0,22.0,1.0,0,48.0,1.0,24.0,0,1,0
86,42.0,5.0,20.0,1.0,1,49.0,1.0,44.0,1,1,1
87,69.0,1.0,19.0,1.0,0,49.0,1.0,40.0,0,1,1
88,65.0,1.0,19.0,1.0,1,49.0,1.0,40.0,0,1,1
89,18.0,1.0,16.0,5.0,2,49.0,12.0,20.0,0,1,0
90,48.0,4.0,21.0,1.0,0,49.0,12.0,40.0,0,1,1
91,85.0,1.0,16.0,3.0,2,49.0,0.0,30.0,1,1,0
92,78.0,1.0,3.0,1.0,4,49.0,0.0,40.0,1,1,1
93,20.0,1.0,19.0,5.0,4,49.0,2.0,47.0,0,1,0
94,48.0,1.0,21.0,1.0,2,49.0,1.0,45.0,1,0,1
95,28.0,7.0,21.0,1.0,1,32.0,0.0,60.0,0,1,1
96,45.0,4.0,15.0,1.0,1,149.0,0.0,40.0,1,1,1
97,21.0,1.0,19.0,2.0,2,4.0,9.0,40.0,1,1,0
98,21.0,1.0,19.0,5.0,2,24.0,0.0,30.0,0,0,0
99,17.0,4.0,19.0,5.0,1,49.0,0.0,35.0,0,1,0
100,59.0,1.0,23.0,1.0,0,4.0,0.0,50.0,1,1,1
101,50.0,1.0,19.0,1.0,-1,49.0,0.0,40.0,1,1,1
102,21.0,1.0,19.0,5.0,0,6.0,2.0,25.0,0,1,0
103,37.0,1.0,19.0,3.0,0,49.0,12.0,40.0,1,1,1
104,53.0,5.0,22.0,5.0,0,6.0,8.0,40.0,0,1,1
105,75.0,1.0,19.0,1.0,2,49.0,12.0,40.0,0,1,0
106,42.0,1.0,19.0,1.0,0,6.0,1.0,60.0,0,1,1
107,47.0,1.0,19.0,1.0,3,32.0,1.0,40.0,1,1,0
108,23.0,1.0,16.0,5.0,1,49.0,13.0,30.0,0,1,0
109,61.0,1.0,16.0,1.0,2,163.0,1.0,40.0,0,1,1
110,32.0,4.0,23.0,5.0,0,6.0,8.0,50.0,0,1,0
111,80.0,1.0,23.0,1.0,0,15.0,0.0,40.0,0,1,1
112,18.0,1.0,21.0,5.0,0,49.0,0.0,40.0,0,0,0
113,56.0,1.0,23.0,1.0,-1,1.0,0.0,40.0,1,1,1
114,18.0,1.0,16.0,5.0,3,49.0,2.0,20.0,0,1,0
115,39.0,1.0,18.0,3.0,0,49.0,0.0,40.0,0,1,1
116,60.0,3.0,19.0,1.0,2,48.0,9.0,20.0,1,1,0
117,77.0,1.0,19.0,1.0,1,139.0,1.0,60.0,1,1,1
118,32.0,1.0,18.0,1.0,4,11.0,0.0,40.0,1,1,1
119,40.0,1.0,20.0,1.0,3,49.0,1.0,25.0,0,1,0
120,88.0,1.0,21.0,1.0,0,49.0,2.0,30.0,0,1,0
121,35.0,4.0,18.0,1.0,2,48.0,0.0,40.0,1,1,1
122,34.0,1.0,20.0,1.0,0,48.0,0.0,20.0,0,1,0
123,25.0,3.0,20.0,1.0,0,34.0,1.0,22.0,1,1,0
124,21.0,1.0,20.0,1.0,0,24.0,1.0,40.0,1,0,0
125,40.0,1.0,19.0,5.0,2,4.0,17.0,60.0,0,1,1
126,19.0,1.0,16.0,5.0,0,49.0,2.0,7.0,0,1,0
127,55.0,7.0,16.0,1.0,4,49.0,1.0,51.0,1,1,1
128,47.0,1.0,21.0,1.0,0,49.0,0.0,20.0,1,1,0
129,49.0,5.0,19.0,1.0,1,136.0,1.0,57.0,0,0,0
130,29.0,1.0,21.0,1.0,2,126.0,1.0,15.0,0,1,0
131,28.0,1.0,21.0,5.0,3,49.0,2.0,21.0,1,1,0
132,20.0,8.0,19.0,5.0,2,49.0,17.0,15.0,1,1,0
133,37.0,1.0,18.0,5.0,0,6.0,2.0,40.0,1,1,0
134,58.0,3.0,19.0,5.0,0,49.0,9.0,20.0,0,0,1
135,23.0,1.0,19.0,4.0,4,49.0,4.0,9.0,0,1,0
136,60.0,1.0,5.0,1.0,0,49.0,0.0,40.0,0,1,0
137,23.0,3.0,21.0,1.0,4,49.0,0.0,40.0,1,1,1
138,35.0,4.0,22.0,1.0,0,44.0,1.0,40.0,1,1,1
139,24.0,1.0,19.0,5.0,4,49.0,12.0,30.0,1,1,0
140,47.0,1.0,16.0,1.0,0,49.0,1.0,40.0,0,1,0
141,60.0,1.0,19.0,1.0,2,49.0,1.0,58.0,1,1,0
142,84.0,1.0,21.0,1.0,0,49.0,0.0,37.0,1,0,1
143,39.0,2.0,14.0,3.0,1,49.0,0.0,45.0,0,1,0
144,37.0,1.0,19.0,1.0,0,49.0,1.0,50.0,1,1,1
145,22.0,1.0,19.0,4.0,1,49.0,2.0,37.0,1,1,0
146,31.0,1.0,16.0,1.0,2,16.0,0.0,40.0,1,1,1
147,38.0,3.0,21.0,1.0,0,49.0,1.0,40.0,1,1,1
148,17.0,4.0,8.0,5.0,4,49.0,2.0,23.0,0,1,0
149,66.0,7.0,16.0,1.0,4,49.0,0.0,45.0,1,1,1
150,33.0,1.0,21.0,3.0,0,49.0,2.0,45.0,0,1,1
151,38.0,3.0,21.0,1.0,3,39.0,0.0,10.0,1,1,0
152,58.0,3.0,19.0,1.0,1,49.0,0.0,40.0,0,1,1
153,74.0,1.0,16.0,1.0,1,49.0,0.0,40.0,0,1,0
154,20.0,1.0,18.0,5.0,1,16.0,12.0,20.0,0,1,0
155,52.0,1.0,16.0,1.0,0,6.0,0.0,25.0,1,0,0
156,47.0,1.0,3.0,1.0,0,49.0,1.0,40.0,1,1,1
157,23.0,1.0,16.0,5.0,4,49.0,0.0,40.0,1,1,0
158,71.0,5.0,4.0,1.0,0,49.0,0.0,20.0,1,1,0
159,47.0,1.0,21.0,1.0,0,49.0,0.0,10.0,1,0,1
160,42.0,1.0,16.0,1.0,0,49.0,1.0,84.0,0,1,1
161,24.0,1.0,14.0,5.0,1,38.0,15.0,45.0,0,1,0
162,32.0,4.0,18.0,5.0,3,49.0,10.0,8.0,1,1,1
163,79.0,2.0,18.0,5.0,0,49.0,0.0,45.0,1,1,1
164,84.0,1.0,10.0,5.0,0,49.0,2.0,82.0,0,1,0
165,38.0,1.0,22.0,1.0,0,49.0,0.0,50.0,0,1,1
166,42.0,1.0,16.0,1.0,4,49.0,13.0,21.0,1,1,0
167,19.0,1.0,19.0,5.0,1,49.0,0.0,40.0,1,0,1
168,79.0,6.0,19.0,1.0,2,6.0,0.0,72.0,1,1,0
169,21.0,1.0,20.0,5.0,2,49.0,2.0,40.0,0,1,0
170,38.0,1.0,21.0,1.0,0,20.0,1.0,40.0,1,1,1
171,66.0,1.0,22.0,5.0,0,49.0,2.0,40.0,1,1,1
172,79.0,1.0,18.0,1.0,3,303.0,0.0,40.0,1,1,1
173,51.0,6.0,20.0,1.0,1,49.0,0.0,40.0,0,1,1
174,75.0,6.0,16.0,3.0,4,20.0,0.0,44.0,1,1,1
175,43.0,7.0,21.0,1.0,0,49.0,0.0,62.0,1,1,0
176,61.0,6.0,16.0,1.0,3,365.0,0.0,25.0,0,1,0
177,29.0,1.0,18.0,1.0,3,363.0,0.0,58.0,1,1,1
178,56.0,2.0,14.0,1.0,1,29.0,1.0,60.0,1,1,1
179,20.0,1.0,20.0,3.0,3,16.0,0.0,30.0,1,1,0
180,84.0,7.0,16.0,1.0,1,4.0,0.0,40.0,1,1,0
181,54.0,1.0,16.0,1.0,2,149.0,1.0,40.0,0,1,0
182,66.0,2.0,9.0,3.0,0,49.0,0.0,40.0,1,1,1
183,54.0,2.0,16.0,1.0,0,515.0,0.0,15.0,0,1,0
184,37.0,1.0,20.0,1.0,2,49.0,9.0,50.0,1,1,1
185,29.0,1.0,16.0,5.0,0,5.0,0.0,96.0,1,1,0
186,23.0,1.0,16.0,5.0,0,48.0,0.0,40.0,0,1,1
187,52.0,1.0,16.0,1.0,0,24.0,1.0,45.0,1,1,1
188,49.0,7.0,4.0,5.0,2,49.0,2.0,1.0,1,0,1
189,61.0,1.0,18.0,3.0,3,46.0,0.0,1.0,0,1,1
190,48.0,1.0,18.0,1.0,4,49.0,0.0,40.0,0,1,1
191,19.0,1.0,16.0,5.0,2,49.0,0.0,40.0,0,0,1
192,84.0,1.0,21.0,5.0,0,49.0,2.0,45.0,1,1,1
193,22.0,1.0,19.0,5.0,1,48.0,2.0,10.0,0,1,0
194,36.0,6.0,21.0,5.0,0,41.0,17.0,40.0,1,1,1
195,23.0,1.0,21.0,1.0,0,48.0,1.0,40.0,1,1,0
196,22.0,1.0,16.0,1.0,1,49.0,0.0,10.0,0,1,0
197,45.0,1.0,18.0,1.0,0,49.0,0.0,40.0,0,1,1
198,29.0,1.0,18.0,3.0,4,554.0,0.0,40.0,1,1,1
199,69.0,4.0,23.0,3.0,0,139.0,0.0,50.0,1,1,0
200,64.0,1.0,22.0,1.0,0,49.0,1.0,45.0,1,1,1
201,58.0,7.0,9.0,1.0,3,226.0,1.0,40.0,1,1,1
202,46.0,1.0,22.0,1.0,0,32.0,0.0,50.0,1,1,1
203,76.0,1.0,19.0,1.0,1,49.0,1.0,35.0,1,1,1
204,25.0,1.0,18.0,1.0,2,49.0,1.0,39.0,1,1,0
205,26.0,1.0,19.0,2.0,3,49.0,0.0,35.0,1,1,0
206,61.0,1.0,16.0,5.0,2,49.0,2.0,30.0,0,1,0
