,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,53.0,1.0,18.0,5.0,0,49.0,0.0,17.0,1,1,1
1,55.0,1.0,1.0,1.0,2,49.0,0.0,45.0,1,1,1
2,20.0,1.0,16.0,5.0,3,34.0,3.0,24.0,1,1,0
3,41.0,1.0,21.0,2.0,0,49.0,0.0,52.0,1,1,0
4,63.0,4.0,19.0,1.0,2,48.0,1.0,20.0,0,1,0
5,26.0,2.0,19.0,1.0,0,39.0,1.0,40.0,1,1,1
6,55.0,1.0,21.0,3.0,2,49.0,0.0,45.0,1,1,1
7,60.0,1.0,18.0,1.0,2,49.0,1.0,36.0,0,1,0
8,51.0,1.0,21.0,1.0,0,40.0,1.0,40.0,1,1,1
9,65.0,1.0,12.0,5.0,2,15.0,17.0,60.0,0,1,1
10,37.0,1.0,21.0,1.0,2,49.0,0.0,50.0,1,0,1
11,26.0,5.0,22.0,3.0,0,49.0,0.0,45.0,0,1,0
12,40.0,6.0,21.0,3.0,3,49.0,0.0,40.0,1,1,1
13,46.0,1.0,22.0,1.0,-1,18.0,0.0,42.0,1,1,1
14,23.0,1.0,19.0,5.0,3,6.0,2.0,40.0,0,1,0
15,30.0,1.0,21.0,1.0,0,16.0,1.0,10.0,1,1,0
16,34.0,1.0,18.0,1.0,2,49.0,0.0,29.0,0,0,0
17,42.0,2.0,20.0,1.0,0,49.0,1.0,30.0,1,1,0
18,24.0,4.0,20.0,5.0,3,48.0,15.0,24.0,1,1,0
19,22.0,4.0,16.0,5.0,1,512.0,17.0,44.0,1,0,0
20,32.0,1.0,16.0,1.0,4,49.0,0.0,40.0,1,1,1
21,22.0,3.0,19.0,5.0,1,49.0,2.0,20.0,0,1,0
22,42.0,1.0,21.0,1.0,2,16.0,0.0,40.0,0,1,0
23,24.0,1.0,20.0,1.0,4,49.0,0.0,40.0,1,1,1
24,17.0,1.0,14.0,1.0,1,49.0,2.0,45.0,1,1,1
25,59.0,2.0,20.0,1.0,0,16.0,0.0,40.0,0,1,0
26,42.0,1.0,18.0,1.0,2,12.0,0.0,50.0,1,1,1
