,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
3091,53.0,1.0,16.0,1.0,4,150.0,1.0,40.0,0,1,0
2067,23.0,2.0,21.0,1.0,0,301.0,5.0,20.0,0,1,0
12333,37.0,1.0,23.0,1.0,0,17.0,1.0,40.0,0,1,1
7705,26.0,1.0,14.0,1.0,4,6.0,1.0,40.0,1,1,0
5704,34.0,1.0,16.0,1.0,2,49.0,2.0,40.0,1,1,0
13722,43.0,1.0,18.0,1.0,1,6.0,0.0,32.0,0,1,0
8530,23.0,1.0,19.0,1.0,1,49.0,0.0,30.0,0,1,0
13266,27.0,5.0,21.0,1.0,0,2.0,2.0,40.0,1,1,0
625,20.0,1.0,18.0,5.0,2,49.0,17.0,30.0,0,1,0
11620,56.0,3.0,21.0,1.0,0,6.0,1.0,22.0,0,1,0
15550,56.0,1.0,16.0,5.0,3,30.0,0.0,40.0,1,1,1
7044,38.0,1.0,22.0,1.0,0,49.0,0.0,40.0,1,1,1
12423,64.0,7.0,22.0,1.0,0,49.0,0.0,50.0,1,1,1
15667,38.0,7.0,19.0,1.0,4,17.0,1.0,40.0,1,1,1
4394,20.0,1.0,16.0,1.0,2,49.0,9.0,30.0,0,1,0
8349,25.0,1.0,20.0,5.0,0,49.0,0.0,24.0,1,1,0
6202,40.0,2.0,21.0,1.0,0,6.0,1.0,40.0,0,1,1
8997,62.0,1.0,20.0,2.0,3,49.0,0.0,40.0,1,1,1
11930,22.0,1.0,16.0,5.0,4,49.0,5.0,20.0,1,1,0
14787,59.0,6.0,20.0,1.0,3,53.0,0.0,55.0,1,1,1
4040,41.0,1.0,12.0,1.0,3,303.0,0.0,40.0,1,1,1
11553,43.0,1.0,20.0,1.0,4,49.0,0.0,50.0,1,1,1
8118,47.0,4.0,20.0,1.0,0,49.0,0.0,20.0,0,1,0
3186,42.0,1.0,21.0,1.0,3,49.0,0.0,20.0,1,1,0
2618,21.0,1.0,19.0,1.0,1,49.0,1.0,25.0,0,1,0
4590,28.0,1.0,20.0,1.0,2,15.0,0.0,22.0,0,0,0
12721,66.0,1.0,16.0,3.0,2,49.0,0.0,40.0,1,1,1
4882,21.0,1.0,20.0,1.0,2,49.0,9.0,30.0,1,1,0
311,23.0,2.0,19.0,5.0,2,48.0,17.0,40.0,1,1,0
13089,48.0,2.0,24.0,1.0,0,48.0,1.0,40.0,1,1,1
13656,59.0,4.0,22.0,1.0,0,49.0,1.0,45.0,1,1,1
5204,45.0,2.0,20.0,5.0,0,49.0,0.0,40.0,0,1,0
15754,17.0,8.0,14.0,5.0,1,49.0,2.0,5.0,1,1,0
11665,70.0,1.0,16.0,1.0,2,49.0,1.0,30.0,1,1,1
12528,17.0,1.0,14.0,5.0,1,49.0,2.0,10.0,1,1,0
859,30.0,1.0,14.0,1.0,4,16.0,4.0,40.0,1,1,0
6341,19.0,1.0,19.0,5.0,1,41.0,2.0,40.0,0,1,0
15436,28.0,1.0,20.0,1.0,0,301.0,0.0,50.0,1,1,1
6332,30.0,6.0,21.0,1.0,1,6.0,1.0,50.0,1,1,0
8478,34.0,1.0,19.0,5.0,1,49.0,13.0,50.0,0,1,1
4942,23.0,1.0,20.0,1.0,0,49.0,0.0,29.0,0,1,0
15423,36.0,1.0,16.0,1.0,3,6.0,0.0,40.0,1,1,1
13506,38.0,2.0,20.0,3.0,0,49.0,10.0,40.0,0,1,1
8365,25.0,1.0,19.0,1.0,0,4.0,1.0,20.0,1,1,0
8924,32.0,1.0,18.0,5.0,1,49.0,0.0,20.0,0,1,0
5437,28.0,2.0,20.0,3.0,2,49.0,2.0,29.0,1,1,0
8589,62.0,1.0,14.0,1.0,4,49.0,1.0,56.0,1,1,1
6656,62.0,1.0,17.0,3.0,2,53.0,0.0,40.0,0,1,0
5791,35.0,1.0,19.0,5.0,0,25.0,12.0,40.0,1,1,1
10268,47.0,3.0,23.0,1.0,0,49.0,0.0,25.0,0,1,1
15808,31.0,1.0,21.0,1.0,0,6.0,0.0,50.0,1,0,1
13262,52.0,1.0,19.0,1.0,4,49.0,1.0,40.0,0,1,1
7537,54.0,1.0,20.0,1.0,3,49.0,1.0,45.0,1,1,1
8918,53.0,4.0,21.0,5.0,0,49.0,13.0,40.0,1,1,1
9814,27.0,2.0,14.0,1.0,1,49.0,0.0,30.0,0,1,0
9745,27.0,1.0,19.0,5.0,2,32.0,13.0,36.0,1,1,0
13363,52.0,1.0,1.0,1.0,3,303.0,1.0,40.0,1,1,0
8619,62.0,3.0,16.0,1.0,2,49.0,1.0,40.0,0,1,0
7335,29.0,1.0,20.0,5.0,0,49.0,13.0,37.0,0,1,0
11992,59.0,6.0,20.0,1.0,3,49.0,1.0,50.0,1,0,1
10686,48.0,5.0,21.0,3.0,0,42.0,0.0,40.0,0,1,1
6627,44.0,1.0,1.0,3.0,3,303.0,13.0,50.0,1,0,0
