,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,36.0,1.0,19.0,3.0,6200.0,49.0,16.0,50.0,1.0,1.0,1
1,21.0,1.0,18.0,5.0,5860.0,1.0,17.0,12.0,2.0,1.0,0
2,20.0,1.0,18.0,5.0,4110.0,49.0,17.0,20.0,1.0,1.0,0
3,21.0,1.0,18.0,5.0,3421.0,32.0,17.0,20.0,2.0,1.0,0
4,21.0,5.0,19.0,5.0,9825.0,6.0,17.0,40.0,1.0,1.0,0
5,32.0,1.0,17.0,1.0,4010.0,42.0,16.0,40.0,1.0,1.0,0
6,20.0,2.0,18.0,5.0,4220.0,49.0,17.0,18.0,1.0,1.0,0
7,23.0,1.0,20.0,1.0,1970.0,49.0,17.0,36.0,1.0,1.0,0
8,20.0,5.0,19.0,5.0,9825.0,27.0,17.0,40.0,1.0,1.0,0
9,51.0,1.0,9.0,5.0,8710.0,49.0,17.0,20.0,2.0,1.0,0
10,21.0,1.0,18.0,5.0,4840.0,49.0,17.0,30.0,1.0,1.0,1
11,23.0,1.0,19.0,5.0,4055.0,6.0,17.0,24.0,1.0,9.0,0
12,26.0,1.0,19.0,1.0,2300.0,6.0,17.0,30.0,2.0,1.0,0
13,20.0,1.0,18.0,5.0,3603.0,49.0,17.0,30.0,2.0,6.0,0
14,28.0,1.0,19.0,5.0,6260.0,6.0,16.0,40.0,1.0,1.0,0
15,22.0,1.0,19.0,1.0,4220.0,49.0,17.0,40.0,1.0,7.0,0
16,25.0,1.0,21.0,5.0,2001.0,53.0,17.0,40.0,2.0,1.0,0
17,20.0,1.0,19.0,5.0,3960.0,49.0,17.0,20.0,2.0,1.0,0
18,23.0,1.0,20.0,1.0,4700.0,49.0,17.0,18.0,1.0,1.0,0
19,21.0,1.0,11.0,5.0,6200.0,49.0,16.0,60.0,1.0,1.0,1
20,25.0,1.0,21.0,3.0,650.0,12.0,17.0,40.0,1.0,1.0,1
21,19.0,1.0,18.0,5.0,3603.0,217.0,17.0,15.0,2.0,6.0,0
22,19.0,1.0,18.0,5.0,4720.0,6.0,17.0,18.0,2.0,2.0,0
23,63.0,1.0,16.0,1.0,9620.0,303.0,17.0,30.0,1.0,1.0,0
24,65.0,1.0,16.0,1.0,4020.0,229.0,17.0,35.0,1.0,6.0,0
25,21.0,1.0,18.0,5.0,3421.0,32.0,17.0,20.0,2.0,1.0,0
26,62.0,1.0,16.0,3.0,8710.0,47.0,17.0,20.0,2.0,1.0,1
27,21.0,4.0,19.0,5.0,1108.0,53.0,17.0,25.0,2.0,1.0,0
28,67.0,2.0,22.0,5.0,2040.0,4.0,17.0,50.0,1.0,1.0,1
29,21.0,1.0,19.0,5.0,4920.0,6.0,17.0,20.0,1.0,1.0,0
30,27.0,2.0,17.0,5.0,8740.0,132.0,16.0,20.0,1.0,1.0,0
31,38.0,1.0,16.0,3.0,9620.0,49.0,16.0,45.0,1.0,1.0,0
32,19.0,1.0,14.0,5.0,4010.0,49.0,16.0,40.0,2.0,1.0,0
33,26.0,1.0,19.0,5.0,2600.0,4.0,17.0,20.0,1.0,6.0,0
34,25.0,1.0,21.0,1.0,5240.0,35.0,17.0,40.0,2.0,1.0,1
35,65.0,4.0,18.0,5.0,7750.0,47.0,17.0,30.0,1.0,1.0,0
36,21.0,2.0,19.0,5.0,2205.0,49.0,17.0,15.0,1.0,1.0,0
37,18.0,4.0,19.0,5.0,5360.0,49.0,17.0,6.0,1.0,1.0,0
38,27.0,1.0,19.0,5.0,6800.0,32.0,17.0,18.0,1.0,1.0,0
39,24.0,1.0,19.0,5.0,6305.0,49.0,17.0,50.0,1.0,1.0,0
40,62.0,1.0,16.0,3.0,8710.0,47.0,17.0,20.0,2.0,1.0,1
41,25.0,1.0,14.0,5.0,8710.0,49.0,16.0,46.0,1.0,1.0,0
42,32.0,5.0,21.0,5.0,6835.0,39.0,17.0,40.0,1.0,1.0,0
43,18.0,1.0,18.0,5.0,8255.0,49.0,17.0,15.0,2.0,1.0,0
44,19.0,1.0,19.0,5.0,9620.0,49.0,17.0,25.0,1.0,1.0,0
45,18.0,1.0,18.0,5.0,4020.0,49.0,17.0,20.0,2.0,1.0,0
