,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,41.0,7.0,20.0,1.0,3,49.0,1.0,40.0,1,1,1
1,50.0,1.0,21.0,1.0,0,49.0,0.0,40.0,1,1,1
2,44.0,1.0,16.0,1.0,-1,49.0,0.0,40.0,0,1,1
3,28.0,5.0,18.0,1.0,2,53.0,0.0,50.0,1,1,1
4,41.0,7.0,20.0,1.0,1,49.0,1.0,30.0,1,1,0
5,50.0,1.0,16.0,3.0,1,48.0,0.0,40.0,1,1,1
6,51.0,1.0,17.0,1.0,0,440.0,0.0,40.0,1,1,1
7,40.0,1.0,19.0,5.0,2,49.0,2.0,18.0,0,1,0
8,56.0,1.0,21.0,1.0,0,6.0,0.0,24.0,0,1,1
9,51.0,3.0,21.0,1.0,0,49.0,0.0,40.0,0,1,0
10,36.0,1.0,21.0,3.0,0,49.0,0.0,42.0,0,1,1
11,56.0,3.0,21.0,3.0,3,49.0,0.0,9.0,1,1,1
12,29.0,1.0,20.0,3.0,3,49.0,3.0,22.0,1,1,1
13,24.0,1.0,19.0,1.0,2,22.0,0.0,30.0,1,0,0
14,52.0,6.0,21.0,1.0,0,49.0,0.0,40.0,1,1,1
15,60.0,3.0,21.0,1.0,0,231.0,0.0,57.0,1,1,1
16,17.0,3.0,18.0,1.0,2,49.0,0.0,25.0,0,1,0
17,53.0,2.0,22.0,1.0,0,49.0,0.0,50.0,1,1,1
18,32.0,1.0,20.0,5.0,2,41.0,17.0,40.0,0,1,0
19,41.0,3.0,21.0,1.0,0,49.0,0.0,9.0,0,1,1
20,17.0,1.0,16.0,1.0,3,451.0,0.0,40.0,1,0,0
21,18.0,1.0,18.0,3.0,2,303.0,0.0,40.0,0,1,0
22,36.0,1.0,16.0,1.0,1,49.0,0.0,19.0,0,1,0
23,17.0,3.0,7.0,1.0,4,32.0,0.0,40.0,0,1,1
24,27.0,7.0,16.0,1.0,3,49.0,1.0,17.0,1,0,0
25,61.0,3.0,21.0,1.0,3,30.0,1.0,40.0,1,1,1
26,62.0,1.0,16.0,1.0,4,48.0,1.0,40.0,1,1,1
27,17.0,1.0,14.0,5.0,2,4.0,13.0,40.0,0,1,0
28,33.0,3.0,19.0,1.0,0,238.0,1.0,22.0,1,1,1
29,18.0,1.0,16.0,5.0,0,49.0,2.0,40.0,1,1,0
30,27.0,1.0,16.0,1.0,0,49.0,1.0,40.0,1,1,1
31,59.0,2.0,21.0,3.0,0,49.0,0.0,40.0,1,1,1
32,29.0,1.0,19.0,1.0,2,49.0,0.0,40.0,0,1,0
33,30.0,6.0,22.0,1.0,0,49.0,1.0,60.0,1,1,1
34,42.0,1.0,18.0,1.0,0,49.0,1.0,20.0,0,1,1
35,23.0,1.0,22.0,1.0,0,49.0,0.0,35.0,0,1,0
36,31.0,7.0,16.0,5.0,0,49.0,4.0,25.0,0,1,0
37,66.0,1.0,22.0,1.0,4,49.0,0.0,40.0,1,1,1
38,22.0,1.0,19.0,1.0,2,30.0,1.0,20.0,0,1,0
39,29.0,2.0,18.0,5.0,5,49.0,17.0,40.0,0,1,0
40,24.0,1.0,22.0,1.0,4,36.0,1.0,50.0,1,1,1
41,51.0,1.0,23.0,1.0,0,49.0,0.0,40.0,0,1,1
42,22.0,1.0,24.0,1.0,3,49.0,0.0,11.0,1,0,1
43,21.0,6.0,20.0,5.0,0,16.0,2.0,40.0,0,1,0
44,55.0,7.0,20.0,1.0,2,231.0,0.0,40.0,0,1,1
45,19.0,5.0,18.0,5.0,5,6.0,17.0,40.0,0,1,0
46,64.0,2.0,16.0,1.0,0,49.0,0.0,40.0,0,1,1
47,22.0,1.0,21.0,1.0,4,49.0,1.0,5.0,1,0,0
48,17.0,1.0,19.0,1.0,4,49.0,0.0,15.0,1,1,0
49,36.0,1.0,18.0,1.0,2,32.0,0.0,40.0,1,1,1
50,46.0,1.0,19.0,1.0,0,49.0,1.0,20.0,0,1,0
51,26.0,1.0,19.0,5.0,0,6.0,2.0,5.0,0,1,0
52,54.0,1.0,16.0,5.0,0,8.0,17.0,40.0,1,1,1
53,47.0,1.0,19.0,1.0,2,49.0,0.0,57.0,0,1,0
54,25.0,1.0,20.0,5.0,0,440.0,12.0,20.0,0,1,0
55,26.0,6.0,16.0,1.0,1,49.0,0.0,20.0,0,1,0
56,30.0,1.0,16.0,1.0,0,49.0,1.0,60.0,1,1,1
57,37.0,3.0,18.0,5.0,4,49.0,5.0,30.0,0,1,0
58,41.0,1.0,1.0,1.0,2,49.0,1.0,40.0,1,1,1
59,18.0,6.0,19.0,1.0,1,30.0,1.0,40.0,0,1,0
60,60.0,2.0,16.0,1.0,5,49.0,1.0,30.0,0,1,0
61,23.0,1.0,18.0,1.0,1,6.0,0.0,40.0,1,1,1
62,19.0,1.0,19.0,1.0,4,223.0,1.0,40.0,0,1,0
63,27.0,1.0,20.0,1.0,2,49.0,1.0,32.0,0,1,0
64,39.0,1.0,16.0,3.0,2,16.0,0.0,40.0,0,1,1
65,43.0,1.0,20.0,5.0,1,49.0,17.0,40.0,1,1,0
66,47.0,1.0,19.0,1.0,4,49.0,0.0,17.0,1,1,0
67,35.0,5.0,22.0,1.0,0,49.0,0.0,40.0,0,1,1
68,18.0,1.0,24.0,1.0,0,49.0,0.0,40.0,1,1,1
69,44.0,1.0,16.0,3.0,3,8.0,0.0,6.0,1,1,1
70,39.0,1.0,14.0,5.0,1,16.0,0.0,40.0,0,1,0
71,49.0,1.0,21.0,5.0,0,49.0,0.0,15.0,0,1,0
72,49.0,1.0,21.0,5.0,4,12.0,0.0,40.0,1,1,1
73,53.0,1.0,21.0,1.0,0,48.0,2.0,4.0,0,1,0
74,59.0,3.0,18.0,5.0,1,49.0,2.0,40.0,1,1,1
75,49.0,1.0,19.0,1.0,4,49.0,0.0,50.0,1,1,1
76,40.0,7.0,20.0,1.0,3,32.0,0.0,40.0,1,0,1
77,66.0,1.0,19.0,5.0,2,49.0,2.0,30.0,0,1,0
78,66.0,5.0,19.0,1.0,2,30.0,0.0,40.0,0,1,1
79,48.0,1.0,19.0,1.0,3,17.0,0.0,40.0,1,0,1
80,27.0,1.0,18.0,1.0,0,49.0,0.0,8.0,0,1,0
81,64.0,1.0,21.0,1.0,0,41.0,0.0,60.0,0,1,1
82,39.0,1.0,21.0,5.0,2,312.0,0.0,48.0,1,1,1
83,49.0,1.0,22.0,1.0,0,53.0,2.0,22.0,0,0,1
84,52.0,1.0,19.0,1.0,0,49.0,1.0,15.0,0,1,0
85,44.0,6.0,16.0,1.0,0,45.0,1.0,12.0,0,1,0
86,22.0,7.0,23.0,1.0,0,49.0,1.0,50.0,1,1,1
87,50.0,1.0,19.0,1.0,4,210.0,1.0,40.0,1,1,1
88,49.0,1.0,16.0,3.0,1,26.0,0.0,10.0,1,1,0
89,41.0,1.0,16.0,1.0,4,363.0,1.0,50.0,1,1,1
90,46.0,1.0,19.0,1.0,0,8.0,1.0,40.0,1,1,0
91,61.0,2.0,16.0,1.0,0,49.0,1.0,40.0,0,1,1
92,29.0,1.0,19.0,1.0,4,49.0,1.0,48.0,1,1,1
93,23.0,1.0,16.0,1.0,1,49.0,1.0,20.0,1,1,0
94,38.0,1.0,19.0,5.0,2,49.0,2.0,40.0,0,1,0
95,26.0,7.0,18.0,1.0,0,440.0,0.0,9.0,0,1,0
96,26.0,4.0,20.0,1.0,0,49.0,0.0,40.0,1,1,1
97,44.0,6.0,19.0,1.0,0,49.0,0.0,40.0,0,1,1
98,30.0,1.0,22.0,1.0,0,17.0,0.0,45.0,1,1,1
99,80.0,1.0,4.0,1.0,4,49.0,1.0,59.0,1,0,0
100,24.0,8.0,19.0,3.0,0,49.0,0.0,20.0,1,0,0
101,24.0,1.0,16.0,1.0,2,49.0,1.0,20.0,0,1,0
102,58.0,1.0,19.0,5.0,0,6.0,0.0,50.0,1,1,1
103,19.0,1.0,16.0,1.0,2,44.0,0.0,9.0,1,1,0
104,54.0,1.0,16.0,1.0,4,49.0,1.0,20.0,0,1,0
105,20.0,1.0,19.0,1.0,4,41.0,1.0,40.0,1,1,0
106,47.0,1.0,16.0,3.0,2,49.0,16.0,50.0,1,1,1
107,54.0,1.0,21.0,1.0,0,6.0,1.0,40.0,1,0,1
108,27.0,1.0,14.0,1.0,2,49.0,1.0,20.0,1,1,0
109,34.0,4.0,19.0,1.0,1,49.0,2.0,32.0,0,1,0
110,48.0,1.0,5.0,1.0,1,49.0,1.0,40.0,1,1,1
111,22.0,2.0,19.0,5.0,1,33.0,2.0,40.0,1,1,0
112,53.0,1.0,19.0,1.0,2,8.0,1.0,30.0,0,1,1
113,63.0,4.0,16.0,1.0,0,303.0,0.0,50.0,0,1,0
114,36.0,1.0,19.0,1.0,4,49.0,0.0,60.0,0,1,1
115,55.0,3.0,16.0,1.0,0,49.0,0.0,25.0,0,1,0
116,26.0,1.0,16.0,1.0,2,36.0,9.0,20.0,0,1,0
117,24.0,1.0,16.0,1.0,1,49.0,1.0,29.0,0,1,0
118,18.0,2.0,21.0,1.0,2,49.0,1.0,40.0,0,1,0
119,39.0,4.0,19.0,5.0,0,49.0,17.0,40.0,0,1,0
120,52.0,7.0,21.0,1.0,0,49.0,1.0,40.0,1,1,1
121,41.0,1.0,16.0,5.0,1,49.0,13.0,30.0,1,1,0
122,27.0,1.0,1.0,1.0,4,49.0,0.0,40.0,1,1,1
123,78.0,7.0,23.0,1.0,0,49.0,0.0,50.0,1,1,1
124,34.0,1.0,21.0,1.0,1,49.0,1.0,40.0,0,0,0
125,40.0,7.0,22.0,1.0,0,49.0,0.0,40.0,1,1,1
126,40.0,1.0,20.0,1.0,1,8.0,0.0,35.0,0,1,0
127,79.0,1.0,19.0,1.0,2,49.0,1.0,20.0,0,1,0
128,63.0,1.0,19.0,1.0,3,8.0,1.0,45.0,1,1,1
129,31.0,1.0,16.0,1.0,4,49.0,1.0,38.0,1,1,0
130,26.0,5.0,16.0,4.0,5,49.0,10.0,10.0,0,1,0
131,46.0,2.0,19.0,1.0,2,36.0,12.0,1.0,0,1,0
132,32.0,1.0,20.0,1.0,2,49.0,1.0,40.0,1,1,1
133,40.0,8.0,19.0,2.0,0,49.0,12.0,28.0,1,1,0
134,23.0,2.0,22.0,1.0,0,4.0,0.0,45.0,0,1,1
135,55.0,1.0,20.0,1.0,2,238.0,0.0,40.0,1,1,1
136,34.0,4.0,18.0,1.0,0,49.0,1.0,40.0,0,0,1
137,56.0,1.0,24.0,1.0,0,18.0,0.0,60.0,0,0,1
138,63.0,1.0,20.0,5.0,1,49.0,0.0,9.0,0,1,0
139,59.0,3.0,19.0,1.0,0,22.0,0.0,5.0,0,1,0
140,83.0,1.0,19.0,1.0,1,6.0,1.0,28.0,0,1,0
141,55.0,4.0,21.0,1.0,0,49.0,0.0,40.0,0,0,1
142,30.0,5.0,21.0,5.0,0,303.0,0.0,53.0,0,1,1
143,49.0,4.0,21.0,1.0,0,49.0,0.0,45.0,0,1,1
144,39.0,2.0,21.0,1.0,0,49.0,0.0,96.0,0,1,0
145,18.0,1.0,20.0,1.0,2,49.0,0.0,40.0,0,1,0
146,25.0,4.0,18.0,1.0,0,363.0,1.0,40.0,0,1,0
