,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,48.0,1.0,20.0,3.0,0,48.0,0.0,40.0,1,1,1
1,38.0,2.0,20.0,1.0,0,49.0,0.0,60.0,1,1,1
2,19.0,7.0,18.0,5.0,2,49.0,10.0,25.0,0,1,0
3,20.0,1.0,21.0,1.0,2,42.0,0.0,25.0,1,1,0
4,53.0,1.0,20.0,1.0,4,56.0,5.0,25.0,1,1,0
5,37.0,6.0,16.0,1.0,0,49.0,1.0,40.0,0,1,0
6,60.0,7.0,16.0,1.0,0,8.0,1.0,45.0,1,1,1
7,54.0,1.0,18.0,1.0,1,39.0,1.0,50.0,1,1,1
8,25.0,1.0,11.0,1.0,3,49.0,9.0,20.0,1,0,0
9,22.0,1.0,19.0,1.0,1,49.0,0.0,31.0,1,1,0
10,36.0,1.0,16.0,1.0,0,49.0,0.0,40.0,1,1,1
11,37.0,1.0,18.0,1.0,0,49.0,0.0,29.0,0,1,0
12,47.0,1.0,21.0,1.0,-1,6.0,1.0,40.0,1,0,1
13,48.0,1.0,21.0,1.0,1,49.0,1.0,40.0,1,1,1
14,41.0,1.0,23.0,1.0,0,49.0,0.0,40.0,1,1,1
15,24.0,1.0,13.0,5.0,3,15.0,16.0,40.0,0,0,0
16,23.0,1.0,18.0,1.0,2,49.0,1.0,40.0,0,1,0
17,39.0,6.0,19.0,1.0,4,49.0,0.0,10.0,0,1,0
18,17.0,1.0,16.0,5.0,2,40.0,2.0,27.0,0,1,0
19,22.0,1.0,16.0,5.0,2,48.0,2.0,30.0,1,1,0
20,18.0,1.0,16.0,5.0,2,49.0,2.0,25.0,0,1,0
21,52.0,1.0,16.0,1.0,4,16.0,1.0,20.0,1,1,0
22,43.0,4.0,21.0,1.0,0,49.0,1.0,40.0,0,1,1
23,20.0,1.0,20.0,5.0,2,49.0,0.0,30.0,0,1,0
24,21.0,1.0,16.0,5.0,1,6.0,2.0,56.0,1,1,0
25,46.0,1.0,21.0,1.0,1,370.0,1.0,40.0,0,0,1
26,45.0,6.0,20.0,1.0,0,49.0,1.0,6.0,1,1,0
27,22.0,1.0,19.0,1.0,0,49.0,2.0,50.0,1,1,0
28,30.0,1.0,16.0,1.0,3,50.0,1.0,70.0,1,1,1
29,22.0,1.0,21.0,1.0,1,49.0,0.0,50.0,1,1,0
30,17.0,1.0,20.0,5.0,4,49.0,7.0,40.0,1,1,0
31,46.0,7.0,17.0,1.0,1,49.0,1.0,30.0,1,0,0
32,48.0,1.0,16.0,1.0,3,36.0,0.0,50.0,1,1,1
33,39.0,6.0,23.0,1.0,0,370.0,0.0,40.0,1,0,1
34,62.0,1.0,16.0,1.0,1,18.0,0.0,40.0,0,1,1
35,50.0,1.0,15.0,1.0,1,49.0,1.0,40.0,0,1,0
36,44.0,3.0,16.0,1.0,0,49.0,0.0,50.0,1,1,1
37,40.0,1.0,18.0,1.0,0,49.0,0.0,40.0,1,1,1
38,45.0,1.0,20.0,3.0,2,49.0,0.0,20.0,0,1,1
39,37.0,1.0,22.0,1.0,0,49.0,0.0,60.0,1,1,1
40,54.0,4.0,16.0,1.0,2,20.0,0.0,40.0,0,1,1
41,26.0,1.0,17.0,1.0,0,49.0,0.0,50.0,1,1,1
