,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
7265,52.0,6.0,16.0,1.0,3,243.0,1.0,30.0,1,1,0
5591,36.0,1.0,16.0,5.0,3,8.0,13.0,35.0,1,0,0
5952,27.0,1.0,16.0,4.0,3,49.0,2.0,40.0,1,1,0
15489,36.0,1.0,21.0,1.0,1,49.0,0.0,20.0,0,1,0
7427,38.0,1.0,22.0,5.0,0,6.0,2.0,30.0,1,1,0
741,41.0,1.0,15.0,1.0,2,49.0,1.0,40.0,0,1,0
14620,29.0,1.0,19.0,1.0,3,49.0,1.0,40.0,1,1,1
3264,35.0,4.0,22.0,5.0,0,49.0,0.0,40.0,0,1,0
13047,42.0,1.0,19.0,1.0,0,49.0,0.0,40.0,1,1,1
14530,23.0,1.0,19.0,5.0,0,49.0,12.0,18.0,1,1,0
10066,57.0,1.0,14.0,3.0,4,48.0,5.0,48.0,0,1,0
10588,54.0,6.0,21.0,1.0,0,49.0,0.0,45.0,1,1,1
3534,60.0,3.0,21.0,1.0,2,55.0,0.0,40.0,0,1,1
5283,30.0,1.0,20.0,5.0,0,53.0,0.0,40.0,1,0,0
13033,33.0,1.0,18.0,1.0,0,49.0,0.0,40.0,1,1,1
8027,48.0,1.0,22.0,1.0,0,36.0,0.0,40.0,1,1,1
4461,79.0,1.0,21.0,2.0,2,49.0,0.0,18.0,0,1,0
8611,50.0,1.0,19.0,1.0,3,303.0,6.0,40.0,1,0,1
5087,49.0,3.0,18.0,1.0,1,6.0,0.0,90.0,1,1,1
11871,46.0,1.0,19.0,3.0,1,49.0,0.0,40.0,0,1,1
15703,53.0,4.0,16.0,1.0,2,49.0,1.0,40.0,0,1,1
15904,61.0,2.0,18.0,1.0,2,49.0,0.0,40.0,0,1,1
10558,33.0,1.0,19.0,1.0,0,6.0,0.0,40.0,1,1,1
5625,28.0,1.0,19.0,5.0,4,49.0,0.0,70.0,1,1,1
15301,55.0,1.0,20.0,1.0,2,49.0,1.0,30.0,0,1,0
15460,21.0,1.0,19.0,5.0,4,49.0,2.0,40.0,1,1,0
3002,29.0,1.0,16.0,5.0,2,13.0,2.0,40.0,1,1,0
7201,40.0,3.0,22.0,1.0,0,49.0,0.0,40.0,1,1,1
15036,21.0,1.0,16.0,5.0,2,49.0,12.0,40.0,1,1,0
8348,21.0,1.0,19.0,5.0,2,49.0,2.0,16.0,1,1,0
14339,57.0,1.0,16.0,3.0,0,49.0,0.0,55.0,0,1,1
4942,23.0,1.0,20.0,1.0,0,49.0,0.0,29.0,0,1,0
10326,53.0,1.0,22.0,1.0,0,301.0,1.0,42.0,1,1,1
15236,56.0,1.0,17.0,1.0,2,6.0,1.0,40.0,1,1,1
12951,39.0,1.0,22.0,1.0,0,49.0,1.0,50.0,0,1,1
12660,54.0,3.0,21.0,5.0,-1,49.0,2.0,3.0,1,1,0
4790,58.0,1.0,22.0,1.0,0,515.0,1.0,40.0,1,0,1
1010,61.0,1.0,16.0,1.0,4,18.0,1.0,40.0,0,1,1
5289,44.0,1.0,18.0,1.0,4,49.0,1.0,23.0,0,1,1
2132,22.0,2.0,19.0,1.0,2,41.0,1.0,25.0,0,1,0
6111,70.0,6.0,21.0,1.0,2,49.0,0.0,60.0,0,1,0
6901,18.0,1.0,16.0,5.0,2,49.0,2.0,30.0,0,1,0
9748,47.0,1.0,19.0,1.0,0,49.0,0.0,40.0,1,1,1
5207,22.0,1.0,14.0,1.0,4,6.0,0.0,40.0,0,1,0
15010,40.0,6.0,19.0,1.0,1,49.0,1.0,24.0,0,1,0
12781,60.0,2.0,24.0,1.0,0,49.0,1.0,40.0,1,1,1
9610,51.0,2.0,21.0,1.0,0,49.0,1.0,40.0,0,1,1
3250,54.0,1.0,16.0,1.0,4,370.0,10.0,40.0,1,0,1
1746,62.0,1.0,19.0,1.0,4,72.0,0.0,40.0,1,1,1
5322,48.0,2.0,19.0,1.0,3,49.0,1.0,40.0,1,1,1
15958,35.0,1.0,21.0,1.0,0,16.0,0.0,48.0,1,1,1
5204,45.0,2.0,20.0,5.0,0,49.0,0.0,40.0,0,1,0
2980,46.0,1.0,22.0,1.0,2,6.0,1.0,40.0,0,1,0
5466,48.0,6.0,16.0,1.0,3,360.0,1.0,40.0,0,1,0
5507,55.0,5.0,18.0,1.0,0,49.0,0.0,40.0,0,1,1
13809,47.0,1.0,21.0,1.0,-1,56.0,0.0,40.0,1,1,1
43,18.0,1.0,18.0,5.0,4,49.0,17.0,15.0,0,1,0
9004,30.0,6.0,19.0,1.0,1,38.0,0.0,30.0,0,1,1
7189,37.0,7.0,20.0,1.0,1,29.0,1.0,40.0,1,1,1
11782,45.0,5.0,16.0,1.0,1,4.0,1.0,40.0,1,1,0
12813,70.0,5.0,21.0,1.0,2,501.0,0.0,40.0,1,1,1
5258,35.0,1.0,22.0,1.0,0,49.0,0.0,45.0,1,1,1
