,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,20.0,3.0,21.0,1.0,0,49.0,0.0,12.0,0,1,1
1,52.0,1.0,17.0,1.0,5,49.0,2.0,40.0,0,1,0
2,69.0,1.0,21.0,1.0,0,49.0,0.0,60.0,0,1,1
3,55.0,8.0,19.0,1.0,5,49.0,0.0,12.0,1,1,1
4,60.0,1.0,21.0,1.0,0,49.0,1.0,55.0,1,1,1
5,50.0,1.0,21.0,1.0,2,49.0,1.0,70.0,1,1,0
6,87.0,1.0,21.0,1.0,0,49.0,1.0,40.0,0,1,0
7,43.0,1.0,5.0,1.0,4,49.0,16.0,40.0,1,1,0
8,61.0,1.0,3.0,1.0,1,136.0,2.0,88.0,0,1,0
9,40.0,4.0,1.0,1.0,2,49.0,1.0,60.0,1,1,0
10,45.0,1.0,13.0,1.0,0,49.0,2.0,54.0,0,1,1
11,79.0,4.0,20.0,1.0,2,49.0,1.0,45.0,1,1,1
12,41.0,2.0,16.0,5.0,4,49.0,2.0,16.0,0,1,1
13,43.0,1.0,2.0,1.0,2,49.0,1.0,75.0,1,1,0
14,79.0,1.0,16.0,1.0,0,49.0,0.0,40.0,0,1,0
15,17.0,7.0,21.0,1.0,2,49.0,0.0,40.0,0,1,1
16,44.0,4.0,5.0,1.0,2,103.0,1.0,85.0,1,1,1
17,74.0,1.0,21.0,1.0,0,233.0,0.0,40.0,0,1,1
18,65.0,4.0,13.0,1.0,2,49.0,1.0,52.0,1,1,1
19,38.0,1.0,24.0,1.0,1,448.0,0.0,61.0,1,1,0
20,79.0,5.0,21.0,2.0,0,49.0,0.0,26.0,0,1,1
21,35.0,1.0,3.0,3.0,0,49.0,0.0,40.0,0,1,0
22,58.0,1.0,19.0,5.0,2,312.0,12.0,27.0,0,1,0
23,30.0,1.0,2.0,5.0,-1,49.0,0.0,40.0,1,1,1
24,39.0,4.0,21.0,1.0,0,49.0,1.0,25.0,1,1,1
25,77.0,1.0,19.0,1.0,0,49.0,0.0,37.0,1,1,1
26,84.0,1.0,6.0,1.0,0,149.0,0.0,49.0,1,1,0
27,78.0,1.0,12.0,5.0,2,49.0,8.0,39.0,1,0,0
28,76.0,1.0,1.0,5.0,4,134.0,2.0,40.0,0,1,0
29,28.0,1.0,2.0,1.0,2,49.0,1.0,82.0,1,1,0
30,67.0,1.0,21.0,1.0,2,49.0,1.0,5.0,1,1,0
31,25.0,1.0,13.0,4.0,0,31.0,0.0,40.0,1,1,0
32,81.0,1.0,1.0,1.0,1,110.0,2.0,40.0,1,1,1
33,68.0,1.0,21.0,1.0,2,211.0,1.0,40.0,1,1,1
34,27.0,1.0,1.0,1.0,3,209.0,0.0,40.0,1,1,1
35,87.0,4.0,16.0,1.0,0,49.0,1.0,40.0,1,1,0
36,52.0,1.0,20.0,1.0,0,49.0,1.0,40.0,1,1,0
37,40.0,1.0,23.0,5.0,1,49.0,2.0,6.0,1,1,0
38,92.0,1.0,10.0,1.0,2,40.0,13.0,90.0,1,0,1
39,88.0,1.0,3.0,5.0,3,49.0,4.0,27.0,1,1,0
40,19.0,5.0,21.0,1.0,0,49.0,0.0,40.0,0,1,1
41,82.0,1.0,22.0,1.0,2,55.0,1.0,40.0,0,1,0
42,41.0,4.0,21.0,5.0,0,49.0,0.0,40.0,1,1,1
43,82.0,5.0,21.0,1.0,0,49.0,0.0,40.0,0,1,0
44,42.0,7.0,22.0,1.0,0,49.0,0.0,65.0,0,1,0
45,63.0,1.0,21.0,1.0,0,228.0,1.0,80.0,1,1,1
46,88.0,2.0,15.0,3.0,2,49.0,0.0,99.0,0,1,0
47,27.0,7.0,9.0,1.0,0,72.0,0.0,24.0,1,1,1
48,23.0,1.0,9.0,5.0,1,49.0,3.0,40.0,1,1,1
49,18.0,1.0,6.0,1.0,0,311.0,0.0,12.0,1,1,0
50,84.0,1.0,21.0,1.0,2,49.0,1.0,51.0,1,1,1
51,63.0,1.0,17.0,5.0,2,47.0,0.0,42.0,0,0,0
52,56.0,7.0,22.0,3.0,0,203.0,0.0,5.0,1,1,1
53,62.0,5.0,18.0,1.0,3,49.0,0.0,8.0,1,1,1
54,84.0,1.0,19.0,5.0,0,329.0,0.0,40.0,1,1,1
55,27.0,1.0,13.0,5.0,0,215.0,2.0,54.0,0,1,0
56,47.0,1.0,5.0,5.0,0,369.0,2.0,6.0,1,1,0
57,53.0,1.0,2.0,1.0,4,436.0,2.0,40.0,1,1,0
58,24.0,4.0,2.0,1.0,2,49.0,1.0,27.0,1,1,0
59,92.0,1.0,13.0,1.0,1,205.0,1.0,31.0,0,1,0
60,53.0,1.0,5.0,5.0,2,49.0,9.0,49.0,0,1,0
61,63.0,1.0,7.0,5.0,2,372.0,9.0,42.0,0,1,0
62,27.0,1.0,17.0,1.0,0,49.0,1.0,49.0,1,1,0
63,19.0,2.0,4.0,1.0,2,49.0,0.0,19.0,0,1,1
64,37.0,1.0,21.0,5.0,0,49.0,0.0,58.0,1,1,0
65,41.0,1.0,21.0,1.0,3,49.0,1.0,62.0,1,1,0
66,36.0,1.0,21.0,1.0,1,49.0,1.0,40.0,0,1,1
67,33.0,1.0,24.0,1.0,2,49.0,1.0,40.0,1,1,0
68,87.0,1.0,2.0,1.0,3,49.0,1.0,25.0,0,1,1
69,19.0,1.0,2.0,1.0,2,49.0,1.0,11.0,1,1,0
70,46.0,1.0,8.0,1.0,1,231.0,0.0,40.0,1,1,0
71,41.0,1.0,24.0,5.0,2,49.0,6.0,26.0,0,1,1
72,35.0,1.0,1.0,1.0,3,49.0,1.0,40.0,0,1,0
73,60.0,1.0,17.0,5.0,3,49.0,2.0,38.0,1,1,0
74,34.0,1.0,15.0,5.0,0,49.0,2.0,53.0,0,1,0
75,88.0,2.0,21.0,1.0,0,49.0,0.0,72.0,1,1,1
76,75.0,1.0,8.0,1.0,2,49.0,1.0,49.0,1,1,0
77,40.0,1.0,17.0,5.0,1,49.0,4.0,22.0,1,0,1
78,61.0,3.0,21.0,3.0,0,49.0,0.0,48.0,1,1,0
79,41.0,1.0,12.0,1.0,4,49.0,2.0,40.0,1,1,0
80,47.0,1.0,11.0,1.0,4,212.0,2.0,40.0,1,1,0
81,31.0,1.0,18.0,1.0,4,49.0,0.0,3.0,0,1,0
82,73.0,1.0,21.0,1.0,3,49.0,0.0,82.0,1,1,0
83,46.0,1.0,19.0,1.0,4,49.0,9.0,49.0,1,1,0
84,69.0,3.0,8.0,4.0,2,38.0,13.0,6.0,1,1,1
85,87.0,4.0,13.0,5.0,-1,49.0,16.0,40.0,1,1,0
86,60.0,8.0,3.0,5.0,-1,49.0,12.0,21.0,0,1,1
87,69.0,1.0,14.0,3.0,1,49.0,0.0,51.0,1,1,0
88,50.0,8.0,21.0,1.0,-1,149.0,0.0,34.0,0,1,1
89,88.0,1.0,8.0,5.0,0,49.0,0.0,35.0,0,1,1
90,35.0,1.0,21.0,2.0,0,49.0,0.0,30.0,1,1,0
91,77.0,1.0,8.0,5.0,2,49.0,10.0,19.0,1,0,1
92,60.0,5.0,12.0,1.0,3,412.0,0.0,91.0,1,1,1
93,87.0,8.0,24.0,1.0,0,49.0,0.0,12.0,0,0,1
94,62.0,4.0,19.0,1.0,0,49.0,0.0,91.0,1,1,0
95,52.0,1.0,7.0,5.0,1,49.0,0.0,43.0,1,1,0
96,61.0,5.0,17.0,1.0,0,448.0,0.0,40.0,0,1,0
97,26.0,1.0,13.0,1.0,0,109.0,1.0,29.0,0,1,1
98,19.0,7.0,10.0,1.0,0,148.0,1.0,41.0,0,1,0
99,58.0,2.0,1.0,1.0,3,316.0,0.0,78.0,1,1,1
100,60.0,1.0,12.0,1.0,-1,442.0,1.0,4.0,1,1,0
101,23.0,1.0,16.0,3.0,1,47.0,0.0,48.0,1,1,1
102,45.0,4.0,5.0,1.0,3,360.0,1.0,40.0,1,1,0
103,75.0,1.0,2.0,5.0,0,49.0,2.0,32.0,0,1,0
104,23.0,1.0,24.0,5.0,0,49.0,2.0,40.0,1,1,0
105,31.0,1.0,23.0,1.0,0,41.0,1.0,40.0,0,1,1
