,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,29.0,1.0,21.0,1.0,2,41.0,1.0,40.0,1,1,1
1,32.0,5.0,21.0,1.0,2,49.0,0.0,40.0,0,1,0
2,52.0,1.0,19.0,5.0,0,49.0,3.0,50.0,0,1,1
3,39.0,1.0,20.0,3.0,1,49.0,0.0,40.0,0,1,1
4,32.0,1.0,21.0,5.0,0,49.0,2.0,40.0,1,0,0
5,31.0,3.0,16.0,5.0,1,13.0,12.0,40.0,0,1,1
6,31.0,7.0,20.0,1.0,0,49.0,0.0,45.0,1,1,1
7,26.0,2.0,21.0,5.0,0,6.0,2.0,45.0,1,1,1
8,35.0,1.0,15.0,1.0,3,49.0,1.0,45.0,1,1,1
9,25.0,3.0,21.0,1.0,0,49.0,0.0,35.0,1,1,1
10,68.0,1.0,21.0,1.0,0,49.0,0.0,40.0,1,1,1
11,34.0,6.0,21.0,1.0,0,16.0,0.0,30.0,1,1,1
12,25.0,1.0,20.0,1.0,2,49.0,1.0,65.0,1,1,1
13,22.0,1.0,19.0,5.0,1,55.0,2.0,35.0,1,1,0
14,62.0,1.0,16.0,1.0,2,53.0,1.0,40.0,0,1,0
15,24.0,1.0,19.0,5.0,2,49.0,2.0,40.0,1,1,1
16,64.0,1.0,21.0,1.0,2,49.0,0.0,2.0,1,0,1
17,50.0,3.0,21.0,3.0,0,303.0,0.0,40.0,1,0,1
18,25.0,1.0,18.0,1.0,3,34.0,0.0,30.0,1,1,1
19,88.0,6.0,19.0,3.0,4,49.0,12.0,40.0,1,1,1
20,20.0,1.0,19.0,5.0,1,49.0,0.0,40.0,0,1,0
21,48.0,1.0,21.0,1.0,0,440.0,0.0,45.0,1,1,1
22,35.0,5.0,22.0,5.0,0,206.0,0.0,40.0,1,0,0
23,19.0,1.0,19.0,5.0,4,49.0,7.0,15.0,0,1,0
24,58.0,1.0,17.0,1.0,4,8.0,1.0,4.0,0,1,0
25,26.0,1.0,15.0,5.0,1,6.0,17.0,40.0,1,1,1
26,55.0,1.0,18.0,1.0,2,49.0,0.0,20.0,1,1,0
27,63.0,1.0,16.0,1.0,4,2.0,0.0,32.0,0,1,0
28,18.0,1.0,16.0,5.0,1,6.0,0.0,20.0,0,1,0
29,18.0,1.0,16.0,5.0,1,49.0,0.0,30.0,1,1,0
30,60.0,3.0,16.0,1.0,-1,47.0,0.0,40.0,0,1,0
31,43.0,1.0,21.0,1.0,0,49.0,0.0,40.0,1,1,1
32,55.0,1.0,21.0,5.0,2,49.0,2.0,40.0,0,1,1
33,70.0,1.0,22.0,1.0,0,49.0,1.0,10.0,1,1,0
