,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
90,21.0,1.0,19.0,5.0,0,53.0,17.0,25.0,0,1,0
14614,53.0,7.0,15.0,1.0,1,210.0,0.0,45.0,0,0,0
6657,56.0,1.0,19.0,3.0,0,53.0,5.0,40.0,1,1,1
6193,62.0,1.0,16.0,3.0,1,49.0,6.0,16.0,0,1,0
2,20.0,1.0,18.0,5.0,1,49.0,17.0,20.0,1,1,0
1221,19.0,1.0,16.0,5.0,1,8.0,2.0,15.0,0,1,0
11598,42.0,7.0,19.0,1.0,3,303.0,1.0,50.0,1,0,1
15842,63.0,1.0,20.0,1.0,0,49.0,0.0,36.0,1,1,1
9756,54.0,1.0,18.0,3.0,2,6.0,0.0,40.0,0,1,1
12950,41.0,3.0,16.0,1.0,2,49.0,0.0,40.0,1,1,1
4590,28.0,1.0,20.0,1.0,2,15.0,0.0,22.0,0,0,0
15146,66.0,1.0,19.0,1.0,3,49.0,0.0,35.0,1,1,0
2177,57.0,1.0,17.0,1.0,4,49.0,1.0,50.0,1,1,1
2150,61.0,8.0,21.0,1.0,0,6.0,1.0,40.0,1,1,1
16151,65.0,7.0,16.0,1.0,3,49.0,0.0,80.0,1,1,1
11487,33.0,1.0,19.0,1.0,3,49.0,9.0,40.0,1,1,1
10719,39.0,5.0,16.0,5.0,2,49.0,6.0,40.0,0,1,1
11735,56.0,1.0,19.0,1.0,1,49.0,9.0,25.0,0,1,0
14015,30.0,4.0,24.0,1.0,0,42.0,1.0,50.0,0,1,1
13188,54.0,1.0,21.0,1.0,0,49.0,0.0,40.0,1,1,1
3392,40.0,1.0,16.0,1.0,4,207.0,0.0,40.0,1,0,1
14801,51.0,2.0,19.0,1.0,2,49.0,1.0,36.0,0,1,0
9888,54.0,1.0,19.0,5.0,1,49.0,13.0,53.0,0,1,1
11336,43.0,1.0,16.0,1.0,2,30.0,0.0,7.0,0,1,0
13957,24.0,1.0,16.0,3.0,0,4.0,13.0,40.0,0,1,0
15877,38.0,1.0,22.0,1.0,0,19.0,1.0,54.0,1,1,1
4336,39.0,1.0,19.0,1.0,1,49.0,1.0,3.0,0,0,0
4173,59.0,2.0,20.0,1.0,4,49.0,0.0,40.0,1,1,1
11739,45.0,1.0,16.0,3.0,4,51.0,2.0,45.0,1,1,1
8840,71.0,1.0,24.0,1.0,0,49.0,0.0,25.0,1,1,1
16063,60.0,1.0,17.0,4.0,2,303.0,0.0,48.0,1,0,1
7406,21.0,3.0,21.0,1.0,0,8.0,7.0,40.0,0,1,0
13603,23.0,1.0,16.0,1.0,3,53.0,0.0,25.0,1,1,0
2605,52.0,1.0,19.0,3.0,4,30.0,3.0,60.0,1,1,1
12024,43.0,1.0,20.0,1.0,0,49.0,1.0,40.0,1,0,1
2227,52.0,1.0,21.0,5.0,0,6.0,0.0,48.0,0,1,1
9878,44.0,1.0,21.0,1.0,0,49.0,0.0,40.0,1,0,1
