,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,5,0,14,2,3,5,1,0,2,2,0
1,7,4,12,5,14,1,1,1,1,2,0
2,5,4,11,4,3,1,1,1,2,2,0
3,6,2,15,2,3,0,0,1,2,2,0
4,4,6,1,0,1,1,1,0,2,2,0
5,8,4,0,2,8,0,1,1,2,2,0
6,4,4,11,3,1,1,1,0,2,2,0
7,10,4,9,4,3,1,1,1,2,1,1
8,4,4,15,2,8,0,1,1,2,2,0
9,8,6,9,2,3,0,0,1,2,2,1
10,8,4,15,2,0,0,0,1,2,2,0
11,4,4,9,4,3,2,1,1,0,2,0
12,8,4,0,5,4,1,1,0,2,2,0
13,8,4,1,4,14,3,1,1,1,2,0
14,6,1,13,2,3,0,1,1,2,2,0
15,5,2,0,2,4,0,1,1,1,2,0
16,8,4,0,2,14,0,1,1,1,2,1
17,9,4,15,4,4,3,1,0,2,2,0
18,7,5,4,2,5,0,1,1,2,2,0
19,4,4,15,4,12,3,1,1,2,2,0
20,5,1,9,4,1,2,1,0,2,2,0
21,13,4,11,2,8,0,1,1,2,2,0
22,5,4,5,4,10,1,1,0,4,2,0
23,8,4,11,2,3,0,0,1,2,2,1
24,10,4,9,0,12,4,1,0,2,2,0
25,4,1,11,2,3,0,1,1,2,2,0
26,10,4,2,0,7,1,1,1,2,2,0
27,7,4,11,4,4,2,1,1,2,2,0
28,10,7,15,3,8,1,1,0,0,2,0
29,13,4,11,2,7,0,1,1,2,2,0
30,3,4,11,4,8,4,0,1,2,2,0
31,4,4,15,0,1,1,1,1,1,2,0
32,8,4,11,4,10,3,1,0,2,2,0
33,5,0,8,0,10,1,0,0,2,2,0
34,7,1,12,2,8,0,1,1,2,2,0
35,9,4,15,2,14,0,1,1,2,2,0
36,5,4,11,5,12,3,1,0,2,2,0
37,8,4,11,2,12,0,1,1,0,2,0
38,6,4,15,2,8,0,1,1,1,2,0
39,9,4,11,4,7,4,1,0,2,2,0
40,3,2,12,2,4,0,1,1,2,2,1
41,5,4,15,4,1,3,1,0,1,2,0
42,6,4,1,2,0,0,1,1,2,2,0
43,10,4,12,4,8,3,0,0,2,2,0
44,6,4,11,4,12,1,1,0,1,2,0
45,9,2,0,2,3,0,1,1,2,2,1
46,4,4,11,4,8,4,1,0,0,2,0
47,8,4,7,4,1,3,1,0,2,2,0
48,8,4,5,2,3,0,1,1,3,0,0
49,9,7,11,4,12,1,1,1,2,2,0
50,13,4,11,2,3,0,1,1,2,2,0
51,7,7,15,2,14,0,1,1,2,2,1
52,11,4,8,4,7,3,1,1,0,2,0
53,7,4,9,4,13,1,1,1,2,2,0
54,6,4,11,0,0,1,1,0,2,2,0
55,9,0,11,5,3,3,1,0,2,2,0
56,4,4,11,5,1,1,0,1,2,4,0
57,8,4,15,4,10,1,1,0,1,1,0
58,8,4,15,4,4,1,1,1,3,2,1
59,10,7,11,0,12,4,0,1,2,0,0
60,12,4,12,2,8,0,1,1,2,2,1
61,9,4,11,2,8,0,1,1,2,2,0
62,6,7,9,2,4,5,0,0,2,2,1
63,5,7,15,2,10,0,1,1,2,2,0
64,5,4,15,4,1,3,0,0,2,2,0
65,4,4,15,2,12,0,1,1,3,2,0
66,5,4,15,2,4,0,1,1,2,2,0
67,10,4,11,2,10,0,0,1,2,0,1
68,8,4,12,2,4,0,1,1,2,2,1
69,7,4,11,2,7,0,1,1,1,2,1
70,5,2,15,2,8,0,1,1,2,2,0
71,4,4,11,4,5,1,1,1,1,2,0
72,5,4,15,2,12,0,1,1,2,2,0
73,5,4,0,6,8,0,1,1,2,2,0
74,10,5,15,4,12,4,1,0,1,2,0
75,8,7,12,2,11,0,1,1,1,2,0
76,10,0,12,0,12,1,0,0,2,0,0
77,8,4,9,4,10,1,1,1,2,2,1
78,5,2,15,4,8,1,1,1,2,2,0
79,10,4,9,2,10,5,1,0,2,2,1
80,8,4,11,4,10,3,1,0,2,2,0
81,6,4,11,2,5,0,1,1,2,2,0
82,6,4,0,2,11,0,1,1,2,2,0
83,8,4,2,4,0,3,1,1,2,2,0
84,4,4,11,4,11,1,1,1,3,2,0
85,7,1,15,4,13,1,1,1,2,2,0
86,8,1,11,2,0,0,1,1,2,3,0
87,6,4,11,5,4,3,0,0,2,2,0
88,6,4,9,0,7,1,0,0,1,2,0
89,8,0,11,4,0,3,1,1,2,2,0
90,7,4,11,4,7,3,0,0,2,2,0
91,6,2,11,2,3,0,1,1,2,2,0
92,10,4,15,4,1,1,1,0,2,2,0
93,5,4,11,4,6,3,1,0,1,2,0
94,7,4,15,5,1,3,0,0,2,2,0
95,6,4,9,2,4,0,1,1,0,2,1
96,9,0,9,2,10,0,0,1,2,2,1
97,8,4,15,2,12,0,1,1,2,2,0
98,9,4,11,4,3,1,1,1,2,2,0
99,5,2,11,4,7,3,1,1,1,2,0
100,9,4,9,0,4,4,1,1,2,2,0
101,10,4,0,0,10,4,0,1,1,2,1
102,8,4,15,0,1,1,0,0,0,2,0
103,5,4,15,2,5,0,1,1,2,2,0
104,9,4,11,4,8,1,1,0,2,2,0
105,6,0,15,2,12,0,1,1,0,2,1
106,11,4,9,2,10,5,1,0,1,2,1
107,7,7,15,0,14,1,1,1,2,2,0
108,5,6,9,2,5,0,1,1,2,2,0
109,9,6,8,4,12,3,1,1,2,2,0
110,6,4,11,4,8,3,1,1,2,2,0
111,4,4,14,2,12,0,1,1,2,2,0
112,7,5,11,2,5,0,1,1,3,4,0
113,9,4,15,2,3,0,1,1,1,2,0
114,10,7,11,4,4,3,1,1,3,2,0
115,9,6,11,4,12,3,1,1,3,2,0
116,9,4,15,2,1,5,1,0,2,2,1
117,10,4,14,2,6,0,0,1,3,2,0
118,5,6,11,6,8,2,1,0,2,2,0
119,3,4,11,2,5,0,1,1,2,2,0
120,5,4,11,4,3,3,1,1,2,2,0
121,7,4,9,4,11,1,1,1,2,2,1
122,7,4,14,2,12,0,1,1,2,2,1
123,3,4,11,4,1,3,0,0,1,0,0
124,6,4,11,4,10,2,1,0,2,2,0
125,4,2,15,2,7,0,1,1,2,2,0
126,3,4,11,4,12,3,1,1,1,2,0
127,7,4,15,2,6,0,1,1,2,2,0
128,7,4,9,4,10,1,1,1,2,2,1
129,8,4,9,2,8,0,1,1,1,2,0
130,7,4,11,0,7,1,1,0,2,2,0
131,6,5,15,4,7,3,1,1,1,2,0
132,7,4,8,2,3,0,1,1,3,2,1
133,12,7,11,2,4,0,1,1,2,2,1
134,4,4,9,6,10,2,1,0,2,2,0
135,10,4,14,0,5,4,1,1,2,2,1
136,4,4,15,0,3,1,1,1,2,2,0
137,10,1,15,2,10,0,1,1,2,2,1
138,7,4,15,2,3,0,0,1,3,2,0
139,3,4,12,0,6,4,1,0,4,2,0
140,9,4,7,2,3,0,1,1,2,2,0
141,8,4,13,2,1,0,1,1,2,2,1
142,6,4,12,2,12,5,1,0,0,2,1
143,7,2,11,4,10,1,1,1,2,2,1
144,6,4,14,4,8,2,0,1,2,2,0
145,11,4,14,2,12,0,1,1,1,2,1
146,11,4,9,2,12,0,1,1,2,2,1
147,9,4,2,4,4,1,0,1,2,2,0
148,6,4,1,4,3,2,0,0,2,2,0
149,5,4,11,0,12,1,1,0,3,2,0
150,9,2,9,4,1,3,1,0,1,2,0
151,7,4,11,4,0,3,1,0,1,2,0
152,3,5,5,2,12,0,0,1,1,0,0
153,7,3,15,2,3,0,1,1,2,2,0
154,5,4,8,2,8,0,1,1,3,2,0
155,4,4,9,2,0,0,1,1,2,2,0
156,7,0,12,2,0,0,1,1,3,2,0
157,13,4,11,4,5,3,1,1,2,2,0
158,4,4,11,0,8,1,1,0,0,2,0
159,4,4,11,4,8,2,1,0,0,2,0
160,7,4,13,2,4,0,1,1,3,2,1
161,4,4,15,3,8,1,1,0,1,2,0
162,4,2,15,6,1,2,1,0,2,2,0
163,5,4,11,4,8,1,0,0,1,2,0
164,9,4,11,2,8,0,1,1,3,2,1
165,4,4,11,2,14,0,1,1,2,2,0
166,6,2,11,4,1,3,0,1,2,0,0
167,7,8,11,0,4,1,1,0,0,2,0
168,8,6,11,2,5,0,0,1,3,2,1
169,5,7,11,2,1,0,1,1,2,2,0
170,3,4,8,0,10,1,1,1,3,2,1
171,9,4,9,2,4,0,0,1,2,0,1
172,12,4,6,2,4,0,1,1,2,2,1
173,8,4,15,0,1,4,1,0,2,2,0
174,9,2,9,0,12,1,1,0,2,2,0
175,10,2,9,6,8,0,1,1,3,2,0
176,5,2,1,4,7,1,1,1,2,2,0
177,3,4,9,4,10,1,1,1,2,2,0
178,5,4,9,2,3,0,1,1,1,2,0
179,5,4,11,4,8,1,0,0,2,2,0
180,9,4,11,0,6,4,1,0,2,2,0
181,10,4,15,4,6,1,1,1,2,2,0
182,5,4,14,0,4,1,1,1,2,4,0
183,3,0,11,4,1,3,1,0,0,2,0
184,6,6,9,2,7,0,1,1,0,2,1
185,8,4,12,2,4,0,1,1,1,2,1
186,7,4,15,2,14,0,1,1,0,2,0
187,9,4,9,2,10,0,1,1,1,2,1
188,10,4,12,2,7,0,1,1,2,2,1
189,11,4,15,4,5,1,1,1,2,2,0
190,9,4,12,2,12,0,1,1,2,2,1
191,9,2,9,2,11,0,1,1,2,2,1
192,4,4,15,6,4,2,1,0,2,2,0
193,5,6,11,4,12,3,1,1,1,2,0
194,9,4,12,2,14,0,1,1,2,2,1
195,14,4,8,4,11,3,1,1,2,2,0
196,3,7,5,4,12,1,1,0,2,2,0
197,9,4,9,2,1,0,1,1,1,2,1
198,11,6,15,2,4,0,1,1,2,2,0
199,7,4,15,0,4,1,1,0,3,2,0
200,8,4,9,2,13,0,1,1,2,2,1
201,5,0,15,2,3,0,1,1,2,2,0
202,11,7,2,4,8,3,1,1,2,2,0
203,11,3,9,2,10,0,1,1,0,2,1
204,4,6,8,2,10,0,1,1,1,2,0
