,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,4,4,11,4,1,3,1,0,1,2,0
1,8,4,5,5,3,4,0,0,2,2,0
2,8,4,14,2,10,5,1,0,2,2,1
3,6,4,15,2,12,0,1,1,2,2,0
4,4,4,11,4,1,1,0,1,1,2,0
5,8,4,15,2,10,0,0,1,2,0,1
6,4,4,15,4,4,3,1,0,0,2,0
7,5,7,11,2,10,0,1,1,2,2,0
8,7,7,11,2,8,0,1,1,2,2,0
9,4,4,7,4,10,3,1,0,1,2,0
10,5,4,9,4,12,4,1,0,3,2,0
11,12,7,15,2,11,0,1,1,2,2,0
12,8,4,11,2,3,0,1,1,2,2,1
13,8,2,12,2,4,0,1,1,2,2,1
14,6,4,11,4,7,1,1,1,2,2,0
15,7,4,9,4,1,1,0,1,2,2,0
16,5,4,11,4,10,4,0,0,1,2,0
17,3,0,1,4,0,3,0,1,2,2,0
18,6,4,1,4,3,3,1,1,2,2,0
19,12,5,11,2,4,0,1,1,2,2,0
20,6,6,11,2,10,0,1,1,3,2,0
21,5,4,11,4,8,1,0,0,2,2,0
22,5,4,11,4,7,1,1,1,3,2,0
23,5,4,7,4,3,1,1,1,2,2,0
24,7,4,11,5,14,1,1,1,3,2,1
25,4,4,9,4,4,1,1,1,2,2,1
26,5,4,15,4,4,4,1,0,2,2,0
27,7,6,11,2,3,0,1,1,2,2,0
28,10,5,15,2,12,0,1,1,2,2,1
29,9,1,11,3,1,1,0,0,2,2,0
30,8,1,12,2,10,0,0,1,2,2,1
31,7,4,15,2,3,0,0,1,3,2,1
32,7,7,15,0,1,4,1,0,2,2,0
33,3,4,11,4,8,1,1,0,1,2,0
34,7,4,15,2,4,0,1,1,2,2,0
35,7,4,9,4,3,4,1,1,2,2,0
36,11,4,8,2,8,0,1,1,2,2,0
37,11,4,15,2,5,0,1,1,2,2,0
38,3,4,0,4,6,3,1,1,2,2,0
39,5,4,15,0,12,1,1,1,2,2,0
40,13,4,11,2,7,0,1,1,2,2,0
41,6,4,11,0,7,4,0,0,1,2,0
42,5,4,15,4,12,3,1,1,2,2,0
43,9,5,7,2,4,0,1,1,3,2,1
44,9,4,11,2,4,0,1,1,2,2,0
45,12,6,12,2,4,0,1,1,2,2,1
46,5,7,0,2,14,0,1,1,3,2,0
47,9,4,15,0,1,1,1,0,1,2,0
48,7,4,15,0,1,1,1,1,2,2,0
49,7,4,9,2,4,0,1,1,2,2,1
50,6,4,15,0,1,2,1,0,2,2,0
51,4,4,11,4,1,4,0,0,1,2,0
52,8,2,11,2,5,0,1,1,2,2,0
53,18,4,15,3,4,2,1,0,0,2,1
54,10,6,12,2,4,0,1,1,1,2,0
55,6,7,9,4,10,1,1,1,2,2,0
56,9,4,5,2,3,0,1,1,2,2,0
57,4,1,11,4,1,3,1,1,2,2,0
58,4,4,0,4,8,3,1,0,1,2,0
59,5,4,11,2,1,5,1,0,2,2,0
60,4,4,15,4,12,3,1,1,1,2,0
61,10,0,11,2,0,5,1,0,2,2,1
62,8,4,11,5,7,4,1,0,2,1,0
63,7,4,11,0,3,4,1,0,2,2,0
64,7,0,11,4,0,3,1,0,2,2,0
65,7,4,11,0,4,1,0,1,2,2,0
66,8,4,11,2,7,0,1,1,2,2,0
67,6,7,8,2,3,0,1,1,3,2,0
68,12,4,11,0,3,4,1,1,2,2,0
69,10,5,11,0,7,1,0,1,2,2,0
70,14,4,11,6,1,1,1,0,1,2,0
71,6,4,0,5,14,4,1,1,2,2,0
72,7,4,11,0,7,4,1,1,3,2,0
73,9,4,9,0,13,1,1,0,1,2,0
74,13,0,5,2,0,0,1,1,0,2,0
75,10,6,11,0,4,1,1,1,2,2,1
76,10,1,0,2,8,0,1,1,2,2,0
77,6,4,15,2,4,0,1,1,2,2,0
78,9,4,15,2,4,5,1,0,2,2,0
79,8,4,5,2,5,0,1,1,2,2,0
80,4,4,11,4,6,2,0,1,1,2,0
81,10,4,15,2,6,0,1,1,1,2,0
82,4,4,15,4,13,3,1,1,1,2,0
83,8,4,11,2,14,0,0,1,2,2,0
84,7,6,11,2,3,0,1,1,2,2,0
85,5,4,11,2,3,0,1,1,2,2,0
86,10,4,4,0,14,1,1,1,2,2,0
87,11,4,3,6,10,1,1,0,1,2,0
88,11,4,12,2,1,0,1,1,2,2,0
89,4,4,15,4,10,4,0,0,1,2,0
90,3,4,15,4,12,3,1,0,2,2,0
91,7,4,11,4,14,1,0,1,2,4,0
92,8,4,9,2,4,0,1,1,3,2,1
93,11,4,11,2,14,0,1,1,1,2,1
94,3,4,1,4,8,3,1,0,1,2,0
95,10,4,15,4,14,1,1,1,2,2,0
96,5,2,11,4,11,4,1,0,2,2,0
97,4,4,9,4,13,3,1,1,3,2,0
98,4,4,11,4,8,3,1,1,0,2,0
99,9,4,7,4,3,3,1,1,2,2,0
100,3,4,11,4,8,3,1,1,1,2,0
101,11,4,11,2,8,0,1,1,2,2,1
102,8,7,15,2,11,0,1,1,2,2,0
103,9,5,15,2,4,0,1,1,2,2,1
104,9,4,6,2,3,0,1,1,3,2,0
105,3,4,11,4,14,3,0,1,1,2,0
106,6,4,11,5,8,4,0,0,1,2,0
107,6,4,9,3,1,1,0,0,1,2,0
108,6,4,8,2,3,0,1,1,2,2,0
109,10,4,11,2,7,0,1,1,2,2,1
110,4,4,12,4,4,3,1,1,0,2,0
111,6,4,6,2,11,3,0,0,2,2,0
112,4,4,15,4,3,2,1,1,1,2,0
113,5,4,9,4,4,1,0,1,2,2,0
114,6,1,9,0,4,1,1,0,2,2,0
115,9,5,11,2,4,0,1,1,2,2,1
116,6,4,11,4,4,1,1,0,2,2,0
117,13,6,0,2,14,0,1,1,2,2,0
118,9,1,12,2,10,0,1,1,4,2,1
119,11,4,15,2,12,0,1,1,2,2,0
120,7,4,11,0,14,4,1,1,2,2,0
121,9,4,14,0,10,1,1,1,2,2,0
122,4,4,11,4,3,1,1,1,2,2,0
123,5,4,11,2,4,0,1,1,2,2,0
124,5,4,11,2,6,0,1,1,2,2,0
125,13,7,9,5,10,1,0,0,1,0,0
126,5,4,9,4,12,1,1,0,2,2,0
127,12,4,14,6,9,4,1,0,1,2,0
128,5,2,11,4,14,1,1,1,2,2,0
129,6,4,9,2,12,0,1,1,2,2,1
130,9,2,10,2,10,0,0,1,2,2,1
131,8,4,11,2,3,0,1,1,2,2,1
132,4,4,11,4,8,1,1,0,2,2,0
133,3,0,11,4,0,3,0,0,1,2,0
134,17,7,1,5,4,2,0,0,1,2,0
135,7,4,15,2,7,0,1,1,2,2,0
136,7,4,0,0,10,1,1,0,1,2,0
137,14,4,9,6,10,1,1,0,4,2,0
138,6,4,7,4,4,1,1,1,2,2,0
139,9,4,15,2,12,0,1,1,2,2,1
140,7,7,15,2,13,0,1,1,2,2,0
141,10,2,9,2,6,0,1,1,2,2,1
142,5,7,9,4,10,3,1,1,2,2,0
143,9,4,15,0,12,4,0,0,2,2,0
144,9,4,12,2,10,0,1,1,3,2,0
145,14,6,2,2,12,0,1,1,0,2,0
146,7,4,9,2,4,0,0,1,3,2,1
147,4,0,8,4,0,3,1,1,0,4,0
148,7,2,9,2,10,0,1,1,2,2,1
149,11,0,11,0,0,1,0,0,2,2,0
150,4,4,1,4,8,3,0,1,1,2,0
151,3,4,0,4,6,1,0,1,1,2,0
152,13,4,11,2,7,0,1,1,2,2,1
153,5,4,15,4,1,3,1,0,2,2,0
154,5,4,15,2,1,0,1,1,2,2,0
155,4,4,15,4,8,1,1,0,2,2,0
156,5,2,15,4,1,1,0,0,2,2,0
157,7,7,9,0,10,4,1,0,2,1,0
158,4,0,11,4,0,3,1,0,1,2,0
159,8,4,12,2,10,0,1,1,2,2,1
160,9,2,9,2,10,0,1,1,2,2,0
161,6,4,15,0,6,1,1,1,2,2,0
