,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
36899,10,6,15,0,10,1,1,0,1,2,0
15379,5,4,11,4,8,4,1,1,2,2,0
33837,9,4,11,3,3,1,1,1,2,1,0
36221,6,4,8,5,10,1,1,1,2,2,0
3390,9,4,10,6,10,4,1,1,2,0,1
31081,10,4,4,3,8,4,1,0,1,2,0
26286,10,4,15,4,8,1,1,1,1,2,0
14828,4,4,11,2,12,0,1,1,2,2,0
5142,5,4,9,4,8,1,0,0,1,2,0
27109,8,2,11,2,5,0,1,1,2,2,0
46161,12,4,11,6,14,1,1,1,1,2,0
40698,8,6,12,2,10,0,1,1,1,2,1
13248,13,4,13,4,7,1,1,1,0,2,0
15912,5,4,11,0,3,1,1,1,2,2,0
29249,6,4,8,2,13,0,1,1,2,2,1
19073,9,0,5,0,0,1,0,1,2,2,0
31685,12,4,11,2,1,0,1,1,2,2,0
30235,8,4,12,2,10,0,1,1,2,2,1
13610,8,6,11,2,14,0,1,1,3,2,1
10855,9,2,15,2,11,0,1,1,2,2,1
43497,9,4,9,4,12,3,1,1,2,2,0
43291,10,2,6,2,14,0,1,1,2,2,0
47219,3,4,11,4,6,1,0,1,1,2,0
5920,4,4,0,5,8,4,1,0,2,2,0
31905,3,4,2,4,8,3,1,1,1,2,0
46965,7,5,15,4,12,1,1,1,2,2,0
10741,5,4,8,2,3,0,1,1,2,2,0
20175,5,4,9,4,1,1,1,1,2,1,0
16953,8,4,7,2,12,0,1,1,2,2,1
34184,9,4,12,0,10,1,1,1,3,2,0
11242,10,2,15,2,5,0,1,1,2,2,0
31704,9,4,11,2,3,0,1,1,2,2,0
10517,7,4,4,5,7,1,1,0,2,2,0
14913,12,4,4,2,5,2,1,0,2,2,0
32366,8,4,11,4,12,4,1,0,2,2,0
6552,7,4,11,2,14,0,1,1,2,2,0
31112,6,4,11,0,4,1,1,1,3,2,0
8963,18,0,11,6,0,1,1,0,2,2,0
5492,11,0,11,0,0,1,1,0,2,1,0
44183,7,1,11,4,1,1,1,1,2,2,1
42214,5,4,7,2,13,0,1,1,2,2,1
4976,9,6,12,2,3,0,1,1,2,2,1
41128,6,4,15,4,1,1,1,0,2,2,0
27301,7,4,8,4,3,3,0,1,2,2,0
40662,7,4,9,2,4,0,1,1,2,2,1
15646,6,4,11,4,3,1,0,0,2,2,0
29536,8,4,15,2,7,0,1,1,3,2,0
30258,10,4,15,2,12,0,1,1,2,2,1
22501,4,4,6,4,7,3,1,1,2,2,0
26255,4,4,11,4,8,3,1,0,2,2,0
38924,4,4,15,4,10,1,0,0,1,2,0
27712,8,6,11,0,5,2,1,1,1,2,0
46941,7,4,15,0,8,4,1,0,1,2,0
20602,8,4,9,2,1,5,1,0,2,2,1
6278,10,2,11,2,3,0,1,1,2,2,0
39176,6,4,9,6,12,4,1,0,2,2,0
4350,4,4,11,4,6,3,1,1,1,2,0
42394,4,4,11,4,6,3,1,1,2,2,0
24092,5,4,9,2,12,0,1,1,2,2,0
24960,4,4,11,4,7,1,0,1,2,4,0
46044,4,4,1,2,11,0,1,1,2,2,0
36928,7,1,15,2,4,0,0,1,2,2,1
43696,10,4,15,2,3,0,1,1,2,2,1
46420,4,4,7,4,5,1,0,0,2,2,0
8068,9,4,8,2,10,0,1,1,2,1,1
22940,5,4,13,4,5,1,1,1,1,2,0
44644,10,4,11,2,1,0,1,1,2,2,0
23537,5,4,15,2,12,0,1,1,2,2,0
34174,9,5,15,2,12,0,1,1,2,2,0
26931,5,4,11,2,1,0,0,1,2,2,0
11328,3,0,15,4,0,3,1,1,2,2,0
8449,13,4,11,0,7,1,1,1,0,2,0
20942,8,4,15,5,10,4,0,0,2,2,0
23672,8,4,9,2,10,0,1,1,2,2,1
42724,12,4,11,0,1,4,0,0,2,2,0
11408,8,4,9,2,10,0,1,1,2,2,1
4330,10,2,11,2,11,0,1,1,2,2,1
33749,5,4,8,2,3,0,1,1,2,2,0
14028,8,6,9,4,12,1,1,1,2,2,0
37252,8,6,4,2,5,0,1,1,4,2,1
24718,10,4,11,0,12,1,1,0,2,2,0
40223,9,4,15,6,1,4,1,0,2,2,1
28566,6,4,15,2,3,0,1,1,2,2,0
32913,11,6,10,1,4,5,1,0,1,2,1
5006,3,4,1,4,8,1,1,1,2,2,0
24423,11,7,7,0,1,3,0,1,2,2,0
9891,6,4,15,2,7,0,1,1,2,2,0
35851,7,4,9,2,4,0,1,1,2,2,0
7857,6,2,12,4,10,1,1,0,2,2,0
24885,7,4,9,4,10,1,1,0,2,2,0
239,4,4,11,4,14,3,1,1,2,2,0
10425,12,0,9,2,0,0,0,1,2,2,0
37912,10,7,11,2,8,0,1,1,2,2,1
20712,8,4,9,0,10,1,1,0,2,2,0
26073,10,6,11,2,12,0,1,1,2,2,1
4392,6,4,11,2,8,0,1,1,1,2,0
22255,5,4,11,4,1,1,1,0,2,2,0
39931,8,4,11,2,14,0,1,1,2,2,1
31560,8,4,11,3,1,4,1,0,2,2,0
26199,8,2,9,2,10,0,1,1,2,2,1
39930,11,4,9,3,10,2,0,0,1,2,0
17318,10,2,14,2,10,0,1,1,2,2,1
21223,9,6,11,2,12,3,1,0,2,2,1
222,18,4,11,4,8,1,0,1,2,2,0
17894,5,4,15,2,12,0,1,1,2,4,0
35692,10,4,11,0,8,1,1,0,2,2,0
30663,5,4,11,2,6,0,1,1,2,2,0
22106,4,7,15,2,8,0,0,1,1,4,0
41345,4,4,9,4,13,1,1,1,0,2,0
17070,6,7,8,4,10,1,1,0,2,2,0
37371,6,4,9,2,13,0,1,1,2,2,0
28784,9,6,0,4,3,1,0,1,1,2,0
15439,6,4,8,0,1,1,1,1,2,2,0
29681,9,4,12,2,4,0,1,1,2,2,1
