,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,3,4,2,4,5,1,0,1,2,2,0
1,7,4,2,2,11,0,1,1,3,2,0
2,9,4,9,0,10,1,1,0,1,2,0
3,6,4,15,2,9,0,1,1,2,2,1
4,5,6,11,4,0,3,1,0,2,2,0
5,7,4,11,2,3,0,1,1,3,2,0
6,9,4,9,0,5,4,1,1,3,2,0
7,6,4,11,4,4,1,1,0,1,2,0
8,5,4,15,4,11,3,1,1,2,2,0
9,5,4,6,4,8,1,0,1,2,2,0
10,4,4,15,4,4,1,1,1,2,2,0
11,5,6,11,2,12,0,1,1,2,2,0
12,8,4,9,2,6,0,1,1,3,2,0
13,9,4,15,0,11,1,0,0,2,2,0
14,10,4,1,2,4,0,1,1,2,2,0
15,11,4,10,2,0,0,1,1,2,2,1
16,13,4,13,2,7,0,1,1,2,2,0
17,5,3,15,4,9,1,0,1,2,2,0
18,18,5,9,2,10,0,1,1,1,2,0
19,6,4,15,4,12,1,1,1,1,0,0
20,3,4,11,6,1,0,1,1,2,2,1
21,4,4,8,2,13,0,1,1,3,2,1
22,11,0,11,2,3,0,1,1,2,2,1
23,4,4,15,4,3,1,1,1,2,2,0
24,3,2,12,2,10,0,1,1,4,4,1
25,8,4,9,2,4,0,1,1,2,2,0
26,10,5,12,0,10,4,0,0,1,2,0
27,10,6,15,4,10,1,1,1,2,2,0
28,5,4,15,4,1,3,1,1,2,2,0
29,17,4,11,2,4,0,1,1,2,2,0
30,9,4,9,2,4,0,1,1,1,2,0
31,5,6,9,4,10,1,1,0,2,3,1
32,4,4,8,4,8,1,0,1,2,2,0
33,9,4,11,0,12,4,1,1,3,2,0
34,11,8,12,6,8,2,1,0,2,2,0
35,6,4,9,2,1,1,1,1,2,2,1
36,11,6,12,5,10,4,1,0,2,1,0
37,7,4,15,2,0,0,1,1,2,2,0
38,10,6,15,2,12,0,1,1,1,2,0
39,6,7,15,2,4,0,1,1,2,2,0
40,8,4,9,2,9,0,0,1,1,2,1
41,5,4,9,2,10,0,1,1,2,2,1
42,9,4,11,0,4,0,1,1,1,2,0
43,16,4,9,2,9,0,0,1,2,2,1
44,10,4,11,0,3,1,1,0,3,2,0
45,7,4,11,2,2,0,1,1,2,2,0
46,4,4,14,2,11,1,1,1,3,2,0
47,7,4,11,2,2,0,1,1,2,2,1
48,7,6,11,2,3,0,1,1,2,3,0
49,5,4,7,4,8,3,1,1,2,2,0
50,9,4,11,2,11,0,1,1,2,2,0
51,5,0,11,4,3,1,1,1,2,2,0
52,4,2,13,4,8,5,1,0,1,2,0
53,5,6,15,2,1,0,1,1,2,2,0
54,6,4,15,4,1,3,1,1,4,2,0
55,6,4,12,2,4,0,1,1,2,2,1
56,10,4,9,2,4,0,1,1,2,2,0
57,6,4,2,2,4,0,1,1,2,2,0
58,8,4,15,4,1,3,1,1,4,2,0
59,7,4,15,4,1,3,1,1,2,2,0
60,5,6,15,0,9,1,1,0,2,0,0
61,13,1,11,2,1,0,1,1,2,2,0
62,17,4,11,2,3,0,1,1,2,2,0
63,17,4,11,2,11,0,1,1,2,2,1
64,5,6,5,4,2,1,1,0,2,3,0
65,4,4,5,4,14,1,1,1,3,2,0
66,8,4,1,1,8,4,1,0,1,2,0
67,8,4,9,0,8,4,1,0,2,2,0
68,6,4,0,6,13,4,1,1,3,2,1
69,6,4,15,4,12,1,1,0,2,2,0
70,11,4,12,2,8,1,0,1,1,2,1
71,6,4,12,4,4,1,1,0,2,2,0
72,9,8,6,6,8,5,0,0,1,2,0
73,14,0,12,2,10,0,1,1,2,2,0
74,4,4,15,4,0,3,1,1,3,2,0
75,10,4,11,0,3,4,1,0,2,2,0
76,8,4,1,2,4,0,1,1,2,2,0
77,9,4,12,2,10,0,1,1,2,2,0
78,8,4,5,2,4,0,1,1,2,2,0
79,4,4,11,4,14,3,1,1,2,2,0
80,7,4,11,2,3,0,1,1,2,2,1
81,8,4,15,4,8,1,1,0,1,4,1
82,7,4,14,1,5,1,0,0,2,2,0
83,11,5,15,4,12,1,0,1,2,2,0
84,18,5,11,2,14,0,0,1,2,2,1
85,13,1,11,4,1,3,1,1,2,2,0
86,8,4,7,2,0,2,1,0,2,2,0
87,7,3,15,2,2,0,1,1,2,2,0
88,9,4,15,2,6,0,1,1,2,2,0
89,6,4,11,2,6,0,1,1,3,2,0
90,7,1,9,5,10,0,1,1,1,2,1
91,9,6,12,2,10,0,1,1,2,2,1
92,8,4,12,2,4,0,1,1,2,2,0
93,5,4,8,4,7,1,1,0,2,2,0
94,5,6,15,4,5,3,1,0,2,2,0
95,5,4,4,2,12,0,1,1,2,2,0
96,5,4,15,2,1,1,0,1,1,2,1
97,5,4,9,4,14,1,1,1,2,2,0
98,7,2,11,2,6,0,0,1,2,2,0
99,9,4,2,2,3,0,1,1,2,2,0
100,10,4,7,6,10,1,0,0,2,2,0
101,4,4,13,4,8,3,1,0,2,2,0
102,5,4,15,4,8,3,0,1,1,2,0
103,18,7,11,2,9,0,0,1,2,2,0
104,5,4,7,4,12,1,1,0,1,2,0
105,11,6,9,5,8,4,1,0,2,2,0
106,5,4,12,2,4,0,1,1,2,2,0
107,7,4,11,4,11,3,1,1,2,2,0
108,8,4,15,2,5,0,1,1,3,2,0
109,11,7,12,4,10,3,1,1,4,2,0
110,7,4,11,2,4,0,1,1,2,2,0
111,9,4,15,2,1,0,1,1,4,2,1
112,6,4,15,4,2,1,1,0,2,2,0
113,7,1,11,2,14,0,1,1,2,2,1
114,5,4,11,2,7,0,1,1,3,2,0
115,3,2,14,4,6,3,1,1,2,0,0
116,8,4,11,0,11,5,0,0,2,2,0
117,8,1,11,4,8,3,1,1,2,2,0
118,5,4,15,4,8,3,1,0,1,2,0
119,5,4,11,4,1,3,1,1,2,2,0
120,5,4,9,4,8,1,1,1,2,2,0
121,7,4,15,4,9,4,1,0,3,2,0
122,9,6,15,0,12,1,1,1,2,2,0
123,5,4,12,2,10,1,1,1,1,2,0
124,7,4,12,2,4,0,1,1,2,2,0
125,6,4,11,2,4,0,1,1,2,2,0
126,18,4,6,2,8,2,1,0,2,0,1
127,8,4,7,2,3,0,1,1,2,0,0
128,6,4,9,4,8,3,1,1,1,2,0
129,12,3,11,2,14,0,1,1,2,2,1
130,9,6,9,2,0,5,1,0,2,2,0
131,3,2,15,3,1,1,1,1,2,2,0
132,11,6,8,2,3,0,1,1,2,2,1
133,11,6,15,2,3,0,1,1,4,2,0
134,8,4,14,0,6,3,0,1,2,2,0
135,11,6,12,2,10,5,1,0,4,2,1
136,5,4,15,2,1,0,1,1,2,2,1
137,5,4,11,0,14,4,0,0,2,2,0
138,6,4,9,0,8,4,0,0,2,2,0
139,6,4,15,2,4,0,1,1,2,2,1
140,11,2,7,4,8,3,1,1,2,3,0
141,7,4,15,2,12,0,1,1,2,2,1
142,5,6,15,4,14,4,0,0,3,2,0
143,8,4,15,5,2,1,1,1,2,0,0
144,5,7,15,2,12,0,1,1,2,2,0
145,6,4,10,4,9,3,1,1,2,2,0
146,5,4,9,4,10,1,1,1,2,2,0
147,8,4,4,0,12,1,1,0,2,2,0
148,3,2,11,4,7,3,1,1,3,2,0
149,7,4,8,2,0,0,1,1,3,2,1
150,16,1,11,2,2,0,0,1,3,2,0
151,8,4,12,0,10,4,1,0,2,2,0
152,5,4,11,2,14,0,1,1,2,2,1
153,7,4,14,2,10,1,1,1,4,2,0
154,6,4,7,4,8,1,1,1,2,2,0
155,4,4,11,4,3,1,1,1,2,2,0
156,5,4,11,2,4,0,1,1,2,2,0
157,5,6,11,2,6,5,1,0,2,2,0
158,8,4,11,2,10,0,1,1,2,2,0
159,3,2,11,2,14,0,1,1,3,2,0
160,8,4,12,2,4,0,1,1,2,2,0
161,11,7,0,2,4,0,1,1,2,2,0
162,6,4,11,5,10,5,1,0,2,2,1
163,6,4,5,4,2,3,1,1,2,2,0
164,7,4,15,4,9,1,1,0,1,2,0
165,4,4,11,2,6,0,1,1,2,2,0
166,9,6,11,0,4,1,0,1,2,1,0
167,4,4,15,4,12,4,1,0,2,2,0
168,6,1,15,2,0,0,1,1,2,2,0
169,7,8,11,2,4,0,1,1,2,2,0
170,6,4,11,0,11,4,1,0,2,2,0
171,5,6,11,2,3,0,1,1,2,2,0
172,11,6,9,3,10,4,1,0,0,2,1
173,9,4,11,2,7,0,1,1,1,2,1
174,7,4,9,2,4,0,1,1,2,2,1
175,8,4,11,4,13,1,1,1,2,2,0
176,11,4,11,4,9,3,1,0,3,2,0
177,5,0,11,4,4,1,1,1,1,2,0
178,8,4,9,4,10,1,1,1,2,2,0
179,7,4,15,4,1,3,1,1,2,2,0
180,5,4,9,2,4,0,1,1,2,0,0
