,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,11,0,8,2,0,0,0,1,2,4,0
1,8,0,11,0,0,1,1,0,2,2,0
2,7,4,12,4,4,3,1,1,2,2,0
3,13,4,9,0,4,4,1,0,2,2,0
4,11,4,11,2,3,0,1,1,2,2,0
5,10,4,15,2,6,0,1,1,2,2,1
6,3,5,11,4,12,3,1,0,1,2,0
7,11,4,15,2,6,0,1,1,2,2,0
8,7,1,15,4,1,3,1,0,2,2,0
9,7,4,5,2,7,0,1,1,2,2,0
10,6,4,12,0,1,4,1,0,2,2,0
11,5,6,11,4,12,3,1,1,2,2,0
12,8,4,11,2,3,0,1,1,2,2,0
13,12,4,11,2,6,0,1,1,2,2,1
14,12,4,7,6,12,4,1,0,1,2,0
15,6,4,0,0,3,1,1,1,1,1,0
16,5,0,15,2,0,0,1,1,2,2,0
17,9,4,11,2,3,0,1,1,2,2,0
18,7,1,10,4,10,1,1,0,2,2,0
19,9,4,15,2,5,0,1,1,2,2,1
20,5,6,7,4,4,1,1,0,1,2,0
21,6,4,15,5,12,4,1,1,2,2,0
22,5,4,15,4,4,1,1,1,2,2,1
23,5,4,6,4,14,3,1,1,2,2,0
24,6,4,9,2,3,0,1,1,2,2,1
25,6,6,8,2,3,0,1,1,1,2,0
26,7,4,15,2,5,0,1,1,2,2,1
27,8,4,9,2,10,0,1,1,2,2,0
28,7,2,12,2,10,0,1,1,2,2,1
29,7,4,11,3,8,1,1,0,2,2,0
30,11,4,11,0,3,1,0,1,2,2,0
31,12,4,12,6,1,4,0,0,0,2,0
32,6,4,9,4,10,3,0,1,2,2,0
33,6,4,11,4,3,1,1,1,0,2,0
34,12,4,15,6,7,4,0,0,1,2,0
35,10,4,0,2,7,0,1,1,2,2,1
36,12,6,0,2,14,0,1,1,2,2,0
37,8,4,12,0,10,4,0,0,1,2,0
38,7,4,6,0,8,1,1,1,2,2,0
39,8,6,9,2,10,0,1,1,2,2,0
40,9,5,11,2,4,0,1,1,2,2,1
41,3,4,9,4,7,3,1,1,2,2,0
42,4,4,15,2,6,0,1,1,2,2,0
43,7,4,12,2,4,0,1,1,3,2,1
44,6,4,15,0,12,1,1,1,1,2,0
45,3,5,12,4,10,3,1,1,2,2,0
46,5,4,11,4,12,1,1,1,1,2,0
47,12,4,15,2,12,0,1,1,2,2,1
48,5,4,9,4,4,1,1,0,2,2,0
49,8,4,9,2,4,0,1,1,2,2,1
50,8,4,12,2,8,5,1,0,2,2,0
51,10,5,11,2,12,5,1,0,2,2,0
52,9,4,12,6,10,4,0,0,2,2,0
53,7,7,15,2,13,5,1,0,3,2,1
54,9,4,12,2,10,0,1,1,2,2,0
55,7,4,11,2,3,0,1,1,2,2,0
56,7,4,9,4,5,3,1,1,0,2,0
57,10,4,15,5,1,2,1,0,2,2,0
58,8,4,11,2,1,0,1,1,3,2,1
59,10,4,9,0,12,1,1,0,2,2,0
60,5,4,9,2,4,0,1,1,4,2,0
61,5,4,11,0,12,4,0,0,3,2,1
62,6,2,15,2,8,0,1,1,2,2,0
63,9,4,11,2,6,0,0,1,2,2,0
64,6,0,15,0,0,4,1,0,2,2,1
65,3,7,11,4,1,3,0,1,0,2,0
66,7,2,10,0,10,1,1,0,2,2,0
67,4,4,2,4,1,1,1,0,2,2,0
68,6,6,15,4,3,1,1,1,2,2,0
69,5,4,11,4,1,3,1,0,2,2,0
70,8,4,11,4,8,1,1,1,2,2,0
71,4,6,11,4,3,1,1,1,1,2,0
72,10,4,15,2,4,0,0,1,2,2,1
73,9,4,11,2,12,0,1,1,2,2,0
74,10,4,10,0,10,1,1,0,0,2,0
75,9,7,12,5,4,4,1,0,3,2,0
76,4,4,13,4,1,3,1,0,2,2,0
77,4,5,11,4,5,1,1,1,2,2,0
78,10,4,11,2,7,0,1,1,3,2,1
79,8,4,1,0,3,1,0,1,2,2,1
80,3,4,11,4,14,3,1,1,2,2,0
81,4,6,11,2,14,0,1,1,2,2,0
82,13,4,15,2,6,0,1,1,0,2,1
83,4,4,9,5,8,4,1,0,2,2,0
84,4,4,1,2,6,0,1,1,2,2,1
85,4,4,15,4,12,4,0,0,2,2,0
86,7,4,2,2,8,0,1,1,2,2,1
87,9,4,12,2,4,0,1,1,2,2,1
88,6,4,15,0,7,4,0,0,2,0,0
89,7,4,1,2,3,0,0,1,2,2,1
90,11,4,8,0,3,1,1,1,2,2,0
91,9,4,11,4,3,3,1,1,2,2,0
92,8,4,11,4,1,1,1,0,2,2,0
93,8,4,15,0,13,1,1,1,2,2,1
94,4,7,11,4,8,4,1,0,0,2,0
95,5,4,9,0,10,4,0,0,2,2,0
96,4,5,0,2,7,0,1,1,2,2,1
97,7,4,11,2,1,0,1,1,2,2,1
98,8,4,11,0,8,3,0,1,2,2,0
99,12,7,8,2,10,0,0,1,2,4,1
100,8,4,15,2,13,0,0,1,1,2,1
101,6,6,11,2,3,0,1,1,2,2,1
102,6,4,6,2,6,0,1,1,2,2,1
103,5,4,15,4,1,1,1,0,2,2,0
104,7,6,11,2,8,0,1,1,2,2,1
105,6,4,7,0,1,1,1,0,2,2,0
106,6,4,11,4,12,4,1,0,2,2,0
107,7,4,4,2,3,0,1,1,2,2,0
108,3,0,11,4,0,3,1,1,0,2,0
