,R,Q,A,Y
0,0.2,1,1,1
1,0.2,2,1,0
2,0.2,3,0,1
3,1.0,2,0,1
4,0.2,2,1,1
5,0.2,2,0,0
6,0.2,2,0,0
7,0.2,2,0,1
8,0.2,0,0,0
9,0.2,2,0,0
10,0.2,2,1,1
11,0.2,1,1,1
12,0.2,1,1,0
13,0.2,3,1,1
14,0.2,3,0,0
15,0.2,1,0,0
16,0.2,1,0,0
17,1.0,2,1,0
18,0.2,2,1,1
19,0.2,1,0,1
20,0.2,2,1,1
21,1.0,1,1,1
22,0.2,0,1,1
23,0.2,2,0,0
24,0.2,1,0,0
25,0.2,2,1,0
26,0.2,1,0,0
27,1.0,1,1,1
28,0.2,1,0,0
29,1.0,0,1,1
30,0.2,2,0,0
31,0.2,3,0,0
32,0.2,3,1,0
33,0.2,3,0,0
34,0.2,2,1,1
35,1.0,3,0,0
36,0.2,2,0,0
37,0.2,0,0,0
38,1.0,1,1,1
39,0.2,1,0,0
40,1.0,1,1,1
41,0.2,3,1,1
42,0.2,1,0,0
43,2.2,3,1,1
44,0.2,1,0,0
45,0.2,1,0,0
46,0.2,1,0,0
47,1.0,2,1,1
48,1.0,1,1,1
49,0.2,1,0,0
50,0.2,2,0,0
51,0.2,3,0,0
52,1.0,1,0,0
53,0.2,0,0,0
54,1.0,1,1,1
55,0.2,3,0,0
56,1.0,3,1,1
57,0.2,1,0,1
58,0.2,3,0,0
59,0.2,0,1,1
60,0.2,2,0,0
61,0.2,1,0,0
62,1.0,3,0,0
63,0.2,1,1,0
64,0.2,1,1,1
65,0.2,2,1,1
66,0.2,0,0,0
67,0.2,0,0,1
68,1.0,0,1,1
69,0.2,2,1,1
70,0.2,2,1,1
71,0.2,1,0,0
72,0.2,1,1,0
73,0.2,1,0,0
74,0.2,3,0,0
75,1.0,3,1,1
76,0.2,2,1,1
77,0.2,2,0,0
78,0.2,1,0,0
79,0.2,1,1,1
80,0.2,2,0,1
81,0.2,2,1,1
82,0.2,2,0,0
83,0.2,1,0,0
84,0.2,2,1,0
85,0.2,1,0,0
86,0.2,0,0,0
87,1.0,0,1,1
88,1.0,2,1,1
89,0.2,2,1,1
90,0.2,1,1,1
91,0.2,2,1,1
92,0.2,2,0,0
93,0.2,2,0,0
94,0.2,3,0,0
95,0.2,1,1,1
96,0.2,1,1,1
97,0.2,1,1,1
98,0.2,2,0,0
99,0.2,3,0,0
100,0.2,3,1,1
101,1.0,3,0,1
102,0.2,1,1,1
103,0.2,2,0,1
104,0.2,1,1,1
105,0.2,1,0,0
106,0.2,2,0,0
107,1.0,2,0,1
108,1.0,1,1,1
109,0.2,1,1,1
110,1.0,1,1,1
111,0.2,1,0,1
112,0.2,1,1,0
113,0.2,1,1,1
114,0.2,1,1,1
115,0.2,3,0,0
116,1.0,1,1,0
117,0.2,1,0,0
118,1.0,1,1,1
119,0.2,2,1,0
120,0.2,2,1,1
121,0.2,1,0,0
122,0.2,2,0,0
123,0.2,1,0,1
124,1.0,2,1,1
125,0.2,2,0,0
126,0.2,1,0,1
127,0.2,2,1,0
128,1.0,2,1,1
129,1.0,2,1,1
130,0.2,3,0,0
131,0.2,1,1,1
132,1.0,1,1,1
133,0.2,0,0,0
134,0.2,1,1,1
135,0.2,1,1,0
136,0.2,2,0,0
137,2.2,1,0,0
138,1.0,3,0,1
139,0.2,2,1,0
140,0.2,1,1,1
141,0.2,2,0,0
142,0.2,2,1,1
143,0.2,1,0,0
144,0.2,2,1,1
145,0.2,2,0,0
146,0.2,2,1,1
147,1.0,2,0,0
148,0.2,3,0,0
149,0.2,2,1,1
150,0.2,2,0,0
151,0.2,0,1,1
152,1.0,2,1,1
153,0.2,2,0,0
154,0.2,2,1,1
155,0.2,2,1,1
156,0.2,1,1,1
157,0.2,2,0,0
158,0.2,2,0,0
159,0.2,1,1,1
160,0.2,2,1,1
161,0.2,2,1,1
162,0.2,3,0,0
163,0.2,3,0,0
164,0.2,1,1,1
165,0.2,2,0,0
166,0.2,1,0,0
167,0.2,2,1,1
168,0.2,2,0,0
169,0.2,1,1,1
170,0.2,3,1,0
171,0.2,2,1,1
172,0.2,1,0,0
173,0.2,2,0,0
174,0.2,1,0,0
175,1.0,0,0,1
176,0.2,0,0,0
177,0.2,0,1,1
178,0.2,2,1,0
179,0.2,1,1,0
180,0.2,0,1,1
181,1.0,2,1,0
182,0.2,2,1,0
183,1.0,2,1,1
184,1.0,1,1,1
185,0.2,1,1,1
186,0.2,2,1,0
187,0.2,2,0,0
188,0.2,1,0,0
189,0.2,1,1,0
190,0.2,1,0,1
191,0.2,1,0,0
192,0.2,1,0,0
193,0.2,1,0,1
194,0.2,0,1,1
195,0.2,2,1,1
196,1.0,2,1,1
197,0.2,2,0,0
198,0.2,1,1,0
199,0.2,1,1,1
200,1.0,3,1,1
201,0.2,0,1,1
202,0.2,2,1,1
203,0.2,2,1,1
204,0.2,1,0,0
205,1.0,1,1,1
206,0.2,1,1,1
207,0.2,2,0,0
208,0.2,0,1,1
209,0.2,0,0,1
210,0.2,2,1,0
211,0.2,1,0,0
212,1.0,2,1,1
213,0.2,2,0,0
214,0.2,0,0,0
215,0.2,1,0,0
216,1.0,1,1,1
217,0.2,2,1,0
218,0.2,1,1,1
219,0.2,1,1,0
220,0.2,3,0,0
221,0.2,1,1,1
222,0.2,2,0,0
223,0.2,1,0,0
224,0.2,1,1,1
225,0.2,2,1,1
226,0.2,1,1,1
227,0.2,3,0,0
228,0.2,0,0,0
229,0.2,1,0,0
230,0.2,0,1,1
231,1.0,2,0,1
232,0.2,3,0,0
233,0.2,0,0,1
234,0.2,0,0,1
235,0.2,1,0,0
236,0.2,1,1,0
237,0.2,1,1,1
238,1.0,1,0,0
239,0.2,1,0,0
240,0.2,3,0,0
241,0.2,1,1,0
242,0.2,3,0,0
243,0.2,2,1,0
244,0.2,0,1,1
245,0.2,2,1,0
246,0.2,2,0,0
247,0.2,0,0,0
248,1.0,2,0,0
249,1.0,1,1,1
250,0.2,3,1,1
251,0.2,2,0,1
252,0.2,3,1,1
253,0.2,1,0,0
254,0.2,2,0,0
255,1.0,1,1,1
256,0.2,1,1,1
257,0.2,1,1,0
258,1.0,0,1,1
259,0.2,1,0,1
260,0.2,2,1,1
261,1.0,0,1,1
262,0.2,1,0,0
263,1.0,1,1,1
264,1.0,0,0,0
265,0.2,2,0,0
266,0.2,1,0,0
267,0.2,3,1,0
268,0.2,1,1,1
269,0.2,2,0,0
270,1.0,1,0,1
271,0.2,2,1,0
272,0.2,3,1,0
273,2.2,1,0,1
274,0.2,1,0,0
275,0.2,3,0,0
276,0.2,2,0,0
277,0.2,1,0,1
278,1.0,2,1,1
279,1.0,3,1,1
280,0.2,2,1,1
281,0.2,1,0,0
282,0.2,2,0,0
283,0.2,1,1,1
284,0.2,3,1,1
285,0.2,2,1,0
286,0.2,1,1,0
287,0.2,0,1,1
288,0.2,1,1,1
289,0.2,1,0,0
290,0.2,1,1,1
291,2.2,1,0,1
292,0.2,2,0,0
293,0.2,2,1,1
294,0.2,0,1,1
295,0.2,1,1,1
296,1.0,3,0,1
297,0.2,2,1,1
298,1.0,1,1,1
299,0.2,2,0,0
300,0.2,2,1,1
301,0.2,0,0,1
302,1.0,2,1,1
303,0.2,2,0,1
304,0.2,0,1,1
305,0.2,3,0,0
306,0.2,2,0,0
307,0.2,2,1,1
308,1.0,2,0,1
309,0.2,1,0,0
310,0.2,2,1,0
311,1.0,0,1,1
312,0.2,1,1,1
313,1.0,2,1,1
314,0.2,2,0,0
315,0.2,1,0,0
316,0.2,1,0,0
317,0.2,3,0,0
318,0.2,1,1,1
319,0.2,2,0,0
320,0.2,0,0,0
321,0.2,3,0,0
322,0.2,1,1,1
323,0.2,2,0,1
324,0.2,1,0,1
325,0.2,1,0,0
326,0.2,1,0,0
327,1.0,2,1,1
328,0.2,1,0,0
329,0.2,3,0,0
330,0.2,2,0,1
331,1.0,1,0,0
332,1.0,1,1,1
333,0.2,2,1,1
334,0.2,2,1,1
335,0.2,1,0,0
336,0.2,2,1,1
337,1.0,1,1,0
338,0.2,3,1,1
339,0.2,1,0,0
340,0.2,0,1,1
341,0.2,3,0,0
342,0.2,2,1,1
343,0.2,2,0,0
344,0.2,1,0,0
345,0.2,1,1,1
346,0.2,3,0,0
347,0.2,2,0,0
348,0.2,1,1,1
349,0.2,2,1,0
350,0.2,1,1,0
351,0.2,1,0,1
352,0.2,2,0,0
353,0.2,3,1,1
354,0.2,2,1,1
355,0.2,2,1,1
356,0.2,2,0,0
357,1.0,2,1,1
358,1.0,0,1,1
359,0.2,2,1,1
360,0.2,2,1,1
361,0.2,2,0,0
362,0.2,3,0,0
363,0.2,3,0,0
364,0.2,1,0,0
365,0.2,1,0,0
366,0.2,2,0,0
367,0.2,0,0,0
368,2.2,1,0,0
369,0.2,2,0,1
370,0.2,1,1,1
371,0.2,2,0,0
372,0.2,2,0,0
373,0.2,0,1,1
374,1.0,0,0,1
375,2.2,1,0,1
376,0.2,1,1,0
377,0.2,1,1,1
378,0.2,1,1,0
379,0.2,1,0,1
380,0.2,2,0,0
381,0.2,1,0,0
382,0.2,0,1,1
383,0.2,1,1,1
384,0.2,3,1,1
385,0.2,0,0,0
386,1.0,1,0,1
387,1.0,1,1,1
388,0.2,1,0,1
389,0.2,2,1,0
390,0.2,2,1,1
391,0.2,2,1,1
392,0.2,3,0,0
393,0.2,2,1,1
394,0.2,2,0,1
395,1.0,2,1,0
396,0.2,1,0,0
397,0.2,3,0,0
398,0.2,1,1,0
399,0.2,2,1,0
400,0.2,2,0,0
401,0.2,1,0,1
402,0.2,2,1,1
403,0.2,2,0,0
404,0.2,2,0,0
405,0.2,2,0,0
406,0.2,3,0,0
407,0.2,2,0,0
408,0.2,2,1,1
409,0.2,1,0,0
410,0.2,2,0,0
411,0.2,3,1,0
412,0.2,0,1,1
413,0.2,3,0,0
414,0.2,1,0,0
415,0.2,2,0,1
416,0.2,3,0,0
417,0.2,1,0,0
418,0.2,2,0,1
419,0.2,2,0,0
420,0.2,1,1,1
421,0.2,2,1,1
422,0.2,1,1,1
423,0.2,0,1,1
424,0.2,3,0,0
425,0.2,3,0,0
426,0.2,1,1,0
427,1.0,1,1,1
428,0.2,1,1,0
429,0.2,2,1,1
430,0.2,2,1,1
431,0.2,1,0,1
432,0.2,2,0,0
433,0.2,1,0,0
434,0.2,2,0,0
435,1.0,1,0,0
436,1.0,1,0,0
437,0.2,1,1,1
438,1.0,1,1,1
439,2.2,0,0,1
440,0.2,2,0,0
441,0.2,2,1,1
442,0.2,0,1,1
443,0.2,2,0,0
444,0.2,2,1,0
445,0.2,3,1,0
446,0.2,0,0,0
447,1.0,2,1,1
448,0.2,0,0,1
449,0.2,0,1,0
450,1.0,2,1,1
451,0.2,1,0,0
452,0.2,1,1,1
453,0.2,0,0,0
454,1.0,3,1,1
455,0.2,2,0,0
456,0.2,1,1,0
457,0.2,0,1,0
458,0.2,3,0,1
459,0.2,2,0,0
460,0.2,2,0,0
461,0.2,2,0,0
462,0.2,2,1,0
463,0.2,3,0,0
464,0.2,2,0,0
465,0.2,0,1,1
466,0.2,1,1,1
467,0.2,3,0,0
468,0.2,1,1,1
469,1.0,0,0,1
470,0.2,0,0,0
471,0.2,2,0,0
472,1.0,1,0,0
473,1.0,2,1,1
474,2.2,1,1,1
475,0.2,1,1,0
476,0.2,2,0,0
477,1.0,1,0,1
478,0.2,0,0,0
479,0.2,3,0,0
480,1.0,1,0,1
481,0.2,2,1,0
482,1.0,1,0,0
483,0.2,2,0,0
484,0.2,2,0,0
485,0.2,0,1,1
486,0.2,1,1,1
487,0.2,1,1,1
488,0.2,2,0,0
489,1.0,1,1,1
490,0.2,1,1,1
491,0.2,1,0,0
492,0.2,1,0,0
493,0.2,1,1,1
494,0.2,2,0,0
495,0.2,1,1,1
496,0.2,1,1,0
497,0.2,1,0,0
498,0.2,0,0,0
499,0.2,2,1,1
500,1.0,2,1,1
501,1.0,2,0,0
502,0.2,2,1,0
503,0.2,2,0,0
504,1.0,1,0,1
505,0.2,1,0,0
506,0.2,3,1,0
507,0.2,2,1,0
508,0.2,1,0,0
509,0.2,3,0,0
510,0.2,2,1,1
511,0.2,2,0,0
512,1.0,2,1,1
513,1.0,2,0,1
514,1.0,1,1,1
515,1.0,1,1,0
516,0.2,1,0,0
517,0.2,2,0,0
518,0.2,2,0,0
519,0.2,1,1,0
520,0.2,2,0,0
521,0.2,3,0,0
522,0.2,2,1,1
523,0.2,3,0,0
524,1.0,1,1,1
525,0.2,0,1,1
526,1.0,3,0,0
527,0.2,1,0,1
528,0.2,0,1,1
529,0.2,3,0,0
530,1.0,2,0,1
531,1.0,2,0,1
532,1.0,2,1,1
533,0.2,1,0,0
534,1.0,2,0,1
535,0.2,3,1,1
536,0.2,2,1,0
537,0.2,1,1,1
538,0.2,1,0,0
539,0.2,1,0,0
540,0.2,2,0,0
541,0.2,2,1,0
542,0.2,2,0,0
543,0.2,2,1,0
544,0.2,1,0,0
545,1.0,2,1,1
546,0.2,1,0,0
547,1.0,3,0,0
548,0.2,1,1,0
549,0.2,0,1,1
550,0.2,1,0,0
551,1.0,1,0,1
552,0.2,2,0,0
553,0.2,1,1,0
554,0.2,2,0,0
555,0.2,0,0,0
556,0.2,1,0,0
557,0.2,2,0,0
558,0.2,2,0,0
559,0.2,0,1,0
560,2.2,1,1,1
561,0.2,1,0,0
562,0.2,3,0,0
563,0.2,0,0,0
564,1.0,0,1,1
565,0.2,1,1,1
566,0.2,2,0,0
567,1.0,2,0,0
568,0.2,2,0,0
569,0.2,1,0,0
570,0.2,1,1,0
571,1.0,1,0,1
572,0.2,3,1,0
573,0.2,2,0,0
574,0.2,1,0,0
575,1.0,1,1,1
576,0.2,0,0,0
577,0.2,0,1,0
578,2.2,3,1,1
579,1.0,3,1,1
580,0.2,2,1,1
581,1.0,2,1,1
582,0.2,3,1,1
583,0.2,3,0,0
584,0.2,3,1,1
585,0.2,1,0,0
586,0.2,1,0,0
587,0.2,1,1,1
588,0.2,2,0,0
589,1.0,3,0,1
590,0.2,0,0,1
591,0.2,0,1,1
592,0.2,2,0,1
593,0.2,2,1,0
594,0.2,2,0,0
595,0.2,2,1,0
596,1.0,1,1,1
597,1.0,1,0,1
598,0.2,0,1,1
599,0.2,1,0,0
600,0.2,2,0,0
601,1.0,1,1,1
602,0.2,2,0,0
603,1.0,2,1,1
604,0.2,2,1,1
605,0.2,0,1,1
606,0.2,1,0,0
607,0.2,1,1,1
608,0.2,2,0,0
609,0.2,1,1,1
610,0.2,1,1,1
611,1.0,2,1,1
612,2.2,2,1,1
613,0.2,3,1,0
614,0.2,0,0,0
615,0.2,0,0,0
616,1.0,1,1,1
617,0.2,2,1,0
618,0.2,2,0,0
619,0.2,0,0,0
620,0.2,2,0,0
621,0.2,1,1,1
622,0.2,1,1,1
623,0.2,1,1,1
624,0.2,1,0,0
625,1.0,2,1,1
626,0.2,1,0,0
627,0.2,2,0,0
628,0.2,1,1,1
629,0.2,2,0,0
