,R,Q,A,Y
0,0.5,1,1,1
1,1.1,2,0,0
2,0.1,2,0,0
3,0.1,1,0,0
4,0.1,1,1,1
5,0.1,2,0,0
6,0.1,1,0,0
7,0.1,0,1,1
8,1.5,1,1,1
9,0.1,1,0,1
10,0.1,1,1,1
11,0.1,2,0,0
12,0.1,1,0,0
13,1.1,1,0,0
14,0.1,1,0,0
15,0.1,0,1,0
16,1.1,0,0,1
17,1.1,2,0,0
18,0.1,1,0,0
19,0.1,1,1,1
20,0.1,2,1,0
21,0.1,1,1,1
22,0.1,2,1,1
23,0.1,2,1,1
24,0.1,0,0,0
25,1.1,2,1,1
26,0.1,2,0,0
27,1.1,0,1,1
28,1.1,2,0,0
29,0.1,0,0,0
30,0.1,0,0,0
31,0.1,0,0,1
32,0.1,1,0,0
33,0.1,1,0,0
34,0.1,1,1,1
35,1.1,1,0,0
36,0.1,2,1,1
37,0.1,2,0,0
38,0.1,2,0,0
39,0.5,2,1,1
40,0.1,3,0,0
41,0.1,0,1,1
42,0.1,2,0,0
43,0.1,1,1,1
44,0.1,1,1,1
45,0.1,3,0,1
46,1.1,0,1,1
47,0.1,1,0,0
48,0.1,2,1,1
49,0.1,1,0,0
50,0.1,1,1,1
51,0.1,0,1,1
52,0.1,2,1,0
53,1.1,0,1,1
54,0.1,2,1,0
55,0.1,3,0,0
56,0.1,2,1,1
57,0.1,1,1,1
58,0.1,2,0,0
59,1.1,1,1,1
60,0.1,2,0,0
61,0.1,0,1,1
62,0.1,2,1,1
63,0.1,2,1,1
64,0.1,0,1,1
65,1.5,1,1,1
66,0.1,3,0,1
67,0.1,1,0,0
68,0.1,1,0,0
69,0.1,1,1,1
70,0.1,3,0,0
71,1.1,1,0,0
72,1.1,2,1,1
73,1.1,2,0,0
74,0.1,1,1,1
75,1.1,1,1,1
76,0.1,2,1,1
77,0.1,1,0,0
78,1.1,1,1,1
79,0.1,2,0,1
80,0.1,2,1,1
81,1.5,1,0,0
82,0.1,0,1,1
83,0.1,2,0,0
84,1.1,1,0,1
85,0.1,3,1,1
86,0.1,1,0,0
87,0.1,1,1,1
88,0.1,0,1,1
89,1.1,1,1,1
90,1.1,2,1,0
91,0.1,1,1,1
92,0.1,1,1,1
93,0.1,2,1,1
94,0.1,1,0,0
95,0.1,0,1,1
96,1.1,1,1,1
97,1.5,1,0,0
98,0.1,1,1,1
99,0.1,1,1,1
100,0.1,2,1,1
101,1.5,1,0,0
102,0.1,3,0,0
103,0.1,1,0,1
104,0.1,2,0,0
105,0.1,1,1,1
106,0.1,0,0,0
107,0.1,1,1,1
108,0.1,1,0,0
109,0.1,2,0,0
110,0.1,1,0,1
111,0.1,3,1,1
112,0.1,2,0,0
113,0.1,1,1,1
114,0.1,2,0,0
115,0.1,1,1,1
116,0.1,2,1,0
117,0.1,2,0,0
118,0.1,2,0,0
119,0.1,1,1,1
120,1.1,1,0,1
121,0.1,1,0,0
122,1.1,2,0,0
123,0.1,2,1,1
124,1.1,2,1,1
125,0.1,2,1,1
126,0.1,2,0,0
127,0.1,1,0,0
128,0.1,1,1,1
129,1.9,1,0,0
130,0.1,1,0,0
131,0.1,2,0,0
132,0.1,1,1,1
133,0.1,2,0,0
134,0.1,2,1,0
135,0.1,2,0,0
136,0.1,1,0,0
137,0.1,1,0,1
138,0.1,1,0,0
139,0.1,1,0,0
140,0.1,2,1,1
141,0.1,3,1,1
142,1.9,2,1,1
143,0.1,2,1,1
144,1.1,1,0,1
145,0.1,0,0,1
146,0.1,1,1,1
147,1.9,1,0,0
148,0.1,1,0,0
149,1.1,0,1,1
150,0.1,1,0,0
151,0.1,0,0,1
152,0.1,1,1,1
153,1.1,2,1,1
154,1.1,1,1,1
155,1.9,2,0,0
156,0.1,1,1,1
157,1.1,1,0,0
158,1.1,2,1,0
159,1.1,2,0,0
160,1.1,2,0,0
161,0.1,1,1,1
162,1.1,1,0,1
163,0.1,2,1,1
164,0.1,2,1,0
165,1.1,2,0,0
166,1.1,1,0,0
167,1.1,0,1,1
168,0.1,1,1,1
169,0.1,3,0,1
170,1.1,2,1,1
171,1.1,0,1,1
172,0.1,2,1,1
173,0.1,1,1,1
174,1.1,1,1,1
175,0.1,1,1,0
176,0.1,1,1,1
177,1.1,2,0,0
178,0.1,3,1,1
179,0.1,2,0,0
180,1.9,1,0,0
181,1.5,1,1,1
182,0.1,3,0,0
183,0.1,0,0,0
184,1.1,1,0,0
185,0.1,0,1,1
186,0.1,2,1,0
187,1.1,0,1,1
188,0.1,0,1,1
189,0.1,2,0,0
190,1.1,3,1,1
191,0.1,2,1,1
192,0.1,3,1,1
193,0.1,1,1,1
194,0.1,1,0,0
195,0.1,0,0,0
196,0.1,3,0,0
197,0.1,1,0,0
198,0.1,1,0,0
199,1.9,2,1,1
200,1.1,1,1,1
201,0.1,1,0,0
202,0.1,1,1,1
203,1.5,2,1,1
204,1.1,0,0,0
205,0.1,2,1,0
206,1.1,0,1,1
207,0.1,1,0,0
208,0.1,1,0,0
209,1.1,3,0,1
210,0.1,1,1,1
211,0.1,3,1,1
212,0.1,2,1,1
213,0.1,3,0,0
214,0.1,3,0,0
215,0.1,2,1,0
216,1.9,2,0,0
217,0.1,3,0,0
218,1.1,2,0,0
219,0.1,1,1,1
220,0.1,0,0,0
221,0.1,0,0,0
222,0.1,0,1,1
223,0.1,3,0,0
224,0.1,2,1,0
225,0.1,2,1,1
226,0.1,1,0,0
227,0.1,1,0,0
228,0.1,2,0,0
229,1.1,1,1,1
230,0.1,3,0,1
231,0.1,1,0,0
232,1.5,3,0,1
233,0.1,2,0,0
234,0.1,2,0,1
235,0.1,3,0,0
236,1.1,1,0,0
237,0.1,2,0,0
238,1.1,2,1,1
239,0.1,1,1,1
240,0.1,0,1,1
241,0.1,1,1,1
242,0.1,0,0,0
243,0.1,2,0,0
244,0.1,1,0,0
245,1.1,1,1,1
246,0.1,2,1,1
247,0.1,2,1,1
248,0.1,2,0,0
249,1.1,1,0,0
250,0.1,2,1,1
251,0.1,2,0,0
252,0.1,2,1,1
253,0.1,1,0,0
254,0.1,1,0,0
255,1.1,1,0,1
256,1.1,2,0,0
257,0.1,2,1,1
258,0.1,1,1,1
259,0.1,1,1,1
260,0.1,3,1,1
261,0.1,3,0,0
262,0.1,0,0,0
263,0.1,1,1,1
264,0.1,1,1,1
265,0.1,0,1,1
266,1.1,2,1,0
267,0.1,2,1,0
268,0.1,1,1,1
269,1.1,2,1,1
270,0.1,0,0,0
271,0.1,0,1,1
272,1.1,2,1,1
273,1.1,1,1,1
274,0.1,1,1,1
275,0.1,1,0,0
276,1.1,1,0,0
277,0.1,3,1,1
278,1.1,2,0,0
279,1.1,1,0,0
280,1.1,1,0,0
281,0.1,1,0,0
282,0.1,1,1,1
283,1.1,0,1,1
284,1.1,2,0,0
285,0.1,3,0,0
286,1.1,1,0,1
287,1.1,2,1,1
288,0.1,3,0,0
289,0.1,0,0,0
290,0.1,1,1,1
291,1.1,2,0,0
292,0.1,1,1,1
293,0.1,1,0,1
294,1.5,2,0,0
295,0.1,1,0,0
296,0.1,1,1,1
297,0.1,1,1,1
298,0.1,2,1,1
