,R,Q,A,Y
26112,0,1,1,1
18725,0,0,0,1
22883,0,1,1,1
22663,0,2,1,0
18745,0,1,1,1
17655,1,2,0,0
29282,1,0,1,1
15311,0,1,0,0
722,1,2,1,1
13203,0,3,1,1
20656,1,2,0,0
22265,0,3,1,0
10533,0,1,0,0
13319,0,2,0,0
10647,2,1,1,1
20578,0,3,0,0
3590,1,1,1,1
9910,1,2,0,0
6402,0,1,0,0
19343,0,2,1,1
20799,0,2,0,0
19476,0,0,0,0
28797,0,3,0,0
27785,0,0,1,1
3917,1,1,1,1
5647,0,2,0,0
14177,0,1,0,0
3051,0,3,1,1
1059,0,1,1,1
12364,1,1,0,0
14888,1,2,0,1
1878,0,2,1,1
343,0,1,1,1
15910,0,3,1,1
11705,1,2,0,0
2922,0,2,1,1
28863,0,2,0,0
28845,0,1,0,0
24698,0,2,0,0
6491,0,3,0,0
22474,0,3,0,0
16204,2,2,0,1
3971,0,2,1,1
29274,0,3,1,0
24343,0,2,1,0
9160,1,2,0,0
26508,1,0,1,1
1362,0,2,0,0
28952,0,2,1,1
7925,0,2,1,1
26574,0,2,1,1
881,0,2,1,1
767,0,2,0,0
14529,0,2,1,0
9362,0,1,1,1
18842,0,2,0,0
18668,0,1,1,1
4088,0,1,0,0
21541,0,1,0,0
15099,0,2,0,0
16908,0,3,1,0
29019,0,1,1,1
6184,1,3,1,1
22108,1,2,0,1
7857,0,2,0,1
25347,0,1,1,1
226,0,1,1,1
18112,2,1,1,1
38,0,2,1,1
10484,0,1,1,1
17289,0,0,1,1
4372,2,1,0,1
1388,0,1,1,1
3175,0,1,1,1
20859,1,1,0,1
11743,1,1,0,0
7639,0,2,1,1
25660,0,2,0,0
9446,1,2,1,1
879,0,3,1,0
1705,0,1,0,0
22349,1,1,0,1
26505,0,1,1,1
310,0,2,1,1
1704,1,3,1,1
19644,0,3,0,0
388,1,3,1,1
12251,0,3,0,0
19254,0,2,0,0
6467,0,1,0,0
26959,0,2,1,1
18134,0,1,0,0
23566,0,0,1,1
4579,0,2,1,0
4913,0,1,0,0
23103,0,1,0,0
6897,0,1,0,0
7450,1,1,1,1
9196,0,1,0,0
