,R,Q,A,Y
0,2.0,2,1,1
1,1.2000000000000002,2,0,1
2,1.2000000000000002,2,0,1
3,1.2000000000000002,2,1,1
4,1.2000000000000002,0,1,0
5,1.2000000000000002,1,1,0
6,0.4,2,0,0
7,1.2000000000000002,3,1,1
8,1.2000000000000002,1,1,0
9,0.4,1,0,0
10,1.2000000000000002,3,1,0
11,0.4,1,0,0
12,1.2000000000000002,2,1,1
13,2.0,1,1,1
14,1.2000000000000002,2,1,1
15,0.4,2,0,0
16,2.0,2,1,1
17,2.0,0,1,1
18,1.2000000000000002,1,1,0
19,0.4,2,0,0
20,1.2000000000000002,3,1,1
21,1.2000000000000002,2,1,1
22,0.4,1,0,0
23,1.2000000000000002,3,1,0
24,1.2000000000000002,0,1,1
25,1.2000000000000002,2,1,1
26,1.2000000000000002,2,1,1
27,0.4,1,0,0
28,0.4,2,0,0
29,0.4,1,0,0
30,0.4,1,0,0
31,1.2000000000000002,3,1,0
32,0.4,2,0,0
33,1.2000000000000002,2,1,1
34,0.4,1,0,0
35,1.2000000000000002,1,1,1
36,1.2000000000000002,2,1,1
37,0.4,2,0,0
38,1.2000000000000002,1,1,1
39,1.2000000000000002,1,1,1
40,0.4,0,0,0
41,1.2000000000000002,3,1,1
42,1.2000000000000002,2,1,1
43,1.2000000000000002,0,1,1
44,0.4,2,0,0
45,0.4,2,0,0
46,0.4,3,0,0
47,1.2000000000000002,1,1,1
48,0.4,3,0,0
49,1.2000000000000002,3,1,0
50,1.2000000000000002,1,1,1
51,1.2000000000000002,1,1,0
52,0.4,3,0,0
53,0.4,2,0,0
54,1.2000000000000002,1,1,1
55,1.2000000000000002,3,1,1
56,0.4,3,0,0
57,0.4,0,0,1
58,1.2000000000000002,1,1,1
59,0.4,2,0,1
60,1.2000000000000002,0,1,1
61,0.4,1,0,0
62,1.2000000000000002,2,1,1
63,1.2000000000000002,1,1,0
64,1.2000000000000002,2,1,1
65,0.4,0,0,0
66,2.0,2,1,1
67,1.2000000000000002,1,1,0
68,1.2000000000000002,1,1,1
69,0.4,1,0,0
70,1.2000000000000002,0,0,0
71,0.4,1,0,0
72,0.4,2,0,0
73,2.0,2,1,1
74,0.4,1,0,0
75,0.4,1,0,0
76,1.2000000000000002,3,1,0
77,1.2000000000000002,2,1,1
78,0.4,2,0,0
79,1.2000000000000002,3,1,1
80,1.2000000000000002,0,1,0
81,0.4,2,0,0
82,0.4,1,0,0
83,2.0,0,0,1
84,0.4,3,0,0
85,0.4,1,0,0
86,0.4,2,0,0
87,1.2000000000000002,3,1,1
88,1.2000000000000002,2,0,0
89,1.2000000000000002,3,1,0
90,2.0,1,1,1
91,1.2000000000000002,2,1,1
92,1.2000000000000002,3,1,1
93,0.4,1,0,0
94,0.4,1,0,0
95,1.2000000000000002,1,1,1
96,1.2000000000000002,1,1,0
97,1.2000000000000002,2,1,1
98,0.4,3,0,0
99,1.2000000000000002,1,0,1
100,0.4,3,0,0
101,1.2000000000000002,2,1,1
102,1.2000000000000002,1,1,1
