,R,Q,A,Y
26605,1,2,1,1
9048,1,1,0,0
5104,1,2,0,1
6092,0,1,0,0
29935,0,2,0,0
4926,0,2,0,0
13114,0,2,0,0
13527,0,1,0,0
21671,1,2,1,1
4069,0,1,0,0
28283,1,2,1,1
27673,0,2,0,0
4765,1,0,1,1
10830,0,0,0,1
16815,0,1,0,0
2839,1,2,1,1
2198,1,2,0,0
998,0,1,0,0
23759,1,2,1,1
25473,0,1,0,1
26629,0,2,0,0
10721,1,2,0,1
14595,1,1,0,1
28822,1,3,1,1
22191,0,0,0,0
15605,1,2,1,1
9724,2,0,1,1
18781,1,1,1,0
16717,0,2,0,0
18785,0,2,0,0
7594,0,3,0,0
7049,1,2,0,1
18211,1,2,1,1
11366,0,2,0,0
5866,1,1,0,1
6575,0,0,0,0
3973,0,2,0,1
5957,0,1,0,0
20687,0,3,0,0
26223,0,0,0,0
4510,1,2,1,1
4882,1,1,0,0
22305,1,2,1,1
23275,1,2,1,1
4283,1,0,1,1
29537,0,0,0,0
2534,1,1,1,0
14500,0,1,0,0
29416,1,2,1,0
4719,0,1,0,0
24658,1,3,1,1
1127,2,2,1,1
9330,1,0,1,1
13255,0,0,0,0
29755,0,3,0,0
12536,0,2,0,0
2089,0,0,0,1
10284,1,1,0,1
5738,0,1,0,0
21552,0,2,0,0
17803,0,1,0,0
25590,0,1,0,0
18862,1,0,1,1
23362,2,2,1,1
2434,0,1,0,0
8969,1,2,0,0
4255,1,1,0,0
26330,2,3,1,1
15740,1,3,1,0
22064,2,2,1,1
26311,0,1,0,0
747,0,2,0,1
19199,0,2,0,0
12487,0,3,0,0
8962,0,1,0,0
5286,2,2,1,1
14350,0,1,0,0
8920,1,2,1,1
15084,1,1,1,1
20365,2,2,1,1
29579,0,3,0,0
23071,1,1,1,1
8344,0,3,0,0
7824,0,2,0,0
6471,1,1,1,1
26568,0,2,0,0
12810,1,3,0,1
25105,1,1,1,1
1161,1,1,1,0
26995,0,0,0,1
25351,1,1,0,1
27696,0,1,0,1
18560,1,1,1,1
11037,1,1,1,0
28021,1,1,0,1
23361,2,3,1,1
3170,1,3,0,1
15751,1,1,1,1
28151,0,1,0,0
5260,0,2,0,0
19083,0,1,0,0
1390,1,1,1,1
3263,0,1,0,0
1579,1,2,1,1
13915,1,2,1,1
13050,1,1,1,1
28472,1,1,1,0
18790,1,2,1,0
21955,0,1,0,0
3465,1,1,1,0
13278,0,3,0,0
23773,1,1,0,1
26275,0,1,0,0
18159,0,1,0,0
19246,1,2,1,1
8429,1,1,1,1
21654,0,2,0,1
22330,1,1,0,1
26120,0,1,0,0
11350,0,2,0,0
28280,0,2,0,1
23702,0,1,0,1
8123,0,0,0,1
16981,1,2,1,0
8280,0,0,0,0
6494,1,1,1,1
24345,1,1,1,1
26941,0,1,0,0
13771,2,2,1,1
21131,1,1,0,1
2303,1,1,1,1
15027,1,1,1,0
4211,0,0,0,0
21802,1,0,1,1
7938,0,1,0,0
1561,1,2,1,1
24206,0,3,0,0
6456,0,2,0,0
3558,1,1,1,1
24013,1,1,1,0
8761,0,1,0,0
10327,0,1,0,0
9934,0,2,0,0
8159,1,2,1,0
29376,1,2,1,0
74,2,2,1,1
25421,1,3,0,1
1312,2,1,1,1
18794,2,2,1,1
1442,1,1,1,1
10700,1,2,1,0
19989,1,1,1,1
175,0,2,0,0
23997,1,2,1,1
14944,0,1,0,0
18967,2,2,1,1
11849,2,2,1,1
19239,1,1,0,0
19032,1,1,1,1
15571,1,1,1,1
8197,0,1,0,0
23047,1,1,1,0
764,0,2,0,0
6965,0,1,0,0
6900,0,1,0,0
19212,0,2,0,0
26121,2,2,1,1
2613,0,1,0,0
9464,1,2,0,1
2183,0,2,0,0
8529,0,1,0,1
5979,0,2,0,0
14968,1,2,1,1
3198,1,2,0,1
7251,1,1,1,1
19400,1,1,1,1
27018,0,0,0,1
7399,1,2,1,1
