,R,Q,A,Y
0,0.2,3,0,0
1,0.2,3,0,0
2,0.2,3,0,0
3,1.0,0,1,1
4,1.0,0,1,1
5,0.2,3,0,0
6,0.2,3,0,0
7,1.0,0,0,1
8,1.0,0,0,1
9,0.2,3,0,1
10,0.2,3,0,0
11,0.2,3,1,0
12,1.0,0,0,1
13,0.2,3,0,1
14,1.0,0,1,1
15,0.2,3,0,0
16,1.4,2,0,1
17,0.2,3,0,0
18,1.0,0,1,1
19,1.0,0,1,0
20,1.0,0,1,1
21,1.0,0,1,0
22,2.2,0,1,1
23,1.0,0,1,1
24,0.2,3,0,0
25,1.0,0,1,0
26,0.2,3,0,0
27,1.0,0,0,0
28,1.0,0,1,1
29,0.2,3,0,0
30,1.0,0,1,1
31,0.2,3,0,0
32,1.0,0,1,1
33,0.2,3,0,0
34,1.0,0,1,1
35,1.0,0,1,1
36,1.0,0,1,1
37,1.0,0,1,1
38,0.2,3,0,0
39,0.2,3,0,0
40,0.2,3,0,0
41,1.0,0,1,1
42,0.2,3,0,0
43,1.0,0,0,1
44,0.2,3,0,0
45,1.0,0,1,0
46,1.0,0,1,1
47,0.2,3,0,0
48,0.2,3,0,0
49,0.2,3,0,0
50,1.0,0,1,1
51,1.0,0,0,1
52,1.0,0,1,1
53,2.5999999999999996,2,0,1
54,1.0,0,1,1
55,0.2,3,0,0
56,0.2,3,0,0
57,1.0,0,1,1
58,0.2,3,0,0
59,1.0,0,1,1
60,2.2,0,1,1
61,1.0,0,0,1
62,1.0,0,0,0
63,0.2,3,0,0
64,1.0,0,1,1
65,1.0,0,1,1
66,0.2,3,0,0
67,1.0,0,1,1
68,0.2,3,0,0
69,0.2,3,0,0
70,1.0,0,0,1
71,1.0,0,1,1
72,0.2,3,0,0
73,0.2,3,0,0
74,1.0,0,1,0
75,2.2,0,1,1
76,1.0,0,1,1
77,1.0,0,1,1
78,0.2,3,0,0
79,0.2,3,0,0
80,1.0,0,1,1
81,0.2,3,0,0
82,0.2,3,0,0
83,1.0,0,1,0
84,1.0,0,1,1
85,0.2,3,0,0
86,0.2,3,0,0
87,1.0,0,0,1
88,0.2,3,0,0
89,2.2,0,1,1
90,0.2,3,0,0
91,1.0,0,1,1
92,1.0,0,1,0
93,1.0,0,0,1
94,1.0,0,1,1
95,1.0,0,1,1
96,1.0,0,0,1
97,0.2,3,0,0
98,0.2,3,0,0
99,1.0,0,1,1
100,1.0,0,1,1
101,1.0,0,0,1
102,3.0,3,0,1
103,0.2,3,0,0
104,1.0,0,1,1
105,1.0,0,1,1
106,0.2,3,1,0
107,0.2,3,0,0
108,0.2,3,0,0
109,1.0,0,1,1
110,0.2,3,0,0
111,0.2,3,0,1
112,1.0,0,1,1
113,1.0,0,0,1
114,0.2,3,0,0
115,1.0,0,0,1
116,0.2,3,0,0
117,1.0,0,1,1
118,1.0,0,1,1
119,1.0,0,1,1
120,0.2,3,0,0
121,2.2,0,1,1
122,1.0,0,0,1
123,2.2,0,1,1
124,1.0,0,1,1
125,2.2,0,1,1
126,1.0,0,1,1
127,0.2,3,0,0
128,0.2,3,0,0
129,3.0,1,0,1
130,1.0,0,0,0
131,1.0,0,1,1
132,2.2,0,1,1
133,1.0,0,1,1
134,2.2,0,1,1
135,0.2,3,0,0
136,2.2,0,1,1
137,2.2,0,1,1
138,0.2,3,0,0
139,1.0,0,1,0
140,2.2,0,1,1
141,1.0,0,0,1
142,0.2,3,0,0
143,1.0,0,1,1
144,0.2,3,0,0
145,0.2,3,0,0
146,1.0,0,1,1
147,0.2,3,0,0
148,1.0,0,1,1
149,1.0,0,1,1
150,0.2,3,0,0
151,1.0,0,1,1
152,1.0,0,1,1
153,1.0,0,1,1
154,0.2,3,0,0
155,0.2,3,0,0
156,0.2,3,0,0
157,1.0,0,0,1
158,0.2,3,0,0
159,0.2,3,0,0
160,1.0,0,0,1
161,2.2,0,1,1
162,1.0,0,1,1
163,2.2,0,1,1
164,1.0,0,1,1
165,1.0,0,1,1
166,1.0,0,1,1
167,1.0,0,1,1
168,1.0,0,0,1
169,1.0,0,1,1
170,0.2,3,0,0
171,1.0,0,1,0
172,0.2,3,0,0
173,0.2,3,0,0
174,0.2,3,0,0
175,0.2,3,0,0
176,1.0,0,1,1
177,1.0,0,1,1
178,0.2,3,0,0
179,1.0,0,1,1
180,0.2,3,0,0
181,1.0,0,1,1
182,0.2,3,0,0
183,0.2,3,1,0
184,1.0,0,1,1
185,1.0,0,1,0
186,1.0,0,1,1
187,1.0,0,1,1
188,1.0,3,0,1
189,0.2,3,0,0
190,2.2,1,0,1
191,0.2,3,0,0
192,1.0,0,1,0
193,1.0,0,0,1
194,0.2,3,0,0
195,0.2,3,0,0
196,0.2,3,0,0
197,0.2,3,0,0
198,1.0,0,1,1
199,1.0,0,1,1
200,1.0,0,1,1
201,1.0,0,1,1
202,0.2,3,0,0
203,0.2,3,0,0
204,0.2,3,0,0
205,1.0,0,0,1
206,0.2,3,0,0
207,1.0,0,1,1
208,1.0,0,1,1
209,0.2,3,0,0
210,1.0,0,1,1
211,0.2,3,0,0
212,1.0,0,1,0
213,1.0,0,1,1
214,0.2,3,0,0
215,1.0,0,0,1
216,1.0,0,1,1
217,1.0,0,1,1
218,0.2,3,0,0
219,1.0,0,1,1
220,1.0,0,1,1
221,1.0,0,1,0
222,1.0,0,1,1
223,2.2,0,1,1
224,0.2,3,0,0
225,0.2,3,0,0
226,1.0,0,1,1
227,0.2,3,1,0
228,1.0,0,1,0
229,2.2,0,1,1
230,1.0,0,1,1
231,1.0,0,1,1
232,3.8,1,0,1
233,0.2,3,0,0
234,1.0,0,1,0
235,1.0,0,1,1
236,1.0,0,1,1
237,1.0,0,1,1
238,1.0,0,1,1
239,1.0,0,1,0
240,0.2,3,0,0
241,1.0,0,1,1
242,2.2,0,1,1
243,1.0,0,1,0
244,1.0,0,1,0
245,1.0,0,1,1
246,1.0,0,1,1
247,1.0,0,1,1
248,1.0,3,0,0
249,1.0,0,1,1
250,1.0,0,1,1
251,0.2,3,0,0
252,1.0,0,1,1
253,0.2,3,0,0
254,1.0,0,1,1
255,1.0,0,1,1
256,0.2,3,0,0
257,1.0,0,1,1
258,1.0,0,0,1
259,0.2,3,0,1
260,1.0,0,1,1
261,0.2,3,0,0
262,1.0,0,1,0
263,0.2,3,0,0
264,1.0,1,0,1
265,1.0,0,1,0
266,1.0,0,1,1
267,2.2,0,0,1
268,0.2,3,0,0
269,1.0,0,1,1
270,0.2,3,0,0
271,1.0,0,1,1
272,0.2,3,0,0
273,1.0,0,1,1
274,0.2,3,0,0
275,2.2,0,1,1
276,1.0,3,0,1
277,0.2,3,0,0
278,0.2,3,0,0
279,1.0,0,0,1
280,0.2,3,0,0
281,1.0,0,1,0
282,1.0,0,1,1
283,1.0,0,1,1
284,1.0,0,1,1
285,0.2,3,0,0
286,0.2,3,0,0
287,1.0,0,1,0
288,1.0,0,1,0
289,0.2,3,0,0
290,1.0,0,1,1
291,1.0,0,1,1
292,1.0,0,1,1
293,0.2,3,0,0
294,1.0,0,1,1
295,1.0,0,0,1
296,1.0,0,1,1
297,0.2,3,0,0
298,1.0,0,1,1
299,1.0,0,1,1
300,0.2,3,0,0
301,0.2,3,0,0
302,2.2,0,1,1
303,0.2,3,0,0
304,1.0,0,1,1
305,0.2,3,0,0
306,1.0,0,1,1
307,1.0,0,1,1
308,1.0,0,1,1
309,1.0,0,1,1
310,0.2,3,0,0
311,0.2,3,0,0
312,0.2,3,0,0
313,0.2,3,0,0
314,0.2,3,0,0
315,1.0,0,1,0
316,1.0,0,1,1
317,1.0,0,1,1
318,2.2,0,1,1
319,1.0,0,1,0
320,0.2,3,0,0
321,1.0,0,1,1
322,1.0,0,1,1
323,1.0,0,0,0
324,1.0,0,1,1
325,2.2,0,1,1
326,1.0,0,1,1
327,0.2,3,1,0
328,1.0,0,1,1
329,1.0,0,1,0
330,1.0,0,1,1
331,1.0,0,1,1
332,0.2,3,0,0
333,1.0,0,1,0
334,1.0,0,1,1
335,1.0,0,1,0
336,0.2,3,0,0
337,0.2,3,0,0
338,0.2,3,0,0
339,1.0,0,1,1
340,0.2,3,0,0
341,1.0,0,1,1
342,1.0,0,1,1
343,1.0,0,1,0
344,0.2,3,0,0
345,1.0,0,1,0
346,0.2,3,0,0
347,2.2,0,1,1
348,0.2,3,0,0
349,1.0,0,1,1
350,1.0,0,1,0
351,1.0,0,0,1
352,0.2,3,0,0
353,1.0,0,1,1
354,2.2,0,1,1
355,1.0,0,0,1
356,1.0,0,1,1
357,1.0,0,1,1
358,0.2,3,0,0
359,1.0,0,1,1
360,1.0,0,0,1
361,1.0,0,1,1
362,0.2,3,0,0
363,0.2,3,0,1
364,0.2,3,0,0
365,0.2,3,0,0
366,1.0,0,0,1
367,0.2,3,0,0
368,1.0,0,1,1
369,1.0,3,0,0
370,0.2,3,0,0
371,1.0,0,1,1
372,1.0,0,1,1
373,0.2,3,0,0
374,0.2,3,1,1
375,1.0,0,1,1
376,0.2,3,0,0
377,1.0,0,1,1
378,1.0,0,1,1
379,1.0,0,0,0
380,0.2,3,0,0
381,1.0,0,1,1
382,1.0,0,1,1
383,0.2,3,0,0
384,0.2,3,0,0
385,2.2,0,1,1
386,1.0,0,1,0
387,1.0,0,1,0
388,0.6000000000000001,2,0,1
389,0.2,3,0,0
390,0.6000000000000001,2,0,1
391,1.0,0,0,1
392,1.0,0,1,0
393,0.2,3,0,0
394,1.0,0,0,1
395,1.0,0,1,0
396,0.2,3,0,0
397,1.0,0,1,1
398,2.2,0,1,1
399,0.2,3,0,0
400,1.0,0,1,0
401,1.0,0,1,0
402,0.2,3,0,1
403,1.0,0,1,0
404,1.0,0,1,0
405,1.0,0,1,1
406,1.0,0,0,1
407,1.0,0,0,1
408,0.2,3,0,0
409,1.0,0,1,1
410,0.2,3,0,0
411,1.0,0,1,1
412,1.0,0,1,0
413,0.2,3,0,0
414,0.2,3,0,0
415,1.0,0,1,1
416,0.2,3,0,0
417,1.0,0,1,1
418,1.0,0,1,1
419,1.0,0,1,1
420,1.0,0,1,1
421,2.2,2,0,1
422,0.2,3,0,0
423,0.2,3,0,0
424,1.0,0,1,1
425,1.0,0,0,1
426,1.0,0,1,1
427,0.2,3,0,0
428,1.0,0,1,1
429,1.0,0,0,1
430,0.2,3,0,0
431,0.2,3,0,0
432,1.0,0,1,1
433,1.0,0,1,1
434,0.2,3,0,0
435,0.2,3,0,0
436,1.0,0,1,1
437,1.0,3,0,1
438,1.0,0,1,1
439,2.2,0,1,1
440,1.0,0,1,1
441,1.0,3,0,1
442,0.2,3,0,0
443,2.2,0,1,1
444,1.0,0,1,0
445,1.0,0,1,1
446,1.0,0,1,1
447,0.2,3,0,0
448,2.2,0,1,1
449,1.0,0,1,1
450,1.0,0,1,1
451,2.2,0,0,1
452,0.2,3,0,0
453,1.0,0,1,1
454,1.0,0,1,1
455,0.2,3,1,0
456,0.2,3,0,0
457,0.2,3,0,0
458,0.2,3,0,0
459,1.0,0,1,1
460,0.2,3,0,0
461,1.0,0,0,1
462,2.2,0,0,1
463,0.2,3,0,0
464,0.2,3,0,0
465,1.0,0,1,1
466,0.2,3,0,0
467,0.2,3,0,0
468,0.2,3,0,0
469,2.2,0,0,1
470,1.0,3,0,1
471,1.0,0,1,1
472,0.2,3,0,0
473,0.2,3,0,0
474,0.2,3,0,0
475,0.2,3,0,0
476,1.0,0,1,1
477,0.2,3,0,0
478,0.2,3,0,0
479,0.2,3,0,0
480,1.0,0,1,0
481,1.0,0,1,1
482,0.2,3,0,0
483,0.2,3,0,0
484,1.0,0,1,1
485,1.0,0,1,1
486,2.2,0,1,1
487,1.0,0,0,0
488,1.0,0,1,1
489,0.2,3,0,0
490,1.0,0,0,1
491,1.0,0,1,0
492,1.0,0,1,1
493,1.0,0,1,1
494,0.2,3,0,0
495,0.2,3,0,0
496,0.2,3,0,1
497,0.2,3,0,0
498,1.0,0,0,1
499,0.2,3,0,1
500,0.2,3,0,0
501,0.2,3,0,0
502,1.0,0,1,0
503,1.0,0,0,1
504,1.8,1,0,1
505,0.2,3,0,0
506,0.2,3,0,0
507,1.0,0,1,1
508,1.0,0,1,0
509,0.2,3,0,0
510,0.2,3,0,0
511,0.2,3,0,0
512,0.2,3,0,0
513,0.2,3,0,0
514,0.2,3,0,0
515,1.0,3,0,1
516,1.0,0,1,1
517,0.2,3,0,0
518,0.2,3,0,0
519,0.2,3,0,1
520,1.0,3,0,1
521,0.2,3,0,0
522,0.2,3,0,0
523,0.2,3,0,0
524,1.0,0,1,0
525,1.0,0,1,1
526,1.0,0,1,1
527,1.0,0,0,1
528,1.0,0,1,1
529,1.0,0,1,0
530,1.0,0,0,1
531,0.2,3,0,0
532,0.2,3,0,0
533,1.0,0,1,1
534,1.0,0,1,1
535,1.0,0,1,1
536,1.0,0,1,1
537,1.0,0,1,1
538,1.0,0,1,1
539,2.2,0,0,1
540,1.0,0,1,1
541,1.0,0,1,1
542,1.0,0,1,1
543,0.2,3,0,0
544,0.2,3,0,0
545,1.0,0,1,0
546,0.2,3,0,0
547,2.2,0,1,1
548,0.2,3,0,0
549,0.2,3,0,0
550,2.2,0,1,1
551,2.2,0,1,1
552,1.0,0,1,0
553,1.0,0,1,1
554,2.2,0,1,1
555,0.2,3,0,0
556,0.2,3,0,0
557,0.2,3,0,0
558,0.2,3,0,1
559,1.0,0,1,1
560,1.0,0,1,0
561,0.2,3,0,1
562,2.2,0,1,1
563,0.2,3,0,0
564,1.0,0,1,1
565,1.0,0,1,1
566,0.2,3,0,0
567,1.0,0,1,1
568,1.0,0,1,0
569,0.2,3,0,0
570,1.0,0,1,1
571,0.2,3,0,0
572,1.0,0,1,1
573,0.2,3,0,0
574,0.2,3,0,0
575,0.2,3,0,0
576,1.0,3,0,1
577,0.2,3,0,0
578,2.2,0,1,1
579,1.0,0,1,0
580,1.0,0,1,1
581,0.2,3,0,0
582,1.0,0,1,1
583,0.2,3,0,0
584,1.0,0,1,1
585,1.0,0,1,1
586,0.2,3,0,0
587,1.0,0,1,1
588,1.0,0,1,0
589,0.2,3,0,0
590,1.0,0,1,1
591,1.4,1,0,1
592,1.0,0,1,1
593,2.2,0,1,1
594,1.0,0,1,1
595,1.0,0,1,1
596,1.0,0,1,1
597,0.2,3,0,0
598,0.2,3,0,0
599,1.0,0,1,1
600,2.2,0,1,1
601,1.0,0,1,0
602,1.0,0,0,1
603,1.0,0,1,0
604,0.2,3,0,0
605,1.0,0,1,1
606,1.0,0,1,1
607,0.2,3,0,0
608,0.2,3,1,0
609,1.0,0,1,1
610,1.0,0,1,1
611,0.2,3,0,0
612,0.2,3,0,0
613,1.0,0,1,1
614,1.0,0,0,1
615,0.2,3,0,0
616,1.0,0,1,1
617,1.0,0,1,1
618,1.0,0,1,0
619,0.2,3,0,0
620,1.0,0,1,1
621,0.2,3,0,0
622,2.2,0,0,1
623,2.2,0,1,1
624,1.0,0,1,1
625,0.2,3,0,0
626,1.0,0,1,1
627,0.2,3,0,0
628,0.2,3,0,0
629,2.2,0,1,1
630,1.0,0,1,1
631,1.0,0,1,0
632,2.2,0,0,1
633,2.2,0,0,1
634,1.0,0,1,0
635,1.0,0,1,1
636,1.0,0,0,1
637,1.0,0,1,1
638,2.2,0,1,1
639,0.2,3,0,0
640,1.0,0,1,1
641,1.0,0,1,1
642,1.0,0,1,1
643,0.2,3,0,0
644,2.2,0,1,1
645,1.0,0,1,1
646,0.2,3,0,0
647,0.2,3,0,0
648,1.0,0,0,0
649,1.0,0,0,1
650,1.0,0,0,1
651,1.0,0,1,1
652,1.0,0,1,1
653,0.2,3,0,0
654,0.2,3,0,1
655,0.2,3,0,0
656,0.2,3,0,0
657,1.0,0,1,1
658,0.2,3,0,0
659,1.0,0,1,1
660,1.0,0,0,1
661,0.2,3,0,0
662,1.0,0,0,1
663,1.0,0,1,1
664,1.0,0,1,1
