,R,Q,A,Y
0,0.2,3,0,1
1,0.2,3,0,0
2,0.2,3,0,0
3,0.2,3,0,0
4,2.2,0,1,1
5,0.2,3,0,0
6,0.2,3,0,0
7,0.2,3,0,0
8,1.0,0,1,1
9,1.0,0,0,0
10,2.2,0,0,0
11,1.0,0,0,1
12,1.0,0,1,1
13,0.2,3,0,0
14,1.0,0,1,1
15,1.0,0,1,1
16,0.2,3,0,0
17,1.0,0,1,1
18,1.0,0,1,1
19,0.2,3,0,0
20,0.2,3,0,0
21,0.2,3,0,0
22,1.0,0,1,1
23,1.0,0,0,1
24,0.2,3,0,0
25,1.0,0,1,0
26,0.2,3,0,0
27,0.2,3,0,0
28,2.2,0,1,1
29,0.2,3,0,1
30,0.2,3,0,0
31,1.0,0,1,0
32,0.2,3,0,0
33,2.2,0,1,0
34,0.2,3,0,0
35,1.0,0,1,1
36,0.2,3,0,0
37,1.0,0,1,0
38,0.2,3,0,0
39,1.0,0,1,0
40,2.2,0,1,1
41,0.2,3,0,0
42,1.0,0,1,1
43,1.0,0,1,1
44,0.2,3,0,0
45,1.0,0,1,1
46,0.2,3,0,0
47,2.2,0,1,1
48,1.0,0,1,1
49,1.0,0,1,1
50,1.0,0,1,1
51,1.0,0,1,1
52,1.0,0,1,1
53,1.0,0,1,1
54,1.0,0,1,0
55,1.0,0,1,1
56,1.0,0,1,1
57,1.0,0,1,1
58,1.0,0,1,1
59,0.2,3,0,0
60,1.0,0,1,1
61,1.0,0,1,1
62,2.2,0,1,1
63,0.2,3,0,0
64,1.0,0,1,0
65,0.2,3,0,0
66,0.2,3,0,0
67,1.0,0,1,1
68,0.2,3,0,0
69,1.0,0,1,0
70,0.2,3,0,0
71,2.2,0,1,1
72,1.0,0,1,1
73,1.0,0,1,1
74,0.2,3,0,0
75,1.0,0,1,1
76,0.2,3,0,0
77,0.2,3,0,0
78,1.0,0,1,0
79,0.2,3,0,0
80,0.2,3,0,0
81,0.2,3,0,0
82,1.0,0,1,1
83,0.2,3,0,0
84,0.2,3,0,0
85,0.2,3,0,0
86,1.0,0,1,1
87,1.0,0,0,1
88,1.0,0,1,1
89,1.0,0,1,1
90,1.0,0,0,1
91,0.2,3,0,0
92,1.0,0,1,1
93,1.0,0,1,1
94,0.2,3,0,0
95,0.2,3,0,0
96,0.2,3,0,0
97,2.2,0,1,1
98,0.2,3,0,0
99,1.0,3,0,0
100,1.0,0,1,1
101,0.2,3,0,0
102,0.2,3,0,0
103,0.2,3,0,0
104,1.0,0,1,1
105,1.0,0,1,1
106,2.2,0,1,1
107,1.0,0,0,1
108,1.0,0,1,0
109,0.2,3,0,0
110,0.2,3,0,0
111,0.2,3,0,0
112,1.0,0,1,1
113,0.2,3,0,0
114,1.0,0,1,1
115,1.0,0,1,1
116,2.2,0,1,1
117,2.2,0,1,1
118,1.0,0,1,1
119,2.2,0,1,1
120,1.0,0,1,1
121,1.0,0,1,0
122,1.0,0,1,0
123,1.0,0,0,1
124,1.0,0,1,1
125,1.0,0,0,1
126,1.0,0,1,1
127,1.0,0,1,1
128,0.2,3,0,0
129,0.2,3,0,0
130,0.2,3,0,0
131,1.0,0,1,1
132,2.2,0,1,1
133,0.2,3,0,0
134,1.0,0,1,1
135,1.0,0,1,1
136,1.0,0,0,1
137,1.0,0,1,1
138,1.0,0,1,1
139,1.0,0,0,1
140,0.2,3,0,0
141,0.2,3,0,0
142,0.2,3,0,0
143,0.2,3,0,0
144,1.0,0,1,1
145,2.2,0,0,1
146,2.2,0,1,1
147,0.2,3,0,0
148,1.0,0,1,1
149,0.2,3,0,0
150,0.2,3,0,0
151,2.2,0,1,1
152,0.2,3,0,0
153,0.2,3,0,0
154,1.0,0,1,1
155,1.0,0,0,0
156,1.0,0,1,1
157,1.0,0,1,1
158,1.0,0,1,1
159,1.0,0,1,1
160,0.2,3,0,0
161,1.0,0,1,1
162,2.2,0,1,1
163,1.0,0,1,1
164,0.2,3,0,0
165,1.0,0,1,1
166,0.2,3,0,0
167,1.0,0,1,1
168,0.2,3,0,0
169,1.0,0,0,1
170,1.0,0,1,1
171,2.2,0,1,1
172,1.0,0,1,1
173,0.2,3,0,0
174,1.0,0,1,1
175,1.0,0,1,1
176,0.2,3,0,0
177,1.0,0,1,1
178,2.2,0,0,1
179,1.0,0,1,1
180,1.0,0,1,1
181,1.0,0,1,1
182,0.2,3,0,0
183,1.0,0,1,1
184,1.0,0,1,1
185,1.0,0,1,1
186,1.0,0,1,1
187,0.2,3,0,0
188,0.2,3,0,0
189,1.0,0,1,1
190,1.0,0,1,1
191,2.2,0,1,1
192,0.2,3,0,0
193,0.2,3,0,0
194,1.0,0,1,0
195,1.0,0,0,1
196,0.2,3,0,0
197,0.2,3,0,0
198,1.0,0,1,1
199,0.2,3,0,0
200,1.0,0,1,1
201,1.0,0,0,1
202,2.2,0,0,1
203,0.2,3,0,0
204,2.2,0,1,1
205,2.2,0,1,1
206,1.0,0,1,1
207,1.0,0,1,1
208,2.2,0,1,1
209,1.0,3,0,0
210,1.0,0,1,1
211,1.0,0,1,1
212,1.0,3,0,0
213,1.0,0,1,1
214,1.0,0,1,0
215,1.0,0,1,1
216,0.2,3,0,0
217,1.0,0,1,1
218,0.2,3,0,0
219,1.0,0,1,1
220,1.0,0,1,1
221,0.2,3,0,0
222,0.2,3,0,0
223,1.0,0,1,1
224,1.0,3,0,0
225,0.2,3,0,0
226,0.2,3,0,0
227,1.0,0,1,1
228,1.0,0,1,1
229,1.0,0,1,1
230,1.0,0,1,1
231,1.0,0,1,0
232,1.0,0,0,1
233,1.0,0,1,1
234,2.2,0,1,1
235,1.0,0,1,0
236,1.0,0,1,1
237,1.0,0,0,0
238,1.0,0,1,1
239,1.0,0,1,1
240,1.0,0,1,1
241,1.0,0,1,1
242,0.2,3,0,1
243,1.0,0,1,1
244,0.2,3,0,0
245,0.2,3,0,0
246,0.2,3,0,0
247,0.2,3,0,0
248,1.0,0,1,1
249,1.0,0,1,1
250,1.0,0,1,0
251,2.2,0,1,1
252,1.0,0,1,1
253,1.0,0,1,1
254,0.2,3,0,0
255,2.2,0,1,1
256,1.0,0,1,0
257,0.2,3,0,0
258,1.0,0,1,1
259,0.2,3,0,0
260,0.2,3,0,0
261,0.2,3,0,0
262,1.0,0,1,1
263,0.2,3,0,0
264,0.2,3,0,0
265,1.0,0,0,1
266,1.0,0,1,1
267,2.2,0,1,1
268,0.2,3,0,1
269,2.2,0,1,1
270,1.0,0,0,1
271,0.2,3,0,0
272,0.2,3,0,0
273,0.2,3,0,0
274,0.2,3,0,0
275,1.0,0,1,1
276,0.2,3,0,0
277,1.0,0,0,1
278,0.2,3,0,0
279,1.0,0,1,1
280,1.0,0,1,1
281,0.2,3,0,0
282,1.0,0,0,1
283,1.0,0,1,1
284,0.2,3,0,0
285,0.2,3,0,0
286,0.2,3,0,0
287,2.2,0,1,1
288,1.0,0,0,1
289,0.2,3,0,0
290,0.2,3,0,0
291,0.2,3,0,0
292,0.2,3,0,0
293,1.0,0,1,1
294,0.2,3,0,0
295,1.0,0,0,1
296,1.0,0,1,1
297,1.0,0,0,1
298,1.0,0,1,1
299,0.2,3,0,0
300,1.0,0,1,1
301,1.8,1,0,1
302,0.2,3,0,0
303,0.2,3,0,0
304,1.0,0,1,1
305,1.0,0,1,1
306,1.0,0,1,1
307,1.0,0,1,1
308,1.0,0,1,1
309,0.2,3,0,0
