,R,Q,A,Y
26040,0,1,0,0
21720,0,1,0,0
17655,1,2,0,0
2301,0,3,0,0
10029,2,0,1,1
16915,0,1,1,1
19691,0,1,0,0
27675,0,1,1,1
4537,1,1,1,1
19927,2,2,0,1
18454,0,3,1,0
29424,0,3,1,0
2574,0,1,1,1
13491,0,1,1,0
7634,0,1,0,0
18100,0,2,0,0
24,1,3,0,0
28070,0,0,1,1
9723,1,3,0,0
25901,0,1,0,1
6885,0,3,0,0
10547,0,2,1,1
18687,0,0,1,0
29256,0,1,1,1
18997,0,0,0,0
8675,0,2,1,0
15424,0,2,0,0
573,1,2,1,1
19140,3,1,0,1
22194,0,1,1,1
23312,0,1,1,1
26769,0,3,1,0
22841,0,1,0,0
1269,0,1,1,1
26541,1,0,0,1
27752,1,0,0,0
24575,0,2,0,0
21022,0,3,0,0
16055,0,1,1,0
4113,0,1,1,1
27181,0,1,1,1
27690,0,3,0,0
8274,0,1,0,0
261,0,1,0,0
10185,0,1,1,0
7133,0,2,0,0
9657,0,2,1,1
16402,0,1,0,0
3364,0,2,0,0
16260,1,1,0,1
13516,0,0,0,0
20686,0,1,0,1
16146,0,1,0,0
21817,0,2,0,0
9485,0,2,1,1
26852,0,1,1,1
2421,0,2,0,0
17593,0,1,1,1
10157,1,1,0,0
27563,0,1,0,0
23750,0,2,1,1
2494,0,2,0,1
12621,0,1,1,0
26028,0,1,1,1
5821,0,0,1,1
27562,0,2,1,1
29994,0,2,0,0
17656,0,1,0,0
16179,0,2,1,1
14741,0,1,1,1
19923,0,3,0,0
10568,0,1,0,0
26238,0,2,1,0
10749,0,2,0,0
26146,0,3,1,1
15213,0,1,1,1
17701,0,2,1,1
2355,0,1,1,1
21780,1,1,1,1
19464,0,2,1,0
16344,1,1,0,1
22464,0,1,1,1
23627,0,2,1,0
9864,1,1,1,1
26487,0,2,1,0
19589,1,2,0,1
9920,1,2,0,0
11628,0,3,0,0
23456,1,2,1,1
12548,2,3,1,1
12883,0,1,0,0
26621,0,0,1,1
2628,0,1,1,1
6700,0,1,1,1
21137,0,1,1,0
17473,0,0,1,1
4507,1,1,1,1
4087,0,2,0,0
