,R,Q
14231,9.729282932516409,2
6289,5.015463542510988,3
13932,18.97248990441383,1
7763,9.589884072377814,2
17453,2.4435645742594483,2
7753,1.331010331679387,1
13491,2.0302877239011847,0
1013,6.1075742506325135,1
3009,6.444165359162999,3
11648,5.504946186687537,2
66,0.6423152457180019,1
16853,10.707582667674721,2
10742,1.6727334247348902,1
15411,4.647330178185589,0
3556,5.542079019819214,2
14689,2.7802727466987323,0
7350,3.0441371776701818,3
10697,8.035558237143684,1
14866,2.0283178619045925,0
10859,2.621264720252625,2
8190,5.690119232053583,2
2858,2.581066664670272,1
10060,8.487345877027625,1
5914,3.7119313074072426,1
9228,3.5552212729115205,2
7801,7.632609814506321,2
8778,1.6849246520034469,0
2338,1.0500421666522974,1
2567,4.097602208742298,1
8166,10.980597335849707,2
15890,14.58392730979779,2
4273,20.419052393150718,2
9194,14.190545002259649,2
14991,2.7556513391612123,3
7399,10.154917330936598,3
11675,0.7086042918703535,2
10764,8.2420296564807,2
6630,5.608821849314571,1
5492,4.299372297905819,2
5476,7.057584201622259,1
8018,15.750306610052094,1
7515,2.40608505514971,0
17445,1.4150928559375788,2
4973,1.681288043405659,1
9792,14.248656910143335,2
14194,1.617834638139723,0
14207,5.956243524627746,2
9133,12.005192391032013,1
4119,4.639760876482313,3
11637,6.714940869093347,1
14920,9.161278975453778,2
16392,2.2798446391372664,2
5754,2.6304375479065802,0
12114,4.041092015415326,0
10832,7.264388937882026,2
15006,0.932245666401729,2
9658,2.0056200707650778,0
8838,2.0632370489025176,1
1072,0.5844607159401242,1
6262,6.470312495741561,2
9886,4.412391600121085,2
6276,9.958902917782517,1
13737,2.6794994071181293,1
10075,1.5149595427536713,2
1400,4.161753293806239,1
11854,2.6222714961847613,0
14261,2.585046611038747,1
12919,10.512540713269805,1
15165,2.559937748783807,0
4502,4.572836481296252,2
13834,17.572852500540456,3
10670,2.369011391768523,2
5506,8.9222856265466,2
8876,5.597670586028409,1
4463,10.930161988497463,1
8903,0.5943469584457133,3
10635,4.256898696929886,1
15532,7.791043348792141,1
8084,2.0410632548487477,1
11454,2.1817419279562165,0
10505,9.924224621076261,3
3214,0.2557476584762477,2
7258,12.411028552334809,3
6858,1.0317501595310614,2
14782,9.15896914489226,0
1867,12.987496698780301,3
9540,0.8139869363847732,2
11081,5.636175128161426,2
15005,9.222097874920376,2
10180,0.9448328896900384,0
11970,5.703772667881736,2
9156,5.2656406022091335,2
15075,7.680895707147949,3
2001,8.41905471636486,1
7594,5.6968454248114275,2
6931,4.158106364249952,1
7836,7.411583922491123,2
4935,4.16630290225515,2
13944,7.582573857621328,1
1686,3.055026817993908,2
5239,8.94782890743787,2
13625,4.3364050412219495,1
4154,2.6567049049586293,2
6452,5.605924627715028,2
17798,2.1059058838689366,2
14151,4.81300522166542,2
2189,8.607932450884773,1
13817,7.4555335177684015,1
540,2.7704795870138357,3
6705,9.402803228916616,2
15758,10.180059020691582,1
8557,20.629410968752076,1
7817,1.6185308452483251,1
9802,6.185837226713114,0
7549,21.744752860197952,1
10982,21.51504114248219,2
11954,5.379332414293515,3
11034,1.8361830133233168,1
12747,6.552550669461045,0
869,3.011505391381762,1
4741,5.895830391680294,2
8438,12.440989199771629,0
6252,0.9975459708712987,0
703,5.133169795481915,0
9845,7.43623290941504,0
214,5.91909242469781,3
17832,10.630376767590741,2
6542,4.812367285165385,0
4546,1.9236867394653259,1
949,9.190607727744709,2
12550,13.383591009251926,0
6597,2.100227871182632,1
15286,16.870052978315005,1
7967,4.41562116354308,0
15982,6.7114880295401695,1
10973,5.5160267335327156,1
16403,2.9477464295480242,0
10020,10.531082503130513,1
13471,1.42710945231447,1
6272,13.321379821515519,2
9786,6.330297049221382,3
17337,7.7088525731186275,1
8437,2.183782157094326,1
8498,7.573472468135089,0
3044,1.3302595904535122,2
