,R,Q,A,Y
14762,0,0,1,1
1457,0,1,1,1
12377,0,0,1,1
1993,0,0,1,0
1423,0,1,1,0
5760,1,1,0,1
8915,0,1,1,1
9769,0,2,1,0
12180,0,2,1,0
6012,0,3,1,0
12544,1,3,1,0
4477,0,2,1,1
4031,1,3,1,0
499,0,1,0,0
15389,0,0,1,0
262,1,3,0,0
15434,0,2,1,0
13160,1,2,1,1
13098,1,2,1,1
3347,0,1,0,0
684,0,3,1,0
15894,0,1,1,1
13532,0,1,1,0
3204,0,2,0,1
4411,1,1,0,1
17463,0,3,1,1
4711,1,2,0,0
16824,0,2,1,0
1563,0,1,1,1
4481,0,1,0,0
15297,0,1,1,0
11146,1,2,1,1
609,0,3,0,0
14797,3,1,1,1
16858,1,3,1,1
6496,0,1,1,0
14215,0,2,1,0
4212,0,2,0,1
17264,1,1,1,1
8111,1,2,1,1
8790,0,2,1,1
5964,0,1,1,0
8165,0,2,1,1
3456,1,1,0,1
622,1,0,0,1
1564,1,0,0,1
2955,1,0,0,1
4664,1,3,1,1
4059,0,2,0,0
8858,0,2,1,0
15684,1,3,1,1
13676,0,2,1,0
17128,2,2,1,1
9753,0,3,1,0
9490,1,1,1,0
2312,0,1,1,1
8765,1,2,1,1
5052,0,0,1,1
14347,0,0,1,1
10634,0,2,1,0
1308,0,2,1,0
5394,1,2,1,1
15588,1,2,1,1
3345,1,2,0,0
5300,0,3,1,0
353,0,1,1,1
10584,0,2,1,0
12539,0,0,1,1
17263,1,1,1,1
16123,0,2,1,0
7463,0,0,1,1
15983,0,0,1,0
2647,0,3,1,1
4532,2,2,0,1
11191,1,1,1,1
10813,0,3,1,0
12054,0,2,1,0
580,0,3,0,0
7930,0,2,1,0
10498,0,2,1,0
14751,0,1,1,0
9144,0,1,1,1
17300,1,2,1,0
3372,0,0,0,1
8450,0,1,1,0
796,0,2,0,0
2610,0,0,0,0
17101,0,2,1,0
3172,0,0,1,1
10067,2,1,1,1
4627,1,1,0,1
6630,0,1,1,0
8474,0,2,1,0
11798,0,2,1,0
9875,0,2,1,1
9930,1,2,1,1
