,R,Q
11132,6.788218957560455,2
24172,-4.657229578265034,3
16136,-8.197281915816413,2
14448,5.611050451882246,2
24161,-4.416268911549327,3
16795,2.755859349854901,2
21567,0.6022454036005418,2
18073,8.862300369994156,2
7434,2.798152898360115,1
837,3.606431562613336,2
18488,-5.918539112994239,3
5899,-5.482341524816258,3
1865,-3.283028764778914,1
15954,-7.037153104223821,2
1753,3.55580095403655,1
6592,7.267986104610888,1
6918,1.1226691956710402,2
8286,6.960655031279727,1
20344,-4.117504931896147,2
11086,1.3026476419646096,2
10998,-8.136804902540387,2
13756,-6.683496213859936,3
1563,2.9203336129525233,1
4817,-0.7304476364338974,2
18981,5.75561558885041,1
6780,3.175007873755074,1
6917,4.44343036111209,1
21645,6.831580635668164,3
3177,3.655750763380495,1
17088,-8.153761673695492,2
3124,12.964595323875734,3
19341,4.416618897799125,3
7111,0.6825154216316776,3
18378,-6.376063162444455,2
9479,-8.373444321717418,2
7639,7.765352439472192,2
13349,-3.384507316090623,2
23921,5.586059226743475,2
27101,4.6809717623016,0
17771,-5.172624433641577,2
22596,1.5738828001921057,0
6545,-3.1194875046274806,3
7897,10.842398229533462,1
20750,-4.4992777657007,2
15303,1.6063980660243051,2
19151,-7.93922164606167,1
4101,-8.869940391104842,1
25752,4.768285432029839,0
7953,-3.274627410209126,1
24504,-2.866891989340483,1
2852,-5.679821421990114,1
27236,-7.540107634200334,1
28581,-2.6349718695401254,1
7317,2.100227871182632,1
9570,4.024520741117882,1
16407,-4.434858272282935,2
20988,5.904485210766315,3
8396,3.6278962282529807,2
915,10.457945218738674,1
7729,5.872365168077714,1
17978,6.016934986881907,2
21019,3.8644274848481834,2
6145,8.730368500646314,1
3331,-9.11077294289411,2
372,4.792651043156996,3
6618,-2.799054325675324,2
27839,4.161239857738955,1
2929,0.47102616741288017,0
8245,4.178499870777834,1
1202,-2.811526645495059,3
2140,1.3171586275572376,1
20904,-4.781907203085131,1
9716,2.5093302931054806,2
17622,-9.055462901137636,0
3523,10.575164190350758,2
5006,11.34594672226333,1
13111,11.358059793799502,1
8542,0.30661767012257357,1
6307,-4.725822740514506,3
26310,1.2837147478596858,2
26593,-8.53748313371781,2
20738,4.682375179161575,1
22489,7.676185882087742,1
27064,10.475559963207663,2
2897,4.948648179379204,2
16085,-2.5778345897476367,0
1348,10.251989306899723,3
24699,-1.8961764676947048,1
25039,-4.6581242044619815,1
24146,3.8107862230711467,3
7505,7.1550378235675645,2
26814,5.560155876271201,1
26903,4.916301998115728,1
15067,2.106519102673872,2
6976,2.0701018221028886,2
8802,2.169340466562815,1
23723,4.1295759759501705,1
27169,-1.1609977608992335,2
3009,-3.555834640837001,3
28913,-8.148605381350174,1
9249,-6.206919538495588,1
28094,2.5172289118023405,1
29758,8.099663098632579,2
4621,2.4075085906391775,2
17612,5.2666966542490545,2
21362,1.0381533116041672,2
23559,-5.45958921165444,2
11015,12.102828658871337,1
3739,5.637632895361124,1
2362,6.54627665944938,3
26779,3.4068153752329424,0
5783,-7.125821118623202,2
10977,-3.8204627785389587,2
409,-3.289370207151695,0
4543,-4.9221573073902904,2
28431,5.736900623613717,1
25867,-6.357545411291732,1
17731,-7.117427287875483,1
14540,-4.785920614496744,1
20578,-7.139291073965671,3
26731,-3.398248142795657,2
4394,8.35563018107327,2
3541,6.2832681610976815,2
6271,-7.271247614348295,2
427,2.683011346653884,0
24566,5.283836670301446,2
14866,5.293862506800169,0
5536,3.7779766538883317,1
24265,-3.166144571786143,3
11601,1.6485028210041124,2
1616,5.389512362254995,1
14528,19.298099065640457,1
2539,0.4238981737626253,2
5865,-4.258069801276342,3
28359,-5.190976266628013,3
14752,3.4880401157678165,1
23342,-3.8297260414210177,1
17260,11.740927074994206,0
27715,5.400185019775551,2
2735,-7.352703806936576,2
12523,0.7437613830514095,1
22104,5.496715839936626,0
21843,16.244715355616478,1
26198,-8.467492659530993,1
28640,9.334966040202804,0
17479,-6.05338363236878,1
28863,-5.461209676329725,2
25961,3.7229215681240637,2
21397,4.317121580519768,2
22861,8.259259093257874,1
16383,-7.671466712129848,2
23672,6.996448970355079,1
125,10.292575291345226,1
7833,3.7729729815965456,1
19467,4.436439783307468,2
29370,3.539670504608207,2
13435,-1.5214733844655477,2
4878,-4.468668631108067,0
29456,-5.528016507887111,0
3710,-5.547467860566923,1
23652,-5.273178001582902,1
2446,7.197956214006117,2
17553,-8.35064626914507,1
13096,6.648958974724106,2
5904,-9.487526073457706,1
13667,6.844967895692939,2
5792,3.8977020800940427,1
20584,2.4327683865374192,3
19677,-8.21854462912571,1
10261,5.057601953783819,2
15339,4.913702924481516,1
15965,-5.011774248852456,1
18867,4.513723948146271,1
3016,1.290724153727215,2
6914,4.632835463729748,1
15069,-5.841556584174512,1
14677,7.544657397754348,1
1584,-4.096284988286531,2
3290,-7.532917387128724,2
14547,2.108585026950416,1
5828,-3.314443114863078,0
22000,10.998950806534506,2
16262,10.3102664307272,0
29074,9.842334762989722,2
25624,-7.782374865731118,2
16095,-9.17227532102364,0
18630,10.751486844837736,3
27769,-4.498266800420071,2
2455,1.6918540658972674,1
18265,9.292792533765471,1
18544,4.260766116356752,1
