,R,Q,A,Y
0,2.5999999999999996,1,0,0
1,0.2,2,0,0
2,1.0,3,1,1
3,0.2,2,0,1
4,2.2,3,1,1
5,1.0,1,1,1
6,1.0,3,1,1
7,1.0,1,1,0
8,0.2,1,0,0
9,0.2,2,0,0
10,1.0,2,1,1
11,2.2,2,1,1
12,0.2,2,0,0
13,1.0,2,1,1
14,1.0,0,1,1
15,0.2,1,0,0
16,0.2,1,0,0
17,2.5999999999999996,3,0,0
18,2.5999999999999996,1,0,0
19,1.0,2,1,1
20,1.0,0,1,1
21,0.2,1,0,0
22,0.2,0,0,1
23,2.5999999999999996,1,0,0
24,1.0,1,1,0
25,1.0,1,1,1
26,0.2,1,0,0
27,0.2,3,0,1
28,1.0,1,1,0
29,1.0,1,1,0
30,1.0,1,1,0
31,0.2,3,0,0
32,1.0,2,1,1
33,1.0,1,1,1
34,1.0,2,1,1
35,2.2,2,1,1
36,0.2,1,0,0
37,0.2,0,0,0
38,1.0,2,1,0
39,1.0,2,1,1
40,1.0,3,1,1
41,0.2,2,0,0
42,2.2,2,1,1
43,0.2,0,0,0
44,0.2,1,0,1
45,1.0,1,1,1
46,2.2,2,1,1
47,0.2,1,0,0
48,1.0,2,1,1
49,1.0,2,1,0
50,1.0,1,1,1
51,1.0,2,1,1
52,2.5999999999999996,1,0,0
53,2.2,2,1,0
54,1.0,2,1,1
55,2.5999999999999996,2,0,1
56,1.0,1,1,1
57,1.0,2,1,1
58,0.2,2,0,0
59,0.2,0,0,0
60,2.2,1,1,0
61,0.2,2,0,0
62,2.2,2,1,1
63,0.2,1,0,0
64,1.0,3,1,1
65,0.2,1,0,0
66,3.8,1,0,0
67,1.0,1,1,1
68,1.0,1,1,1
69,1.0,0,1,1
70,0.2,3,0,0
71,1.0,0,1,1
72,0.2,1,0,0
73,0.2,1,0,0
74,0.2,3,0,0
75,1.0,3,1,1
76,1.0,2,1,1
77,2.5999999999999996,1,0,0
78,1.0,2,1,1
79,0.2,3,0,0
80,0.2,2,0,1
81,1.0,2,1,1
82,2.2,1,1,1
83,1.0,2,1,1
84,1.0,1,1,1
85,1.0,3,1,1
86,1.0,1,1,1
87,0.2,2,0,1
88,3.8,0,0,0
89,1.0,0,1,0
90,1.0,0,1,1
91,1.0,1,1,1
92,1.0,1,1,1
93,0.2,1,0,0
94,3.8,1,0,1
95,2.5999999999999996,2,0,0
96,1.0,1,1,1
97,0.2,1,0,0
98,1.0,2,1,1
99,1.0,3,1,1
100,1.0,0,1,1
101,3.8,2,0,1
102,1.0,2,1,1
103,2.2,0,1,1
104,0.2,2,0,0
105,1.0,1,1,1
106,1.0,2,1,1
107,0.2,3,0,1
108,1.0,1,1,1
109,0.2,1,0,0
110,1.0,2,1,1
111,2.2,3,1,1
112,1.0,1,1,1
113,0.2,3,0,0
114,1.0,1,1,1
115,1.0,1,1,1
116,2.5999999999999996,0,0,1
117,2.5999999999999996,1,0,0
118,0.2,3,0,1
119,2.5999999999999996,0,0,0
120,1.0,2,1,1
121,2.2,2,1,1
122,1.0,1,1,1
123,0.2,1,0,0
124,0.2,0,0,0
125,1.0,1,1,1
126,1.0,2,1,1
127,0.2,2,0,1
128,0.2,2,0,0
129,0.2,1,0,0
130,1.0,2,1,1
131,1.0,1,1,1
132,1.0,3,1,1
133,3.8,2,0,0
134,1.0,2,1,1
135,2.2,2,1,1
136,0.2,2,0,0
137,3.8,2,0,0
138,1.0,1,1,1
139,1.0,2,1,1
140,1.0,3,1,1
141,1.0,1,1,0
142,0.2,2,0,0
143,0.2,0,0,0
144,0.2,2,0,1
145,1.0,3,1,1
146,1.0,2,1,1
147,1.0,2,1,1
148,2.2,2,1,1
149,1.0,0,1,1
150,3.8,2,0,0
151,0.2,2,0,1
152,1.0,2,1,0
153,1.0,3,1,1
154,1.0,1,1,1
155,1.0,2,1,1
156,1.0,3,1,1
157,2.5999999999999996,2,0,0
158,2.5999999999999996,2,0,0
159,0.2,2,0,0
160,1.0,1,1,1
161,0.2,2,0,0
162,2.5999999999999996,0,0,0
163,2.2,1,1,1
164,0.2,1,0,0
165,2.2,1,1,1
166,2.2,2,1,1
167,1.0,2,1,1
168,1.0,2,1,1
169,1.0,0,1,0
170,0.2,0,0,0
171,0.2,0,0,0
172,1.0,1,1,1
173,0.2,2,0,1
174,0.2,1,0,0
175,2.5999999999999996,2,0,0
176,0.2,1,0,0
177,1.0,2,1,0
178,2.2,2,1,1
179,2.5999999999999996,1,0,0
180,1.0,0,1,1
181,0.2,2,0,0
182,0.2,1,0,0
183,1.0,1,1,1
184,0.2,1,0,1
185,0.2,2,0,0
186,0.2,3,0,0
187,1.0,1,1,1
188,0.2,2,0,0
189,1.0,3,1,0
190,2.2,2,1,1
191,1.0,2,1,1
192,0.2,1,0,0
193,2.2,2,1,1
194,0.2,2,0,0
195,1.0,2,1,0
196,3.8,3,0,0
197,1.0,2,1,1
198,0.2,1,0,0
199,1.0,2,1,1
200,0.2,1,0,0
201,1.0,1,1,1
202,0.2,1,0,0
203,1.0,1,1,1
204,1.0,2,1,0
205,0.2,1,0,0
206,1.0,2,1,0
207,0.2,0,0,1
208,0.2,3,0,0
209,0.2,0,0,0
210,1.0,1,1,1
211,2.2,1,1,1
212,0.2,1,0,0
213,0.2,2,0,0
214,1.0,1,1,1
215,1.0,3,1,1
216,2.2,1,1,1
217,1.0,0,1,1
218,0.2,1,0,0
219,0.2,1,0,0
220,0.2,2,0,1
221,1.0,2,1,0
222,1.0,2,1,1
223,0.2,2,0,1
224,2.2,2,1,0
225,2.2,2,1,1
226,0.2,0,0,0
227,1.0,2,1,1
228,1.0,1,1,0
229,3.8,1,0,0
230,2.5999999999999996,1,0,0
231,2.2,1,1,1
232,0.2,2,0,1
233,1.0,2,1,1
234,1.0,0,1,1
235,1.0,2,1,0
236,1.0,0,1,1
237,0.2,1,0,0
238,2.2,1,1,1
239,2.2,0,1,1
240,3.8,2,0,0
241,1.0,2,1,1
242,3.8,2,0,0
243,3.8,2,0,1
244,1.0,1,1,1
245,1.0,2,1,1
246,1.0,2,1,1
247,2.2,3,1,1
248,0.2,1,0,0
249,0.2,2,0,0
250,0.2,2,0,0
251,1.0,2,1,1
252,1.0,2,0,0
253,0.2,1,0,1
254,0.2,2,0,0
255,0.2,1,0,1
256,0.2,1,0,0
257,1.0,1,1,1
258,2.2,1,1,1
259,2.2,2,1,1
260,0.2,0,0,0
261,0.2,1,0,0
262,1.0,1,1,1
263,0.2,1,0,0
264,1.0,2,1,1
265,0.2,2,0,1
266,0.2,1,0,0
267,0.2,1,0,0
268,1.0,0,1,1
269,0.2,0,0,0
270,0.2,2,0,0
271,1.0,2,1,0
272,0.2,1,0,0
273,0.2,2,0,0
274,0.2,2,0,0
275,0.2,2,0,0
276,1.0,1,1,1
277,2.2,1,1,1
278,1.0,2,1,1
279,0.2,0,0,0
280,3.8,3,0,0
281,1.0,1,1,1
282,0.2,1,0,0
283,0.2,2,0,1
284,1.0,0,1,1
285,0.2,0,0,0
286,2.2,2,1,1
287,0.2,1,0,0
288,0.2,1,0,0
289,0.2,2,0,1
290,0.2,2,0,0
291,2.2,3,1,1
292,2.2,0,1,1
293,2.2,1,1,1
294,0.2,1,0,1
295,0.2,0,0,0
296,0.2,1,0,0
297,2.2,2,1,1
298,1.0,1,1,1
299,1.0,1,1,1
300,2.2,0,1,1
301,0.2,3,0,0
302,0.2,2,0,0
303,0.2,2,0,0
304,0.2,1,0,0
305,1.0,3,1,1
306,1.0,1,0,0
307,0.2,1,0,0
308,0.2,2,0,0
309,1.0,3,1,1
310,1.0,2,1,1
311,1.0,0,1,1
312,2.2,0,1,0
313,1.0,2,1,0
314,0.2,1,0,1
315,2.5999999999999996,1,0,0
316,2.2,2,1,0
317,1.0,2,1,1
318,0.2,2,0,0
319,0.2,2,0,0
320,1.0,1,1,1
321,0.2,3,0,0
322,0.2,0,0,0
323,0.2,1,0,0
324,1.0,1,1,1
325,1.0,1,1,1
326,1.0,1,1,1
327,1.0,0,1,1
328,0.2,1,0,0
329,2.5999999999999996,1,0,0
330,1.0,1,1,1
331,1.0,1,1,1
332,0.2,0,0,0
333,1.0,3,1,1
334,0.2,1,0,0
335,3.8,1,0,0
336,0.2,2,0,1
337,1.0,2,1,1
338,2.2,2,1,1
339,2.5999999999999996,2,0,0
340,1.0,1,1,1
341,0.2,1,0,0
342,2.5999999999999996,1,0,0
343,2.2,2,1,1
344,1.0,0,1,0
345,0.2,2,0,0
346,0.2,2,0,0
347,0.2,0,0,1
348,2.2,2,1,1
349,0.2,2,0,0
350,3.8,2,0,0
351,1.0,2,1,1
352,1.0,3,1,1
353,1.0,1,1,1
354,3.8,0,0,0
355,1.0,1,1,1
356,0.2,2,0,0
357,0.2,0,0,1
358,1.0,1,1,1
359,2.2,2,1,1
360,1.0,1,1,1
361,0.2,1,0,1
362,0.2,2,0,0
363,1.0,0,1,1
364,0.2,1,0,1
365,0.2,3,0,0
366,0.2,2,0,0
367,2.2,1,1,1
368,0.2,2,0,0
369,1.0,3,1,1
370,1.0,1,1,1
371,3.8,0,0,0
372,2.2,2,1,1
373,0.2,1,0,0
374,0.2,2,0,0
375,1.0,1,1,0
376,2.2,2,1,1
377,1.0,2,1,1
378,0.2,2,0,0
379,0.2,2,0,0
380,1.0,2,1,0
381,1.0,1,1,1
382,0.2,1,0,0
383,1.0,2,0,0
384,0.2,1,0,0
385,0.2,1,0,0
386,0.2,1,0,0
387,0.2,2,0,0
388,0.2,1,0,0
389,0.2,0,0,1
390,1.0,0,0,0
391,2.2,2,1,0
392,1.0,3,1,1
393,1.0,2,1,1
394,2.2,0,1,1
395,0.2,2,0,0
396,1.0,2,1,1
397,2.5999999999999996,2,0,0
398,2.2,3,1,1
399,1.0,3,1,1
400,0.2,0,0,0
401,2.2,2,1,1
402,0.2,0,0,0
403,0.2,1,0,1
404,0.2,2,0,0
405,1.0,2,1,1
406,1.0,1,1,1
407,0.2,1,0,1
408,0.2,2,0,0
409,0.2,2,0,0
410,2.2,2,1,1
411,0.2,1,0,0
412,0.2,0,0,0
413,1.0,0,1,1
414,3.8,1,0,0
415,0.2,3,0,0
416,0.2,3,0,0
417,0.2,1,0,0
418,1.0,2,1,1
419,1.0,2,1,1
420,2.5999999999999996,1,0,0
421,1.0,0,1,1
422,1.0,2,1,0
423,0.2,2,0,1
424,0.2,1,0,0
425,2.2,2,1,1
426,0.2,2,0,0
427,2.5999999999999996,1,0,0
428,0.2,1,0,0
429,2.5999999999999996,0,0,0
430,2.5999999999999996,1,0,0
431,2.2,1,1,0
432,1.0,1,1,1
433,1.0,3,1,1
434,1.0,1,1,1
435,0.2,1,0,1
436,0.2,3,0,0
437,0.2,3,0,0
438,0.2,2,0,0
439,0.2,1,0,0
440,0.2,1,0,1
441,1.0,1,1,1
442,1.0,2,1,1
443,1.0,1,1,1
444,0.2,2,0,0
445,1.0,1,1,1
446,2.2,1,1,1
447,1.0,1,1,1
448,1.0,1,1,1
449,1.0,1,1,0
450,1.0,2,1,1
451,1.0,3,1,1
452,0.2,1,0,1
453,1.0,1,1,1
454,1.0,0,1,1
455,1.0,1,1,1
456,2.2,1,1,1
457,1.0,0,1,1
458,2.2,2,1,1
459,1.0,1,1,1
460,1.0,1,1,1
461,0.2,2,0,0
462,0.2,1,0,0
463,1.0,1,1,1
464,0.2,2,0,0
465,1.0,1,1,0
466,3.8,2,0,0
467,1.0,2,1,1
468,0.2,2,0,0
469,1.0,2,1,1
470,0.2,1,0,0
471,1.0,2,1,1
472,3.8,2,0,0
473,1.0,1,1,1
474,0.2,2,0,0
475,1.0,1,1,1
476,0.2,2,0,0
477,1.0,1,1,0
478,2.2,2,1,1
479,1.0,2,1,1
480,0.2,2,0,1
481,0.2,2,0,1
482,1.0,0,1,1
483,1.0,1,1,1
484,0.2,1,0,0
485,0.2,2,0,0
486,1.0,1,1,1
487,1.0,1,1,1
488,1.0,1,1,1
489,0.2,1,0,1
490,1.0,1,1,1
491,3.8,2,0,0
492,0.2,1,0,0
493,0.2,2,0,1
494,1.0,2,1,1
495,0.2,2,0,0
496,0.2,2,0,0
497,0.2,2,0,0
498,1.0,2,1,0
499,1.0,2,0,0
500,2.2,2,1,1
501,1.0,2,1,0
502,0.2,2,0,0
503,1.0,3,1,0
504,0.2,0,0,0
505,1.0,2,1,1
506,1.0,3,1,1
507,1.0,1,1,1
508,2.2,2,1,1
509,2.2,1,1,0
510,1.0,0,1,1
511,0.2,2,0,0
512,1.0,0,1,1
513,0.2,3,0,0
514,1.0,0,1,1
515,2.2,2,1,0
516,2.5999999999999996,2,0,1
517,0.2,1,0,1
518,1.0,0,1,1
519,0.2,0,0,0
520,1.0,3,1,0
521,1.0,2,1,1
522,0.2,2,0,1
523,0.2,1,0,0
524,0.2,2,0,1
525,1.0,0,1,1
526,0.2,2,0,0
527,1.0,0,1,0
528,0.2,3,0,0
529,1.0,2,1,0
530,2.2,0,1,1
531,1.0,2,1,1
532,0.2,1,0,0
533,0.2,2,0,1
534,2.2,1,1,1
535,2.2,2,1,1
536,1.0,1,1,1
537,0.2,1,0,0
538,0.2,1,0,0
539,1.0,2,1,1
540,1.0,1,1,1
541,0.2,2,0,1
542,0.2,2,0,0
543,0.2,0,0,1
544,0.2,2,0,0
545,1.0,1,1,0
546,2.2,0,1,1
547,0.2,0,0,0
548,1.0,0,1,0
549,0.2,2,0,0
550,2.2,2,1,1
551,0.2,2,0,0
552,1.0,2,1,1
553,1.0,1,1,1
554,1.0,2,1,1
555,1.0,2,1,0
556,0.2,2,0,0
557,0.2,1,0,0
558,3.8,2,0,0
559,1.0,1,1,1
560,2.2,0,1,0
561,0.2,2,0,1
562,1.0,2,1,1
563,0.2,1,0,0
564,0.2,1,0,0
565,1.0,2,1,1
566,1.0,0,1,1
567,2.2,2,1,1
568,0.2,2,0,0
569,0.2,1,0,1
570,1.0,1,1,1
