,R,Q,A,Y
0,1.0,2,1,0
1,1.0,2,1,1
2,2.2,2,1,1
3,1.0,1,1,1
4,1.0,1,1,0
5,1.0,3,1,0
6,0.2,3,0,0
7,1.0,2,1,0
8,0.2,0,0,0
9,1.0,3,1,0
10,0.2,0,0,0
11,0.2,1,0,0
12,1.0,1,1,0
13,1.0,3,1,0
14,1.0,2,1,1
15,0.2,2,0,0
16,1.0,2,1,1
17,1.0,2,1,1
18,0.2,2,0,0
19,2.2,0,1,1
20,1.0,0,1,1
21,0.2,0,0,0
22,1.0,2,1,1
23,1.0,2,1,1
24,1.0,2,1,0
25,1.0,0,1,1
26,0.2,0,0,0
27,0.2,2,0,1
28,1.0,1,1,0
29,1.0,1,0,1
30,1.0,2,1,0
31,1.0,2,1,1
32,0.2,1,0,0
33,1.0,3,0,0
34,0.2,2,0,1
35,2.2,2,1,1
36,1.0,1,1,1
37,1.0,2,1,0
38,0.2,0,0,0
39,1.0,2,1,1
40,0.2,1,0,0
41,1.0,3,1,0
42,1.0,1,1,1
43,2.2,1,1,1
44,0.2,1,0,0
45,1.0,1,0,1
46,0.2,1,0,0
47,1.0,2,1,1
48,0.2,2,0,0
49,1.0,0,1,1
50,0.2,1,0,0
51,2.2,0,1,1
52,0.2,2,0,0
53,2.2,3,1,1
54,0.2,0,0,1
55,1.0,2,1,1
56,2.2,2,1,0
57,1.0,2,1,0
58,1.0,2,1,1
59,1.0,2,1,1
60,0.2,2,0,0
61,1.0,2,0,1
62,0.2,1,0,0
63,0.2,1,0,0
64,1.0,1,1,1
65,1.0,1,1,1
66,0.2,1,0,1
67,1.0,1,1,0
68,1.0,1,1,1
69,1.0,1,0,1
70,1.0,1,1,1
71,1.0,2,0,1
72,1.0,1,0,0
73,1.0,3,1,0
74,0.2,1,0,0
75,0.2,2,0,0
76,2.2,3,1,1
77,0.2,2,0,0
78,0.2,3,0,0
79,1.0,3,1,0
80,1.0,2,1,1
81,1.0,1,1,1
82,0.2,1,0,0
83,0.2,1,0,1
84,1.0,1,1,1
85,1.0,1,0,0
86,0.2,0,0,0
87,0.2,2,0,0
88,0.2,1,0,0
89,0.2,1,0,0
90,1.0,2,1,0
91,1.0,3,1,1
92,0.2,3,0,0
93,2.2,3,1,1
94,1.0,2,1,0
95,1.0,0,1,1
96,2.2,1,1,1
97,0.2,2,0,0
98,1.0,1,0,1
99,0.2,2,0,0
100,0.2,1,0,0
101,1.0,3,1,0
102,0.2,1,0,0
103,0.2,1,0,0
104,0.2,2,0,0
105,2.2,1,1,1
106,1.0,2,1,1
107,0.2,1,0,0
108,1.0,1,0,0
109,1.0,1,1,1
110,0.2,1,0,0
111,1.0,2,1,1
112,0.2,1,0,0
113,1.0,3,1,1
114,2.2,2,1,1
115,1.0,1,1,1
116,1.0,2,1,1
117,1.0,1,1,1
118,1.0,1,1,0
119,1.0,2,1,0
120,0.2,3,0,0
121,0.2,1,0,0
122,1.0,2,1,0
123,1.0,0,1,1
124,1.0,3,1,0
125,0.2,3,0,0
126,0.2,2,0,0
127,1.0,1,1,0
128,0.2,3,0,0
129,1.0,2,1,0
130,1.0,1,1,0
131,2.2,2,1,1
132,1.0,0,1,1
133,1.0,1,1,1
134,1.0,2,1,1
135,0.2,0,0,1
136,1.0,1,1,1
137,0.2,2,0,0
138,2.2,1,1,1
139,1.0,2,1,1
140,1.0,0,1,1
141,1.0,1,1,1
142,0.2,1,0,0
143,0.2,1,0,0
144,1.0,2,1,0
145,0.2,1,0,0
146,1.0,0,1,1
147,0.2,2,0,0
148,0.2,2,0,0
149,0.2,0,0,0
150,2.2,2,0,1
151,0.2,1,0,0
152,1.0,1,1,1
153,0.2,1,0,0
154,0.2,1,0,0
155,1.0,0,1,1
156,0.2,1,0,0
157,1.0,1,1,1
158,0.2,2,0,0
159,0.2,1,0,1
160,1.0,2,1,1
161,1.0,1,1,1
162,0.2,0,0,1
163,0.2,2,0,0
164,1.0,0,1,1
165,0.2,3,0,0
166,0.2,0,0,0
167,1.0,1,1,1
168,0.2,1,0,0
169,0.2,3,0,0
170,2.2,2,1,1
171,1.0,2,1,1
172,0.2,2,0,0
173,1.0,1,1,0
174,0.2,0,0,0
175,1.0,2,1,1
176,1.0,1,1,1
177,0.2,3,0,0
178,0.2,1,0,0
179,1.0,2,1,0
180,1.0,2,0,0
181,0.2,3,0,0
182,1.0,0,1,1
183,2.2,2,1,1
184,0.2,1,0,1
185,1.0,1,0,1
186,1.0,0,1,0
187,1.0,1,1,1
188,1.0,1,1,1
189,1.0,3,1,1
190,0.2,2,0,1
191,2.2,2,1,1
192,2.2,1,1,1
193,1.0,3,1,1
194,1.0,1,1,1
