,R,Q,A,Y
0,0.6000000000000001,1,1,0
1,2.2,1,1,1
2,0.2,2,0,0
3,1.0,2,1,0
4,0.2,1,0,0
5,1.0,2,1,1
6,2.2,2,1,1
7,1.0,2,1,1
8,1.0,1,1,1
9,1.0,2,1,0
10,0.2,1,0,0
11,0.2,2,0,0
12,1.0,1,1,0
13,0.2,1,0,0
14,1.0,1,1,1
15,0.2,2,0,0
16,1.0,1,1,1
17,1.0,1,1,0
18,1.0,2,1,1
19,2.2,1,1,1
20,1.0,2,1,1
21,0.2,0,0,0
22,1.0,1,1,0
23,1.0,0,1,0
24,1.0,1,0,1
25,0.2,3,0,1
26,1.0,0,1,0
27,1.0,1,1,0
28,0.2,2,0,1
29,0.2,3,0,1
30,1.0,1,1,0
31,1.0,1,0,0
32,1.0,1,1,1
33,1.0,1,1,1
34,0.2,1,1,1
35,1.0,1,1,1
36,0.2,1,0,0
37,1.0,1,1,1
38,1.0,3,0,0
39,1.0,2,1,1
40,1.0,2,1,0
41,0.2,1,0,0
42,0.2,3,0,0
43,1.0,1,1,1
44,1.0,2,1,1
45,2.2,1,1,1
46,0.2,1,0,0
47,1.0,2,1,1
48,0.2,2,0,0
49,1.0,2,1,1
50,1.0,2,1,1
51,1.0,1,1,0
52,0.2,3,0,0
53,0.2,2,0,0
54,1.0,2,1,1
55,1.0,2,1,0
56,0.2,1,0,0
57,2.5999999999999996,1,0,1
58,2.2,3,1,1
59,2.2,1,0,1
60,0.2,1,0,1
61,0.2,1,0,0
62,1.0,1,0,1
63,1.0,1,1,1
64,1.0,2,1,1
65,1.0,2,1,1
66,0.2,2,0,0
67,1.0,2,1,1
68,0.2,1,0,0
69,0.2,3,0,0
70,1.0,2,1,1
71,0.2,3,0,0
72,2.2,2,1,1
73,1.0,1,1,0
74,0.2,1,0,0
75,1.0,0,0,1
76,2.2,0,1,1
77,1.0,0,1,1
78,1.0,1,1,1
79,2.2,2,1,1
80,1.0,3,1,0
81,1.0,2,1,0
