,R,Q,A
11132,6.788218957560455,2,0
24172,5.342770421734966,3,1
16136,1.8027180841835864,3,1
14448,5.611050451882246,2,0
24161,5.583731088450673,3,1
16795,2.755859349854901,2,0
21567,0.6022454036005418,2,0
18073,8.862300369994156,2,0
7434,2.798152898360115,1,0
837,3.606431562613336,2,0
18488,4.081460887005761,3,1
5899,4.517658475183742,3,1
1865,6.716971235221086,3,1
15954,2.9628468957761793,3,1
1753,3.55580095403655,1,0
6592,7.267986104610888,1,0
6918,1.1226691956710402,2,0
8286,6.960655031279727,1,0
20344,5.882495068103853,3,1
11086,1.3026476419646096,2,0
10998,1.8631950974596136,3,1
13756,3.3165037861400646,3,1
1563,2.9203336129525233,1,0
4817,9.269552363566103,3,1
18981,5.75561558885041,1,0
6780,3.175007873755074,1,0
6917,4.44343036111209,1,0
21645,6.831580635668164,3,0
3177,3.655750763380495,1,0
17088,1.8462383263045075,3,1
3124,12.964595323875734,3,0
19341,14.416618897799125,3,1
7111,10.682515421631678,3,1
18378,3.623936837555546,3,1
9479,1.6265556782825825,3,1
7639,7.765352439472192,2,0
13349,6.615492683909377,3,1
23921,5.586059226743475,2,0
27101,4.6809717623016,0,0
17771,4.827375566358423,3,1
22596,11.573882800192106,3,1
6545,6.880512495372519,3,1
7897,10.842398229533462,1,0
20750,5.5007222342993,3,1
15303,1.6063980660243051,2,0
19151,2.06077835393833,3,1
4101,1.1300596088951573,3,1
25752,4.768285432029839,0,0
7953,6.725372589790874,3,1
24504,7.133108010659517,3,1
2852,4.320178578009886,3,1
27236,2.4598923657996656,3,1
28581,7.365028130459875,3,1
7317,2.100227871182632,1,0
9570,4.024520741117882,1,0
16407,5.565141727717065,3,1
20988,5.904485210766315,3,0
8396,3.6278962282529807,2,0
915,10.457945218738674,1,0
7729,15.872365168077714,3,1
17978,6.016934986881907,2,0
21019,3.8644274848481834,2,0
6145,8.730368500646314,1,0
3331,0.8892270571058898,3,1
372,4.792651043156996,3,0
6618,7.200945674324676,3,1
27839,4.161239857738955,1,0
2929,10.47102616741288,3,1
8245,4.178499870777834,1,0
1202,7.188473354504941,3,1
2140,1.3171586275572376,1,0
20904,5.218092796914869,3,1
9716,2.5093302931054806,2,0
17622,0.9445370988623643,3,1
3523,10.575164190350758,2,0
5006,11.34594672226333,1,0
13111,11.358059793799502,1,0
8542,10.306617670122574,3,1
6307,5.274177259485494,3,1
26310,1.2837147478596858,2,0
26593,1.4625168662821897,3,1
20738,4.682375179161575,1,0
22489,7.676185882087742,1,0
27064,10.475559963207663,2,0
2897,4.948648179379204,2,0
16085,7.422165410252363,3,1
1348,10.251989306899723,3,0
24699,8.103823532305295,3,1
25039,5.3418757955380185,3,1
24146,3.8107862230711467,3,0
7505,17.155037823567564,3,1
26814,5.560155876271201,1,0
26903,4.916301998115728,1,0
15067,2.106519102673872,2,0
6976,2.0701018221028886,2,0
8802,2.169340466562815,1,0
23723,4.1295759759501705,1,0
27169,8.839002239100767,3,1
3009,6.444165359162999,3,1
28913,1.851394618649826,3,1
9249,3.7930804615044122,3,1
28094,2.5172289118023405,1,0
29758,8.099663098632579,2,0
4621,2.4075085906391775,2,0
17612,5.2666966542490545,2,0
21362,1.0381533116041672,2,0
23559,4.54041078834556,3,1
11015,12.102828658871337,1,0
3739,5.637632895361124,1,0
2362,6.54627665944938,3,0
26779,3.4068153752329424,0,0
5783,2.874178881376798,3,1
10977,6.179537221461041,3,1
409,6.710629792848305,3,1
4543,5.0778426926097096,3,1
28431,15.736900623613717,3,1
25867,3.6424545887082678,3,1
17731,2.882572712124517,3,1
14540,5.214079385503256,3,1
20578,2.8607089260343295,3,1
26731,6.601751857204343,3,1
4394,8.35563018107327,2,0
3541,6.2832681610976815,2,0
6271,2.7287523856517053,3,1
427,2.683011346653884,0,0
24566,5.283836670301446,2,0
14866,5.293862506800169,0,0
5536,3.7779766538883317,1,0
24265,6.833855428213857,3,1
11601,1.6485028210041124,2,0
1616,5.389512362254995,1,0
14528,19.298099065640457,1,0
2539,0.4238981737626253,2,0
5865,5.741930198723658,3,1
28359,4.809023733371987,3,1
14752,3.4880401157678165,1,0
23342,6.170273958578982,3,1
17260,11.740927074994206,0,0
27715,5.400185019775551,2,0
2735,2.6472961930634242,3,1
12523,0.7437613830514095,1,0
22104,5.496715839936626,0,0
21843,16.244715355616478,1,0
26198,1.5325073404690066,3,1
28640,9.334966040202804,0,0
17479,3.9466163676312207,3,1
28863,4.538790323670275,3,1
25961,3.7229215681240637,2,0
21397,4.317121580519768,2,0
22861,8.259259093257874,1,0
16383,2.328533287870152,3,1
23672,6.996448970355079,1,0
125,10.292575291345226,1,0
7833,3.7729729815965456,1,0
19467,4.436439783307468,2,0
29370,13.539670504608207,3,1
13435,8.478526615534452,3,1
4878,5.531331368891933,3,1
29456,4.471983492112889,3,1
3710,4.452532139433077,3,1
23652,4.726821998417098,3,1
2446,7.197956214006117,2,0
17553,1.64935373085493,3,1
13096,16.648958974724106,3,1
5904,0.5124739265422931,3,1
13667,6.844967895692939,2,0
5792,3.8977020800940427,1,0
20584,2.4327683865374192,3,0
19677,1.7814553708742913,3,1
10261,5.057601953783819,2,0
15339,4.913702924481516,1,0
15965,4.988225751147544,3,1
18867,4.513723948146271,1,0
3016,1.290724153727215,2,0
6914,4.632835463729748,1,0
15069,4.158443415825488,3,1
14677,7.544657397754348,1,0
