,R,Q,A,Y
0,1.0,0,1,1
1,0.2,3,0,0
2,0.2,3,0,0
3,1.0,0,1,1
4,1.0,0,1,0
5,1.0,0,1,1
6,1.0,0,1,0
7,0.2,3,0,0
8,1.0,0,1,1
9,2.2,0,1,1
10,0.2,3,0,0
11,0.2,3,0,0
12,0.2,3,0,0
13,1.0,0,1,1
14,0.2,3,0,0
15,2.2,0,1,1
16,2.2,0,1,1
17,0.2,3,0,0
18,0.2,3,0,0
19,1.0,0,1,1
20,1.0,0,1,1
21,1.0,0,0,1
22,1.0,0,1,0
23,1.0,0,1,1
24,1.0,0,1,1
25,1.0,0,1,1
26,1.0,0,0,1
27,1.0,0,0,1
28,1.0,0,1,1
29,0.2,3,0,0
30,1.0,0,1,1
31,2.2,0,1,1
32,1.0,0,1,1
33,2.2,0,1,1
34,2.2,0,1,1
35,0.2,3,0,1
36,1.0,0,1,1
37,0.2,3,0,0
38,1.0,3,0,0
39,1.0,0,1,0
40,0.2,3,0,0
41,1.0,0,1,1
42,0.2,3,0,0
43,0.2,3,0,0
44,1.0,0,1,1
45,1.0,0,1,1
46,0.2,3,0,0
47,1.0,0,1,1
48,1.0,0,1,1
49,1.0,0,0,0
50,0.2,3,0,0
51,0.2,3,0,0
52,1.0,0,1,1
53,1.0,0,0,1
54,2.2,0,1,1
55,1.0,0,1,1
56,1.0,0,1,0
57,1.0,0,1,1
58,1.0,0,1,1
59,1.0,0,1,1
60,0.2,3,0,0
61,0.2,3,0,0
62,0.2,3,0,0
63,0.2,3,0,0
64,1.0,0,1,1
65,0.2,3,0,0
66,1.0,0,1,1
67,0.2,3,0,0
68,2.2,0,1,1
69,1.0,0,1,1
70,0.2,3,0,0
71,0.2,3,0,0
72,0.2,3,0,0
73,0.2,3,0,0
74,2.2,0,1,1
75,0.2,3,0,0
76,1.0,0,1,1
77,1.0,0,0,1
78,1.0,0,1,1
79,0.2,3,0,0
80,1.0,0,1,1
81,0.2,3,0,0
82,2.2,0,1,1
83,1.0,0,1,1
84,1.0,0,1,1
85,0.2,3,0,0
86,1.0,0,1,1
87,1.0,0,1,1
88,0.2,3,0,0
89,1.0,0,1,1
90,2.2,0,1,1
91,0.2,3,0,0
92,0.2,3,0,0
93,1.0,0,1,1
94,0.2,3,0,1
95,1.0,0,0,1
96,0.2,3,0,0
97,0.2,3,0,0
98,1.0,0,0,0
99,0.2,3,0,0
100,2.2,0,1,1
101,0.2,3,0,0
102,1.0,0,1,1
103,1.0,0,1,1
104,1.0,0,1,1
105,1.0,0,1,1
106,1.0,0,1,1
107,1.0,3,0,0
108,1.0,0,1,0
109,1.0,0,1,1
110,0.2,3,0,0
111,1.0,0,0,1
112,1.0,0,1,1
113,3.0,0,1,1
114,1.0,0,1,1
115,0.2,3,0,0
116,0.2,3,0,0
117,2.2,0,1,1
118,0.2,3,0,0
119,0.2,3,0,0
120,3.8,0,0,1
121,0.2,3,0,0
122,0.2,3,0,0
123,1.0,0,1,1
124,1.0,0,0,1
125,2.2,0,1,1
126,0.2,3,0,0
127,1.0,0,0,0
128,0.2,3,0,0
129,0.2,3,0,0
130,1.0,0,1,1
131,0.2,3,0,0
132,1.0,0,1,1
133,1.0,0,1,1
134,0.2,3,0,0
135,1.0,0,1,1
136,1.0,3,0,0
137,0.2,3,0,0
138,0.2,3,0,0
139,0.2,3,0,0
140,1.0,0,1,0
141,2.2,0,1,0
142,0.2,3,0,0
143,1.0,0,1,1
144,1.0,0,1,1
145,1.0,0,0,1
146,1.0,0,0,1
147,0.2,3,0,0
148,0.2,3,0,0
149,1.0,0,1,1
150,1.0,0,1,1
151,0.2,3,0,0
152,0.2,3,0,0
153,1.0,0,0,1
154,1.0,0,1,1
155,0.2,3,0,0
156,1.0,0,1,1
157,0.2,3,0,0
158,0.2,3,0,0
159,1.0,0,0,1
160,1.0,0,1,1
161,1.0,0,1,1
162,0.2,3,0,0
163,0.2,3,0,0
164,2.2,0,1,1
165,1.0,0,1,1
166,0.2,3,0,0
167,1.0,0,1,0
168,1.0,0,1,1
169,0.2,3,0,0
170,0.2,3,0,0
171,0.2,3,0,0
172,1.0,0,1,1
173,0.2,3,0,0
174,1.0,0,0,1
175,1.0,3,0,1
176,0.2,3,0,0
177,1.0,0,1,1
178,1.0,0,1,1
179,1.0,0,1,1
180,3.0,0,1,1
181,0.2,3,0,0
182,1.0,0,0,1
183,0.2,3,0,0
184,1.0,0,1,1
185,0.2,3,0,0
186,0.2,3,0,0
187,0.2,3,0,0
188,1.0,0,1,1
189,1.0,0,1,1
190,2.2,0,1,1
191,0.2,3,0,0
192,2.2,0,1,1
193,1.0,0,1,1
194,1.0,0,1,1
195,1.0,0,1,0
196,0.2,3,0,0
197,0.2,3,0,0
198,1.0,0,1,1
199,2.2,0,1,1
200,1.0,0,1,0
201,1.0,0,0,1
202,1.0,0,1,1
203,1.0,0,0,1
204,2.2,0,0,1
205,2.2,0,1,1
206,0.2,3,0,0
207,1.0,0,1,1
208,0.2,3,0,0
209,1.0,0,1,1
210,0.2,3,0,0
211,1.0,0,1,1
212,0.2,3,0,0
213,1.0,0,0,1
214,0.2,3,0,0
215,0.2,3,0,0
216,1.0,0,1,1
217,1.0,0,0,1
218,0.2,3,0,0
219,0.2,3,0,0
220,1.0,0,1,0
221,1.0,0,1,1
222,2.2,0,1,1
223,2.2,0,1,1
224,1.0,0,1,1
225,0.2,3,0,0
226,2.2,0,1,1
227,0.2,3,0,0
228,0.2,3,0,0
229,1.0,0,0,1
230,1.0,0,1,1
231,2.2,0,1,1
232,1.0,0,1,1
233,2.2,0,1,1
234,0.2,3,0,0
235,0.2,3,0,0
236,1.0,0,1,1
237,0.2,3,0,0
238,0.2,3,0,0
239,1.0,0,1,1
240,0.2,3,0,0
241,1.0,0,1,1
242,0.2,3,0,0
243,0.2,3,0,0
244,1.0,0,1,0
245,1.0,0,0,0
246,0.2,3,0,0
247,0.2,3,0,0
248,1.0,0,1,1
249,1.0,0,1,0
250,1.0,0,1,1
251,0.2,3,0,0
252,1.0,0,1,1
253,0.2,3,0,0
254,1.0,0,0,1
255,0.2,3,0,0
256,0.2,3,0,0
257,3.0,0,1,1
258,0.2,3,0,0
259,1.0,2,0,0
260,1.0,0,1,1
261,1.0,0,1,1
262,1.0,0,0,1
263,0.2,3,0,0
264,1.0,0,1,1
265,1.0,0,1,1
266,1.0,0,1,0
267,1.0,0,1,1
268,0.2,3,0,0
269,0.2,3,0,0
270,2.2,0,1,1
271,1.0,0,1,1
272,1.0,0,1,1
273,1.0,0,1,1
274,1.0,0,0,1
275,1.0,0,1,1
276,1.0,0,1,1
277,1.0,0,1,1
278,1.0,0,1,1
279,0.2,3,0,0
280,1.0,0,1,1
281,1.0,0,1,0
282,1.0,0,1,1
283,1.0,0,1,1
284,2.2,0,1,1
285,1.0,0,1,1
286,2.2,0,1,1
287,1.0,0,1,1
288,0.2,3,0,0
289,1.0,0,1,1
290,0.2,3,0,0
291,0.2,3,0,0
292,2.2,0,1,1
293,1.0,0,1,0
294,0.2,3,0,0
295,2.2,0,1,1
296,1.0,0,1,1
297,1.0,0,0,1
298,0.2,3,0,0
299,1.0,0,1,1
300,1.0,0,1,1
301,1.0,0,1,0
302,2.2,0,1,1
303,1.0,0,1,1
304,1.0,0,1,0
