,R,Q,A,Y
24779,1,3,1,1
28819,0,2,0,0
5455,1,1,1,1
14534,0,2,0,0
29559,1,1,0,1
19798,1,3,0,0
6934,0,2,1,1
26817,0,1,0,0
24698,0,2,0,0
16122,1,1,0,1
26061,0,2,1,1
1327,0,1,1,1
25681,1,3,0,1
1380,2,1,1,1
3386,1,1,0,0
29938,0,2,1,1
16879,0,2,1,0
26974,0,2,0,0
26094,1,2,1,1
18857,0,3,1,1
3680,1,2,1,1
9954,1,2,0,1
8016,0,1,1,1
4938,0,0,0,1
27963,0,1,1,1
678,0,2,1,1
18317,0,2,0,1
24176,0,0,0,0
19297,0,1,1,1
7523,0,2,0,0
27421,0,1,0,0
27451,1,3,0,1
9822,0,0,1,1
26541,1,0,0,1
3432,0,3,1,0
29869,0,2,1,1
13902,0,1,1,1
29314,1,1,1,1
4117,1,2,1,1
12879,0,3,1,0
24080,0,1,0,0
29396,1,2,0,0
12639,0,1,1,1
24242,0,1,0,0
10312,0,2,0,0
12418,0,2,0,0
1943,0,2,1,1
14217,0,2,0,0
11501,0,1,1,1
23901,0,1,1,0
13498,1,1,1,1
18158,0,3,0,0
17582,1,2,1,1
14728,0,2,0,0
4777,0,0,1,1
9762,0,1,1,0
28359,0,3,0,0
1712,0,3,0,0
29815,0,1,0,0
27746,2,3,0,0
22498,0,2,1,1
28236,1,1,1,1
2355,0,1,1,1
10531,0,2,1,1
15682,0,3,0,0
14149,0,3,1,1
12748,0,0,1,1
5450,1,2,1,1
13684,0,3,1,0
29818,1,1,0,1
22716,1,3,1,1
19013,1,3,0,0
779,2,2,1,1
17640,0,2,1,1
2127,1,2,1,1
8449,1,2,0,0
14863,1,2,0,0
29350,0,1,0,0
8487,0,2,0,1
9892,1,2,0,1
23655,3,1,1,1
11087,0,1,0,1
22147,0,1,0,0
1069,0,1,0,0
22102,0,1,0,0
8561,1,3,1,1
16719,0,2,0,0
12206,0,3,0,0
5611,0,2,0,0
29572,1,0,1,1
20259,0,1,0,0
17073,1,1,0,0
19462,0,1,1,1
7626,0,1,1,1
13551,0,1,1,0
18493,0,1,1,1
15893,0,2,0,0
13615,1,0,1,1
12013,1,1,1,1
28557,0,2,0,0
16440,0,3,0,0
16396,1,1,0,0
20453,0,0,1,1
15963,0,2,1,0
6962,0,2,0,0
21889,0,1,0,1
20413,0,1,1,1
2122,1,2,1,1
3249,0,2,1,1
20601,0,2,0,0
28512,1,1,0,0
25758,1,2,0,1
27899,0,2,1,0
14777,0,1,0,0
15655,0,2,0,0
1911,0,2,0,0
12808,1,0,0,1
1638,1,1,1,1
1456,0,2,0,0
28784,1,1,0,0
10378,0,2,0,0
3431,0,1,0,0
10478,0,2,1,0
22985,1,0,1,1
26715,0,1,1,1
12073,0,2,0,0
13910,0,3,0,0
1563,0,1,1,1
20941,0,1,1,1
15631,0,2,1,1
16697,0,0,1,0
15024,1,2,1,1
28351,1,2,0,0
22024,0,2,1,1
15500,2,2,1,1
17139,0,1,1,1
23187,0,2,0,0
20503,0,1,0,0
11078,0,2,1,1
1600,0,2,1,1
7313,0,2,0,0
27734,0,2,1,0
29899,0,1,1,1
12661,0,0,1,0
1320,0,2,1,0
14738,0,1,1,1
5638,0,2,0,0
5784,0,2,0,0
22023,0,2,0,0
3212,1,2,1,1
18290,0,1,0,0
28944,0,3,0,0
27735,0,3,1,1
29910,0,1,0,0
17495,2,3,1,1
25124,0,3,0,0
16435,1,2,1,1
27259,0,2,0,0
24760,1,1,1,1
14122,0,2,0,1
17312,0,1,1,1
1908,0,2,1,0
15911,0,1,1,1
3324,0,2,1,1
5412,0,1,1,1
14231,0,1,1,0
6232,0,2,0,0
11379,0,1,0,0
4980,0,2,1,1
4274,1,1,1,1
14827,0,2,1,1
26456,0,3,1,1
13586,0,1,0,1
4906,0,3,0,0
17346,0,1,1,0
22322,1,2,1,1
27054,0,1,1,1
7141,0,1,0,0
24488,0,2,1,1
10057,0,0,0,0
7106,1,2,1,1
1758,1,3,1,1
19862,1,1,1,1
12248,0,0,0,0
11982,2,2,0,1
22511,2,1,0,1
24290,0,3,0,0
3297,0,2,1,1
19236,1,1,1,1
21856,0,1,1,1
7756,0,3,0,0
12011,0,3,0,0
16976,0,2,1,0
15394,0,2,0,0
7064,1,1,1,1
16853,0,3,1,0
19241,1,3,0,0
24844,0,2,0,0
24103,0,1,0,0
29725,0,2,0,1
5570,0,3,0,0
24467,0,2,0,0
12644,0,3,0,0
8861,0,2,1,1
1702,0,0,0,1
22940,0,2,0,0
13554,1,1,0,0
29067,0,0,0,0
444,0,3,1,1
19203,0,1,1,0
7441,0,0,0,0
25730,0,3,0,0
3899,2,1,0,1
19325,0,2,1,1
6332,2,1,1,1
15785,3,2,1,1
1629,0,2,1,0
3155,0,2,0,0
297,0,0,1,0
12048,0,1,1,1
18766,0,2,1,1
11993,0,1,1,1
5913,1,1,0,1
29132,0,2,0,0
27847,0,2,0,0
15830,0,1,1,1
17293,1,0,0,0
10471,0,3,0,0
13764,0,1,1,1
29483,0,3,0,0
15173,0,2,1,1
8555,0,2,0,0
8798,0,3,0,0
6539,0,2,1,1
16050,0,1,1,0
20096,0,1,1,1
26616,0,2,0,1
6253,0,1,1,1
22397,1,0,1,1
22775,0,3,1,1
22096,0,0,1,0
26064,0,1,1,1
7430,0,2,1,0
10682,0,1,1,1
8773,1,1,1,1
7466,0,2,0,0
28852,0,1,1,1
14785,0,2,0,0
14575,0,2,1,0
6755,0,1,0,1
4674,0,1,1,0
6811,1,2,0,0
15869,0,1,1,1
22683,0,2,0,0
22268,0,2,1,1
4448,0,2,0,1
4297,0,1,0,0
4092,0,2,1,1
15784,0,1,0,0
23010,1,3,0,0
9931,0,2,1,1
23669,0,1,1,0
23851,2,1,0,1
24445,0,2,1,1
16996,0,1,0,0
16051,0,1,1,1
25579,0,0,0,1
25700,1,3,0,1
9554,0,1,0,1
5466,0,1,0,0
1406,0,2,0,0
3610,0,1,1,1
26926,2,2,1,1
17177,1,1,0,0
12850,1,0,0,1
20799,0,2,0,0
13477,1,3,0,0
15343,0,2,0,0
11432,1,2,0,0
7296,0,1,0,0
17738,0,2,0,0
14237,0,1,1,1
21794,1,2,1,1
7915,0,1,1,1
9211,0,2,0,0
23729,1,1,1,1
4052,0,2,1,0
25412,0,2,0,0
15679,0,2,0,0
18096,1,2,1,1
27135,0,1,1,1
16204,2,2,0,1
15898,1,2,1,1
28103,1,1,1,1
14925,1,3,0,1
18049,0,1,1,1
28075,1,1,0,1
21599,1,1,0,1
26233,0,1,1,1
15516,0,3,0,0
9,0,1,1,0
19534,0,1,1,0
1189,0,2,1,0
24485,0,1,1,0
24543,1,0,0,1
20768,0,1,1,1
10706,0,3,0,0
