,R,Q,A,Y
0,0.2,3,0,0
1,1.0,2,0,0
2,0.2,3,1,1
3,0.2,1,0,0
4,0.2,1,1,1
5,0.2,1,1,1
6,0.2,2,0,0
7,1.0,1,1,1
8,0.2,2,0,0
9,0.2,2,1,1
10,1.0,2,0,0
11,0.2,2,1,1
12,1.0,2,1,1
13,0.2,2,1,1
14,0.2,3,0,0
15,0.2,3,0,0
16,0.2,1,0,0
17,0.2,1,1,1
18,1.0,1,1,1
19,0.2,2,1,1
20,0.2,2,0,0
21,1.0,0,1,1
22,0.2,2,1,1
23,0.2,0,0,0
24,0.2,2,0,0
25,1.0,2,0,0
26,0.2,3,1,1
27,0.2,2,0,0
28,1.0,0,1,1
29,0.2,2,0,0
30,0.2,1,1,1
31,0.2,2,1,1
32,0.2,1,1,1
33,1.0,2,0,0
34,0.2,0,0,0
35,1.0,3,0,0
36,0.2,3,1,1
37,1.0,2,0,0
38,0.2,0,1,0
39,0.2,1,1,1
40,1.0,2,0,0
41,1.0,2,1,1
42,0.2,1,0,0
43,3.8,0,1,1
44,0.2,1,0,0
45,1.0,2,1,1
46,0.2,1,1,1
47,0.2,1,1,1
48,1.0,3,1,1
49,0.2,0,0,0
50,0.2,2,0,0
51,0.2,0,0,0
52,0.2,1,0,0
53,0.2,2,1,1
54,0.2,1,1,1
55,0.2,1,1,0
56,0.2,2,0,0
57,0.2,2,0,0
58,1.0,1,1,1
59,1.0,1,1,1
60,0.2,2,0,0
61,0.2,1,1,0
62,0.2,1,0,0
63,0.2,3,0,1
64,0.2,2,0,0
65,0.2,2,1,1
66,0.2,2,0,0
67,0.2,2,0,0
68,0.2,2,0,0
69,0.2,1,0,0
70,0.2,2,0,0
71,0.2,0,1,1
72,0.2,0,0,0
73,1.0,2,1,1
74,1.0,1,1,1
75,0.2,1,1,1
76,0.2,2,1,1
77,0.2,0,1,1
78,0.2,1,1,1
79,0.2,3,0,0
80,0.2,1,0,0
81,1.0,0,1,1
82,0.2,2,0,0
83,1.0,3,0,1
84,0.2,3,1,1
85,0.2,2,0,1
86,0.2,3,0,1
87,1.0,2,0,1
88,0.2,3,1,0
89,0.2,2,1,1
90,0.2,1,0,0
91,0.2,1,1,1
92,0.2,2,1,0
93,0.2,1,1,1
94,1.0,2,1,1
95,0.2,2,0,1
96,0.2,1,0,0
97,0.2,1,0,0
98,0.2,2,1,1
99,0.2,1,1,1
100,0.2,1,0,0
101,1.0,1,1,1
102,0.2,1,0,0
103,0.2,1,0,0
104,0.6000000000000001,0,1,1
105,0.2,1,0,0
106,0.2,1,0,0
107,0.2,2,0,0
108,0.2,3,0,1
109,1.0,2,0,0
110,0.2,2,1,1
111,1.0,0,1,1
112,0.2,3,1,1
113,1.0,2,1,1
114,1.0,1,0,0
115,0.2,1,1,0
116,3.4000000000000004,0,1,1
117,1.0,3,1,1
118,1.0,2,1,1
119,0.2,1,0,1
120,0.2,2,1,1
121,0.2,1,1,1
122,0.2,1,0,1
123,0.2,2,1,1
124,0.2,1,0,0
125,0.2,1,0,0
126,0.2,1,1,1
127,0.2,3,0,0
128,0.2,2,1,1
129,0.2,1,1,1
130,0.2,1,1,1
131,0.2,1,1,1
132,0.2,1,0,0
133,0.2,2,0,0
134,0.2,2,1,1
135,0.2,1,0,0
136,0.2,3,0,0
137,1.8,0,1,1
138,0.2,1,0,0
139,0.2,1,0,0
140,0.2,2,0,0
141,0.2,2,0,1
142,0.2,2,0,0
143,0.2,3,1,1
144,0.2,1,1,1
145,0.2,1,0,0
146,0.2,2,1,1
147,0.2,1,1,1
148,1.0,2,1,1
149,3.0,0,1,1
150,1.0,2,0,0
151,0.2,0,0,0
152,0.2,3,0,0
153,0.2,2,0,0
154,0.2,2,0,0
155,1.0,1,0,0
156,1.0,2,1,1
157,1.0,3,1,1
158,0.2,3,1,1
159,0.2,0,1,1
160,1.0,1,1,1
161,2.5999999999999996,0,1,1
162,1.0,2,1,1
163,1.0,1,1,1
164,0.2,2,0,0
165,1.0,1,1,1
166,1.0,2,1,1
167,0.2,1,1,1
168,0.2,3,0,0
169,1.0,2,0,0
170,0.2,1,0,0
171,0.2,0,1,1
172,0.2,1,0,0
173,1.0,1,0,0
174,0.2,1,1,1
175,0.2,3,0,0
176,0.2,2,1,1
177,0.2,2,1,1
178,0.2,2,0,0
179,0.2,2,0,1
180,1.0,0,0,0
