,R,Q,A,Y
0,0.2,1,1,0
1,1.0,0,1,0
2,0.2,2,1,1
3,0.2,2,0,0
4,0.2,2,1,0
5,0.2,1,1,0
6,0.2,2,1,1
7,1.0,1,1,1
8,0.2,1,1,1
9,0.2,2,1,0
10,1.0,0,1,1
11,0.2,2,1,0
12,0.2,2,1,0
13,0.2,1,1,0
14,1.0,0,1,1
15,1.0,0,1,1
16,0.2,1,1,0
17,0.2,2,1,0
18,0.2,1,0,0
19,0.2,3,1,0
20,0.2,2,1,0
21,0.2,2,0,0
22,0.2,2,0,0
23,0.2,2,1,0
24,0.2,2,1,0
25,1.0,1,1,1
26,0.2,3,1,0
27,1.0,2,1,1
28,0.2,2,1,0
29,0.2,2,1,1
30,0.2,2,1,0
31,0.2,2,0,0
32,0.2,1,1,0
33,0.2,1,1,0
34,1.0,0,1,1
35,1.0,1,1,1
36,0.2,1,1,0
37,0.2,0,1,0
38,0.2,2,1,0
39,0.2,2,1,0
40,0.2,1,1,0
41,0.2,3,1,0
42,0.2,0,1,0
43,0.2,2,1,0
44,0.2,2,1,0
45,0.2,2,1,1
46,0.2,0,1,0
47,0.2,3,1,0
48,0.2,2,1,0
49,0.2,1,1,1
50,0.2,3,1,0
51,0.2,1,1,0
52,0.2,3,1,1
53,0.2,2,0,0
54,0.2,1,0,0
55,2.2,1,0,1
56,0.2,2,0,1
57,0.2,1,1,1
58,0.2,0,1,0
59,0.2,2,0,0
60,0.2,3,1,0
61,0.2,3,1,0
62,0.2,1,1,0
63,2.2,1,1,1
64,0.2,2,1,1
65,0.2,3,0,0
66,0.2,2,0,1
67,0.2,2,1,0
68,0.2,1,1,0
69,1.0,1,1,1
70,0.2,1,0,1
71,0.2,0,1,1
72,0.2,2,1,1
73,0.2,0,1,0
74,1.0,1,1,1
75,0.2,1,1,0
76,0.2,1,1,0
77,0.2,2,0,0
78,1.0,1,0,1
79,0.2,2,1,0
80,0.2,2,1,0
81,0.2,2,1,1
82,0.2,3,1,0
83,0.2,2,1,0
84,0.2,2,1,1
85,0.2,3,1,0
86,1.0,1,1,1
87,0.2,0,1,0
88,0.2,2,1,0
89,0.2,1,0,1
90,0.2,1,1,1
91,0.2,1,1,0
92,0.2,2,1,0
93,0.2,1,1,0
94,1.0,2,0,1
95,0.2,1,1,0
96,0.2,2,0,1
97,0.2,2,1,0
98,0.2,2,1,0
99,0.2,3,1,0
100,0.2,2,0,0
101,1.0,1,1,0
102,0.2,2,1,0
103,0.2,1,1,0
104,1.0,2,1,1
105,0.2,3,1,0
106,0.2,1,1,0
107,0.2,2,0,0
108,1.0,0,0,1
109,0.2,2,1,0
110,0.2,2,1,1
111,0.2,0,1,1
112,0.2,1,1,0
113,1.0,2,1,1
114,1.0,0,1,1
115,1.0,3,1,1
116,0.2,1,1,0
117,0.2,1,1,1
118,0.2,2,1,1
119,0.2,3,1,0
120,0.2,1,1,0
121,1.0,0,1,1
122,0.2,2,1,0
123,1.0,1,1,1
124,0.2,2,1,0
125,0.2,1,1,1
126,0.2,1,0,0
127,0.2,1,1,1
128,0.2,1,1,0
129,1.0,2,1,1
130,0.2,2,1,0
131,0.2,2,1,1
132,1.0,2,1,1
133,1.0,3,0,1
134,0.2,0,1,0
135,0.2,2,1,1
136,0.2,2,0,1
137,0.2,1,1,1
138,0.2,2,1,0
139,0.2,2,1,0
140,0.2,2,1,0
141,0.2,0,1,1
142,0.2,2,1,0
143,0.2,0,1,1
144,1.0,2,0,1
145,0.2,1,1,0
146,1.0,2,1,0
147,0.2,1,1,0
148,0.2,2,1,0
149,1.0,2,1,1
150,0.2,1,1,1
151,0.2,1,1,1
152,1.0,0,1,0
153,1.0,3,0,1
154,1.0,0,1,0
155,0.2,2,1,0
156,1.0,1,1,1
157,2.2,0,0,1
158,0.2,2,1,1
159,0.2,2,1,1
160,0.2,3,0,0
161,0.2,1,1,0
162,1.0,1,1,1
163,0.2,1,0,0
164,0.2,0,0,1
165,1.0,3,0,0
166,0.2,2,1,0
167,1.0,0,1,1
168,0.2,2,1,1
169,1.0,0,1,1
170,0.2,2,1,1
171,0.2,2,1,0
172,0.2,1,1,1
173,0.2,1,1,0
174,0.2,3,0,0
175,1.0,2,1,1
176,1.0,1,0,1
177,2.2,1,1,1
178,1.0,0,1,1
179,0.2,1,1,1
180,0.2,1,1,0
181,1.0,2,0,1
182,0.2,1,1,1
183,0.2,3,0,1
184,0.2,2,1,0
185,1.0,2,1,0
186,0.2,0,1,1
187,0.2,0,1,1
188,0.2,1,1,0
189,0.2,2,0,0
190,0.2,1,1,1
191,1.0,2,1,1
192,0.2,1,1,1
193,0.2,1,1,0
194,1.0,0,1,1
195,0.2,1,1,1
196,0.2,3,1,0
197,0.2,2,1,1
198,0.2,1,1,0
199,0.2,0,1,1
200,0.2,2,1,0
201,0.2,2,1,1
202,0.2,2,0,1
203,0.2,3,0,0
204,0.2,3,1,0
205,0.2,0,1,1
206,0.2,1,1,1
207,0.2,3,1,0
208,0.2,2,0,1
209,1.0,2,0,0
210,1.0,2,1,1
211,0.2,1,1,0
212,0.2,1,1,1
213,1.0,2,1,0
214,0.2,1,1,1
215,0.2,1,1,1
216,1.0,1,1,1
217,0.2,1,1,0
218,0.2,1,1,0
219,0.2,2,1,1
220,1.0,0,1,0
221,0.2,2,1,0
222,1.0,1,0,0
223,1.0,1,1,1
224,0.2,1,1,0
225,0.2,2,1,0
226,2.2,1,1,1
227,0.2,2,1,0
228,0.2,1,1,0
229,0.2,1,1,0
230,0.2,2,1,0
231,0.2,0,1,1
232,1.0,1,1,1
233,1.0,1,0,1
234,0.2,2,1,0
235,0.2,0,1,1
236,0.2,2,1,0
237,0.2,2,0,0
238,0.2,2,1,0
239,1.0,1,1,1
240,0.2,2,1,0
241,1.0,3,0,1
242,0.2,1,1,1
243,0.2,2,1,0
244,2.2,2,0,1
245,1.0,1,1,1
246,1.0,1,1,1
247,1.0,1,1,1
248,1.0,1,1,1
249,0.2,2,1,1
250,1.0,1,1,1
251,1.0,1,0,1
252,1.0,1,0,1
253,0.2,2,1,1
254,0.2,2,1,0
255,0.2,1,1,1
256,0.2,1,1,0
257,1.0,0,0,1
258,0.2,2,1,1
259,0.2,1,1,1
260,0.2,3,0,0
261,0.2,0,1,0
262,0.2,1,1,1
263,1.0,0,1,1
264,0.2,1,1,1
265,0.2,0,1,0
266,1.0,1,1,1
267,1.0,0,1,1
268,0.2,2,1,1
269,0.2,1,1,1
270,0.2,0,1,1
271,0.2,2,1,0
272,0.2,1,1,0
273,0.2,1,0,1
274,0.2,2,1,0
275,1.0,3,1,0
276,0.2,2,0,1
277,0.2,2,1,1
278,0.2,2,1,1
279,1.0,3,1,0
280,1.0,0,1,1
281,0.2,3,1,0
282,0.2,1,1,0
283,0.2,2,0,0
284,0.2,2,1,0
285,0.2,1,1,1
286,0.2,3,1,0
287,0.2,2,1,0
288,0.2,1,1,0
289,0.2,2,1,0
290,0.2,1,1,1
291,0.2,0,1,1
292,0.2,2,1,1
293,0.2,2,1,1
294,0.2,2,1,1
295,0.2,2,0,0
296,1.0,1,1,1
297,0.2,1,1,0
298,0.2,1,1,1
299,2.2,1,0,1
300,0.2,1,1,0
301,0.2,3,1,0
302,0.2,1,1,0
303,0.2,2,1,0
304,1.0,1,0,1
305,0.2,1,1,0
