,R,Q,A,Y
14231,9.729282932516409,2,0,1
6289,5.015463542510988,3,0,0
13932,18.97248990441383,1,0,1
7763,9.589884072377814,2,0,1
17453,2.4435645742594483,2,0,0
7753,1.331010331679387,1,0,0
13491,2.0302877239011847,0,0,0
1013,6.1075742506325135,1,0,0
3009,6.444165359162999,3,1,1
11648,5.504946186687537,2,0,0
66,0.6423152457180019,1,0,0
16853,10.70758266767472,2,0,1
10742,1.6727334247348902,1,0,0
15411,4.647330178185589,0,0,1
3556,5.542079019819214,2,1,1
14689,2.7802727466987323,0,0,1
7350,3.0441371776701818,3,0,0
10697,8.035558237143684,1,0,0
14866,2.0283178619045925,0,0,0
10859,2.621264720252625,2,0,1
8190,5.690119232053583,2,0,1
2858,2.581066664670272,1,1,0
10060,8.487345877027625,1,0,1
5914,3.711931307407242,1,0,0
9228,3.5552212729115205,2,0,1
7801,7.632609814506321,2,0,1
8778,1.6849246520034469,0,0,0
2338,1.0500421666522974,1,0,1
2567,4.097602208742298,1,1,1
8166,10.980597335849708,2,0,0
15890,14.58392730979779,2,0,1
4273,20.41905239315072,2,0,1
9194,14.190545002259649,2,0,1
14991,2.7556513391612123,3,0,0
7399,10.154917330936598,3,0,0
11675,0.7086042918703535,2,0,0
10764,8.2420296564807,2,0,0
6630,5.608821849314571,1,0,0
5492,4.299372297905819,2,1,0
5476,7.057584201622259,1,0,1
8018,15.750306610052094,1,0,1
7515,2.40608505514971,0,0,1
17445,1.4150928559375788,2,0,0
4973,1.681288043405659,1,0,1
9792,14.248656910143335,2,0,1
14194,1.617834638139723,0,0,1
14207,5.956243524627746,2,0,0
9133,12.005192391032011,1,0,1
4119,4.639760876482313,3,0,1
11637,6.714940869093347,1,0,1
14920,9.161278975453778,2,0,1
16392,2.2798446391372664,2,0,0
5754,2.63043754790658,0,1,0
12114,4.041092015415326,0,0,1
10832,7.264388937882026,2,0,1
15006,0.932245666401729,2,0,0
9658,2.0056200707650778,0,0,0
8838,2.0632370489025176,1,0,0
1072,0.5844607159401242,1,0,0
6262,6.470312495741561,2,0,0
9886,4.412391600121085,2,0,1
6276,9.958902917782517,1,0,1
13737,2.6794994071181293,1,0,1
10075,1.5149595427536713,2,0,0
1400,4.161753293806239,1,0,0
11854,2.6222714961847613,0,0,1
14261,2.585046611038747,1,0,0
12919,10.512540713269804,1,0,1
15165,2.559937748783807,0,0,0
4502,4.572836481296252,2,1,0
13834,17.572852500540456,3,0,1
10670,2.369011391768523,2,0,0
5506,8.9222856265466,2,0,1
8876,5.597670586028409,1,0,0
4463,10.930161988497463,1,1,1
8903,0.5943469584457133,3,0,0
10635,4.256898696929886,1,0,0
15532,7.791043348792141,1,0,1
8084,2.041063254848748,1,0,0
11454,2.1817419279562165,0,0,1
10505,9.92422462107626,3,0,1
3214,0.2557476584762477,2,1,0
7258,12.411028552334807,3,0,1
6858,1.0317501595310614,2,0,1
14782,9.15896914489226,0,0,1
1867,12.9874966987803,3,0,0
9540,0.8139869363847732,2,0,0
