,Y
14231,1
6289,0
13932,1
7763,1
17453,0
7753,0
13491,0
1013,0
3009,1
11648,0
66,0
16853,1
10742,0
15411,1
3556,1
14689,1
7350,0
10697,0
14866,0
10859,1
8190,1
2858,0
10060,1
5914,0
9228,1
7801,1
8778,0
2338,1
2567,1
8166,0
15890,1
4273,1
9194,1
14991,0
7399,0
11675,0
10764,0
6630,0
5492,0
5476,1
8018,1
7515,1
17445,0
4973,1
9792,1
14194,1
14207,0
9133,1
4119,1
11637,1
14920,1
16392,0
5754,0
12114,1
10832,1
15006,0
9658,0
8838,0
1072,0
6262,0
9886,1
6276,1
13737,1
10075,0
1400,0
11854,1
14261,0
12919,1
15165,0
4502,0
13834,1
10670,0
5506,1
8876,0
4463,1
8903,0
10635,0
15532,1
8084,0
11454,1
10505,1
3214,0
7258,1
6858,1
14782,1
1867,0
9540,0
11081,0
15005,0
10180,0
11970,0
9156,0
15075,0
2001,1
7594,1
6931,0
7836,1
4935,0
13944,1
1686,0
5239,0
13625,1
4154,0
6452,0
17798,0
14151,0
2189,0
13817,1
540,0
6705,0
15758,1
8557,1
7817,0
9802,0
7549,1
10982,1
11954,1
11034,1
12747,1
869,0
4741,0
8438,1
6252,0
703,1
9845,1
214,1
17832,0
6542,1
4546,1
949,1
12550,1
6597,0
15286,1
7967,1
15982,1
10973,0
16403,0
10020,1
13471,1
6272,1
9786,1
17337,1
8437,1
8498,1
3044,0
14817,0
8971,1
15489,0
8957,0
6909,1
4702,1
1655,1
1561,0
12229,1
6094,0
17154,1
16862,1
2606,1
9893,0
14950,1
9985,1
15113,0
16538,1
17266,1
6973,0
7620,1
15250,0
9576,1
3231,0
8220,0
1595,0
13963,1
17144,1
13292,1
4904,0
8225,1
6197,0
2815,1
17591,0
5720,1
11361,0
3482,0
3394,1
499,0
8750,0
14086,0
15496,1
7674,0
1505,0
127,0
3484,1
16574,1
224,1
9828,1
14497,0
3780,1
9644,0
10304,1
12639,0
17069,1
12842,1
16468,1
9350,0
9405,0
2240,1
13657,1
16720,1
11052,1
6394,0
13326,0
15908,1
10821,1
14637,1
17053,0
17709,1
15065,1
12061,0
10698,0
12360,0
6701,0
12953,0
13565,1
15959,0
1285,0
8207,1
15549,0
2856,0
12424,1
8262,0
12962,0
3423,1
3927,1
2699,0
8000,0
43,0
6522,1
6654,1
9486,1
5080,1
7698,1
14092,0
15736,1
5134,1
14185,1
2956,0
17216,0
12670,0
912,1
8271,1
2526,0
2438,1
6845,1
6536,1
3156,1
10861,1
8176,1
129,1
3877,1
10978,0
12202,1
17421,1
7047,1
10384,1
696,0
15336,1
13371,0
1890,0
13797,1
13172,0
16063,0
158,1
13877,1
9654,0
14472,0
12316,1
13843,1
9071,1
11255,0
6044,0
6631,0
8615,0
12378,0
2723,0
2414,1
6332,0
12581,1
14200,1
13382,0
8512,1
6777,1
4460,1
5015,0
12490,0
15430,0
8535,0
14909,1
1212,0
3895,0
7520,1
16959,1
7401,0
7561,1
9188,0
3263,1
7843,1
8345,0
16588,1
7276,1
1256,0
12187,0
3820,0
3746,0
1905,0
7189,1
16692,0
13513,0
13876,0
355,1
1672,1
9801,1
4295,0
557,0
809,0
5950,1
1483,0
7712,0
4434,1
5520,0
16677,0
17922,1
4132,0
15642,1
2439,1
17356,1
15356,1
11109,1
743,1
15662,0
16195,1
17452,1
15498,0
9407,0
16553,1
11078,1
8411,0
3275,0
15900,1
1280,1
9326,0
13320,1
16159,0
8392,1
3691,1
16967,0
3344,1
6792,0
5353,0
5382,1
13309,0
804,1
15885,0
14941,1
3055,0
6889,0
4221,0
6589,1
694,1
2419,1
882,1
13828,1
11192,0
5762,0
840,0
8655,0
16844,0
1421,1
17888,0
11861,0
1197,0
16040,1
3308,0
2312,1
10597,1
781,1
13570,0
9317,1
2637,0
2827,0
11990,1
5766,0
2242,1
2211,0
8237,1
7060,1
9724,0
10901,1
11958,0
9807,0
13416,0
9858,1
6739,1
14688,0
14999,0
4792,0
10676,1
10596,1
12961,1
7056,1
10116,0
8363,1
4875,0
10427,1
17542,1
3860,1
10672,1
2934,1
3422,0
14578,1
8150,1
4313,1
5219,0
10711,1
8393,1
14434,0
5703,0
4127,1
4839,0
3668,0
1173,1
13115,0
5620,0
12780,0
13912,0
5681,1
6233,1
11174,1
14148,0
3429,0
4190,0
5844,0
3099,1
4562,1
1274,1
910,0
267,1
14993,0
4797,0
15038,0
14827,1
16350,1
3506,0
5022,1
4123,0
766,0
11805,1
3184,1
2677,0
15708,1
