,R,Q,A,Y
0,2.2,0,1,1
1,0.2,0,0,0
2,0.2,2,0,0
3,1.0,0,1,1
4,2.2,2,1,1
5,1.0,2,0,1
6,0.2,1,0,0
7,1.0,2,1,1
8,1.0,1,1,1
9,1.0,1,1,1
10,0.2,2,0,0
11,0.2,2,0,0
12,0.2,2,0,0
13,1.0,2,1,0
14,0.2,1,0,0
15,1.0,0,1,1
16,0.2,0,0,0
17,1.0,2,1,1
18,0.2,1,0,0
19,0.2,0,0,0
20,0.2,2,0,0
21,1.0,2,0,0
22,2.2,0,1,1
23,1.0,1,1,1
24,1.0,1,1,1
25,2.2,2,1,1
26,0.2,1,0,0
27,1.0,1,1,1
28,2.2,2,1,1
29,1.0,1,1,1
30,0.2,1,0,0
31,0.2,1,0,0
32,0.2,2,0,1
33,0.2,2,0,0
34,1.0,0,1,1
35,2.2,2,1,1
36,0.2,0,0,0
37,2.2,3,1,1
38,0.2,2,0,0
39,1.0,2,1,0
40,0.2,2,0,0
41,0.2,3,0,1
42,2.2,2,1,1
43,1.0,2,1,1
44,1.0,1,1,1
45,0.2,2,0,0
46,0.2,2,0,0
47,1.0,0,1,0
48,1.0,2,1,1
49,1.0,1,1,1
50,1.0,0,1,1
51,1.0,0,1,1
52,0.2,1,0,0
53,1.0,0,1,1
54,1.0,0,0,1
55,2.2,0,1,1
56,0.2,3,0,0
57,2.2,2,1,0
58,1.0,1,1,0
59,0.2,1,0,0
60,3.0,1,1,1
61,0.2,2,0,0
62,1.0,0,1,1
63,2.2,1,1,1
64,1.0,1,0,1
65,3.0,2,1,1
66,1.0,0,1,1
67,1.0,1,1,1
68,3.4000000000000004,0,1,1
69,3.8,2,1,1
70,1.0,1,1,1
71,1.0,2,1,0
72,1.0,0,1,1
73,0.2,2,0,0
74,1.0,2,1,0
75,0.2,1,0,0
76,2.2,1,1,1
77,1.0,1,1,1
78,0.2,1,0,0
79,0.2,2,0,1
80,1.0,0,1,1
81,2.2,2,1,1
82,1.0,2,1,1
83,1.0,1,1,1
84,0.2,1,0,0
85,2.2,1,1,1
86,2.2,0,1,1
87,2.2,1,1,1
88,0.2,1,0,0
89,0.2,0,0,0
90,1.0,2,1,1
91,0.2,2,0,0
92,0.2,3,0,0
93,1.0,2,1,0
94,0.2,3,0,0
95,0.2,2,0,0
96,1.4,1,1,1
97,0.2,0,0,0
98,0.2,1,0,0
99,0.2,2,0,1
100,1.0,3,1,1
101,2.2,2,1,0
102,0.2,1,0,0
103,1.0,2,1,1
104,1.0,2,0,0
105,1.0,0,0,1
106,0.2,0,0,0
107,0.2,2,0,0
108,2.2,1,1,1
109,1.0,1,1,1
110,1.0,2,1,1
111,0.2,2,0,0
112,1.0,2,0,1
113,1.0,1,1,1
114,1.0,1,0,1
115,2.2,3,1,1
116,2.2,1,1,1
117,1.0,1,1,1
118,0.2,3,0,0
119,3.8,0,1,1
120,1.0,1,1,1
121,1.0,1,1,1
122,1.0,0,1,1
123,0.2,1,0,0
124,1.0,1,1,1
125,1.0,0,0,0
126,1.0,1,0,1
127,0.2,2,0,0
128,0.2,2,0,0
129,0.2,1,0,0
130,0.2,1,0,0
131,1.0,2,1,1
132,1.0,2,1,1
133,1.0,3,0,1
134,1.0,1,1,1
135,0.2,2,0,0
136,0.2,1,0,0
137,0.2,2,0,0
138,1.0,2,1,1
139,1.0,2,1,1
140,1.0,3,1,1
141,2.2,3,1,0
142,0.2,1,0,0
143,1.0,2,0,1
144,0.2,1,0,0
145,0.2,1,0,0
146,1.0,1,0,0
147,1.0,2,0,0
148,0.2,1,0,0
149,1.0,3,1,1
150,0.2,0,0,0
151,1.0,1,1,0
152,1.0,0,1,1
153,2.5999999999999996,1,1,1
154,2.2,2,1,1
155,0.2,3,0,0
156,1.0,2,1,0
157,1.0,3,1,1
158,2.2,2,1,1
159,1.0,3,1,1
160,1.0,1,1,0
161,0.2,3,0,0
162,2.2,2,1,1
163,1.0,1,1,0
164,1.0,3,1,1
165,1.0,2,1,1
166,0.2,1,0,0
167,0.2,2,0,0
168,1.0,3,1,1
169,0.2,1,0,0
170,0.6000000000000001,2,1,1
171,1.0,2,1,1
172,1.0,1,0,0
173,0.2,2,0,0
174,0.2,1,0,0
175,0.2,0,0,0
176,1.0,0,1,1
177,0.2,3,0,0
178,0.2,1,0,0
179,2.2,2,1,1
180,0.2,2,0,0
181,2.2,2,1,1
182,1.0,1,1,0
183,2.2,1,1,1
184,1.0,0,0,0
185,2.2,1,1,0
186,1.0,0,1,1
187,1.0,1,1,1
188,0.2,1,0,0
189,1.0,1,1,1
190,1.0,2,1,0
191,0.2,1,0,0
192,1.0,2,1,0
193,1.0,2,0,1
194,0.2,3,0,1
195,0.2,2,0,0
196,0.2,0,0,0
197,1.0,1,1,1
198,0.2,1,0,0
199,0.2,1,0,0
200,1.0,2,1,1
201,1.0,3,1,1
202,0.2,2,0,0
203,0.2,2,0,0
204,0.2,1,0,0
205,1.0,1,1,1
206,0.2,2,0,0
207,1.0,1,0,1
