,R,Q,A,Y
11132,1,2,1,1
24172,0,3,0,0
16136,0,2,0,0
14448,1,2,1,1
24161,0,3,0,0
16795,1,2,1,0
21567,1,2,1,1
18073,1,2,1,1
7434,1,1,1,0
837,1,2,1,1
18488,0,3,0,0
5899,0,3,0,0
1865,0,1,0,0
15954,0,2,0,0
1753,1,1,1,1
6592,1,1,1,1
6918,1,2,1,1
8286,1,1,1,1
20344,0,2,0,0
11086,1,2,1,1
10998,0,2,0,0
13756,0,3,0,0
1563,1,1,1,1
4817,0,2,0,1
18981,1,1,1,1
6780,1,1,1,0
6917,1,1,1,1
21645,1,3,1,1
3177,1,1,1,1
17088,0,2,0,0
3124,2,3,1,1
19341,1,3,0,1
7111,1,3,0,0
18378,0,2,0,0
9479,0,2,0,0
7639,1,2,1,1
13349,0,2,0,0
23921,1,2,1,0
27101,1,0,1,1
17771,0,2,0,0
22596,1,0,0,1
6545,0,3,0,0
7897,2,1,1,1
20750,0,2,0,0
15303,1,2,1,0
19151,0,1,0,0
4101,0,1,0,0
25752,1,0,1,0
7953,0,1,0,0
24504,0,1,0,0
2852,0,1,0,0
27236,0,1,0,1
28581,0,1,0,0
7317,1,1,1,1
9570,1,1,1,1
16407,0,2,0,1
20988,1,3,1,1
8396,1,2,1,0
915,2,1,1,1
7729,1,1,0,1
17978,1,2,1,1
21019,1,2,1,1
6145,1,1,1,1
3331,0,2,0,0
372,1,3,1,1
6618,0,2,0,0
27839,1,1,1,1
2929,1,0,0,1
8245,1,1,1,1
1202,0,3,0,0
2140,1,1,1,0
20904,0,1,0,1
9716,1,2,1,0
17622,0,0,0,0
3523,2,2,1,1
5006,2,1,1,1
13111,2,1,1,1
8542,1,1,0,1
6307,0,3,0,0
26310,1,2,1,0
26593,0,2,0,0
20738,1,1,1,1
22489,1,1,1,1
27064,2,2,1,1
2897,1,2,1,1
16085,0,0,0,0
1348,2,3,1,1
24699,0,1,0,1
25039,0,1,0,0
24146,1,3,1,1
7505,1,2,0,1
26814,1,1,1,1
26903,1,1,1,0
15067,1,2,1,1
6976,1,2,1,1
8802,1,1,1,1
23723,1,1,1,1
27169,0,2,0,0
3009,0,3,0,0
28913,0,1,0,0
9249,0,1,0,0
28094,1,1,1,1
29758,1,2,1,1
4621,1,2,1,0
17612,1,2,1,0
21362,1,2,1,0
23559,0,2,0,0
11015,2,1,1,1
3739,1,1,1,1
2362,1,3,1,1
26779,1,0,1,1
5783,0,2,0,0
10977,0,2,0,0
409,0,0,0,0
4543,0,2,0,0
28431,1,1,0,1
25867,0,1,0,0
17731,0,1,0,0
14540,0,1,0,1
20578,0,3,0,0
26731,0,2,0,0
4394,1,2,1,1
3541,1,2,1,1
6271,0,2,0,0
