,R,Q,A,Y
0,1.0,1,1,1
1,0.2,1,0,0
2,1.0,1,0,1
3,2.2,0,1,1
4,1.0,2,1,1
5,0.2,1,0,0
6,0.2,1,0,0
7,1.0,3,1,0
8,0.2,1,0,1
9,2.2,2,1,1
10,0.2,2,0,1
11,0.2,1,0,0
12,1.0,1,1,1
13,0.2,1,0,0
14,0.2,1,0,0
15,1.0,1,1,1
16,1.0,3,1,0
17,2.2,2,1,1
18,0.2,2,0,0
19,1.0,3,1,0
20,0.2,1,0,0
21,1.0,1,1,1
22,1.0,2,1,1
23,3.0,3,1,1
24,1.0,2,1,1
25,0.2,2,0,0
26,1.0,3,1,1
27,2.2,1,1,1
28,1.0,3,1,0
29,0.2,1,0,0
30,0.2,1,0,0
31,0.2,2,0,1
32,1.0,0,1,1
33,1.0,2,1,1
34,1.0,1,1,0
35,2.2,2,1,1
36,0.2,3,0,0
37,1.0,2,1,0
38,2.2,2,1,1
39,2.2,1,1,1
40,1.0,1,1,1
41,0.2,3,0,0
42,0.2,2,0,0
43,1.0,1,1,0
44,1.0,1,1,1
45,2.2,1,1,1
46,1.0,1,1,1
47,1.0,3,0,1
48,1.0,1,1,1
49,1.0,3,1,0
50,0.2,2,0,0
51,0.2,3,0,0
52,1.0,1,1,1
53,2.2,2,1,1
54,1.0,2,1,1
55,0.2,2,0,0
56,0.2,2,0,1
57,0.2,1,0,0
58,0.2,2,0,1
59,2.2,1,1,1
60,0.6000000000000001,0,0,1
61,1.0,2,1,0
62,1.0,3,0,0
63,1.0,1,1,1
64,0.2,1,0,1
65,1.0,3,0,1
66,0.2,2,0,0
67,0.2,1,0,0
68,0.2,3,0,0
69,0.2,2,0,0
70,0.2,1,0,1
71,1.0,2,1,0
72,1.0,1,0,0
73,1.0,3,1,1
74,0.2,2,0,0
75,0.2,1,0,0
76,2.2,1,1,1
77,1.0,1,1,1
78,1.0,2,1,1
79,0.2,2,0,0
80,2.2,3,1,1
81,1.0,2,1,0
82,1.0,1,1,1
83,1.0,2,0,1
84,1.0,1,1,1
85,0.2,1,0,0
86,0.2,1,0,1
87,1.0,1,1,1
88,0.2,1,0,1
89,0.2,2,0,0
90,1.0,1,1,1
91,1.0,1,1,1
92,0.2,2,0,0
93,2.2,1,1,1
94,0.2,3,0,1
95,0.2,0,0,0
96,1.0,2,1,0
97,0.2,0,0,1
98,0.2,1,0,0
99,0.2,2,0,0
100,2.2,1,1,1
101,1.0,3,1,0
102,0.2,2,0,0
103,0.2,3,0,0
104,0.2,2,0,0
105,3.0,2,1,1
106,1.0,2,1,0
107,1.0,1,1,1
108,0.2,1,0,0
109,0.2,3,0,0
110,1.0,3,0,1
111,2.2,3,1,1
112,1.0,2,1,1
113,1.0,1,1,1
114,0.2,2,0,0
115,1.0,1,1,1
116,1.0,1,1,1
117,1.0,2,1,1
