,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,1,67,0,5,1,1,0
1,1,24,1,3,0,2,1
2,1,27,0,0,0,1,0
3,1,72,1,10,1,1,1
4,0,23,1,5,0,1,0
5,0,39,0,11,0,0,1
6,0,47,0,0,1,1,0
7,1,20,0,11,1,1,1
8,1,36,0,7,1,1,1
9,1,42,1,1,1,1,1
10,1,49,1,1,1,1,1
11,1,21,0,24,1,1,0
12,1,54,1,6,0,0,1
13,1,35,1,5,0,1,0
14,0,24,0,1,0,2,1
15,1,33,0,11,1,2,0
16,1,24,1,5,0,2,0
17,0,36,1,2,0,2,0
18,1,46,0,6,0,0,1
19,1,30,0,0,0,1,0
20,0,52,0,3,0,1,1
21,1,22,1,0,1,1,1
22,0,54,1,6,0,1,1
23,1,28,1,0,0,0,0
24,1,38,1,38,1,1,1
25,0,25,0,0,1,1,0
26,1,24,0,0,0,0,0
27,0,33,0,0,0,1,0
28,1,41,1,0,1,2,1
29,1,26,0,0,1,2,0
30,1,52,0,1,0,0,1
31,1,53,0,3,0,0,1
32,1,45,1,4,1,1,0
33,1,47,0,8,1,0,1
34,0,60,0,0,0,0,0
35,1,23,0,29,1,1,1
36,0,24,0,0,0,1,0
37,1,32,0,3,0,2,0
38,1,34,1,3,1,1,1
39,1,52,0,2,0,1,1
40,1,50,1,24,0,0,1
41,1,28,1,1,0,1,0
42,1,22,0,7,1,1,1
43,1,23,1,0,0,1,0
44,1,39,0,5,0,0,1
45,1,23,0,2,0,1,0
46,1,29,1,3,0,1,0
47,1,33,0,1,0,2,0
48,0,44,0,6,0,0,1
49,1,33,0,2,0,0,1
50,1,23,0,1,0,2,0
51,1,33,0,1,1,1,0
52,1,34,0,0,0,2,0
53,1,27,1,0,0,1,0
54,1,33,0,0,0,0,1
55,0,25,0,7,0,2,1
56,1,23,1,0,1,1,0
57,1,41,0,9,0,1,0
58,1,40,0,0,1,2,1
59,1,41,1,1,0,1,0
60,1,26,0,0,0,2,1
61,1,58,1,1,1,1,1
62,1,36,1,1,0,1,0
63,1,23,0,2,0,1,0
64,1,33,0,0,0,0,1
65,1,23,1,17,0,1,0
66,1,20,1,1,0,1,0
67,1,33,0,2,1,1,0
68,1,35,0,33,0,1,1
69,1,19,0,0,0,1,1
70,1,25,1,2,1,2,1
71,0,49,1,0,0,0,1
72,1,44,0,9,0,1,0
73,0,21,1,2,0,2,0
74,1,57,1,0,0,1,0
75,1,21,1,0,0,1,0
76,1,33,0,2,1,2,1
77,0,28,1,17,0,1,1
78,0,43,1,2,0,1,0
79,1,26,1,33,0,1,1
80,1,61,0,7,1,1,0
81,1,23,0,2,1,1,1
82,1,51,0,0,1,0,0
83,1,38,1,0,0,1,1
84,1,21,1,0,0,1,0
85,1,44,0,0,0,0,0
86,0,26,0,10,0,0,1
87,1,22,0,2,0,1,0
88,1,52,0,1,0,2,0
89,1,37,0,0,0,1,0
90,1,51,0,7,0,1,1
91,1,36,0,6,0,0,1
92,1,28,0,0,0,1,0
93,1,27,0,5,1,2,1
94,1,35,1,7,0,2,1
95,1,19,0,8,1,0,1
96,1,42,0,4,0,0,1
97,0,43,0,0,0,1,0
98,0,24,0,0,0,0,1
99,1,47,0,0,0,1,0
100,1,24,1,2,1,2,0
101,1,25,1,1,0,1,0
102,1,28,0,0,1,1,0
103,0,40,1,0,1,1,1
104,1,23,1,3,0,1,0
105,1,30,0,7,1,1,0
106,0,27,0,4,0,2,1
107,1,20,0,3,0,0,1
108,1,39,1,24,0,1,1
109,1,35,1,11,0,1,1
110,0,30,0,5,0,0,1
111,1,22,1,6,1,1,1
112,1,39,1,0,0,2,0
113,0,35,1,0,0,1,0
114,1,52,0,0,1,1,0
115,1,26,1,6,0,1,1
116,1,53,0,6,1,1,1
117,1,43,0,2,0,0,0
118,1,30,0,1,0,1,0
119,0,41,0,11,0,2,1
120,0,28,1,28,1,2,0
121,1,25,0,0,1,2,1
122,1,43,1,5,1,1,0
123,0,24,1,0,0,1,0
124,1,24,0,1,1,2,0
125,1,31,1,0,0,1,0
126,1,29,0,2,1,0,1
127,1,41,0,1,1,1,0
128,1,25,1,5,1,2,1
129,0,36,1,0,0,1,0
130,1,23,0,7,1,2,0
131,1,28,0,1,1,1,1
132,1,25,0,2,0,0,1
133,1,51,0,2,0,2,1
134,1,40,0,0,1,1,0
135,1,29,1,7,1,1,1
136,1,47,0,10,0,1,1
137,1,42,0,9,0,0,0
138,1,40,0,5,0,2,0
139,1,34,1,7,1,1,1
140,1,54,0,10,0,1,0
141,0,25,0,2,0,1,0
142,1,32,0,6,0,0,0
143,0,28,0,0,1,1,0
144,1,78,0,0,0,2,0
145,1,51,1,1,1,1,0
146,1,60,0,2,0,1,0
147,1,28,1,1,0,2,0
148,1,26,1,0,1,1,1
149,1,59,0,6,0,2,1
