,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,1,34,0,8,0,0,0
1,1,24,0,2,0,2,1
2,1,52,0,12,0,1,0
3,1,42,0,0,0,1,0
4,0,23,1,1,1,1,0
5,1,20,0,1,0,1,1
6,1,21,0,12,0,2,1
7,1,41,0,0,0,1,1
8,1,26,0,0,1,2,0
9,1,25,0,0,0,1,0
10,1,39,1,0,1,1,0
11,1,21,0,15,0,0,1
12,0,30,1,1,1,2,1
13,1,56,0,1,1,2,0
14,1,22,1,0,0,2,0
15,1,37,0,4,0,0,1
16,0,50,1,1,1,1,0
17,1,24,1,0,1,1,1
18,1,26,0,1,0,2,0
19,1,20,0,27,0,0,1
20,0,22,0,0,1,2,1
21,1,21,0,3,0,2,0
22,0,44,1,1,0,1,0
23,1,21,1,8,0,2,1
24,1,28,1,1,1,1,0
25,1,34,0,3,0,0,1
26,1,24,0,7,0,0,0
27,0,32,0,0,0,1,0
28,1,42,0,0,1,1,1
29,1,23,0,0,1,0,1
30,0,65,1,0,0,1,0
31,1,27,0,10,0,0,1
32,1,27,0,0,1,1,0
33,1,26,0,9,0,0,1
34,1,20,0,3,0,1,0
35,1,58,0,1,0,1,0
36,1,28,0,1,0,1,0
37,1,57,0,18,1,1,0
38,0,33,0,22,0,0,1
39,1,30,1,0,1,1,0
40,1,40,1,1,0,1,0
41,1,35,0,0,1,1,0
42,1,50,0,10,0,0,1
43,1,24,0,3,1,2,1
44,1,41,1,0,1,1,1
45,1,20,0,14,0,0,1
46,1,72,1,2,1,1,0
47,1,31,0,16,1,2,1
48,0,28,0,0,0,2,0
49,1,23,1,0,0,0,0
50,1,22,0,4,1,2,1
51,1,36,0,7,1,0,1
52,0,24,1,3,1,1,1
53,1,34,1,5,1,2,1
54,0,33,0,1,0,2,0
55,1,20,1,2,0,0,1
56,1,23,1,15,0,2,0
57,1,59,0,0,1,1,0
58,0,23,1,0,0,2,1
59,1,40,1,0,0,1,0
60,1,40,0,0,0,1,0
61,1,22,0,5,1,2,1
62,1,58,1,3,1,1,0
63,1,37,0,20,0,2,0
64,1,43,0,3,0,1,1
65,1,37,0,0,0,2,1
66,1,29,0,3,0,2,0
67,1,24,0,22,0,0,1
68,1,25,0,0,0,1,0
69,1,21,0,2,0,1,0
70,1,44,1,1,0,1,0
71,1,22,0,0,1,0,1
72,1,56,1,0,1,1,0
73,1,43,1,9,1,1,0
74,0,26,0,6,1,1,0
75,0,28,1,1,0,2,0
76,0,36,1,0,0,1,0
77,1,53,1,2,1,1,0
78,0,45,1,0,0,0,0
79,0,46,0,7,0,2,0
80,1,25,1,0,0,1,0
81,1,41,0,3,1,1,1
82,1,21,1,0,1,1,1
83,1,53,1,2,1,1,1
84,1,25,0,1,0,0,1
85,1,35,0,15,0,0,1
86,1,51,1,2,0,1,0
87,1,27,1,0,0,1,0
88,1,58,0,5,0,1,0
89,1,27,0,0,0,1,0
90,1,22,1,2,0,2,1
91,1,48,0,3,0,0,1
92,1,29,0,1,1,1,1
93,1,45,0,1,1,1,0
94,1,45,1,1,0,1,0
95,1,22,0,2,0,0,1
96,0,33,1,1,0,1,1
97,0,41,0,0,1,1,1
98,1,38,0,1,0,1,0
99,1,22,0,5,0,1,1
100,1,34,0,0,0,2,1
101,0,31,0,0,0,1,0
102,1,40,1,9,0,1,0
103,1,24,0,9,1,0,1
104,1,38,0,8,0,1,0
105,1,35,1,0,0,1,0
106,1,23,0,2,0,0,1
107,1,20,0,5,1,1,1
108,1,27,1,2,1,1,0
109,1,23,1,0,1,2,1
110,0,44,0,0,0,1,0
111,1,27,0,6,1,2,1
112,1,24,0,8,0,2,1
113,1,25,0,4,0,0,1
114,1,27,1,0,1,1,0
115,1,49,0,0,1,1,0
116,1,43,0,0,1,1,0
117,0,39,0,2,0,1,0
118,1,25,0,11,0,0,1
119,0,29,0,4,0,1,0
120,1,30,1,6,0,0,0
121,1,25,0,3,1,1,0
122,0,37,1,15,0,0,0
123,1,54,0,0,0,1,0
124,1,23,0,0,0,2,1
125,1,32,0,3,0,1,0
126,1,26,0,19,0,0,1
127,0,24,0,4,1,1,1
128,1,35,1,0,1,0,0
129,1,56,0,0,0,1,0
130,1,50,1,4,0,1,1
131,0,36,0,1,0,1,0
132,0,21,1,2,0,1,1
133,1,22,0,22,0,0,1
134,1,28,0,0,1,2,0
135,0,42,1,0,1,1,0
136,1,21,0,18,0,0,1
137,1,38,1,6,0,0,1
138,1,21,0,3,1,0,1
139,0,24,0,26,0,0,1
140,0,30,1,1,1,1,1
141,1,26,1,0,0,1,0
142,1,37,0,1,0,2,0
143,0,27,0,4,0,1,0
144,1,36,1,2,0,1,0
145,1,26,0,4,1,0,1
146,1,30,0,4,0,1,0
147,1,27,0,0,0,2,0
148,0,35,0,2,0,1,1
149,0,21,0,4,0,1,1
