,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
2922,0,26,0,1,0,1,0
6747,1,23,1,1,0,1,0
6678,1,31,1,3,1,1,1
1817,1,27,0,5,0,0,1
5020,1,46,0,3,0,1,1
6959,1,29,0,1,0,2,1
3005,1,25,1,9,0,0,0
2038,1,35,0,0,0,0,0
1420,1,42,1,1,1,1,1
5166,1,19,0,1,0,1,1
4717,1,56,0,0,0,1,0
4484,1,22,0,0,1,2,1
2457,1,29,0,6,0,0,1
576,0,49,1,2,1,1,1
3952,1,33,0,2,0,0,1
870,1,48,0,5,1,1,1
6497,1,43,1,4,1,1,0
148,0,33,0,7,0,0,1
4687,1,23,0,5,0,2,1
935,1,25,1,1,0,2,0
1531,1,45,0,3,0,0,0
3040,1,32,0,12,1,0,1
4129,1,35,0,1,1,2,0
724,1,21,1,1,0,1,0
5019,1,24,0,0,1,1,0
4887,1,24,0,1,0,2,0
6977,1,28,0,0,1,1,1
6501,1,21,0,1,0,0,1
3,1,23,0,1,0,0,0
3343,1,22,0,7,0,0,1
4678,1,22,1,1,0,1,0
3764,1,29,0,2,0,1,0
3349,1,20,0,0,0,2,1
2378,1,21,0,0,0,2,1
5110,1,35,0,3,1,1,1
2213,0,45,0,1,0,1,0
3910,0,24,1,7,1,0,1
5190,1,21,1,0,0,1,1
1896,1,29,1,0,1,1,0
1758,1,65,1,4,1,1,0
6917,1,26,0,8,0,0,1
4156,1,20,0,0,0,1,0
5815,0,29,0,0,0,1,1
1505,1,56,1,1,1,1,0
4000,1,27,1,0,1,1,0
3323,0,24,0,0,1,2,0
1581,1,32,1,1,1,1,0
229,1,54,0,11,0,0,0
5093,1,25,1,5,0,2,1
4245,1,34,0,5,0,1,1
4265,1,25,0,0,1,1,1
1036,0,53,1,0,1,1,0
255,1,22,0,3,1,0,1
4765,0,57,1,0,1,1,0
2634,1,54,0,0,1,1,0
3156,1,22,0,0,1,1,1
3388,1,50,1,1,0,1,0
1672,1,44,1,13,0,0,1
6891,0,28,1,5,0,0,1
4098,0,54,1,0,1,1,0
871,0,30,0,4,0,1,0
