,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,1,60,0,38,1,0,0
1,0,61,0,16,0,0,1
2,1,75,0,0,0,1,1
3,0,56,1,30,1,0,0
4,1,45,0,7,1,1,1
5,1,32,0,0,0,0,0
6,1,21,1,0,1,1,0
7,1,35,0,26,0,0,1
8,1,63,1,2,0,2,1
9,1,22,1,1,0,1,0
10,1,61,1,2,0,1,0
11,1,25,1,1,1,1,0
12,1,36,0,1,1,2,0
13,0,34,1,6,0,1,1
14,1,21,0,11,1,1,1
15,1,21,0,0,0,1,0
16,1,45,1,0,1,2,0
17,1,23,0,10,1,1,1
18,1,21,0,0,1,1,1
19,0,40,1,0,0,1,1
20,1,34,0,9,0,2,1
21,1,62,1,11,0,1,0
22,0,39,0,0,0,1,0
23,0,64,0,0,1,2,0
24,0,47,0,2,0,1,0
25,0,33,0,37,0,1,1
26,0,40,1,1,1,1,1
27,1,83,1,19,0,2,1
28,1,40,0,18,0,2,1
29,1,39,0,0,0,0,1
30,1,44,1,13,1,2,1
31,1,25,0,2,0,1,1
32,0,71,1,2,0,1,1
33,1,75,0,1,0,2,0
34,0,25,0,2,1,2,0
35,1,67,0,1,0,1,0
36,1,57,0,23,0,2,1
37,1,22,0,1,0,1,0
38,0,63,0,12,1,1,0
39,1,20,1,1,0,1,0
40,1,18,1,0,0,1,1
41,1,21,1,6,1,1,0
42,0,47,0,24,0,1,1
43,1,57,0,18,0,0,0
44,0,63,0,0,0,1,0
45,1,75,0,30,0,0,0
46,1,42,0,37,1,2,0
47,1,21,1,11,0,1,1
48,1,46,1,1,0,1,0
49,1,44,1,1,1,1,0
50,1,20,0,0,0,2,0
51,1,32,1,0,1,2,0
52,1,35,0,1,0,1,1
53,1,66,1,0,0,1,1
54,0,54,0,2,0,2,0
55,1,61,0,25,0,0,1
56,1,38,1,1,0,1,0
57,1,18,1,0,0,1,0
58,1,21,1,14,1,0,1
59,1,71,1,1,0,1,1
60,1,36,0,0,1,1,0
61,1,61,0,3,1,2,0
62,1,36,0,1,0,2,0
63,1,35,0,0,0,2,0
64,1,28,0,0,0,0,0
65,1,26,1,21,1,0,1
66,0,48,1,0,1,1,0
67,0,36,1,0,0,1,0
68,1,30,1,6,0,1,1
69,1,83,0,19,1,0,0
70,0,55,1,1,0,1,0
71,1,51,0,37,1,0,1
72,1,29,0,2,0,1,1
73,0,19,1,11,1,1,1
74,1,41,1,0,0,1,0
75,1,25,0,2,0,2,0
76,1,53,1,1,0,2,0
77,1,39,0,2,0,1,0
78,1,24,0,1,1,2,0
79,1,25,1,27,0,0,0
80,0,35,0,1,0,2,1
81,1,47,0,1,0,2,0
82,0,52,1,0,0,1,1
83,1,35,0,4,0,0,0
