,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,1,35,1,0,0,1,0
1,0,55,0,0,1,1,1
2,1,42,1,7,0,0,0
3,1,33,0,0,0,1,1
4,1,31,0,2,0,1,1
5,1,43,1,0,0,1,1
6,0,33,0,0,0,0,1
7,1,37,0,7,0,2,0
8,1,33,1,1,0,2,1
9,0,45,1,7,0,2,1
10,0,28,0,0,1,1,0
11,1,28,0,0,0,0,1
12,1,32,0,8,1,2,0
13,0,21,0,1,0,2,0
14,1,32,0,10,0,2,1
15,1,55,0,8,0,0,0
16,1,36,0,5,0,2,0
17,0,38,1,1,0,2,0
18,1,22,0,1,0,2,0
19,1,31,1,4,1,1,1
20,1,47,0,3,0,2,1
21,1,42,0,8,0,2,1
22,1,51,1,1,0,1,0
23,1,42,1,7,1,2,0
24,1,35,0,1,0,1,1
25,1,51,1,16,0,0,1
26,1,24,0,0,1,1,0
27,1,51,1,3,0,1,1
28,1,24,0,1,0,2,1
29,1,22,1,3,1,1,1
30,0,56,0,0,1,0,1
31,1,56,1,5,0,1,0
32,1,34,0,1,0,1,0
33,1,37,0,2,1,1,0
34,1,51,1,1,1,2,0
35,1,19,1,0,1,0,1
36,1,44,0,20,1,2,1
37,1,21,1,3,0,1,0
38,0,53,0,1,0,2,1
39,1,21,1,0,1,2,1
40,1,23,0,4,0,2,0
41,0,39,1,0,0,1,0
42,1,26,0,1,1,1,0
43,1,37,0,3,0,2,0
44,1,27,1,1,1,1,0
45,1,22,1,0,0,1,1
46,1,52,0,1,1,2,1
47,1,20,0,1,0,2,1
48,1,22,0,15,0,1,0
49,1,28,0,1,1,1,1
50,1,31,1,1,0,1,1
51,1,31,1,2,0,0,1
52,1,39,0,4,0,1,1
53,1,67,1,8,1,1,1
54,1,56,1,0,1,1,1
55,1,34,0,5,0,0,1
56,1,34,0,0,0,1,0
57,1,26,0,3,0,0,1
58,1,51,1,8,0,1,0
59,0,31,0,6,0,0,0
60,1,23,1,2,0,1,0
61,1,26,1,3,0,2,0
62,1,26,0,0,0,2,1
63,1,31,0,1,1,1,0
64,1,33,1,0,0,1,0
65,1,37,0,13,1,2,0
66,0,23,0,2,0,0,1
67,1,25,0,1,0,2,0
68,0,26,0,7,0,1,0
69,0,27,0,0,0,1,0
70,1,20,1,0,0,1,0
71,1,59,0,1,1,2,1
72,1,24,0,4,0,0,0
73,1,43,0,0,0,1,0
74,1,35,1,18,0,2,1
75,1,57,0,0,1,1,0
76,1,38,0,14,0,0,1
77,1,34,0,3,0,2,1
78,1,36,1,0,0,1,0
79,1,44,1,0,1,1,0
80,1,36,0,1,1,2,0
81,1,47,1,0,1,1,0
82,1,29,0,2,0,1,0
83,0,51,0,0,0,1,1
84,1,40,0,4,0,0,0
85,1,38,0,0,0,1,0
86,1,54,0,11,0,0,1
87,1,22,0,11,1,0,1
88,1,31,0,10,0,2,1
89,1,36,0,2,1,1,0
90,1,29,0,8,0,2,1
91,1,50,0,1,0,0,1
92,1,26,0,3,1,2,1
93,1,36,0,1,1,1,0
94,1,63,0,3,0,1,0
95,1,38,1,16,0,0,0
96,1,27,0,9,0,2,1
97,1,58,0,2,1,2,0
98,0,20,0,1,1,1,0
99,1,27,0,9,0,0,0
100,0,39,0,0,0,1,0
101,1,24,1,5,0,2,0
102,1,26,1,0,1,2,0
103,1,28,1,0,0,1,0
104,1,31,1,3,0,1,0
105,1,21,1,2,0,1,1
106,1,33,0,6,0,1,0
107,1,27,0,0,1,1,0
108,1,21,1,1,1,1,0
109,1,59,0,8,0,1,0
110,1,30,0,3,1,1,0
111,1,35,0,1,0,0,1
112,1,26,1,0,0,1,1
113,1,31,0,11,1,0,1
114,1,25,0,2,0,2,0
115,1,25,0,0,0,2,1
116,1,27,0,2,0,1,1
117,1,46,0,2,0,2,0
118,0,29,1,5,0,0,1
119,1,49,1,2,0,0,1
120,1,41,0,20,1,2,1
121,1,44,1,0,1,1,0
122,1,27,0,6,0,2,0
123,0,53,1,3,0,2,1
124,1,28,0,0,0,1,0
125,1,31,1,0,0,2,0
126,1,52,1,2,1,1,0
127,1,49,1,21,0,2,1
128,1,24,0,1,1,1,0
129,1,30,1,1,0,0,1
130,1,36,0,0,0,1,1
131,1,28,1,0,0,1,0
132,1,24,1,0,1,1,0
133,1,23,0,0,1,1,1
134,1,30,0,0,1,1,0
135,1,46,1,2,0,2,1
136,1,33,0,2,1,1,1
137,1,28,1,4,1,1,1
138,1,49,0,1,0,1,1
139,0,20,0,0,0,0,1
140,1,43,1,0,0,1,0
141,1,20,0,0,0,0,0
142,1,27,0,0,0,1,0
143,0,45,0,2,0,0,1
144,0,30,0,3,1,2,1
145,1,22,0,3,0,1,0
146,0,36,1,10,0,2,1
147,1,33,1,0,1,1,0
148,1,56,0,0,0,1,0
149,1,26,0,2,1,1,0
150,1,51,1,1,0,1,0
151,1,49,1,14,0,2,0
152,1,41,1,12,0,2,1
153,1,42,1,0,1,1,0
154,0,40,0,8,0,0,1
155,1,30,1,19,0,0,0
156,1,25,1,1,0,1,0
157,1,55,0,10,1,1,0
158,1,29,0,1,1,1,0
159,1,29,1,9,1,0,1
160,0,35,0,4,0,1,0
161,1,26,0,1,0,1,0
162,1,28,0,9,0,0,0
163,1,43,0,2,1,2,0
164,1,22,1,0,0,1,1
165,1,26,0,5,0,2,0
166,1,23,1,0,1,2,1
167,1,31,1,15,0,2,1
168,1,27,1,0,1,2,0
169,1,28,0,0,0,1,1
170,1,21,0,0,0,1,0
171,1,52,0,1,0,1,0
172,1,50,1,11,0,2,0
173,1,34,1,2,0,1,0
174,1,22,0,0,0,2,1
175,1,37,0,2,0,0,0
176,1,69,0,0,0,1,0
177,0,21,0,0,1,1,0
178,0,39,0,1,1,1,0
179,1,53,1,4,1,1,1
180,0,22,0,0,1,1,1
181,1,46,0,24,1,0,1
182,1,52,0,4,0,0,1
183,1,55,0,14,1,0,0
184,1,43,0,4,1,0,1
185,1,41,1,4,1,1,1
186,1,42,0,0,0,2,0
187,0,57,1,19,0,0,0
188,1,26,0,1,0,0,0
189,1,32,1,0,0,1,0
190,1,22,0,0,0,0,1
191,0,38,0,1,0,1,0
192,1,61,0,11,0,2,1
193,1,50,0,1,0,2,1
194,1,29,1,0,1,1,0
195,1,39,1,1,0,1,1
196,1,31,0,1,0,2,0
197,1,37,0,4,0,2,0
198,0,22,1,3,1,2,1
199,1,22,1,0,1,1,0
